date,secid,currency,close,open,low,high,volume,capitalization
1918-01-01,STOOQ:ZC.F,USD,151.32,158.01,151.32,158.01,,0.0
1918-02-01,STOOQ:ZC.F,USD,151.6,151.32,151.32,151.6,,0.0
1918-03-01,STOOQ:ZC.F,USD,149.57,151.6,149.57,151.6,,0.0
1918-04-01,STOOQ:ZC.F,USD,142.0,149.57,142.0,149.57,,0.0
1918-05-01,STOOQ:ZC.F,USD,140.83,142.0,140.83,154.81,,0.0
1918-06-01,STOOQ:ZC.F,USD,134.14,140.83,134.14,140.83,,0.0
1918-07-01,STOOQ:ZC.F,USD,118.72,134.14,118.72,134.14,,0.0
1918-08-01,STOOQ:ZC.F,USD,128.03,118.72,118.72,128.03,,0.0
1918-09-01,STOOQ:ZC.F,USD,134.43,128.03,128.03,134.43,,0.0
1918-10-01,STOOQ:ZC.F,USD,134.72,134.43,134.43,134.72,,0.0
1918-11-01,STOOQ:ZC.F,USD,146.37,134.72,134.72,146.37,,0.0
1918-12-01,STOOQ:ZC.F,USD,150.15,146.37,146.37,175.18,,0.0
1919-01-01,STOOQ:ZC.F,USD,160.92,150.15,150.15,160.92,,0.0
1919-02-01,STOOQ:ZC.F,USD,162.67,160.92,160.92,162.67,,0.0
1919-03-01,STOOQ:ZC.F,USD,151.02,162.67,147.82,162.67,,0.0
1919-04-01,STOOQ:ZC.F,USD,151.89,151.02,151.02,151.89,,0.0
1919-05-01,STOOQ:ZC.F,USD,152.48,151.89,151.89,152.48,,0.0
1919-06-01,STOOQ:ZC.F,USD,152.77,152.48,152.48,152.77,,0.0
1919-07-01,STOOQ:ZC.F,USD,133.85,152.77,133.85,153.35,,0.0
1919-08-01,STOOQ:ZC.F,USD,135.02,133.85,133.85,135.02,,0.0
1919-09-01,STOOQ:ZC.F,USD,143.75,135.02,135.02,143.75,,0.0
1919-10-01,STOOQ:ZC.F,USD,156.84,143.75,134.43,156.84,,0.0
1919-11-01,STOOQ:ZC.F,USD,158.88,156.84,156.84,158.88,,0.0
1919-12-01,STOOQ:ZC.F,USD,162.08,158.88,158.88,162.08,,0.0
1920-01-01,STOOQ:ZC.F,USD,162.95,162.08,162.08,162.95,,0.0
1920-02-01,STOOQ:ZC.F,USD,182.75,162.95,162.67,182.75,,0.0
1920-03-01,STOOQ:ZC.F,USD,145.2,182.75,145.2,182.75,,0.0
1920-04-01,STOOQ:ZC.F,USD,119.88,145.2,119.88,145.2,,0.0
1920-05-01,STOOQ:ZC.F,USD,83.78,119.88,83.78,119.88,,0.0
1920-06-01,STOOQ:ZC.F,USD,97.47,83.78,83.78,106.19,,0.0
1920-07-01,STOOQ:ZC.F,USD,86.11,97.47,86.11,97.47,,0.0
1920-08-01,STOOQ:ZC.F,USD,70.69,86.11,70.69,86.11,,0.0
1920-09-01,STOOQ:ZC.F,USD,59.91,70.69,59.91,70.69,,0.0
1920-10-01,STOOQ:ZC.F,USD,54.39,59.91,54.39,63.99,,0.0
1920-11-01,STOOQ:ZC.F,USD,54.97,54.39,54.39,54.97,,0.0
1920-12-01,STOOQ:ZC.F,USD,48.85,54.97,48.85,54.97,,0.0
1921-01-01,STOOQ:ZC.F,USD,51.77,48.85,48.85,51.77,,0.0
1921-02-01,STOOQ:ZC.F,USD,51.77,51.77,51.77,52.05,,0.0
1921-03-01,STOOQ:ZC.F,USD,51.18,51.77,51.18,51.77,,0.0
1921-04-01,STOOQ:ZC.F,USD,49.44,51.18,49.44,51.18,,0.0
1921-05-01,STOOQ:ZC.F,USD,45.95,49.44,45.95,51.18,,0.0
1921-06-01,STOOQ:ZC.F,USD,45.65,45.95,45.65,45.95,,0.0
1921-07-01,STOOQ:ZC.F,USD,42.46,45.65,42.46,45.65,,0.0
1921-08-01,STOOQ:ZC.F,USD,42.16,42.46,40.71,42.46,,0.0
1921-09-01,STOOQ:ZC.F,USD,43.61,42.16,42.16,43.61,,0.0
1921-10-01,STOOQ:ZC.F,USD,44.2,43.61,43.61,44.2,,0.0
1921-11-01,STOOQ:ZC.F,USD,46.53,44.2,44.2,46.53,,0.0
1921-12-01,STOOQ:ZC.F,USD,49.15,46.53,46.53,51.18,,0.0
1922-01-01,STOOQ:ZC.F,USD,50.6,49.15,49.15,50.6,,0.0
1922-02-01,STOOQ:ZC.F,USD,52.05,50.6,50.6,52.05,,0.0
1922-03-01,STOOQ:ZC.F,USD,54.67,52.05,51.77,54.67,,0.0
1922-04-01,STOOQ:ZC.F,USD,55.55,54.67,54.67,55.55,,0.0
1922-05-01,STOOQ:ZC.F,USD,56.14,55.55,55.55,56.14,,0.0
1922-06-01,STOOQ:ZC.F,USD,59.63,56.14,56.14,59.63,,0.0
1922-07-01,STOOQ:ZC.F,USD,59.33,59.63,59.33,59.63,,0.0
1922-08-01,STOOQ:ZC.F,USD,62.53,59.33,59.33,62.83,,0.0
1922-09-01,STOOQ:ZC.F,USD,62.25,62.53,62.25,62.53,,0.0
1922-10-01,STOOQ:ZC.F,USD,62.25,62.25,62.25,62.53,,0.0
1922-11-01,STOOQ:ZC.F,USD,66.61,62.25,62.25,66.61,,0.0
1922-12-01,STOOQ:ZC.F,USD,66.61,66.61,66.61,66.61,,0.0
1923-01-01,STOOQ:ZC.F,USD,69.23,66.61,66.61,69.23,,0.0
1923-02-01,STOOQ:ZC.F,USD,71.27,69.23,69.23,71.27,,0.0
1923-03-01,STOOQ:ZC.F,USD,75.93,71.27,71.27,77.38,,0.0
1923-04-01,STOOQ:ZC.F,USD,81.75,75.93,75.93,81.75,,0.0
1923-05-01,STOOQ:ZC.F,USD,76.21,81.75,76.21,84.07,,0.0
1923-06-01,STOOQ:ZC.F,USD,83.49,76.21,76.21,83.49,,0.0
1923-07-01,STOOQ:ZC.F,USD,79.71,83.49,79.71,83.49,,0.0
1923-08-01,STOOQ:ZC.F,USD,78.25,79.71,78.25,79.71,,0.0
1923-09-01,STOOQ:ZC.F,USD,78.25,78.25,78.25,78.25,,0.0
1923-10-01,STOOQ:ZC.F,USD,66.32,78.25,66.32,78.25,,0.0
1923-11-01,STOOQ:ZC.F,USD,66.03,66.32,66.03,66.32,,0.0
1923-12-01,STOOQ:ZC.F,USD,73.89,66.03,66.03,73.89,,0.0
1924-01-01,STOOQ:ZC.F,USD,77.96,73.89,68.07,77.96,,0.0
1924-02-01,STOOQ:ZC.F,USD,81.17,77.96,77.96,81.17,,0.0
1924-03-01,STOOQ:ZC.F,USD,85.82,81.17,81.17,85.82,,0.0
1924-04-01,STOOQ:ZC.F,USD,85.82,85.82,85.82,85.82,,0.0
1924-05-01,STOOQ:ZC.F,USD,102.99,85.82,85.82,102.99,,0.0
1924-06-01,STOOQ:ZC.F,USD,98.05,102.99,95.13,102.99,,0.0
1924-07-01,STOOQ:ZC.F,USD,105.91,98.05,98.05,105.91,,0.0
1924-08-01,STOOQ:ZC.F,USD,105.61,105.91,99.5,105.91,,0.0
1924-09-01,STOOQ:ZC.F,USD,105.32,105.61,105.32,105.61,,0.0
1924-10-01,STOOQ:ZC.F,USD,107.07,105.32,105.32,107.07,,0.0
1924-11-01,STOOQ:ZC.F,USD,104.16,107.07,104.16,107.07,,0.0
1924-12-01,STOOQ:ZC.F,USD,103.29,104.16,103.29,104.16,,0.0
1925-01-01,STOOQ:ZC.F,USD,102.99,103.29,102.99,108.23,,0.0
1925-02-01,STOOQ:ZC.F,USD,97.17,102.99,97.17,102.99,,0.0
1925-03-01,STOOQ:ZC.F,USD,90.77,97.17,90.77,97.17,,0.0
1925-04-01,STOOQ:ZC.F,USD,90.48,90.77,90.48,93.68,,0.0
1925-05-01,STOOQ:ZC.F,USD,84.95,90.48,84.95,90.48,,0.0
1925-06-01,STOOQ:ZC.F,USD,83.78,84.95,83.78,84.95,,0.0
1925-07-01,STOOQ:ZC.F,USD,74.76,83.78,74.76,83.78,,0.0
1925-08-01,STOOQ:ZC.F,USD,73.01,74.76,73.01,79.13,,0.0
1925-09-01,STOOQ:ZC.F,USD,69.23,73.01,69.23,73.01,,0.0
1925-10-01,STOOQ:ZC.F,USD,68.07,69.23,68.07,69.23,,0.0
1925-11-01,STOOQ:ZC.F,USD,67.48,68.07,65.15,68.07,,0.0
1925-12-01,STOOQ:ZC.F,USD,66.61,67.48,66.61,67.48,,0.0
1926-01-01,STOOQ:ZC.F,USD,66.32,66.61,66.32,66.61,,0.0
1926-02-01,STOOQ:ZC.F,USD,65.45,66.32,65.45,66.32,,0.0
1926-03-01,STOOQ:ZC.F,USD,65.74,65.45,65.45,68.65,,0.0
1926-04-01,STOOQ:ZC.F,USD,66.03,65.74,65.74,66.03,,0.0
1926-05-01,STOOQ:ZC.F,USD,66.61,66.03,66.03,66.61,,0.0
1926-06-01,STOOQ:ZC.F,USD,68.07,66.61,63.41,68.07,,0.0
1926-07-01,STOOQ:ZC.F,USD,68.36,68.07,68.07,68.36,,0.0
1926-08-01,STOOQ:ZC.F,USD,65.74,68.36,65.74,68.36,,0.0
1926-09-01,STOOQ:ZC.F,USD,65.15,65.74,65.15,65.74,,0.0
1926-10-01,STOOQ:ZC.F,USD,64.57,65.15,64.57,65.15,,0.0
1926-11-01,STOOQ:ZC.F,USD,63.99,64.57,63.99,64.57,,0.0
1926-12-01,STOOQ:ZC.F,USD,65.45,63.99,63.99,65.45,,0.0
1927-01-01,STOOQ:ZC.F,USD,59.33,65.45,59.33,74.18,,0.0
1927-02-01,STOOQ:ZC.F,USD,75.63,59.33,59.33,75.63,,0.0
1927-03-01,STOOQ:ZC.F,USD,76.21,75.63,75.63,76.21,,0.0
1927-04-01,STOOQ:ZC.F,USD,87.57,76.21,76.21,87.57,,0.0
1927-05-01,STOOQ:ZC.F,USD,91.06,87.57,87.57,91.06,,0.0
1927-06-01,STOOQ:ZC.F,USD,91.36,91.06,91.06,108.23,,0.0
1927-07-01,STOOQ:ZC.F,USD,91.93,91.36,91.36,91.93,,0.0
1927-08-01,STOOQ:ZC.F,USD,75.63,91.93,75.63,91.93,,0.0
1927-09-01,STOOQ:ZC.F,USD,78.55,75.63,75.63,78.55,,0.0
1927-10-01,STOOQ:ZC.F,USD,85.53,78.55,78.55,85.53,,0.0
1927-11-01,STOOQ:ZC.F,USD,86.11,85.53,85.53,86.11,,0.0
1927-12-01,STOOQ:ZC.F,USD,89.02,86.11,86.11,89.02,,0.0
1928-01-01,STOOQ:ZC.F,USD,90.19,89.02,89.02,96.01,,0.0
1928-02-01,STOOQ:ZC.F,USD,91.64,90.19,90.19,91.64,,0.0
1928-03-01,STOOQ:ZC.F,USD,95.43,91.64,91.64,95.43,,0.0
1928-04-01,STOOQ:ZC.F,USD,94.85,95.43,93.1,95.43,,0.0
1928-05-01,STOOQ:ZC.F,USD,94.55,94.85,94.55,94.85,,0.0
1928-06-01,STOOQ:ZC.F,USD,90.48,94.55,90.48,94.55,,0.0
1928-07-01,STOOQ:ZC.F,USD,88.15,90.48,88.15,90.48,,0.0
1928-08-01,STOOQ:ZC.F,USD,82.91,88.15,82.91,88.15,,0.0
1928-09-01,STOOQ:ZC.F,USD,82.62,82.91,82.62,82.91,,0.0
1928-10-01,STOOQ:ZC.F,USD,80.29,82.62,80.29,82.62,,0.0
1928-11-01,STOOQ:ZC.F,USD,80.87,80.29,77.96,80.87,,0.0
1928-12-01,STOOQ:ZC.F,USD,80.87,80.87,80.87,80.87,,0.0
1929-01-01,STOOQ:ZC.F,USD,80.58,80.87,80.58,80.87,,0.0
1929-02-01,STOOQ:ZC.F,USD,82.91,80.58,80.58,82.91,,0.0
1929-03-01,STOOQ:ZC.F,USD,83.49,82.91,82.91,83.49,,0.0
1929-04-01,STOOQ:ZC.F,USD,85.24,83.49,83.49,88.44,,0.0
1929-05-01,STOOQ:ZC.F,USD,86.4,85.24,85.24,86.4,,0.0
1929-06-01,STOOQ:ZC.F,USD,82.04,86.4,82.04,86.99,,0.0
1929-07-01,STOOQ:ZC.F,USD,88.15,82.04,82.04,88.15,,0.0
1929-08-01,STOOQ:ZC.F,USD,87.27,88.15,87.27,88.15,,0.0
1929-09-01,STOOQ:ZC.F,USD,86.4,87.27,86.4,87.27,,0.0
1929-10-01,STOOQ:ZC.F,USD,76.51,86.4,76.51,86.4,,0.0
1929-11-01,STOOQ:ZC.F,USD,75.34,76.51,75.34,76.51,,0.0
1929-12-01,STOOQ:ZC.F,USD,72.44,75.34,72.44,75.34,,0.0
1930-01-01,STOOQ:ZC.F,USD,70.39,72.44,70.39,72.44,,0.0
1930-02-01,STOOQ:ZC.F,USD,71.85,70.39,70.39,71.85,,0.0
1930-03-01,STOOQ:ZC.F,USD,76.21,71.85,71.85,76.21,,0.0
1930-04-01,STOOQ:ZC.F,USD,77.68,76.21,76.21,77.68,,0.0
1930-05-01,STOOQ:ZC.F,USD,77.68,77.68,77.68,77.68,,0.0
1930-06-01,STOOQ:ZC.F,USD,77.68,77.68,77.68,84.95,,0.0
1930-07-01,STOOQ:ZC.F,USD,77.09,77.68,77.09,77.68,,0.0
1930-08-01,STOOQ:ZC.F,USD,73.31,77.09,73.31,77.09,,0.0
1930-09-01,STOOQ:ZC.F,USD,69.23,73.31,62.83,73.31,,0.0
1930-10-01,STOOQ:ZC.F,USD,63.12,69.23,63.12,69.23,,0.0
1930-11-01,STOOQ:ZC.F,USD,55.84,63.12,55.84,63.12,,0.0
1930-12-01,STOOQ:ZC.F,USD,55.26,55.84,55.26,55.84,,0.0
1931-01-01,STOOQ:ZC.F,USD,54.67,55.26,54.67,55.26,,0.0
1931-02-01,STOOQ:ZC.F,USD,51.18,54.67,51.18,54.67,,0.0
1931-03-01,STOOQ:ZC.F,USD,50.6,51.18,50.6,51.18,,0.0
1931-04-01,STOOQ:ZC.F,USD,44.2,50.6,44.2,50.6,,0.0
1931-05-01,STOOQ:ZC.F,USD,43.33,44.2,40.71,44.2,,0.0
1931-06-01,STOOQ:ZC.F,USD,43.03,43.33,43.03,43.33,,0.0
1931-07-01,STOOQ:ZC.F,USD,40.41,43.03,40.41,43.03,,0.0
1931-08-01,STOOQ:ZC.F,USD,40.12,40.41,40.12,40.41,,0.0
1931-09-01,STOOQ:ZC.F,USD,34.88,40.12,34.88,40.12,,0.0
1931-10-01,STOOQ:ZC.F,USD,32.26,34.88,32.26,34.88,,0.0
1931-11-01,STOOQ:ZC.F,USD,30.52,32.26,30.52,32.26,,0.0
1931-12-01,STOOQ:ZC.F,USD,28.19,30.52,28.19,30.52,,0.0
1932-01-01,STOOQ:ZC.F,USD,27.61,28.19,27.61,28.19,,0.0
1932-02-01,STOOQ:ZC.F,USD,26.73,27.61,26.73,27.61,,0.0
1932-03-01,STOOQ:ZC.F,USD,26.16,26.73,26.16,26.73,,0.0
1932-04-01,STOOQ:ZC.F,USD,25.86,26.16,25.86,26.16,,0.0
1932-05-01,STOOQ:ZC.F,USD,25.57,25.86,25.57,25.86,,0.0
1932-06-01,STOOQ:ZC.F,USD,22.37,25.57,22.37,25.57,,0.0
1932-07-01,STOOQ:ZC.F,USD,20.33,22.37,20.33,23.24,,0.0
1932-08-01,STOOQ:ZC.F,USD,20.62,20.33,20.33,21.49,,0.0
1932-09-01,STOOQ:ZC.F,USD,20.04,20.62,20.04,20.62,,0.0
1932-10-01,STOOQ:ZC.F,USD,19.75,20.04,19.75,20.04,,0.0
1932-11-01,STOOQ:ZC.F,USD,18.29,19.75,18.29,19.75,,0.0
1932-12-01,STOOQ:ZC.F,USD,18.58,18.29,18.29,18.58,,0.0
1933-01-01,STOOQ:ZC.F,USD,26.44,18.58,18.58,26.44,,0.0
