date,secid,currency,close,open,low,high,volume,capitalization
1930-12-31,STOOQ:NG.F,USD,0.08,0.08,0.08,0.08,,0.0
1931-12-31,STOOQ:NG.F,USD,0.07,0.07,0.07,0.07,,0.0
1932-12-30,STOOQ:NG.F,USD,0.06,0.06,0.06,0.06,,0.0
1933-12-29,STOOQ:NG.F,USD,0.06,0.06,0.06,0.06,,0.0
1934-12-31,STOOQ:NG.F,USD,0.06,0.06,0.06,0.06,,0.0
1935-12-31,STOOQ:NG.F,USD,0.06,0.06,0.06,0.06,,0.0
1936-12-31,STOOQ:NG.F,USD,0.06,0.06,0.06,0.06,,0.0
1937-12-31,STOOQ:NG.F,USD,0.05,0.05,0.05,0.05,,0.0
1938-12-30,STOOQ:NG.F,USD,0.05,0.05,0.05,0.05,,0.0
1939-12-29,STOOQ:NG.F,USD,0.05,0.05,0.05,0.05,,0.0
1940-12-31,STOOQ:NG.F,USD,0.05,0.05,0.05,0.05,,0.0
1941-12-31,STOOQ:NG.F,USD,0.05,0.05,0.05,0.05,,0.0
1942-12-31,STOOQ:NG.F,USD,0.05,0.05,0.05,0.05,,0.0
1943-12-31,STOOQ:NG.F,USD,0.05,0.05,0.05,0.05,,0.0
1944-12-29,STOOQ:NG.F,USD,0.05,0.05,0.05,0.05,,0.0
1945-12-31,STOOQ:NG.F,USD,0.05,0.05,0.05,0.05,,0.0
1946-12-31,STOOQ:NG.F,USD,0.05,0.05,0.05,0.05,,0.0
1947-12-31,STOOQ:NG.F,USD,0.06,0.06,0.06,0.06,,0.0
1948-12-31,STOOQ:NG.F,USD,0.06,0.06,0.06,0.06,,0.0
1949-12-30,STOOQ:NG.F,USD,0.06,0.06,0.06,0.06,,0.0
1950-12-29,STOOQ:NG.F,USD,0.07,0.07,0.07,0.07,,0.0
1951-12-31,STOOQ:NG.F,USD,0.07,0.07,0.07,0.07,,0.0
1952-12-31,STOOQ:NG.F,USD,0.08,0.08,0.08,0.08,,0.0
1953-12-31,STOOQ:NG.F,USD,0.09,0.09,0.09,0.09,,0.0
1954-12-31,STOOQ:NG.F,USD,0.1,0.1,0.1,0.1,,0.0
1955-12-30,STOOQ:NG.F,USD,0.1,0.1,0.1,0.1,,0.0
1956-12-31,STOOQ:NG.F,USD,0.11,0.11,0.11,0.11,,0.0
1957-12-31,STOOQ:NG.F,USD,0.11,0.11,0.11,0.11,,0.0
1958-12-31,STOOQ:NG.F,USD,0.12,0.12,0.12,0.12,,0.0
1959-12-31,STOOQ:NG.F,USD,0.13,0.13,0.13,0.13,,0.0
1960-12-30,STOOQ:NG.F,USD,0.14,0.14,0.14,0.14,,0.0
1961-12-29,STOOQ:NG.F,USD,0.15,0.15,0.15,0.15,,0.0
1962-12-31,STOOQ:NG.F,USD,0.16,0.16,0.16,0.16,,0.0
1963-12-31,STOOQ:NG.F,USD,0.16,0.16,0.16,0.16,,0.0
1964-12-31,STOOQ:NG.F,USD,0.15,0.15,0.15,0.15,,0.0
1965-12-31,STOOQ:NG.F,USD,0.16,0.16,0.16,0.16,,0.0
1966-12-30,STOOQ:NG.F,USD,0.16,0.16,0.16,0.16,,0.0
1967-12-29,STOOQ:NG.F,USD,0.16,0.16,0.16,0.16,,0.0
1968-12-31,STOOQ:NG.F,USD,0.16,0.16,0.16,0.16,,0.0
1969-12-31,STOOQ:NG.F,USD,0.17,0.17,0.17,0.17,,0.0
1970-12-31,STOOQ:NG.F,USD,0.17,0.17,0.17,0.17,,0.0
1971-12-31,STOOQ:NG.F,USD,0.18,0.18,0.18,0.18,,0.0
1972-12-29,STOOQ:NG.F,USD,0.19,0.19,0.19,0.19,,0.0
1973-12-31,STOOQ:NG.F,USD,0.22,0.22,0.22,0.22,,0.0
1974-12-31,STOOQ:NG.F,USD,0.3,0.3,0.3,0.3,,0.0
1975-12-31,STOOQ:NG.F,USD,0.44,0.44,0.44,0.44,,0.0
1976-01-30,STOOQ:NG.F,USD,0.54,0.54,0.54,0.54,,0.0
1976-02-27,STOOQ:NG.F,USD,0.54,0.54,0.54,0.54,,0.0
1976-03-31,STOOQ:NG.F,USD,0.54,0.54,0.54,0.54,,0.0
1976-04-30,STOOQ:NG.F,USD,0.55,0.55,0.55,0.55,,0.0
1976-05-28,STOOQ:NG.F,USD,0.55,0.55,0.55,0.55,,0.0
1976-06-30,STOOQ:NG.F,USD,0.58,0.58,0.58,0.58,,0.0
1976-07-30,STOOQ:NG.F,USD,0.58,0.58,0.58,0.58,,0.0
1976-08-31,STOOQ:NG.F,USD,0.6,0.6,0.6,0.6,,0.0
1976-09-30,STOOQ:NG.F,USD,0.6,0.6,0.6,0.6,,0.0
1976-10-29,STOOQ:NG.F,USD,0.62,0.62,0.62,0.62,,0.0
1976-11-30,STOOQ:NG.F,USD,0.63,0.63,0.63,0.63,,0.0
1976-12-31,STOOQ:NG.F,USD,0.64,0.64,0.64,0.64,,0.0
1977-01-31,STOOQ:NG.F,USD,0.67,0.67,0.67,0.67,,0.0
1977-02-28,STOOQ:NG.F,USD,0.71,0.71,0.71,0.71,,0.0
1977-03-31,STOOQ:NG.F,USD,0.75,0.75,0.75,0.75,,0.0
1977-04-29,STOOQ:NG.F,USD,0.77,0.77,0.77,0.77,,0.0
1977-05-31,STOOQ:NG.F,USD,0.77,0.77,0.77,0.77,,0.0
1977-06-30,STOOQ:NG.F,USD,0.82,0.82,0.82,0.82,,0.0
1977-07-29,STOOQ:NG.F,USD,0.83,0.83,0.83,0.83,,0.0
1977-08-31,STOOQ:NG.F,USD,0.82,0.82,0.82,0.82,,0.0
1977-09-30,STOOQ:NG.F,USD,0.83,0.83,0.83,0.83,,0.0
1977-10-31,STOOQ:NG.F,USD,0.84,0.84,0.84,0.84,,0.0
1977-11-30,STOOQ:NG.F,USD,0.83,0.83,0.83,0.83,,0.0
1977-12-30,STOOQ:NG.F,USD,0.84,0.84,0.84,0.84,,0.0
1978-01-31,STOOQ:NG.F,USD,0.87,0.87,0.87,0.87,,0.0
1978-02-28,STOOQ:NG.F,USD,0.89,0.89,0.89,0.89,,0.0
1978-03-31,STOOQ:NG.F,USD,0.89,0.89,0.89,0.89,,0.0
1978-04-28,STOOQ:NG.F,USD,0.88,0.88,0.88,0.88,,0.0
1978-05-31,STOOQ:NG.F,USD,0.91,0.91,0.91,0.91,,0.0
1978-06-30,STOOQ:NG.F,USD,0.91,0.91,0.91,0.91,,0.0
1978-07-31,STOOQ:NG.F,USD,0.89,0.89,0.89,0.89,,0.0
1978-08-31,STOOQ:NG.F,USD,0.91,0.91,0.91,0.91,,0.0
1978-09-29,STOOQ:NG.F,USD,0.92,0.92,0.92,0.92,,0.0
1978-10-31,STOOQ:NG.F,USD,0.92,0.92,0.92,0.92,,0.0
1978-11-30,STOOQ:NG.F,USD,0.93,0.93,0.93,0.93,,0.0
1978-12-29,STOOQ:NG.F,USD,0.96,0.96,0.96,0.96,,0.0
1979-01-31,STOOQ:NG.F,USD,1.02,1.02,1.02,1.02,,0.0
1979-02-28,STOOQ:NG.F,USD,1.05,1.05,1.05,1.05,,0.0
