date,secid,currency,close,open,low,high,volume,capitalization
1918-01-01,STOOQ:HG.F,USD,19.16,19.35,19.16,19.35,,0.0
1918-02-01,STOOQ:HG.F,USD,16.2,19.16,16.2,19.16,,0.0
1918-03-01,STOOQ:HG.F,USD,16.39,16.2,16.2,16.39,,0.0
1918-04-01,STOOQ:HG.F,USD,18.05,16.39,15.05,20.68,,0.0
1918-05-01,STOOQ:HG.F,USD,18.05,18.05,18.05,18.05,,0.0
1918-06-01,STOOQ:HG.F,USD,18.05,18.05,18.05,18.05,,0.0
1918-07-01,STOOQ:HG.F,USD,20.46,18.05,18.05,20.46,,0.0
1918-08-01,STOOQ:HG.F,USD,20.64,20.46,20.46,20.64,,0.0
1918-09-01,STOOQ:HG.F,USD,19.72,20.64,19.72,21.05,,0.0
1918-10-01,STOOQ:HG.F,USD,19.53,19.72,18.38,19.72,,0.0
1918-11-01,STOOQ:HG.F,USD,18.42,19.53,18.42,19.53,,0.0
1918-12-01,STOOQ:HG.F,USD,18.24,18.42,18.24,18.42,,0.0
1919-01-01,STOOQ:HG.F,USD,18.05,18.24,18.05,18.24,,0.0
1919-02-01,STOOQ:HG.F,USD,18.05,18.05,18.05,18.05,,0.0
1919-03-01,STOOQ:HG.F,USD,17.87,18.05,17.87,18.05,,0.0
1919-04-01,STOOQ:HG.F,USD,17.31,17.87,17.31,17.87,,0.0
1919-05-01,STOOQ:HG.F,USD,17.13,17.31,17.13,17.31,,0.0
1919-06-01,STOOQ:HG.F,USD,16.76,17.13,16.76,17.13,,0.0
1919-07-01,STOOQ:HG.F,USD,16.57,16.76,16.57,16.76,,0.0
1919-08-01,STOOQ:HG.F,USD,16.2,16.57,16.2,16.57,,0.0
1919-09-01,STOOQ:HG.F,USD,15.83,16.2,15.83,16.2,,0.0
1919-10-01,STOOQ:HG.F,USD,12.83,15.83,12.83,15.83,,0.0
1919-11-01,STOOQ:HG.F,USD,13.24,12.83,12.83,13.61,,0.0
1919-12-01,STOOQ:HG.F,USD,12.69,13.24,12.69,13.24,,0.0
1920-01-01,STOOQ:HG.F,USD,12.13,12.69,12.13,12.69,,0.0
