date,secid,currency,close,open,low,high,volume,capitalization
2012-02-07,investing:MSCI Russia,USD,882.76,881.7,874.84,888.7,0,0.0
2012-02-08,investing:MSCI Russia,USD,884.91,884.75,881.53,894.45,0,0.0
2012-02-09,investing:MSCI Russia,USD,878.55,887.67,869.55,891.46,0,0.0
2012-02-10,investing:MSCI Russia,USD,859.57,875.71,856.84,875.71,0,0.0
2012-02-13,investing:MSCI Russia,USD,881.33,860.98,860.98,883.33,0,0.0
2012-02-14,investing:MSCI Russia,USD,879.48,878.12,874.65,888.66,0,0.0
2012-02-15,investing:MSCI Russia,USD,888.67,881.6,881.6,892.3,0,0.0
2012-02-16,investing:MSCI Russia,USD,879.95,886.84,869.6,886.84,0,0.0
2012-02-17,investing:MSCI Russia,USD,886.55,883.49,882.43,890.49,0,0.0
2012-02-20,investing:MSCI Russia,USD,896.45,887.37,887.37,898.46,0,0.0
2012-02-21,investing:MSCI Russia,USD,886.51,897.14,881.87,897.14,0,0.0
2012-02-22,investing:MSCI Russia,USD,876.93,884.95,874.22,892.25,0,0.0
2012-02-23,investing:MSCI Russia,USD,880.36,877.57,877.26,880.79,0,0.0
2012-02-24,investing:MSCI Russia,USD,926.0,880.7,880.7,926.69,0,0.0
2012-02-27,investing:MSCI Russia,USD,929.31,924.41,920.16,934.12,0,0.0
2012-02-28,investing:MSCI Russia,USD,921.01,930.62,916.58,937.78,0,0.0
2012-02-29,investing:MSCI Russia,USD,927.16,924.35,924.35,933.84,0,0.0
2012-03-01,investing:MSCI Russia,USD,924.74,929.59,913.98,929.59,0,0.0
2012-03-02,investing:MSCI Russia,USD,933.28,925.38,918.04,933.28,0,0.0
2012-03-05,investing:MSCI Russia,USD,939.23,933.41,931.11,943.56,0,0.0
2012-03-06,investing:MSCI Russia,USD,894.42,937.04,892.54,937.04,0,0.0
2012-03-07,investing:MSCI Russia,USD,898.4,893.6,886.4,901.13,0,0.0
2012-03-08,investing:MSCI Russia,USD,910.1,901.37,901.12,911.27,0,0.0
2012-03-09,investing:MSCI Russia,USD,910.24,910.02,909.23,911.37,0,0.0
2012-03-12,investing:MSCI Russia,USD,919.09,922.65,911.98,929.75,0,0.0
2012-03-13,investing:MSCI Russia,USD,929.47,922.27,921.63,929.57,0,0.0
2012-03-14,investing:MSCI Russia,USD,937.05,931.06,931.06,941.16,0,0.0
2012-03-15,investing:MSCI Russia,USD,939.34,935.95,929.52,945.51,0,0.0
2012-03-16,investing:MSCI Russia,USD,940.39,940.52,931.9,940.71,0,0.0
2012-03-19,investing:MSCI Russia,USD,921.97,940.49,917.47,945.26,0,0.0
2012-03-20,investing:MSCI Russia,USD,900.43,924.46,899.33,926.46,0,0.0
2012-03-21,investing:MSCI Russia,USD,895.45,903.82,891.31,910.55,0,0.0
2012-03-22,investing:MSCI Russia,USD,878.15,896.6,875.85,901.3,0,0.0
2012-03-23,investing:MSCI Russia,USD,890.07,882.33,873.97,890.35,0,0.0
2012-03-26,investing:MSCI Russia,USD,911.35,893.46,891.14,914.18,0,0.0
2012-03-27,investing:MSCI Russia,USD,904.14,916.8,902.89,919.5,0,0.0
2012-03-28,investing:MSCI Russia,USD,876.02,901.08,874.89,901.63,0,0.0
2012-03-29,investing:MSCI Russia,USD,858.96,873.51,853.14,880.15,0,0.0
2012-03-30,investing:MSCI Russia,USD,873.39,870.04,868.59,879.77,0,0.0
2012-04-02,investing:MSCI Russia,USD,878.77,878.8,867.82,887.16,0,0.0
2012-04-03,investing:MSCI Russia,USD,899.09,886.49,883.27,902.71,0,0.0
2012-04-04,investing:MSCI Russia,USD,869.01,884.96,866.21,888.72,0,0.0
2012-04-05,investing:MSCI Russia,USD,875.37,874.13,855.66,875.82,0,0.0
2012-04-06,investing:MSCI Russia,USD,861.18,877.77,857.37,877.96,0,0.0
2012-04-09,investing:MSCI Russia,USD,862.59,856.64,847.04,864.56,0,0.0
2012-04-10,investing:MSCI Russia,USD,849.33,862.0,846.99,865.91,0,0.0
2012-04-11,investing:MSCI Russia,USD,855.84,844.44,840.77,862.15,0,0.0
2012-04-12,investing:MSCI Russia,USD,859.35,859.07,846.16,861.12,0,0.0
2012-04-13,investing:MSCI Russia,USD,858.22,861.47,854.07,866.23,0,0.0
2012-04-16,investing:MSCI Russia,USD,843.81,854.28,840.26,857.08,0,0.0
2012-04-17,investing:MSCI Russia,USD,841.46,844.63,833.92,845.37,0,0.0
2012-04-18,investing:MSCI Russia,USD,839.24,846.61,835.43,847.27,0,0.0
2012-04-19,investing:MSCI Russia,USD,852.07,838.71,838.6,856.94,0,0.0
2012-04-20,investing:MSCI Russia,USD,858.13,847.66,845.25,858.79,0,0.0
2012-04-23,investing:MSCI Russia,USD,834.01,855.47,832.48,855.47,0,0.0
2012-04-24,investing:MSCI Russia,USD,833.93,837.22,825.5,839.4,0,0.0
2012-04-25,investing:MSCI Russia,USD,836.57,836.84,834.84,842.26,0,0.0
2012-04-26,investing:MSCI Russia,USD,831.74,841.05,827.29,843.24,0,0.0
2012-04-27,investing:MSCI Russia,USD,845.77,828.66,824.6,845.77,0,0.0
2012-04-30,investing:MSCI Russia,USD,845.9,846.82,844.35,847.57,0,0.0
2012-05-01,investing:MSCI Russia,USD,844.89,846.13,843.23,846.71,0,0.0
2012-05-02,investing:MSCI Russia,USD,831.5,848.4,829.63,854.3,0,0.0
2012-05-03,investing:MSCI Russia,USD,827.09,832.45,824.96,834.25,0,0.0
2012-05-04,investing:MSCI Russia,USD,791.34,824.32,788.84,824.32,0,0.0
2012-05-07,investing:MSCI Russia,USD,786.65,779.02,772.82,787.88,0,0.0
2012-05-08,investing:MSCI Russia,USD,779.66,788.26,775.91,793.44,0,0.0
2012-05-09,investing:MSCI Russia,USD,772.23,778.46,770.73,779.76,0,0.0
2012-05-10,investing:MSCI Russia,USD,789.52,773.24,773.24,796.08,0,0.0
2012-05-11,investing:MSCI Russia,USD,777.05,775.47,768.18,778.47,0,0.0
2012-05-14,investing:MSCI Russia,USD,738.87,768.07,737.35,768.87,0,0.0
2012-05-15,investing:MSCI Russia,USD,736.0,737.44,725.48,741.77,0,0.0
2012-05-16,investing:MSCI Russia,USD,723.48,723.51,711.81,729.0,0,0.0
2012-05-17,investing:MSCI Russia,USD,695.52,723.36,689.91,727.03,0,0.0
2012-05-18,investing:MSCI Russia,USD,681.73,679.69,668.71,695.24,0,0.0
2012-05-21,investing:MSCI Russia,USD,699.81,684.76,678.47,701.38,0,0.0
2012-05-22,investing:MSCI Russia,USD,703.09,707.15,695.27,707.15,0,0.0
2012-05-23,investing:MSCI Russia,USD,667.91,690.44,665.58,692.91,0,0.0
2012-05-24,investing:MSCI Russia,USD,682.05,674.47,660.74,684.52,0,0.0
2012-05-25,investing:MSCI Russia,USD,676.02,677.58,674.85,689.66,0,0.0
2012-05-28,investing:MSCI Russia,USD,680.22,680.48,679.43,690.84,0,0.0
2012-05-29,investing:MSCI Russia,USD,698.34,684.45,682.1,699.76,0,0.0
2012-05-30,investing:MSCI Russia,USD,678.19,690.38,676.99,691.58,0,0.0
2012-05-31,investing:MSCI Russia,USD,664.71,679.15,661.14,683.9,0,0.0
2012-06-01,investing:MSCI Russia,USD,656.61,665.6,641.65,666.62,0,0.0
2012-06-04,investing:MSCI Russia,USD,664.3,651.14,646.01,666.47,0,0.0
2012-06-05,investing:MSCI Russia,USD,668.79,668.17,661.16,675.66,0,0.0
2012-06-06,investing:MSCI Russia,USD,690.41,673.42,671.93,692.29,0,0.0
2012-06-07,investing:MSCI Russia,USD,705.91,696.44,686.45,711.35,0,0.0
2012-06-08,investing:MSCI Russia,USD,695.21,701.93,683.45,701.93,0,0.0
2012-06-11,investing:MSCI Russia,USD,697.44,709.82,697.44,712.32,0,0.0
2012-06-12,investing:MSCI Russia,USD,692.59,695.83,691.76,695.83,0,0.0
2012-06-13,investing:MSCI Russia,USD,705.71,694.04,694.04,708.48,0,0.0
2012-06-14,investing:MSCI Russia,USD,702.85,702.67,696.54,704.9,0,0.0
2012-06-15,investing:MSCI Russia,USD,720.04,709.33,707.78,722.46,0,0.0
2012-06-18,investing:MSCI Russia,USD,727.57,732.97,721.59,735.01,0,0.0
2012-06-19,investing:MSCI Russia,USD,729.81,725.64,719.59,732.29,0,0.0
2012-06-20,investing:MSCI Russia,USD,720.68,731.25,719.03,731.25,0,0.0
2012-06-21,investing:MSCI Russia,USD,704.28,716.11,700.66,717.44,0,0.0
2012-06-22,investing:MSCI Russia,USD,691.22,692.76,684.28,695.6,0,0.0
