date,secid,currency,close,open,low,high,volume,capitalization
2012-07-09,investing:MSCI Russia ADR/GDR,USD,438.32,442.16,436.6,442.34,0,0.0
2012-07-10,investing:MSCI Russia ADR/GDR,USD,442.17,438.76,438.76,447.54,0,0.0
2012-07-11,investing:MSCI Russia ADR/GDR,USD,439.9,439.46,436.11,440.85,0,0.0
2012-07-12,investing:MSCI Russia ADR/GDR,USD,435.34,435.38,432.1,439.1,0,0.0
2012-07-13,investing:MSCI Russia ADR/GDR,USD,444.22,439.31,437.92,444.36,0,0.0
2012-07-16,investing:MSCI Russia ADR/GDR,USD,445.11,444.22,442.48,445.62,0,0.0
2012-07-17,investing:MSCI Russia ADR/GDR,USD,448.95,445.2,445.2,454.45,0,0.0
2012-07-18,investing:MSCI Russia ADR/GDR,USD,452.08,449.19,449.19,453.42,0,0.0
2012-07-19,investing:MSCI Russia ADR/GDR,USD,460.36,451.78,451.78,462.1,0,0.0
2012-07-20,investing:MSCI Russia ADR/GDR,USD,453.86,460.17,453.0,460.17,0,0.0
2012-07-23,investing:MSCI Russia ADR/GDR,USD,432.75,445.57,429.63,445.57,0,0.0
2012-07-24,investing:MSCI Russia ADR/GDR,USD,430.78,432.46,428.33,433.82,0,0.0
2012-07-25,investing:MSCI Russia ADR/GDR,USD,429.03,428.09,427.75,435.03,0,0.0
2012-07-26,investing:MSCI Russia ADR/GDR,USD,441.2,430.53,428.14,442.48,0,0.0
2012-07-27,investing:MSCI Russia ADR/GDR,USD,452.72,442.07,442.07,452.77,0,0.0
2012-07-30,investing:MSCI Russia ADR/GDR,USD,458.51,456.08,453.85,460.24,0,0.0
2012-07-31,investing:MSCI Russia ADR/GDR,USD,447.91,457.82,447.67,457.84,0,0.0
2012-08-01,investing:MSCI Russia ADR/GDR,USD,449.91,448.94,448.14,451.97,0,0.0
2012-08-02,investing:MSCI Russia ADR/GDR,USD,444.48,451.42,440.49,455.03,0,0.0
2012-08-03,investing:MSCI Russia ADR/GDR,USD,457.02,442.89,442.83,457.26,0,0.0
2012-08-06,investing:MSCI Russia ADR/GDR,USD,468.05,457.63,456.68,470.18,0,0.0
