date,secid,currency,close,open,low,high,volume,capitalization
1977-01-03,STOOQ:PA.F,USD,51.25,51.25,51.25,51.25,5.0,0.0
1977-01-04,STOOQ:PA.F,USD,51.8,51.8,51.8,51.8,4.0,0.0
1977-01-05,STOOQ:PA.F,USD,51.25,51.2,51.2,51.25,5.0,0.0
1977-01-06,STOOQ:PA.F,USD,51.9,51.75,51.75,51.9,20.0,0.0
1977-01-07,STOOQ:PA.F,USD,53.0,53.0,53.0,53.0,11.0,0.0
1977-01-10,STOOQ:PA.F,USD,52.25,52.5,52.25,52.5,4.0,0.0
1977-01-11,STOOQ:PA.F,USD,52.0,52.0,52.0,52.0,2.0,0.0
1977-01-12,STOOQ:PA.F,USD,52.25,52.25,52.25,52.25,1.0,0.0
1977-01-13,STOOQ:PA.F,USD,53.5,53.5,52.75,53.5,127.0,0.0
1977-01-14,STOOQ:PA.F,USD,54.5,53.05,53.05,54.5,63.0,0.0
1977-01-17,STOOQ:PA.F,USD,54.5,54.5,54.5,54.8,19.0,0.0
1977-01-18,STOOQ:PA.F,USD,55.0,54.85,54.7,55.2,46.0,0.0
1977-01-19,STOOQ:PA.F,USD,55.5,54.9,54.9,56.9,126.0,0.0
1977-01-20,STOOQ:PA.F,USD,57.5,56.5,56.5,57.5,27.0,0.0
1977-01-21,STOOQ:PA.F,USD,58.0,58.0,57.5,58.5,47.0,0.0
1977-01-24,STOOQ:PA.F,USD,58.5,58.1,58.1,59.5,89.0,0.0
1977-01-25,STOOQ:PA.F,USD,59.0,58.5,58.0,59.0,43.0,0.0
1977-01-26,STOOQ:PA.F,USD,59.0,58.2,58.05,59.0,44.0,0.0
1977-01-27,STOOQ:PA.F,USD,59.0,59.0,58.5,59.0,21.0,0.0
1977-01-28,STOOQ:PA.F,USD,58.5,58.4,58.0,58.5,22.0,0.0
1977-01-31,STOOQ:PA.F,USD,58.35,58.35,58.35,58.35,15.0,0.0
1977-02-01,STOOQ:PA.F,USD,58.0,58.4,57.15,58.4,79.0,0.0
1977-02-02,STOOQ:PA.F,USD,58.1,57.55,57.5,58.1,61.0,0.0
1977-02-03,STOOQ:PA.F,USD,59.5,58.5,58.5,59.5,62.0,0.0
1977-02-04,STOOQ:PA.F,USD,59.05,59.0,59.0,59.1,13.0,0.0
1977-02-07,STOOQ:PA.F,USD,59.25,59.4,59.25,59.5,29.0,0.0
1977-02-08,STOOQ:PA.F,USD,59.25,59.0,58.75,59.25,26.0,0.0
1977-02-09,STOOQ:PA.F,USD,59.25,59.8,59.25,59.8,17.0,0.0
1977-02-10,STOOQ:PA.F,USD,58.95,59.0,58.5,59.0,26.0,0.0
1977-02-11,STOOQ:PA.F,USD,58.5,58.6,58.2,58.6,33.0,0.0
1977-02-14,STOOQ:PA.F,USD,58.35,58.5,58.35,58.5,10.0,0.0
1977-02-15,STOOQ:PA.F,USD,57.8,58.25,57.8,58.25,120.0,0.0
1977-02-16,STOOQ:PA.F,USD,57.9,57.8,57.3,57.9,54.0,0.0
