date,secid,currency,close,open,low,high,volume,capitalization
1968-03-01,STOOQ:PL.F,USD,237.0,240.0,235.5,245.5,,0.0
1968-03-04,STOOQ:PL.F,USD,241.5,240.0,240.0,246.0,173.0,0.0
1968-03-05,STOOQ:PL.F,USD,236.5,241.0,235.0,242.0,144.0,0.0
1968-03-06,STOOQ:PL.F,USD,235.0,233.0,230.0,235.0,111.0,0.0
1968-03-07,STOOQ:PL.F,USD,241.0,239.0,239.0,243.0,119.0,0.0
1968-03-08,STOOQ:PL.F,USD,241.5,244.0,241.5,247.0,243.0,0.0
1968-03-11,STOOQ:PL.F,USD,238.0,235.0,232.0,238.0,187.0,0.0
1968-03-12,STOOQ:PL.F,USD,242.0,239.0,239.0,242.5,183.0,0.0
1968-03-13,STOOQ:PL.F,USD,252.0,246.0,246.0,252.0,305.0,0.0
1968-03-14,STOOQ:PL.F,USD,256.0,255.0,252.0,261.5,655.0,0.0
1968-03-18,STOOQ:PL.F,USD,246.0,246.0,246.0,246.0,46.0,0.0
1968-03-19,STOOQ:PL.F,USD,236.0,236.0,236.0,241.0,404.0,0.0
1968-03-20,STOOQ:PL.F,USD,233.5,234.0,229.0,234.5,235.0,0.0
1968-03-21,STOOQ:PL.F,USD,232.0,238.0,232.0,241.0,351.0,0.0
1968-03-22,STOOQ:PL.F,USD,232.0,232.0,232.0,236.0,184.0,0.0
1968-03-25,STOOQ:PL.F,USD,228.0,232.5,228.0,233.0,189.0,0.0
1968-03-26,STOOQ:PL.F,USD,236.0,232.0,231.5,237.5,299.0,0.0
1968-03-27,STOOQ:PL.F,USD,237.0,237.0,234.5,242.0,214.0,0.0
1968-03-28,STOOQ:PL.F,USD,238.0,236.0,234.0,239.4,143.0,0.0
1968-03-29,STOOQ:PL.F,USD,233.5,238.0,233.0,238.0,87.0,0.0
1968-04-01,STOOQ:PL.F,USD,229.0,228.0,228.0,231.0,209.0,0.0
1968-04-02,STOOQ:PL.F,USD,229.5,229.0,229.0,233.0,234.0,0.0
1968-04-03,STOOQ:PL.F,USD,224.5,232.0,222.0,232.0,342.0,0.0
1968-04-04,STOOQ:PL.F,USD,223.0,221.0,220.0,227.0,183.0,0.0
1968-04-05,STOOQ:PL.F,USD,228.5,226.0,225.5,228.5,197.0,0.0
1968-04-08,STOOQ:PL.F,USD,232.9,227.5,227.5,232.9,290.0,0.0
1968-04-10,STOOQ:PL.F,USD,232.0,237.0,232.0,237.5,150.0,0.0
