date,secid,currency,close,open,low,high,volume,capitalization
1963-06-13,STOOQ:SI.F,USD,129.0,129.0,128.9,129.1,,0.0
1963-06-14,STOOQ:SI.F,USD,129.3,129.3,129.3,129.5,,0.0
1963-06-17,STOOQ:SI.F,USD,129.3,129.4,129.2,129.4,,0.0
1963-06-18,STOOQ:SI.F,USD,129.3,129.3,129.3,129.4,,0.0
1963-06-19,STOOQ:SI.F,USD,129.1,129.4,129.1,129.4,,0.0
1963-06-20,STOOQ:SI.F,USD,129.1,129.1,129.1,129.2,,0.0
1963-06-21,STOOQ:SI.F,USD,129.0,129.1,128.9,129.1,,0.0
1963-06-24,STOOQ:SI.F,USD,128.8,129.0,128.8,129.0,,0.0
1963-06-25,STOOQ:SI.F,USD,129.1,129.0,129.0,129.1,,0.0
1963-06-26,STOOQ:SI.F,USD,129.2,129.3,129.2,129.4,,0.0
1963-06-27,STOOQ:SI.F,USD,129.4,129.2,129.2,129.5,,0.0
1963-06-28,STOOQ:SI.F,USD,129.7,129.4,129.3,129.9,,0.0
1963-07-01,STOOQ:SI.F,USD,130.7,130.0,130.0,130.8,,0.0
1963-07-02,STOOQ:SI.F,USD,130.5,130.7,130.5,130.8,,0.0
1963-07-03,STOOQ:SI.F,USD,130.6,130.7,130.5,130.7,,0.0
1963-07-05,STOOQ:SI.F,USD,130.8,130.7,130.7,130.9,,0.0
1963-07-08,STOOQ:SI.F,USD,130.9,130.9,130.9,131.1,,0.0
1963-07-09,STOOQ:SI.F,USD,130.8,130.9,130.8,130.9,,0.0
1963-07-10,STOOQ:SI.F,USD,130.8,130.7,130.7,130.9,,0.0
1963-07-11,STOOQ:SI.F,USD,130.8,130.8,130.8,130.9,,0.0
1963-07-12,STOOQ:SI.F,USD,130.7,130.7,130.7,130.8,,0.0
1963-07-15,STOOQ:SI.F,USD,130.9,130.9,130.9,131.1,,0.0
1963-07-16,STOOQ:SI.F,USD,130.9,130.8,130.8,130.9,,0.0
1963-07-17,STOOQ:SI.F,USD,130.9,130.9,130.9,130.9,,0.0
1963-07-18,STOOQ:SI.F,USD,130.7,130.7,130.7,130.7,,0.0
1963-07-19,STOOQ:SI.F,USD,130.4,130.6,130.4,130.7,,0.0
1963-07-22,STOOQ:SI.F,USD,130.3,130.4,130.3,130.4,,0.0
1963-07-23,STOOQ:SI.F,USD,130.3,130.3,130.3,130.3,,0.0
1963-07-24,STOOQ:SI.F,USD,130.4,130.4,130.4,130.4,,0.0
1963-07-25,STOOQ:SI.F,USD,130.3,130.3,130.3,130.4,,0.0
1963-07-26,STOOQ:SI.F,USD,130.1,130.2,130.1,130.2,,0.0
1963-07-29,STOOQ:SI.F,USD,129.9,129.9,129.9,129.9,,0.0
