date,secid,currency,close,open,low,high,volume,capitalization
1918-01-01,STOOQ:SB.F,USD,8.25,8.22,8.22,8.25,,0.0
1918-02-01,STOOQ:SB.F,USD,8.99,8.25,8.25,8.99,,0.0
1918-03-01,STOOQ:SB.F,USD,9.03,8.99,8.99,9.03,,0.0
1918-04-01,STOOQ:SB.F,USD,9.03,9.03,9.03,9.03,,0.0
1918-05-01,STOOQ:SB.F,USD,9.03,9.03,9.03,9.03,,0.0
1918-06-01,STOOQ:SB.F,USD,9.03,9.03,9.03,9.03,,0.0
1918-07-01,STOOQ:SB.F,USD,9.03,9.03,9.03,9.03,,0.0
1918-08-01,STOOQ:SB.F,USD,9.03,9.03,9.03,9.03,,0.0
1918-09-01,STOOQ:SB.F,USD,9.03,9.03,9.03,9.03,,0.0
1918-10-01,STOOQ:SB.F,USD,9.03,9.03,9.03,9.03,,0.0
1918-11-01,STOOQ:SB.F,USD,9.06,9.03,9.03,9.06,,0.0
1918-12-01,STOOQ:SB.F,USD,9.17,9.06,9.06,13.04,,0.0
1919-01-01,STOOQ:SB.F,USD,12.05,9.17,9.17,12.05,,0.0
1919-02-01,STOOQ:SB.F,USD,12.48,12.05,12.05,12.48,,0.0
1919-03-01,STOOQ:SB.F,USD,12.51,12.48,12.48,12.51,,0.0
1919-04-01,STOOQ:SB.F,USD,17.23,12.51,12.51,17.23,,0.0
1919-05-01,STOOQ:SB.F,USD,18.29,17.23,17.23,18.29,,0.0
1919-06-01,STOOQ:SB.F,USD,19.2,18.29,18.29,19.2,,0.0
1919-07-01,STOOQ:SB.F,USD,19.94,19.2,19.2,25.44,,0.0
1919-08-01,STOOQ:SB.F,USD,20.01,19.94,14.45,20.01,,0.0
1919-09-01,STOOQ:SB.F,USD,20.05,20.01,20.01,20.05,,0.0
1919-10-01,STOOQ:SB.F,USD,18.92,20.05,18.92,20.05,,0.0
1919-11-01,STOOQ:SB.F,USD,18.43,18.92,18.43,18.92,,0.0
1919-12-01,STOOQ:SB.F,USD,13.43,18.43,13.43,18.43,,0.0
1920-01-01,STOOQ:SB.F,USD,12.16,13.43,12.16,13.43,,0.0
1920-02-01,STOOQ:SB.F,USD,11.28,12.16,9.7,12.16,,0.0
1920-03-01,STOOQ:SB.F,USD,8.15,11.28,6.28,11.28,,0.0
1920-04-01,STOOQ:SB.F,USD,6.91,8.15,6.91,8.15,,0.0
1920-05-01,STOOQ:SB.F,USD,6.98,6.91,6.91,6.98,,0.0
1920-06-01,STOOQ:SB.F,USD,6.46,6.98,6.46,7.16,,0.0
1920-07-01,STOOQ:SB.F,USD,6.56,6.46,6.46,6.56,,0.0
1920-08-01,STOOQ:SB.F,USD,6.63,6.56,6.56,6.63,,0.0
