date,secid,currency,close,open,low,high,volume,capitalization
1918-03-01,STOOQ:ZW.F,USD,220.0,220.0,220.0,220.0,,0.0
1918-06-01,STOOQ:ZW.F,USD,217.0,220.0,217.0,220.0,,0.0
1918-09-01,STOOQ:ZW.F,USD,234.0,217.0,217.0,234.0,,0.0
1918-12-01,STOOQ:ZW.F,USD,227.0,234.0,227.0,234.0,,0.0
1919-03-01,STOOQ:ZW.F,USD,227.0,227.0,227.0,227.0,,0.0
1919-06-01,STOOQ:ZW.F,USD,220.0,227.0,220.0,227.0,,0.0
1919-09-01,STOOQ:ZW.F,USD,350.0,220.0,220.0,350.0,,0.0
1919-12-01,STOOQ:ZW.F,USD,294.25,350.0,294.25,350.0,,0.0
1920-03-01,STOOQ:ZW.F,USD,294.25,294.25,294.25,294.25,,0.0
1920-06-01,STOOQ:ZW.F,USD,345.0,294.25,294.25,345.0,,0.0
1920-09-01,STOOQ:ZW.F,USD,158.0,345.0,158.0,345.0,,0.0
1920-12-01,STOOQ:ZW.F,USD,186.0,158.0,158.0,186.0,,0.0
1921-03-01,STOOQ:ZW.F,USD,186.0,186.0,186.0,186.0,,0.0
1921-06-01,STOOQ:ZW.F,USD,202.5,186.0,186.0,202.5,,0.0
1921-09-01,STOOQ:ZW.F,USD,100.5,202.5,100.5,202.5,,0.0
1921-12-01,STOOQ:ZW.F,USD,123.13,100.5,100.5,123.13,,0.0
1922-03-01,STOOQ:ZW.F,USD,123.13,123.13,123.13,123.13,,0.0
1922-06-01,STOOQ:ZW.F,USD,100.0,123.13,100.0,123.13,,0.0
1922-09-01,STOOQ:ZW.F,USD,173.0,100.0,100.0,173.0,,0.0
1922-12-01,STOOQ:ZW.F,USD,136.5,173.0,136.5,173.0,,0.0
1923-03-01,STOOQ:ZW.F,USD,136.5,136.5,136.5,136.5,,0.0
1923-06-01,STOOQ:ZW.F,USD,138.0,136.5,136.5,138.0,,0.0
1923-09-01,STOOQ:ZW.F,USD,96.5,138.0,96.5,138.0,,0.0
1923-12-01,STOOQ:ZW.F,USD,117.25,96.5,96.5,117.25,,0.0
1924-03-01,STOOQ:ZW.F,USD,117.25,117.25,117.25,117.25,,0.0
1924-06-01,STOOQ:ZW.F,USD,102.0,117.25,102.0,117.25,,0.0
1924-09-01,STOOQ:ZW.F,USD,191.0,102.0,102.0,191.0,,0.0
1924-12-01,STOOQ:ZW.F,USD,146.5,191.0,146.5,191.0,,0.0
1925-03-01,STOOQ:ZW.F,USD,146.5,146.5,146.5,146.5,,0.0
1925-06-01,STOOQ:ZW.F,USD,135.25,146.5,135.25,146.5,,0.0
1925-09-01,STOOQ:ZW.F,USD,220.5,135.25,135.25,220.5,,0.0
1925-12-01,STOOQ:ZW.F,USD,177.87,220.5,177.87,220.5,,0.0
1926-03-01,STOOQ:ZW.F,USD,177.87,177.87,177.87,177.87,,0.0
1926-06-01,STOOQ:ZW.F,USD,194.0,177.87,177.87,194.0,,0.0
1926-09-01,STOOQ:ZW.F,USD,130.0,194.0,130.0,194.0,,0.0
1926-12-01,STOOQ:ZW.F,USD,162.0,130.0,130.0,162.0,,0.0
1927-03-01,STOOQ:ZW.F,USD,158.0,162.0,158.0,162.0,,0.0
1927-06-01,STOOQ:ZW.F,USD,158.0,158.0,158.0,158.0,,0.0
1927-09-01,STOOQ:ZW.F,USD,121.75,158.0,121.75,158.0,,0.0
1927-12-01,STOOQ:ZW.F,USD,139.87,121.75,121.75,139.87,,0.0
