date,secid,currency,close,open,low,high,volume,capitalization
1965-01-08,STOOQ:^CAC,USD,274.47,274.47,274.47,274.47,,0.0
1965-01-15,STOOQ:^CAC,USD,278.82,278.82,278.82,278.82,,0.0
1965-01-22,STOOQ:^CAC,USD,274.67,274.67,274.67,274.67,,0.0
1965-01-29,STOOQ:^CAC,USD,274.99,274.99,274.99,274.99,,0.0
1965-02-05,STOOQ:^CAC,USD,269.26,269.26,269.26,269.26,,0.0
1965-02-12,STOOQ:^CAC,USD,262.14,262.14,262.14,262.14,,0.0
1965-02-16,STOOQ:^CAC,USD,265.87,265.87,265.87,265.87,,0.0
1965-02-19,STOOQ:^CAC,USD,258.46,258.46,258.46,258.46,,0.0
1965-03-05,STOOQ:^CAC,USD,259.22,259.22,259.22,259.22,,0.0
1965-03-12,STOOQ:^CAC,USD,263.59,263.59,263.59,263.59,,0.0
1965-03-19,STOOQ:^CAC,USD,261.43,261.43,261.43,261.43,,0.0
1965-03-26,STOOQ:^CAC,USD,278.58,278.58,278.58,278.58,,0.0
1965-04-02,STOOQ:^CAC,USD,279.65,279.65,279.65,279.65,,0.0
1965-04-09,STOOQ:^CAC,USD,277.54,277.54,277.54,277.54,,0.0
1965-04-14,STOOQ:^CAC,USD,277.06,277.06,277.06,277.06,,0.0
1965-04-23,STOOQ:^CAC,USD,276.83,276.83,276.83,276.83,,0.0
1965-04-30,STOOQ:^CAC,USD,272.22,272.22,272.22,272.22,,0.0
1965-05-07,STOOQ:^CAC,USD,270.39,270.39,270.39,270.39,,0.0
1965-05-14,STOOQ:^CAC,USD,273.94,273.94,273.94,273.94,,0.0
1965-05-21,STOOQ:^CAC,USD,272.56,272.56,272.56,272.56,,0.0
1965-05-28,STOOQ:^CAC,USD,268.35,268.35,268.35,268.35,,0.0
1965-06-04,STOOQ:^CAC,USD,261.84,261.84,261.84,261.84,,0.0
1965-06-11,STOOQ:^CAC,USD,257.79,257.79,257.79,257.79,,0.0
1965-06-18,STOOQ:^CAC,USD,259.94,259.94,259.94,259.94,,0.0
1965-06-25,STOOQ:^CAC,USD,258.56,258.56,258.56,258.56,,0.0
1965-07-02,STOOQ:^CAC,USD,255.66,255.66,255.66,255.66,,0.0
1965-07-09,STOOQ:^CAC,USD,249.35,249.35,249.35,249.35,,0.0
1965-07-16,STOOQ:^CAC,USD,247.88,247.88,247.88,247.88,,0.0
1965-07-23,STOOQ:^CAC,USD,246.1,246.1,246.1,246.1,,0.0
1965-07-30,STOOQ:^CAC,USD,250.17,250.17,250.17,250.17,,0.0
1965-08-06,STOOQ:^CAC,USD,261.88,261.88,261.88,261.88,,0.0
1965-08-13,STOOQ:^CAC,USD,259.1,259.1,259.1,259.1,,0.0
1965-08-20,STOOQ:^CAC,USD,259.69,259.69,259.69,259.69,,0.0
1965-08-27,STOOQ:^CAC,USD,259.46,259.46,259.46,259.46,,0.0
1965-09-03,STOOQ:^CAC,USD,261.02,261.02,261.02,261.02,,0.0
1965-09-10,STOOQ:^CAC,USD,257.75,257.75,257.75,257.75,,0.0
1965-09-17,STOOQ:^CAC,USD,255.7,255.7,255.7,255.7,,0.0
1965-09-24,STOOQ:^CAC,USD,258.69,258.69,258.69,258.69,,0.0
1965-10-01,STOOQ:^CAC,USD,255.27,255.27,255.27,255.27,,0.0
1965-10-08,STOOQ:^CAC,USD,255.51,255.51,255.51,255.51,,0.0
1965-10-15,STOOQ:^CAC,USD,252.27,252.27,252.27,252.27,,0.0
1965-10-22,STOOQ:^CAC,USD,249.52,249.52,249.52,249.52,,0.0
1965-10-29,STOOQ:^CAC,USD,252.26,252.26,252.26,252.26,,0.0
1965-11-05,STOOQ:^CAC,USD,257.79,257.79,257.79,257.79,,0.0
1965-11-12,STOOQ:^CAC,USD,253.65,253.65,253.65,253.65,,0.0
1965-11-19,STOOQ:^CAC,USD,250.47,250.47,250.47,250.47,,0.0
1965-11-26,STOOQ:^CAC,USD,249.36,249.36,249.36,249.36,,0.0
1965-12-03,STOOQ:^CAC,USD,255.9,255.9,255.9,255.9,,0.0
1965-12-10,STOOQ:^CAC,USD,252.66,252.66,252.66,252.66,,0.0
1965-12-17,STOOQ:^CAC,USD,258.15,258.15,258.15,258.15,,0.0
1965-12-24,STOOQ:^CAC,USD,257.07,257.07,257.07,257.07,,0.0
1965-12-31,STOOQ:^CAC,USD,259.42,259.42,259.42,259.42,,0.0
1966-01-07,STOOQ:^CAC,USD,268.37,268.37,268.37,268.37,,0.0
1966-01-14,STOOQ:^CAC,USD,278.49,278.49,278.49,278.49,,0.0
1966-01-20,STOOQ:^CAC,USD,280.56,280.56,280.56,280.56,,0.0
1966-01-28,STOOQ:^CAC,USD,285.81,285.81,285.81,285.81,,0.0
1966-02-04,STOOQ:^CAC,USD,280.66,280.66,280.66,280.66,,0.0
1966-02-11,STOOQ:^CAC,USD,280.88,280.88,280.88,280.88,,0.0
1966-02-18,STOOQ:^CAC,USD,282.4,282.4,282.4,282.4,,0.0
1966-02-25,STOOQ:^CAC,USD,280.22,280.22,280.22,280.22,,0.0
