date,secid,currency,close,open,low,high,volume,capitalization
1995-10-23,STOOQ:cnyrub,USD,0.5408,0.5408,0.5408,0.5408,0.0,0.0
1995-10-24,STOOQ:cnyrub,USD,0.5407,0.5407,0.5407,0.5407,0.0,0.0
1995-10-25,STOOQ:cnyrub,USD,0.5407,0.5407,0.5407,0.5407,0.0,0.0
1995-10-26,STOOQ:cnyrub,USD,0.5409,0.5409,0.5409,0.5409,0.0,0.0
1995-10-27,STOOQ:cnyrub,USD,0.5415,0.5415,0.5415,0.5415,0.0,0.0
1995-10-30,STOOQ:cnyrub,USD,0.5408,0.5408,0.5408,0.5408,0.0,0.0
1995-10-31,STOOQ:cnyrub,USD,0.5408,0.5408,0.5408,0.5408,0.0,0.0
1995-11-02,STOOQ:cnyrub,USD,0.5428,0.5428,0.5428,0.5428,0.0,0.0
1995-11-03,STOOQ:cnyrub,USD,0.5429,0.5429,0.5429,0.5429,0.0,0.0
1995-11-06,STOOQ:cnyrub,USD,0.543,0.543,0.543,0.543,0.0,0.0
1995-11-07,STOOQ:cnyrub,USD,0.5431,0.5431,0.5431,0.5431,0.0,0.0
1995-11-08,STOOQ:cnyrub,USD,0.5422,0.5422,0.5422,0.5422,0.0,0.0
1995-11-09,STOOQ:cnyrub,USD,0.5423,0.5423,0.5423,0.5423,0.0,0.0
1995-11-10,STOOQ:cnyrub,USD,0.5424,0.5424,0.5424,0.5424,0.0,0.0
1995-11-13,STOOQ:cnyrub,USD,0.5436,0.5436,0.5436,0.5436,0.0,0.0
1995-11-14,STOOQ:cnyrub,USD,0.5449,0.5449,0.5449,0.5449,0.0,0.0
1995-11-15,STOOQ:cnyrub,USD,0.5444,0.5444,0.5444,0.5444,0.0,0.0
1995-11-16,STOOQ:cnyrub,USD,0.5436,0.5436,0.5436,0.5436,0.0,0.0
1995-11-17,STOOQ:cnyrub,USD,0.5467,0.5467,0.5467,0.5467,0.0,0.0
1995-11-20,STOOQ:cnyrub,USD,0.5488,0.5488,0.5488,0.5488,0.0,0.0
1995-11-21,STOOQ:cnyrub,USD,0.5471,0.5471,0.5471,0.5471,0.0,0.0
1995-11-22,STOOQ:cnyrub,USD,0.5496,0.5496,0.5496,0.5496,0.0,0.0
1995-11-23,STOOQ:cnyrub,USD,0.549,0.549,0.549,0.549,0.0,0.0
1995-11-24,STOOQ:cnyrub,USD,0.5488,0.5488,0.5488,0.5488,0.0,0.0
1995-11-27,STOOQ:cnyrub,USD,0.5489,0.5489,0.5489,0.5489,0.0,0.0
1995-11-28,STOOQ:cnyrub,USD,0.5501,0.5501,0.5501,0.5501,0.0,0.0
1995-11-29,STOOQ:cnyrub,USD,0.5491,0.5491,0.5491,0.5491,0.0,0.0
1995-11-30,STOOQ:cnyrub,USD,0.5473,0.5473,0.5473,0.5473,0.0,0.0
1995-12-01,STOOQ:cnyrub,USD,0.552,0.552,0.552,0.552,0.0,0.0
