date,secid,currency,close,open,low,high,volume,capitalization
1994-01-03,STOOQ:^CRY,USD,113.94,113.94,113.94,113.94,0.0,0.0
1994-01-04,STOOQ:^CRY,USD,114.17,114.17,114.17,114.17,0.0,0.0
1994-01-05,STOOQ:^CRY,USD,116.27,116.27,116.27,116.27,0.0,0.0
1994-01-06,STOOQ:^CRY,USD,116.51,116.51,116.51,116.51,0.0,0.0
1994-01-07,STOOQ:^CRY,USD,116.3,116.3,116.3,116.3,0.0,0.0
1994-01-10,STOOQ:^CRY,USD,114.86,114.86,114.86,114.86,0.0,0.0
1994-01-11,STOOQ:^CRY,USD,115.73,115.73,115.73,115.73,0.0,0.0
1994-01-12,STOOQ:^CRY,USD,114.94,114.94,114.94,114.94,0.0,0.0
1994-01-13,STOOQ:^CRY,USD,115.76,115.76,115.76,115.76,0.0,0.0
1994-01-14,STOOQ:^CRY,USD,117.19,117.19,117.19,117.19,0.0,0.0
1994-01-17,STOOQ:^CRY,USD,117.5,117.5,117.5,117.5,0.0,0.0
1994-01-18,STOOQ:^CRY,USD,116.85,116.85,116.85,116.85,0.0,0.0
1994-01-19,STOOQ:^CRY,USD,116.54,116.54,116.54,116.54,0.0,0.0
1994-01-20,STOOQ:^CRY,USD,116.03,116.03,116.03,116.03,0.0,0.0
1994-01-21,STOOQ:^CRY,USD,116.21,116.21,116.21,116.21,0.0,0.0
1994-01-24,STOOQ:^CRY,USD,117.37,117.37,117.37,117.37,0.0,0.0
1994-01-25,STOOQ:^CRY,USD,117.32,117.32,117.32,117.32,0.0,0.0
1994-01-26,STOOQ:^CRY,USD,118.67,118.67,118.67,118.67,0.0,0.0
1994-01-27,STOOQ:^CRY,USD,118.64,118.64,118.64,118.64,0.0,0.0
1994-01-28,STOOQ:^CRY,USD,118.72,118.72,118.72,118.72,0.0,0.0
1994-01-31,STOOQ:^CRY,USD,118.52,118.52,118.52,118.52,0.0,0.0
1994-02-01,STOOQ:^CRY,USD,120.8,120.8,120.8,120.8,0.0,0.0
1994-02-02,STOOQ:^CRY,USD,121.32,121.32,121.32,121.32,0.0,0.0
1994-02-03,STOOQ:^CRY,USD,120.97,120.97,120.97,120.97,0.0,0.0
1994-02-04,STOOQ:^CRY,USD,120.22,120.22,120.22,120.22,0.0,0.0
1994-02-07,STOOQ:^CRY,USD,119.2,119.2,119.2,119.2,0.0,0.0
1994-02-08,STOOQ:^CRY,USD,119.53,119.53,119.53,119.53,0.0,0.0
1994-02-09,STOOQ:^CRY,USD,118.33,118.33,118.33,118.33,0.0,0.0
1994-02-10,STOOQ:^CRY,USD,118.14,118.14,118.14,118.14,0.0,0.0
1994-02-11,STOOQ:^CRY,USD,118.32,118.32,118.32,118.32,0.0,0.0
1994-02-14,STOOQ:^CRY,USD,116.99,116.99,116.99,116.99,0.0,0.0
1994-02-15,STOOQ:^CRY,USD,116.82,116.82,116.82,116.82,0.0,0.0
1994-02-16,STOOQ:^CRY,USD,116.75,116.75,116.75,116.75,0.0,0.0
1994-02-17,STOOQ:^CRY,USD,117.3,117.3,117.3,117.3,0.0,0.0
1994-02-18,STOOQ:^CRY,USD,117.51,117.51,117.51,117.51,0.0,0.0
1994-02-22,STOOQ:^CRY,USD,118.05,118.05,118.05,118.05,0.0,0.0
1994-02-23,STOOQ:^CRY,USD,117.96,117.96,117.96,117.96,0.0,0.0
1994-02-24,STOOQ:^CRY,USD,119.06,119.06,119.06,119.06,0.0,0.0
1994-02-25,STOOQ:^CRY,USD,118.56,118.56,118.56,118.56,0.0,0.0
1994-02-28,STOOQ:^CRY,USD,118.03,118.03,118.03,118.03,0.0,0.0
1994-03-01,STOOQ:^CRY,USD,118.28,118.28,118.28,118.28,0.0,0.0
1994-03-02,STOOQ:^CRY,USD,118.04,118.04,118.04,118.04,0.0,0.0
1994-03-03,STOOQ:^CRY,USD,117.66,117.66,117.66,117.66,0.0,0.0
1994-03-04,STOOQ:^CRY,USD,118.11,118.11,118.11,118.11,0.0,0.0
1994-03-07,STOOQ:^CRY,USD,116.93,116.93,116.93,116.93,0.0,0.0
1994-03-08,STOOQ:^CRY,USD,116.72,116.72,116.72,116.72,0.0,0.0
1994-03-09,STOOQ:^CRY,USD,116.97,116.97,116.97,116.97,0.0,0.0
1994-03-10,STOOQ:^CRY,USD,117.13,117.13,117.13,117.13,0.0,0.0
1994-03-11,STOOQ:^CRY,USD,118.03,118.03,118.03,118.03,0.0,0.0
1994-03-14,STOOQ:^CRY,USD,118.65,118.65,118.65,118.65,0.0,0.0
1994-03-15,STOOQ:^CRY,USD,119.48,119.48,119.48,119.48,0.0,0.0
1994-03-16,STOOQ:^CRY,USD,120.49,120.49,120.49,120.49,0.0,0.0
1994-03-17,STOOQ:^CRY,USD,119.61,119.61,119.61,119.61,0.0,0.0
1994-03-18,STOOQ:^CRY,USD,119.88,119.88,119.88,119.88,0.0,0.0
1994-03-21,STOOQ:^CRY,USD,120.2,120.2,120.2,120.2,0.0,0.0
1994-03-22,STOOQ:^CRY,USD,120.46,120.46,120.46,120.46,0.0,0.0
1994-03-23,STOOQ:^CRY,USD,120.08,120.08,120.08,120.08,0.0,0.0
