date,secid,currency,close,open,low,high,volume,capitalization
1959-09-28,STOOQ:^DAX,USD,371.93,371.93,371.93,371.93,,0.0
1959-09-29,STOOQ:^DAX,USD,374.75,374.75,374.75,374.75,,0.0
1959-09-30,STOOQ:^DAX,USD,375.31,375.31,375.31,375.31,,0.0
1959-10-01,STOOQ:^DAX,USD,366.2,366.2,366.2,366.2,,0.0
1959-10-02,STOOQ:^DAX,USD,362.03,362.03,362.03,362.03,,0.0
1959-10-05,STOOQ:^DAX,USD,352.03,352.03,352.03,352.03,,0.0
1959-10-06,STOOQ:^DAX,USD,347.45,347.45,347.45,347.45,,0.0
1959-10-07,STOOQ:^DAX,USD,349.5,349.5,349.5,349.5,,0.0
1959-10-08,STOOQ:^DAX,USD,355.93,355.93,355.93,355.93,,0.0
1959-10-09,STOOQ:^DAX,USD,358.05,358.05,358.05,358.05,,0.0
1959-10-12,STOOQ:^DAX,USD,348.64,348.64,348.64,348.64,,0.0
1959-10-13,STOOQ:^DAX,USD,344.63,344.63,344.63,344.63,,0.0
1959-10-14,STOOQ:^DAX,USD,344.81,344.81,344.81,344.81,,0.0
1959-10-16,STOOQ:^DAX,USD,337.41,337.41,337.41,337.41,,0.0
1959-10-19,STOOQ:^DAX,USD,328.49,328.49,328.49,328.49,,0.0
1959-10-20,STOOQ:^DAX,USD,333.32,333.32,333.32,333.32,,0.0
1959-10-21,STOOQ:^DAX,USD,351.92,351.92,351.92,351.92,,0.0
1959-10-22,STOOQ:^DAX,USD,354.74,354.74,354.74,354.74,,0.0
1959-10-23,STOOQ:^DAX,USD,357.05,357.05,357.05,357.05,,0.0
1959-10-26,STOOQ:^DAX,USD,364.01,364.01,364.01,364.01,,0.0
1959-10-27,STOOQ:^DAX,USD,362.93,362.93,362.93,362.93,,0.0
1959-10-28,STOOQ:^DAX,USD,359.54,359.54,359.54,359.54,,0.0
1959-10-29,STOOQ:^DAX,USD,361.02,361.02,361.02,361.02,,0.0
1959-10-30,STOOQ:^DAX,USD,369.58,369.58,369.58,369.58,,0.0
1959-11-02,STOOQ:^DAX,USD,364.9,364.9,364.9,364.9,,0.0
1959-11-03,STOOQ:^DAX,USD,369.03,369.03,369.03,369.03,,0.0
1959-11-04,STOOQ:^DAX,USD,372.63,372.63,372.63,372.63,,0.0
1959-11-05,STOOQ:^DAX,USD,372.08,372.08,372.08,372.08,,0.0
1959-11-06,STOOQ:^DAX,USD,372.22,372.22,372.22,372.22,,0.0
1959-11-09,STOOQ:^DAX,USD,374.64,374.64,374.64,374.64,,0.0
1959-11-10,STOOQ:^DAX,USD,377.69,377.69,377.69,377.69,,0.0
1959-11-12,STOOQ:^DAX,USD,377.66,377.66,377.66,377.66,,0.0
