date,secid,currency,close,open,low,high,volume,capitalization
1918-01-02,STOOQ:^DJI,USD,76.68,76.68,76.68,76.68,,0.0
1918-01-03,STOOQ:^DJI,USD,76.18,76.18,76.18,76.18,,0.0
1918-01-04,STOOQ:^DJI,USD,75.56,75.56,75.56,75.56,,0.0
1918-01-07,STOOQ:^DJI,USD,74.86,74.86,74.86,74.86,,0.0
1918-01-08,STOOQ:^DJI,USD,74.63,74.63,74.63,74.63,,0.0
1918-01-09,STOOQ:^DJI,USD,75.61,75.61,75.61,75.61,,0.0
1918-01-10,STOOQ:^DJI,USD,76.33,76.33,76.33,76.33,,0.0
1918-01-11,STOOQ:^DJI,USD,75.0,75.0,75.0,75.0,,0.0
1918-01-14,STOOQ:^DJI,USD,73.48,73.48,73.48,73.48,,0.0
1918-01-15,STOOQ:^DJI,USD,73.38,73.38,73.38,73.38,,0.0
1918-01-16,STOOQ:^DJI,USD,74.6,74.6,74.6,74.6,,0.0
1918-01-17,STOOQ:^DJI,USD,74.48,74.48,74.48,74.48,,0.0
1918-01-18,STOOQ:^DJI,USD,74.55,74.55,74.55,74.55,,0.0
1918-01-21,STOOQ:^DJI,USD,76.11,76.11,76.11,76.11,,0.0
1918-01-22,STOOQ:^DJI,USD,75.75,75.75,75.75,75.75,,0.0
1918-01-23,STOOQ:^DJI,USD,75.43,75.43,75.43,75.43,,0.0
1918-01-24,STOOQ:^DJI,USD,75.92,75.92,75.92,75.92,,0.0
1918-01-25,STOOQ:^DJI,USD,76.5,76.5,76.5,76.5,,0.0
1918-01-29,STOOQ:^DJI,USD,77.13,77.13,77.13,77.13,,0.0
1918-01-30,STOOQ:^DJI,USD,76.98,76.98,76.98,76.98,,0.0
1918-01-31,STOOQ:^DJI,USD,79.8,79.8,79.8,79.8,,0.0
1918-02-01,STOOQ:^DJI,USD,79.28,79.28,79.28,79.28,,0.0
1918-02-05,STOOQ:^DJI,USD,79.28,79.28,79.28,79.28,,0.0
1918-02-06,STOOQ:^DJI,USD,78.93,78.93,78.93,78.93,,0.0
1918-02-07,STOOQ:^DJI,USD,77.78,77.78,77.78,77.78,,0.0
1918-02-08,STOOQ:^DJI,USD,78.44,78.44,78.44,78.44,,0.0
1918-02-13,STOOQ:^DJI,USD,78.73,78.73,78.73,78.73,,0.0
1918-02-14,STOOQ:^DJI,USD,78.71,78.71,78.71,78.71,,0.0
1918-02-15,STOOQ:^DJI,USD,79.96,79.96,79.96,79.96,,0.0
1918-02-18,STOOQ:^DJI,USD,81.53,81.53,81.53,81.53,,0.0
1918-02-19,STOOQ:^DJI,USD,82.08,82.08,82.08,82.08,,0.0
1918-02-20,STOOQ:^DJI,USD,81.28,81.28,81.28,81.28,,0.0
1918-02-21,STOOQ:^DJI,USD,80.53,80.53,80.53,80.53,,0.0
1918-02-25,STOOQ:^DJI,USD,79.17,79.17,79.17,79.17,,0.0
1918-02-26,STOOQ:^DJI,USD,80.65,80.65,80.65,80.65,,0.0
1918-02-27,STOOQ:^DJI,USD,80.5,80.5,80.5,80.5,,0.0
