date,secid,currency,close,open,low,high,volume,capitalization
1954-01-04,STOOQ:^DJT,USD,95.5,94.1,94.1,95.5,19650.0,0.0
1954-01-05,STOOQ:^DJT,USD,96.4,95.7,95.7,96.8,22800.0,0.0
1954-01-06,STOOQ:^DJT,USD,96.4,96.4,96.1,96.9,21900.0,0.0
1954-01-07,STOOQ:^DJT,USD,96.1,96.4,95.8,97.0,23100.0,0.0
1954-01-08,STOOQ:^DJT,USD,95.1,95.9,95.0,95.9,18900.0,0.0
1954-01-11,STOOQ:^DJT,USD,94.8,95.1,94.4,95.4,18300.0,0.0
1954-01-12,STOOQ:^DJT,USD,95.9,94.8,94.8,96.1,18750.0,0.0
1954-01-13,STOOQ:^DJT,USD,96.5,96.1,96.1,97.1,21300.0,0.0
1954-01-14,STOOQ:^DJT,USD,97.0,96.5,96.4,97.4,22950.0,0.0
1954-01-15,STOOQ:^DJT,USD,98.1,97.0,96.9,98.6,32700.0,0.0
1954-01-18,STOOQ:^DJT,USD,98.1,98.1,97.7,98.5,23700.0,0.0
1954-01-19,STOOQ:^DJT,USD,99.4,98.1,97.9,99.6,27600.0,0.0
1954-01-20,STOOQ:^DJT,USD,99.7,99.4,99.2,100.5,29400.0,0.0
1954-01-21,STOOQ:^DJT,USD,99.4,99.7,99.0,100.0,26700.0,0.0
1954-01-22,STOOQ:^DJT,USD,100.3,99.4,99.2,100.7,28350.0,0.0
1954-01-25,STOOQ:^DJT,USD,100.4,100.3,100.0,101.0,27900.0,0.0
1954-01-26,STOOQ:^DJT,USD,101.3,100.4,100.3,101.6,31800.0,0.0
1954-01-27,STOOQ:^DJT,USD,100.7,101.3,100.5,101.8,30300.0,0.0
1954-01-28,STOOQ:^DJT,USD,100.7,100.7,100.0,100.9,25950.0,0.0
1954-01-29,STOOQ:^DJT,USD,101.8,100.7,100.5,102.2,29250.0,0.0
1954-02-01,STOOQ:^DJT,USD,101.5,101.8,101.2,102.5,26100.0,0.0
1954-02-02,STOOQ:^DJT,USD,101.0,101.5,100.5,101.7,21300.0,0.0
1954-02-03,STOOQ:^DJT,USD,102.1,101.0,101.0,102.4,25350.0,0.0
1954-02-04,STOOQ:^DJT,USD,103.0,102.4,102.4,103.4,30600.0,0.0
1954-02-05,STOOQ:^DJT,USD,103.4,103.0,102.9,104.0,30450.0,0.0
1954-02-08,STOOQ:^DJT,USD,103.1,103.4,102.7,103.6,32700.0,0.0
1954-02-09,STOOQ:^DJT,USD,102.6,103.1,102.2,103.2,28200.0,0.0
1954-02-10,STOOQ:^DJT,USD,103.1,102.6,102.3,103.6,26850.0,0.0
1954-02-11,STOOQ:^DJT,USD,103.2,103.1,102.9,104.1,27900.0,0.0
1954-02-12,STOOQ:^DJT,USD,103.5,103.2,102.9,104.1,25950.0,0.0
1954-02-15,STOOQ:^DJT,USD,103.3,103.5,103.1,104.5,31200.0,0.0
1954-02-16,STOOQ:^DJT,USD,101.9,102.9,101.6,102.9,28050.0,0.0
1954-02-17,STOOQ:^DJT,USD,102.5,101.9,101.1,103.0,26100.0,0.0
1954-02-18,STOOQ:^DJT,USD,102.6,102.5,102.3,103.3,22500.0,0.0
1954-02-19,STOOQ:^DJT,USD,102.4,102.6,101.9,102.9,22650.0,0.0
1954-02-23,STOOQ:^DJT,USD,101.7,102.4,101.4,102.5,22050.0,0.0
1954-02-24,STOOQ:^DJT,USD,101.3,101.7,100.9,101.7,20250.0,0.0
1954-02-25,STOOQ:^DJT,USD,101.9,101.3,101.2,102.2,22050.0,0.0
1954-02-26,STOOQ:^DJT,USD,102.2,101.9,101.7,102.7,28650.0,0.0
1954-03-01,STOOQ:^DJT,USD,102.0,102.2,101.6,102.5,30600.0,0.0
1954-03-02,STOOQ:^DJT,USD,102.1,102.0,101.4,102.5,29700.0,0.0
1954-03-03,STOOQ:^DJT,USD,101.6,102.1,100.9,102.6,33600.0,0.0
1954-03-04,STOOQ:^DJT,USD,102.5,101.6,101.2,103.1,27450.0,0.0
1954-03-05,STOOQ:^DJT,USD,103.0,102.5,102.2,103.6,30450.0,0.0
1954-03-08,STOOQ:^DJT,USD,102.4,103.0,102.1,103.4,24750.0,0.0
1954-03-09,STOOQ:^DJT,USD,102.3,102.4,101.7,102.5,24450.0,0.0
1954-03-10,STOOQ:^DJT,USD,102.1,102.3,101.6,102.5,28050.0,0.0
1954-03-11,STOOQ:^DJT,USD,102.1,102.1,101.7,102.9,30750.0,0.0
1954-03-12,STOOQ:^DJT,USD,101.5,102.1,101.2,102.4,29700.0,0.0
1954-03-15,STOOQ:^DJT,USD,101.1,101.5,100.5,101.6,25200.0,0.0
1954-03-16,STOOQ:^DJT,USD,101.0,101.1,100.7,101.9,23100.0,0.0
1954-03-17,STOOQ:^DJT,USD,101.7,101.0,100.5,101.9,26100.0,0.0
1954-03-18,STOOQ:^DJT,USD,102.1,101.7,101.6,102.6,30300.0,0.0
1954-03-19,STOOQ:^DJT,USD,102.3,102.1,102.0,102.9,28950.0,0.0
1954-03-22,STOOQ:^DJT,USD,102.1,102.3,101.6,102.5,27000.0,0.0
1954-03-23,STOOQ:^DJT,USD,100.8,102.1,100.5,102.2,32700.0,0.0
1954-03-24,STOOQ:^DJT,USD,100.1,100.8,99.5,100.8,28500.0,0.0
1954-03-25,STOOQ:^DJT,USD,99.4,100.0,98.8,100.0,25800.0,0.0
1954-03-26,STOOQ:^DJT,USD,99.5,99.4,98.2,100.0,23250.0,0.0
