date,secid,currency,close,open,low,high,volume,capitalization
1954-01-04,STOOQ:^DJU,USD,52.22,52.04,51.86,52.41,20153.0,0.0
1954-01-05,STOOQ:^DJU,USD,52.52,52.22,52.11,52.57,23384.0,0.0
1954-01-06,STOOQ:^DJU,USD,52.48,52.52,52.34,52.53,22461.0,0.0
1954-01-07,STOOQ:^DJU,USD,52.47,52.48,52.26,52.64,23692.0,0.0
1954-01-08,STOOQ:^DJU,USD,52.55,52.47,52.29,52.66,19384.0,0.0
1954-01-11,STOOQ:^DJU,USD,52.57,52.55,52.44,52.73,18769.0,0.0
1954-01-12,STOOQ:^DJU,USD,52.8,52.57,52.5,52.93,19230.0,0.0
1954-01-13,STOOQ:^DJU,USD,53.06,52.8,52.78,53.22,21846.0,0.0
1954-01-14,STOOQ:^DJU,USD,53.34,53.06,53.05,53.49,23538.0,0.0
1954-01-15,STOOQ:^DJU,USD,53.54,53.34,53.18,53.72,33538.0,0.0
1954-01-18,STOOQ:^DJU,USD,53.74,53.54,53.52,53.91,24307.0,0.0
1954-01-19,STOOQ:^DJU,USD,53.67,53.74,53.43,53.87,28307.0,0.0
1954-01-20,STOOQ:^DJU,USD,53.73,53.67,53.56,53.94,30153.0,0.0
1954-01-21,STOOQ:^DJU,USD,53.67,53.73,53.51,53.82,27384.0,0.0
1954-01-22,STOOQ:^DJU,USD,53.88,53.67,53.52,54.03,29076.0,0.0
1954-01-25,STOOQ:^DJU,USD,53.88,53.88,53.65,54.13,28615.0,0.0
1954-01-26,STOOQ:^DJU,USD,54.09,53.88,53.86,54.16,32615.0,0.0
1954-01-27,STOOQ:^DJU,USD,54.07,54.09,53.95,54.29,31076.0,0.0
1954-01-28,STOOQ:^DJU,USD,54.13,54.07,53.93,54.19,26615.0,0.0
1954-01-29,STOOQ:^DJU,USD,54.09,54.13,53.95,54.16,30000.0,0.0
1954-02-01,STOOQ:^DJU,USD,54.11,54.09,53.9,54.21,26769.0,0.0
1954-02-02,STOOQ:^DJU,USD,54.21,54.11,53.94,54.33,21846.0,0.0
1954-02-03,STOOQ:^DJU,USD,54.24,54.21,53.98,54.42,26000.0,0.0
1954-02-04,STOOQ:^DJU,USD,54.38,54.24,54.15,54.56,31384.0,0.0
1954-02-05,STOOQ:^DJU,USD,54.49,54.38,54.28,54.67,31230.0,0.0
1954-02-08,STOOQ:^DJU,USD,54.42,54.49,54.32,54.64,33538.0,0.0
1954-02-09,STOOQ:^DJU,USD,54.41,54.42,54.21,54.7,28923.0,0.0
1954-02-10,STOOQ:^DJU,USD,54.47,54.41,54.25,54.59,27538.0,0.0
1954-02-11,STOOQ:^DJU,USD,54.52,54.47,54.32,54.66,28615.0,0.0
1954-02-12,STOOQ:^DJU,USD,54.58,54.52,54.47,54.67,26615.0,0.0
1954-02-15,STOOQ:^DJU,USD,54.55,54.58,54.34,54.71,32000.0,0.0
1954-02-16,STOOQ:^DJU,USD,54.36,54.55,54.22,54.58,28769.0,0.0
1954-02-17,STOOQ:^DJU,USD,54.23,54.35,53.91,54.35,26769.0,0.0
1954-02-18,STOOQ:^DJU,USD,54.32,54.23,54.12,54.4,23076.0,0.0
1954-02-19,STOOQ:^DJU,USD,54.39,54.32,54.18,54.53,23230.0,0.0
1954-02-23,STOOQ:^DJU,USD,54.33,54.39,54.12,54.47,22615.0,0.0
1954-02-24,STOOQ:^DJU,USD,54.3,54.33,54.13,54.43,20769.0,0.0
1954-02-25,STOOQ:^DJU,USD,54.46,54.3,54.14,54.59,22615.0,0.0
1954-02-26,STOOQ:^DJU,USD,54.67,54.46,54.36,54.82,29384.0,0.0
1954-03-01,STOOQ:^DJU,USD,54.7,54.67,54.44,54.95,31384.0,0.0
1954-03-02,STOOQ:^DJU,USD,54.71,54.7,54.43,54.81,30461.0,0.0
1954-03-03,STOOQ:^DJU,USD,54.81,54.71,54.7,55.0,34461.0,0.0
1954-03-04,STOOQ:^DJU,USD,54.74,54.81,54.55,54.83,28153.0,0.0
1954-03-05,STOOQ:^DJU,USD,54.92,54.74,54.54,55.09,31230.0,0.0
1954-03-08,STOOQ:^DJU,USD,55.18,54.92,54.83,55.25,25384.0,0.0
1954-03-09,STOOQ:^DJU,USD,55.26,55.18,54.92,55.32,25076.0,0.0
1954-03-10,STOOQ:^DJU,USD,55.53,55.26,55.22,55.61,28769.0,0.0
1954-03-11,STOOQ:^DJU,USD,55.83,55.57,55.57,55.98,31538.0,0.0
1954-03-12,STOOQ:^DJU,USD,55.91,55.83,55.74,56.08,30461.0,0.0
1954-03-15,STOOQ:^DJU,USD,55.84,55.91,55.64,56.02,25846.0,0.0
1954-03-16,STOOQ:^DJU,USD,55.68,55.84,55.56,55.94,23692.0,0.0
1954-03-17,STOOQ:^DJU,USD,55.87,55.68,55.49,55.92,26769.0,0.0
1954-03-18,STOOQ:^DJU,USD,55.98,55.87,55.8,56.16,31076.0,0.0
1954-03-19,STOOQ:^DJU,USD,56.35,55.99,55.99,56.53,29692.0,0.0
1954-03-22,STOOQ:^DJU,USD,56.48,56.35,56.15,56.61,27692.0,0.0
1954-03-23,STOOQ:^DJU,USD,56.29,56.48,56.21,56.65,33538.0,0.0
1954-03-24,STOOQ:^DJU,USD,55.98,56.22,55.82,56.22,29230.0,0.0
1954-03-25,STOOQ:^DJU,USD,55.87,55.98,55.64,56.07,26461.0,0.0
1954-03-26,STOOQ:^DJU,USD,55.95,55.87,55.71,56.19,23846.0,0.0
1954-03-29,STOOQ:^DJU,USD,56.01,55.95,55.84,56.18,28769.0,0.0
1954-03-30,STOOQ:^DJU,USD,55.85,56.01,55.69,56.07,32769.0,0.0
1954-03-31,STOOQ:^DJU,USD,55.99,55.85,55.82,56.18,41384.0,0.0
1954-04-01,STOOQ:^DJU,USD,56.19,55.99,55.92,56.23,34923.0,0.0
1954-04-02,STOOQ:^DJU,USD,56.26,56.19,56.11,56.39,28153.0,0.0
1954-04-05,STOOQ:^DJU,USD,56.2,56.26,56.04,56.41,26307.0,0.0
1954-04-06,STOOQ:^DJU,USD,56.05,56.2,55.92,56.39,32615.0,0.0
1954-04-07,STOOQ:^DJU,USD,56.12,56.05,55.92,56.33,28153.0,0.0
1954-04-08,STOOQ:^DJU,USD,56.43,56.21,56.21,56.66,35384.0,0.0
1954-04-09,STOOQ:^DJU,USD,56.45,56.43,56.29,56.61,36307.0,0.0
1954-04-12,STOOQ:^DJU,USD,56.49,56.45,56.4,56.65,27538.0,0.0
1954-04-13,STOOQ:^DJU,USD,56.54,56.49,56.41,56.75,31076.0,0.0
1954-04-14,STOOQ:^DJU,USD,56.79,56.54,56.45,56.95,35846.0,0.0
1954-04-15,STOOQ:^DJU,USD,56.78,56.79,56.5,57.04,33846.0,0.0
