date,secid,currency,close,open,low,high,volume,capitalization
1995-10-23,STOOQ:eurrub,USD,5.9117,5.9117,5.9117,5.9117,0.0,0.0
1995-10-24,STOOQ:eurrub,USD,5.9056,5.9056,5.9056,5.9056,0.0,0.0
1995-10-25,STOOQ:eurrub,USD,5.8885,5.8885,5.8885,5.8885,0.0,0.0
1995-10-26,STOOQ:eurrub,USD,5.8727,5.8727,5.8727,5.8727,0.0,0.0
1995-10-27,STOOQ:eurrub,USD,5.9389,5.9389,5.9389,5.9389,0.0,0.0
1995-10-30,STOOQ:eurrub,USD,5.8676,5.8676,5.8676,5.8676,0.0,0.0
1995-10-31,STOOQ:eurrub,USD,5.8629,5.8629,5.8629,5.8629,0.0,0.0
1995-11-02,STOOQ:eurrub,USD,5.8442,5.8442,5.8442,5.8442,0.0,0.0
1995-11-03,STOOQ:eurrub,USD,5.8381,5.8381,5.8381,5.8381,0.0,0.0
1995-11-06,STOOQ:eurrub,USD,5.8643,5.8643,5.8643,5.8643,0.0,0.0
1995-11-07,STOOQ:eurrub,USD,5.8581,5.8581,5.8581,5.8581,0.0,0.0
1995-11-08,STOOQ:eurrub,USD,5.864,5.864,5.864,5.864,0.0,0.0
1995-11-09,STOOQ:eurrub,USD,5.8378,5.8378,5.8378,5.8378,0.0,0.0
1995-11-10,STOOQ:eurrub,USD,5.855,5.855,5.855,5.855,0.0,0.0
1995-11-13,STOOQ:eurrub,USD,5.8829,5.8829,5.8829,5.8829,0.0,0.0
1995-11-14,STOOQ:eurrub,USD,5.8679,5.8679,5.8679,5.8679,0.0,0.0
1995-11-15,STOOQ:eurrub,USD,5.9191,5.9191,5.9191,5.9191,0.0,0.0
1995-11-16,STOOQ:eurrub,USD,5.889,5.889,5.889,5.889,0.0,0.0
1995-11-17,STOOQ:eurrub,USD,5.945,5.945,5.945,5.945,0.0,0.0
1995-11-20,STOOQ:eurrub,USD,5.933,5.933,5.933,5.933,0.0,0.0
1995-11-21,STOOQ:eurrub,USD,5.931,5.931,5.931,5.931,0.0,0.0
1995-11-22,STOOQ:eurrub,USD,5.95,5.95,5.95,5.95,0.0,0.0
1995-11-23,STOOQ:eurrub,USD,5.953,5.953,5.953,5.953,0.0,0.0
1995-11-24,STOOQ:eurrub,USD,5.95,5.95,5.95,5.95,0.0,0.0
1995-11-27,STOOQ:eurrub,USD,5.922,5.922,5.922,5.922,0.0,0.0
1995-11-28,STOOQ:eurrub,USD,5.918,5.918,5.918,5.918,0.0,0.0
1995-11-29,STOOQ:eurrub,USD,5.902,5.902,5.902,5.902,0.0,0.0
1995-11-30,STOOQ:eurrub,USD,5.86,5.86,5.86,5.86,0.0,0.0
1995-12-01,STOOQ:eurrub,USD,5.852,5.852,5.852,5.852,0.0,0.0
1995-12-04,STOOQ:eurrub,USD,5.862,5.862,5.862,5.862,0.0,0.0
1995-12-05,STOOQ:eurrub,USD,5.883,5.883,5.883,5.883,0.0,0.0
1995-12-06,STOOQ:eurrub,USD,5.881,5.881,5.881,5.881,0.0,0.0
1995-12-07,STOOQ:eurrub,USD,5.866,5.866,5.866,5.866,0.0,0.0
1995-12-08,STOOQ:eurrub,USD,5.832,5.832,5.832,5.832,0.0,0.0
1995-12-09,STOOQ:eurrub,USD,5.83,5.83,5.83,5.83,0.0,0.0
1995-12-13,STOOQ:eurrub,USD,5.845,5.845,5.845,5.845,0.0,0.0
1995-12-14,STOOQ:eurrub,USD,5.873,5.873,5.873,5.873,0.0,0.0
1995-12-15,STOOQ:eurrub,USD,5.897,5.897,5.897,5.897,0.0,0.0
