date,secid,currency,close,open,low,high,volume,capitalization
1985-12-31,STOOQ:^FTM,USD,1412.6,1412.6,1412.6,1412.6,,0.0
1986-01-02,STOOQ:^FTM,USD,1417.26,1417.26,1417.26,1417.26,,0.0
1986-01-03,STOOQ:^FTM,USD,1424.61,1424.61,1424.61,1424.61,,0.0
1986-01-06,STOOQ:^FTM,USD,1430.96,1430.96,1430.96,1430.96,,0.0
1986-01-07,STOOQ:^FTM,USD,1421.22,1421.22,1421.22,1421.22,,0.0
1986-01-08,STOOQ:^FTM,USD,1408.79,1408.79,1408.79,1408.79,,0.0
1986-01-09,STOOQ:^FTM,USD,1389.15,1389.15,1389.15,1389.15,,0.0
1986-01-10,STOOQ:^FTM,USD,1395.65,1395.65,1395.65,1395.65,,0.0
1986-01-13,STOOQ:^FTM,USD,1397.34,1397.34,1397.34,1397.34,,0.0
1986-01-14,STOOQ:^FTM,USD,1380.96,1380.96,1380.96,1380.96,,0.0
1986-01-15,STOOQ:^FTM,USD,1384.49,1384.49,1384.49,1384.49,,0.0
1986-01-16,STOOQ:^FTM,USD,1391.69,1391.69,1391.69,1391.69,,0.0
1986-01-17,STOOQ:^FTM,USD,1395.65,1395.65,1395.65,1395.65,,0.0
1986-01-20,STOOQ:^FTM,USD,1391.13,1391.13,1391.13,1391.13,,0.0
1986-01-21,STOOQ:^FTM,USD,1379.4,1379.4,1379.4,1379.4,,0.0
1986-01-22,STOOQ:^FTM,USD,1385.62,1385.62,1385.62,1385.62,,0.0
1986-01-23,STOOQ:^FTM,USD,1380.25,1380.25,1380.25,1380.25,,0.0
1986-01-24,STOOQ:^FTM,USD,1389.15,1389.15,1389.15,1389.15,,0.0
1986-01-27,STOOQ:^FTM,USD,1400.59,1400.59,1400.59,1400.59,,0.0
1986-01-28,STOOQ:^FTM,USD,1420.51,1420.51,1420.51,1420.51,,0.0
1986-01-29,STOOQ:^FTM,USD,1425.03,1425.03,1425.03,1425.03,,0.0
1986-01-30,STOOQ:^FTM,USD,1437.46,1437.46,1437.46,1437.46,,0.0
