date,secid,currency,close,open,low,high,volume,capitalization
1969-11-24,STOOQ:^HSI,USD,158.5,158.5,158.5,158.5,,0.0
1969-11-25,STOOQ:^HSI,USD,156.78,156.78,156.78,156.78,,0.0
1969-11-26,STOOQ:^HSI,USD,155.35,155.35,155.35,155.35,,0.0
1969-11-27,STOOQ:^HSI,USD,155.51,155.51,155.51,155.51,,0.0
1969-11-28,STOOQ:^HSI,USD,157.01,157.01,157.01,157.01,,0.0
1969-12-01,STOOQ:^HSI,USD,152.71,152.71,152.71,152.71,,0.0
1969-12-02,STOOQ:^HSI,USD,150.98,150.98,150.98,150.98,,0.0
1969-12-03,STOOQ:^HSI,USD,150.86,150.86,150.86,150.86,,0.0
1969-12-04,STOOQ:^HSI,USD,149.73,149.73,149.73,149.73,,0.0
1969-12-05,STOOQ:^HSI,USD,147.33,147.33,147.33,147.33,,0.0
1969-12-08,STOOQ:^HSI,USD,149.19,149.19,149.19,149.19,,0.0
1969-12-09,STOOQ:^HSI,USD,149.53,149.53,149.53,149.53,,0.0
1969-12-10,STOOQ:^HSI,USD,149.04,149.04,149.04,149.04,,0.0
1969-12-11,STOOQ:^HSI,USD,150.95,150.95,150.95,150.95,,0.0
1969-12-12,STOOQ:^HSI,USD,152.25,152.25,152.25,152.25,,0.0
1969-12-15,STOOQ:^HSI,USD,151.59,151.59,151.59,151.59,,0.0
1969-12-16,STOOQ:^HSI,USD,150.47,150.47,150.47,150.47,,0.0
1969-12-17,STOOQ:^HSI,USD,150.64,150.64,150.64,150.64,,0.0
1969-12-18,STOOQ:^HSI,USD,150.24,150.24,150.24,150.24,,0.0
1969-12-19,STOOQ:^HSI,USD,150.27,150.27,150.27,150.27,,0.0
1969-12-22,STOOQ:^HSI,USD,150.56,150.56,150.56,150.56,,0.0
1969-12-23,STOOQ:^HSI,USD,150.79,150.79,150.79,150.79,,0.0
1969-12-24,STOOQ:^HSI,USD,151.75,151.75,151.75,151.75,,0.0
1969-12-29,STOOQ:^HSI,USD,153.52,153.52,153.52,153.52,,0.0
1969-12-30,STOOQ:^HSI,USD,155.47,155.47,155.47,155.47,,0.0
1969-12-31,STOOQ:^HSI,USD,155.47,155.47,155.47,155.47,,0.0
1970-01-02,STOOQ:^HSI,USD,155.38,155.38,155.38,155.38,,0.0
1970-01-05,STOOQ:^HSI,USD,154.75,154.75,154.75,154.75,,0.0
1970-01-06,STOOQ:^HSI,USD,155.45,155.45,155.45,155.45,,0.0
1970-01-07,STOOQ:^HSI,USD,155.73,155.73,155.73,155.73,,0.0
1970-01-08,STOOQ:^HSI,USD,156.96,156.96,156.96,156.96,,0.0
1970-01-09,STOOQ:^HSI,USD,156.23,156.23,156.23,156.23,,0.0
1970-01-12,STOOQ:^HSI,USD,156.68,156.68,156.68,156.68,,0.0
1970-01-13,STOOQ:^HSI,USD,156.78,156.78,156.78,156.78,,0.0
1970-01-14,STOOQ:^HSI,USD,156.23,156.23,156.23,156.23,,0.0
1970-01-15,STOOQ:^HSI,USD,156.88,156.88,156.88,156.88,,0.0
1970-01-16,STOOQ:^HSI,USD,157.84,157.84,157.84,157.84,,0.0
1970-01-19,STOOQ:^HSI,USD,158.52,158.52,158.52,158.52,,0.0
1970-01-20,STOOQ:^HSI,USD,159.16,159.16,159.16,159.16,,0.0
1970-01-21,STOOQ:^HSI,USD,160.69,160.69,160.69,160.69,,0.0
1970-01-22,STOOQ:^HSI,USD,161.06,161.06,161.06,161.06,,0.0
1970-01-23,STOOQ:^HSI,USD,160.58,160.58,160.58,160.58,,0.0
1970-01-26,STOOQ:^HSI,USD,160.06,160.06,160.06,160.06,,0.0
1970-01-27,STOOQ:^HSI,USD,160.62,160.62,160.62,160.62,,0.0
1970-01-28,STOOQ:^HSI,USD,160.79,160.79,160.79,160.79,,0.0
1970-01-29,STOOQ:^HSI,USD,161.45,161.45,161.45,161.45,,0.0
1970-01-30,STOOQ:^HSI,USD,164.11,164.11,164.11,164.11,,0.0
1970-02-02,STOOQ:^HSI,USD,165.23,165.23,165.23,165.23,,0.0
1970-02-03,STOOQ:^HSI,USD,164.89,164.89,164.89,164.89,,0.0
1970-02-04,STOOQ:^HSI,USD,165.57,165.57,165.57,165.57,,0.0
1970-02-05,STOOQ:^HSI,USD,167.29,167.29,167.29,167.29,,0.0
1970-02-10,STOOQ:^HSI,USD,168.41,168.41,168.41,168.41,,0.0
1970-02-11,STOOQ:^HSI,USD,168.49,168.49,168.49,168.49,,0.0
1970-02-12,STOOQ:^HSI,USD,166.6,166.6,166.6,166.6,,0.0
1970-02-13,STOOQ:^HSI,USD,166.22,166.22,166.22,166.22,,0.0
1970-02-16,STOOQ:^HSI,USD,166.33,166.33,166.33,166.33,,0.0
1970-02-17,STOOQ:^HSI,USD,166.67,166.67,166.67,166.67,,0.0
1970-02-18,STOOQ:^HSI,USD,167.4,167.4,167.4,167.4,,0.0
1970-02-19,STOOQ:^HSI,USD,167.41,167.41,167.41,167.41,,0.0
1970-02-20,STOOQ:^HSI,USD,169.11,169.11,169.11,169.11,,0.0
1970-02-23,STOOQ:^HSI,USD,171.46,171.46,171.46,171.46,,0.0
1970-02-24,STOOQ:^HSI,USD,171.77,171.77,171.77,171.77,,0.0
1970-02-25,STOOQ:^HSI,USD,171.42,171.42,171.42,171.42,,0.0
1970-02-26,STOOQ:^HSI,USD,173.18,173.18,173.18,173.18,,0.0
1970-02-27,STOOQ:^HSI,USD,174.06,174.06,174.06,174.06,,0.0
1970-03-02,STOOQ:^HSI,USD,174.93,174.93,174.93,174.93,,0.0
1970-03-03,STOOQ:^HSI,USD,174.6,174.6,174.6,174.6,,0.0
1970-03-04,STOOQ:^HSI,USD,177.38,177.38,177.38,177.38,,0.0
1970-03-05,STOOQ:^HSI,USD,179.8,179.8,179.8,179.8,,0.0
1970-03-06,STOOQ:^HSI,USD,183.18,183.18,183.18,183.18,,0.0
1970-03-09,STOOQ:^HSI,USD,190.63,190.63,190.63,190.63,,0.0
1970-03-10,STOOQ:^HSI,USD,193.39,193.39,193.39,193.39,,0.0
1970-03-11,STOOQ:^HSI,USD,189.57,189.57,189.57,189.57,,0.0
1970-03-12,STOOQ:^HSI,USD,189.0,189.0,189.0,189.0,,0.0
1970-03-13,STOOQ:^HSI,USD,191.3,191.3,191.3,191.3,,0.0
1970-03-16,STOOQ:^HSI,USD,189.61,189.61,189.61,189.61,,0.0
1970-03-17,STOOQ:^HSI,USD,187.62,187.62,187.62,187.62,,0.0
1970-03-18,STOOQ:^HSI,USD,184.28,184.28,184.28,184.28,,0.0
1970-03-19,STOOQ:^HSI,USD,184.44,184.44,184.44,184.44,,0.0
1970-03-20,STOOQ:^HSI,USD,184.95,184.95,184.95,184.95,,0.0
1970-03-23,STOOQ:^HSI,USD,180.89,180.89,180.89,180.89,,0.0
1970-03-24,STOOQ:^HSI,USD,181.24,181.24,181.24,181.24,,0.0
1970-03-25,STOOQ:^HSI,USD,180.94,180.94,180.94,180.94,,0.0
1970-03-26,STOOQ:^HSI,USD,182.13,182.13,182.13,182.13,,0.0
1970-03-31,STOOQ:^HSI,USD,179.63,179.63,179.63,179.63,,0.0
1970-04-01,STOOQ:^HSI,USD,176.95,176.95,176.95,176.95,,0.0
1970-04-02,STOOQ:^HSI,USD,176.83,176.83,176.83,176.83,,0.0
1970-04-03,STOOQ:^HSI,USD,178.82,178.82,178.82,178.82,,0.0
1970-04-07,STOOQ:^HSI,USD,179.56,179.56,179.56,179.56,,0.0
1970-04-08,STOOQ:^HSI,USD,179.19,179.19,179.19,179.19,,0.0
