date,secid,currency,close,open,low,high,volume,capitalization
1997-09-22,IMOEX,RUB,100,,,,,
1997-09-23,IMOEX,RUB,100.67,,,,,
1997-09-24,IMOEX,RUB,99.94,,,,,
1997-09-25,IMOEX,RUB,99.46,,,,,
1997-09-26,IMOEX,RUB,98.87,,,,,
1997-09-29,IMOEX,RUB,99.14,,,,,
1997-09-30,IMOEX,RUB,100.16,,,,,
1997-10-01,IMOEX,RUB,101.21,,,,,
1997-10-02,IMOEX,RUB,105.8,,,,,
1997-10-03,IMOEX,RUB,110.73,,,,,
1997-10-06,IMOEX,RUB,115.03,,,,,
1997-10-07,IMOEX,RUB,112.67,,,,,
1997-10-08,IMOEX,RUB,112.22,,,,,
1997-10-09,IMOEX,RUB,107.89,,,,,
1997-10-10,IMOEX,RUB,106.56,,,,,
1997-10-13,IMOEX,RUB,108.54,,,,,
1997-10-14,IMOEX,RUB,111.44,,,,,
1997-10-15,IMOEX,RUB,109.65,,,,,
1997-10-16,IMOEX,RUB,109.68,,,,,
1997-10-17,IMOEX,RUB,107.9,,,,,
1997-10-20,IMOEX,RUB,107.46,,,,,
1997-10-21,IMOEX,RUB,109.39,,,,,
1997-10-22,IMOEX,RUB,111.19,,,,,
1997-10-23,IMOEX,RUB,106.82,,,,,
1997-10-24,IMOEX,RUB,105.33,,,,,
1997-10-27,IMOEX,RUB,99.65,,,,,
1997-10-28,IMOEX,RUB,78.91,,,,,
1997-10-29,IMOEX,RUB,94.73,,,,,
1997-10-30,IMOEX,RUB,85.27,,,,,
1997-10-31,IMOEX,RUB,86.46,,,,,
1997-11-03,IMOEX,RUB,89.34,,,,,
1997-11-04,IMOEX,RUB,89.34,,,,,
1997-11-05,IMOEX,RUB,88.85,,,,,
1997-11-06,IMOEX,RUB,88.6,,,,,
1997-11-10,IMOEX,RUB,81.77,,,,,
1997-11-11,IMOEX,RUB,77.2,,,,,
1997-11-12,IMOEX,RUB,71.19,,,,,
1997-11-13,IMOEX,RUB,68.23,,,,,
1997-11-14,IMOEX,RUB,67.42,,,,,
1997-11-17,IMOEX,RUB,68.06,,,,,
1997-11-18,IMOEX,RUB,72.18,,,,,
1997-11-19,IMOEX,RUB,70.51,,,,,
1997-11-20,IMOEX,RUB,72.58,,,,,
1997-11-21,IMOEX,RUB,77.52,,,,,
1997-11-24,IMOEX,RUB,74.01,,,,,
1997-11-25,IMOEX,RUB,69.49,,,,,
1997-11-26,IMOEX,RUB,72.65,,,,,
1997-11-27,IMOEX,RUB,70.2,,,,,
1997-11-28,IMOEX,RUB,67.94,,,,,
1997-12-01,IMOEX,RUB,66.66,,,,,
1997-12-02,IMOEX,RUB,66.7,,,,,
1997-12-03,IMOEX,RUB,70.05,,,,,
1997-12-04,IMOEX,RUB,74.84,,,,,
1997-12-05,IMOEX,RUB,79.16,,,,,
1997-12-08,IMOEX,RUB,80.27,,,,,
1997-12-09,IMOEX,RUB,80.89,,,,,
1997-12-10,IMOEX,RUB,76.88,,,,,
1997-12-11,IMOEX,RUB,71.06,,,,,
1997-12-15,IMOEX,RUB,76.13,,,,,
1997-12-16,IMOEX,RUB,79.05,,,,,
1997-12-17,IMOEX,RUB,81.59,,,,,
1997-12-18,IMOEX,RUB,80.16,,,,,
1997-12-19,IMOEX,RUB,76.39,,,,,
1997-12-22,IMOEX,RUB,76.75,,,,,
1997-12-23,IMOEX,RUB,79.47,,,,,
1997-12-24,IMOEX,RUB,78.72,,,,,
1997-12-25,IMOEX,RUB,79.91,,,,,
1997-12-26,IMOEX,RUB,80.98,,,,,
1997-12-29,IMOEX,RUB,83.2,,,,,
1997-12-30,IMOEX,RUB,85.05,,,,,
1998-01-06,IMOEX,RUB,88.97,,,,,
1998-01-08,IMOEX,RUB,83.56,,,,,
1998-01-09,IMOEX,RUB,81.26,,,,,
1998-01-12,IMOEX,RUB,70.61,,,,,
1998-01-13,IMOEX,RUB,73.34,,,,,
1998-01-14,IMOEX,RUB,74.16,,,,,
1998-01-15,IMOEX,RUB,70.62,,,,,
1998-01-16,IMOEX,RUB,70.61,,,,,
1998-01-19,IMOEX,RUB,73.4,,,,,
1998-01-20,IMOEX,RUB,73.33,,,,,
1998-01-21,IMOEX,RUB,71.7,,,,,
1998-01-22,IMOEX,RUB,67.75,,,,,
1998-01-23,IMOEX,RUB,65.98,,,,,
1998-01-26,IMOEX,RUB,60.34,,,,,
1998-01-27,IMOEX,RUB,62.99,,,,,
1998-01-28,IMOEX,RUB,62.71,,,,,
1998-01-29,IMOEX,RUB,57.95,,,,,
1998-01-30,IMOEX,RUB,62.21,,,,,
1998-02-02,IMOEX,RUB,67.39,,,,,
1998-02-03,IMOEX,RUB,65.96,,,,,
1998-02-04,IMOEX,RUB,64.1,,,,,
1998-02-05,IMOEX,RUB,67.48,,,,,
1998-02-06,IMOEX,RUB,70.4,,,,,
1998-02-09,IMOEX,RUB,71.36,,,,,
1998-02-10,IMOEX,RUB,69.71,,,,,
1998-02-11,IMOEX,RUB,72.15,,,,,
1998-02-12,IMOEX,RUB,70.63,,,,,
1998-02-13,IMOEX,RUB,69.6,,,,,
1998-02-16,IMOEX,RUB,70.32,,,,,
1998-02-17,IMOEX,RUB,72.09,,,,,
1998-02-18,IMOEX,RUB,71.44,,,,,
1998-02-19,IMOEX,RUB,71.72,,,,,
1998-02-20,IMOEX,RUB,71.78,,,,,
1998-02-23,IMOEX,RUB,73.04,,,,,
1998-02-24,IMOEX,RUB,72.6,,,,,
1998-02-25,IMOEX,RUB,72.49,,,,,
1998-02-26,IMOEX,RUB,73.76,,,,,
1998-02-27,IMOEX,RUB,73.38,,,,,
1998-03-02,IMOEX,RUB,75.16,,,,,
1998-03-03,IMOEX,RUB,76.6,,,,,
1998-03-04,IMOEX,RUB,77.21,,,,,
1998-03-05,IMOEX,RUB,76.66,,,,,
1998-03-06,IMOEX,RUB,77.85,,,,,
1998-03-10,IMOEX,RUB,79.8,,,,,
1998-03-11,IMOEX,RUB,82.91,,,,,
1998-03-12,IMOEX,RUB,81.29,,,,,
1998-03-13,IMOEX,RUB,80.95,,,,,
1998-03-16,IMOEX,RUB,80.88,,,,,
1998-03-17,IMOEX,RUB,78.43,,,,,
1998-03-18,IMOEX,RUB,76.03,,,,,
1998-03-19,IMOEX,RUB,77.4,,,,,
1998-03-20,IMOEX,RUB,78.75,,,,,
1998-03-23,IMOEX,RUB,77.42,,,,,
1998-03-24,IMOEX,RUB,80.39,,,,,
1998-03-25,IMOEX,RUB,79.11,,,,,
1998-03-26,IMOEX,RUB,78.11,,,,,
1998-03-27,IMOEX,RUB,78.99,,,,,
1998-03-30,IMOEX,RUB,77.91,,,,,
1998-03-31,IMOEX,RUB,76.35,,,,,
1998-04-01,IMOEX,RUB,75.42,,,,,
1998-04-02,IMOEX,RUB,76.19,,,,,
1998-04-03,IMOEX,RUB,74.54,,,,,
1998-04-06,IMOEX,RUB,74.61,,,,,
1998-04-07,IMOEX,RUB,74.96,,,,,
1998-04-08,IMOEX,RUB,74.37,,,,,
1998-04-09,IMOEX,RUB,73.58,,,,,
1998-04-10,IMOEX,RUB,72.69,,,,,
1998-04-13,IMOEX,RUB,73.83,,,,,
1998-04-14,IMOEX,RUB,73.59,,,,,
1998-04-15,IMOEX,RUB,74.8,,,,,
1998-04-16,IMOEX,RUB,75.38,,,,,
1998-04-17,IMOEX,RUB,75.37,,,,,
1998-04-20,IMOEX,RUB,74.95,,,,,
1998-04-21,IMOEX,RUB,75.23,,,,,
1998-04-22,IMOEX,RUB,76.67,,,,,
1998-04-23,IMOEX,RUB,78.54,,,,,
1998-04-24,IMOEX,RUB,79.96,,,,,
1998-04-27,IMOEX,RUB,77.38,,,,,
1998-04-28,IMOEX,RUB,74.06,,,,,
1998-04-29,IMOEX,RUB,75.17,,,,,
1998-04-30,IMOEX,RUB,75.66,,,,,
1998-05-05,IMOEX,RUB,78.09,,,,,
1998-05-06,IMOEX,RUB,76.18,,,,,
1998-05-07,IMOEX,RUB,74.91,,,,,
1998-05-08,IMOEX,RUB,73.98,,,,,
1998-05-12,IMOEX,RUB,72.16,,,,,
1998-05-13,IMOEX,RUB,66.97,,,,,
1998-05-14,IMOEX,RUB,65.11,,,,,
1998-05-15,IMOEX,RUB,62.01,,,,,
1998-05-18,IMOEX,RUB,57.35,,,,,
1998-05-19,IMOEX,RUB,57.03,,,,,
1998-05-20,IMOEX,RUB,54.61,,,,,
1998-05-21,IMOEX,RUB,56.17,,,,,
1998-05-22,IMOEX,RUB,53.35,,,,,
