date,secid,currency,close,open,low,high,volume,capitalization
2011-12-30,MOEXBMI,RUB,1000,1000,1000,1000,21822506162.2,
2012-01-03,MOEXBMI,RUB,1029.51,1007.4,1007.4,1029.8,22079165902.1,
2012-01-04,MOEXBMI,RUB,1031.01,1029.06,1024.44,1034.93,25458744277.5,
2012-01-05,MOEXBMI,RUB,1023.54,1030.91,1021.38,1038.48,26030879596.9,
2012-01-06,MOEXBMI,RUB,1027.33,1024.39,1020.51,1036.06,23011190707.2,
2012-01-09,MOEXBMI,RUB,1031.93,1024.84,1021.4,1031.93,19844991650.8,
2012-01-10,MOEXBMI,RUB,1051.77,1036.06,1035.86,1053.29,53547288040.5,
2012-01-11,MOEXBMI,RUB,1044.58,1048.11,1039.62,1053.71,52986287197.2,
2012-01-12,MOEXBMI,RUB,1043.21,1047.34,1039.2,1057.1,51361826142.3,
2012-01-13,MOEXBMI,RUB,1041.23,1044.48,1039.36,1052.48,45011082129.8,
2012-01-16,MOEXBMI,RUB,1043.49,1032.91,1030.79,1044.83,31162075871.1,
2012-01-17,MOEXBMI,RUB,1058.71,1051.95,1051.68,1064.62,47880963331.1,
2012-01-18,MOEXBMI,RUB,1064.06,1058.25,1051.69,1064.06,41291848982.5,
2012-01-19,MOEXBMI,RUB,1071.73,1069.9,1062.52,1073.05,53603983180.9,
2012-01-20,MOEXBMI,RUB,1062.92,1073.89,1060.45,1073.89,41387801889.5,
2012-01-23,MOEXBMI,RUB,1069.36,1060.84,1054.26,1069.44,50532981117.2,
2012-01-24,MOEXBMI,RUB,1062.59,1065.54,1057.12,1067.71,41280432676.5,
2012-01-25,MOEXBMI,RUB,1069.77,1068.84,1065.33,1074.86,60241289093.6,
2012-01-26,MOEXBMI,RUB,1080.09,1078.7,1072.89,1082.89,75143684384.1,
2012-01-27,MOEXBMI,RUB,1074.96,1074.8,1071.99,1081.96,50052827610.1,
2012-01-30,MOEXBMI,RUB,1066.67,1071.02,1064.44,1075.69,41340045500.2,
2012-01-31,MOEXBMI,RUB,1079.5,1072.38,1072.3,1081.99,45145377012.8,
2012-02-01,MOEXBMI,RUB,1096.44,1076.49,1073.5,1097.59,58889345886.4,
2012-02-02,MOEXBMI,RUB,1098.54,1100.99,1092.38,1102.69,64490481075.7,
2012-02-03,MOEXBMI,RUB,1114.49,1096.96,1095.47,1114.49,47556424848.6,
2012-02-06,MOEXBMI,RUB,1113.49,1115.56,1110.16,1118.44,44705107129.5,
2012-02-07,MOEXBMI,RUB,1104.82,1114.63,1102.94,1119.66,46636318721.5,
2012-02-08,MOEXBMI,RUB,1110.34,1113.38,1107.89,1120.12,56090029916.8,
2012-02-09,MOEXBMI,RUB,1101.96,1110.88,1095.66,1117.55,66719006318.5,
2012-02-10,MOEXBMI,RUB,1090.73,1096.56,1088.89,1099.19,46100267759.4,
2012-02-13,MOEXBMI,RUB,1114.29,1099.7,1099.08,1115.22,47855970129.1,
2012-02-14,MOEXBMI,RUB,1116.31,1110.65,1110.65,1124.33,47432313213.2,
2012-02-15,MOEXBMI,RUB,1128.19,1124.53,1121.81,1129.89,49262830150.6,
2012-02-16,MOEXBMI,RUB,1122.19,1116.62,1110.97,1122.26,46170630630.2,
2012-02-17,MOEXBMI,RUB,1120.73,1131.86,1115.64,1131.86,39812704811.7,
2012-02-20,MOEXBMI,RUB,1128.34,1128.85,1126.7,1132.46,27763313012.4,
2012-02-21,MOEXBMI,RUB,1115.36,1128.17,1112.97,1128.17,37544845366.6,
2012-02-22,MOEXBMI,RUB,1100.84,1118,1099.73,1122.89,45387790215.9,
2012-02-24,MOEXBMI,RUB,1138.91,1108.9,1106.17,1139.3,69508714367.2,
2012-02-27,MOEXBMI,RUB,1137.17,1137.77,1132.92,1147.26,53858660177,
2012-02-28,MOEXBMI,RUB,1124.42,1143.7,1122.31,1144.3,49225781603.1,
2012-02-29,MOEXBMI,RUB,1140.58,1129.92,1129,1141.54,48386522512.7,
2012-03-01,MOEXBMI,RUB,1139.07,1132.86,1127.37,1139.99,46556165853.2,
2012-03-02,MOEXBMI,RUB,1147.49,1144.52,1134.21,1148.25,51621406652.1,
2012-03-05,MOEXBMI,RUB,1160.27,1149.98,1148.71,1162.04,51164379411.1,
2012-03-06,MOEXBMI,RUB,1116.77,1152.54,1115.94,1154.76,67378166801.8,
2012-03-07,MOEXBMI,RUB,1123.82,1112.53,1110.17,1125.4,48387648810.9,
2012-03-11,MOEXBMI,RUB,1146.56,1139.85,1139.58,1148.07,19320295424,
2012-03-12,MOEXBMI,RUB,1145.78,1140.32,1137.01,1155.91,53778031682.7,
2012-03-13,MOEXBMI,RUB,1151.21,1151.93,1147.41,1155,44091897934.6,
2012-03-14,MOEXBMI,RUB,1164.59,1161.36,1156.74,1166.49,72747358935,
2012-03-15,MOEXBMI,RUB,1161.73,1160.8,1156.34,1169.59,84020721585.8,
2012-03-16,MOEXBMI,RUB,1154.27,1159.92,1149.27,1162.79,49865875667.3,
2012-03-19,MOEXBMI,RUB,1134.05,1158.71,1129.5,1161.13,54382793567.7,
2012-03-20,MOEXBMI,RUB,1115.2,1135.5,1113.7,1139.05,50325067717,
2012-03-21,MOEXBMI,RUB,1110.48,1117.48,1104.4,1124.01,54304275417.5,
2012-03-22,MOEXBMI,RUB,1094.8,1109.56,1092.17,1116.7,50220541424.8,
2012-03-23,MOEXBMI,RUB,1102.08,1098.82,1087.41,1102.41,42327617044,
2012-03-26,MOEXBMI,RUB,1118.71,1106.71,1102.77,1120.94,44767981090.6,
2012-03-27,MOEXBMI,RUB,1111.02,1123.88,1108.08,1124.89,44466005619.5,
2012-03-28,MOEXBMI,RUB,1088.66,1106.88,1087.6,1110.41,55798323173.5,
2012-03-29,MOEXBMI,RUB,1070.43,1085.66,1065.79,1089.33,53897569088.9,
2012-03-30,MOEXBMI,RUB,1087.25,1082.97,1081.54,1096.07,58295540832,
2012-04-02,MOEXBMI,RUB,1089.87,1093.66,1080.93,1100.2,40998725795.2,
2012-04-03,MOEXBMI,RUB,1108.86,1096.33,1094.4,1112.78,51905195212.1,
2012-04-04,MOEXBMI,RUB,1083.36,1098.49,1079.66,1105.48,50431506314.5,
2012-04-05,MOEXBMI,RUB,1091.36,1088.11,1071.58,1092.53,50762918316,
2012-04-06,MOEXBMI,RUB,1073.22,1093.45,1071.15,1094.11,28300072906.8,
2012-04-09,MOEXBMI,RUB,1081.84,1071.98,1059.78,1081.84,36143056850,
2012-04-10,MOEXBMI,RUB,1073.31,1077.74,1073.25,1087.35,46483858093.9,
2012-04-11,MOEXBMI,RUB,1078.14,1067.85,1066.62,1086.92,46125864574.7,
2012-04-12,MOEXBMI,RUB,1075.14,1081.28,1066.93,1082.41,45560786389.6,
2012-04-13,MOEXBMI,RUB,1076.65,1076.2,1073.06,1085.24,47464789340.1,
2012-04-16,MOEXBMI,RUB,1059.76,1072.15,1058.78,1076.68,47984365792.2,
2012-04-17,MOEXBMI,RUB,1055.28,1060.18,1049.81,1062.39,50054700282.5,
2012-04-18,MOEXBMI,RUB,1053.3,1063.56,1051.13,1063.72,37088176030,
2012-04-19,MOEXBMI,RUB,1070.67,1054.42,1054.41,1075.97,50655186739.4,
2012-04-20,MOEXBMI,RUB,1075.67,1065.94,1063.23,1076.48,37499015506.3,
2012-04-23,MOEXBMI,RUB,1051.29,1070.85,1047.87,1072.11,37896560734.5,
2012-04-24,MOEXBMI,RUB,1042.14,1052.92,1035.09,1053.08,37124605021.5,
2012-04-25,MOEXBMI,RUB,1045.18,1045.6,1044.31,1050.85,30427289339.1,
2012-04-26,MOEXBMI,RUB,1034.45,1048.42,1030.52,1048.42,33805760450.5,
2012-04-27,MOEXBMI,RUB,1050.22,1032.53,1029.78,1050.22,38325573449.6,
2012-04-28,MOEXBMI,RUB,1052.78,1051,1049.27,1053.01,7402006440.2,
2012-05-02,MOEXBMI,RUB,1034.91,1056.13,1034.68,1063.6,36988456381.1,
2012-05-03,MOEXBMI,RUB,1031.99,1037.3,1028.74,1040.58,32025056240,
2012-05-04,MOEXBMI,RUB,995.89,1028.77,992.43,1029.42,49138376014.6,
2012-05-05,MOEXBMI,RUB,992.62,994.13,989.11,995.16,9552087676.7,
2012-05-07,MOEXBMI,RUB,991.14,979.33,967.96,995.99,20665590767.5,
2012-05-08,MOEXBMI,RUB,990.78,994.84,982.52,1000.49,24144161898.9,
2012-05-10,MOEXBMI,RUB,1007.2,989.86,989.86,1012.88,44313114420,
2012-05-11,MOEXBMI,RUB,995.21,992.77,983.87,996.08,38870326081.8,
2012-05-12,MOEXBMI,RUB,991.17,984.98,982.72,992.61,8714828226.8,
2012-05-14,MOEXBMI,RUB,957.14,987.35,954.58,987.46,36617139603.6,
2012-05-15,MOEXBMI,RUB,961.51,954.32,938.79,961.51,49861849507.9,
2012-05-16,MOEXBMI,RUB,953.02,948.02,940.36,956.2,48401913828.3,
2012-05-17,MOEXBMI,RUB,919.76,954.22,916.14,957.63,61259043041.6,
2012-05-18,MOEXBMI,RUB,908.76,898.93,890.88,922.73,66976573878.1,
