date,secid,currency,close,open,low,high,volume,capitalization
2012-12-17,MCXSM,,1000,,,,0,249935428676.922
2012-12-18,MCXSM,,1000.22,,,,2281035205.7,249991199723.097
2012-12-19,MCXSM,,994.61,,,,2126123817.4,248587486651.954
2012-12-20,MCXSM,,991.41,,,,1841143484.3,247787258944.608
2012-12-21,MCXSM,,985.59,,,,2080172652.3,246333265070.139
2012-12-24,MCXSM,,978.46,,,,1208431301.7,244552591108.804
2012-12-25,MCXSM,,980.51,,,,1097672516.4,245063126274.765
2012-12-26,MCXSM,,982.83,,,,1114108807.9,245644587316.858
2012-12-27,MCXSM,,992.69,,,,1483934942.4,248108275221.639
2012-12-28,MCXSM,,993.99,,,,2491983748,248432828298.434
2013-01-08,MCXSM,,1013.73,,,,2277432775.3,253367996086.721
2013-01-09,MCXSM,,1017.8,,,,1612714700.8,254384699210.121
2013-01-10,MCXSM,,1016.11,,,,2069070959.2,253960884269.962
2013-01-11,MCXSM,,1015.51,,,,2443092952.1,253810796191.892
2013-01-14,MCXSM,,1028.32,,,,3677867744.8,257013984215.253
2013-01-15,MCXSM,,1031.2,,,,3433146551.6,257733298756.548
2013-01-16,MCXSM,,1034,,,,3840174212.8,258433027613.884
2013-01-17,MCXSM,,1036.92,,,,2944675601.3,259162887706.06
2013-01-18,MCXSM,,1044.87,,,,3273613406.7,261150039793.813
2013-01-21,MCXSM,,1042.86,,,,1508280791.6,260647330080.719
2013-01-22,MCXSM,,1039.66,,,,2369304168,259848074821.98
2013-01-23,MCXSM,,1047.28,,,,3294853056.7,261751150349.768
2013-01-24,MCXSM,,1044.1,,,,2644879551.5,260956332030.946
2013-01-25,MCXSM,,1048.61,,,,2067370115.3,262084183763.376
2013-01-28,MCXSM,,1057.46,,,,2154034327,264295602189.387
2013-01-29,MCXSM,,1055.28,,,,3485005630.2,263752110970.957
2013-01-30,MCXSM,,1044.45,,,,3113993217.2,261044793410.234
2013-01-31,MCXSM,,1045.93,,,,3450581669.7,261414199142.212
2013-02-01,MCXSM,,1051.69,,,,2243927897.5,262854736577.93
2013-02-04,MCXSM,,1048.34,,,,2117394255.1,262017075570.437
2013-02-05,MCXSM,,1049.06,,,,1763128184.5,262198302216.952
