,date,secid,open,close,low,high,volume,currency,capitalization
0,2009-04-24,MOEXBC,6285.76,6276.1,6239.72,6362.62,829283325.54,RUB,1833755087208.9
1,2009-04-27,MOEXBC,6276.1,6057.99,6033.84,6276.1,1101358972.7,RUB,1770028797418.7
2,2009-04-28,MOEXBC,6057.99,5899.75,5885.04,6116.65,1978925384.43,RUB,1723791981442.26
3,2009-04-29,MOEXBC,5899.75,6108.95,5899.75,6111.45,2348292078.02,RUB,1784916956463.08
4,2009-04-30,MOEXBC,6108.95,6264.7,6108.95,6353.44,1739327235.08,RUB,1830424608974.75
5,2009-05-04,MOEXBC,6264.7,6431.13,6264.11,6431.13,1754447919.33,RUB,1879052899867.53
6,2009-05-05,MOEXBC,6431.13,6503.67,6431.13,6531.91,1887305561.42,RUB,1900247245271.4
7,2009-05-06,MOEXBC,6503.67,6637.71,6398.58,6699.36,2435868959.2,RUB,1939411142509.28
8,2009-05-07,MOEXBC,6637.71,6955.83,6563.38,7049.69,2963923469.37,RUB,2032358259794.62
9,2009-05-08,MOEXBC,6955.83,6887.62,6778.96,6955.83,1857304108.83,RUB,2012431187617.75
10,2009-05-12,MOEXBC,6887.62,7118.69,6836.9,7182.14,2332054618,RUB,2079944062298.24
11,2009-05-13,MOEXBC,7118.69,6742.04,6735.78,7349.98,2296888578.71,RUB,1969895163713.52
12,2009-05-14,MOEXBC,6742.04,6729.57,6596.15,6824.62,2426022229,RUB,1966250428960.28
13,2009-05-15,MOEXBC,6729.57,6712.42,6620.42,6872.01,3702929815.16,RUB,1961240105478.73
14,2009-05-18,MOEXBC,6712.42,6750.93,6510.77,6763.09,3495389438.79,RUB,1972491926476.6
15,2009-05-19,MOEXBC,6750.15,6918.79,6739.34,7046.97,4763896516.72,RUB,2021536906552.71
16,2009-05-20,MOEXBC,6918.79,7277.46,6869.8,7279.91,6063769655.57,RUB,2126333251042.22
17,2009-05-21,MOEXBC,7277.46,7036.74,7004.49,7353.7,4635820409.11,RUB,2056000597958.73
18,2009-05-22,MOEXBC,7036.74,7069.58,6960.2,7216.46,4888730648,RUB,2065596221355.19
19,2009-05-25,MOEXBC,7069.58,7064.21,6971.96,7151.31,4004879277.82,RUB,2064026026482.32
20,2009-05-26,MOEXBC,7068.71,6856.18,6811.08,7127.26,4855224487.31,RUB,2003242961101.22
21,2009-05-27,MOEXBC,6856.18,7135.94,6856.18,7191.79,4495272236.53,RUB,2084983730113.87
22,2009-05-28,MOEXBC,7135.94,7339.98,7076.53,7348.44,3305580111.69,RUB,2144599533612.28
23,2009-05-29,MOEXBC,7339.98,7497.44,7218.1,7545.82,3983913135.69,RUB,2190607530036.41
24,2009-06-01,MOEXBC,7497.44,8150.68,7481.69,8150.68,8245315646.23,RUB,2381472554918.77
25,2009-06-02,MOEXBC,8150.68,8221.98,8060.37,8469.03,11698772238.89,RUB,2402304145061.58
26,2009-06-03,MOEXBC,8223.15,7804.87,7793.81,8344.08,9684745165.65,RUB,2280433086062.47
27,2009-06-04,MOEXBC,7804.87,7702.97,7449.89,7933.02,8384035984.29,RUB,2250658185655.61
28,2009-06-05,MOEXBC,7702.97,7990.23,7587.16,8061.28,9038858789.73,RUB,2334591090010.63
29,2009-06-08,MOEXBC,7990.23,7618.02,7526.19,7990.23,5719023716.2,RUB,2225838360157.51
30,2009-06-09,MOEXBC,7618.02,7663.12,7568.58,7787.66,5912439614.99,RUB,2239017473155.87
31,2009-06-10,MOEXBC,7663.12,7711.86,7613.96,7851.52,6812662897.06,RUB,2253258144308.27
32,2009-06-11,MOEXBC,7711.97,7809.13,7607.3,7912.04,5490168828.66,RUB,2281676558134.25
33,2009-06-15,MOEXBC,7809.13,7415.42,7385.44,7824.86,4065658001.25,RUB,2289698573604.74
34,2009-06-16,MOEXBC,7415.42,7458.93,7268.4,7529.97,7580962671.95,RUB,2303132394738.39
35,2009-06-17,MOEXBC,7458.93,7156.98,7101.13,7472.34,8634661623.28,RUB,2209897920881.67
36,2009-06-18,MOEXBC,7156.98,6821.6,6732.4,7170.34,5553097652.89,RUB,2106339118799.01
37,2009-06-19,MOEXBC,6827.3,6917.99,6827.3,7006.72,5798569376.21,RUB,2136102120211.09
38,2009-06-22,MOEXBC,6917.99,6524.08,6524.08,6918.25,6156143201.54,RUB,2014472853720.23
39,2009-06-23,MOEXBC,6524.08,6324.3,6042.93,6524.08,6223173198.56,RUB,1952787884500.65
40,2009-06-24,MOEXBC,6324.3,6619.31,6247.48,6653.17,5226515542.91,RUB,2043879568003.61
41,2009-06-25,MOEXBC,6619.31,6515.54,6454.88,6683.81,6019610178.37,RUB,2011838151148.84
42,2009-06-26,MOEXBC,6515.54,6535.86,6507.27,6724.28,4641998218.06,RUB,2018110634938.72
43,2009-06-29,MOEXBC,6535.86,6586.89,6398.77,6627.11,5477325182.55,RUB,2033867978619.76
44,2009-06-30,MOEXBC,6586.89,6718.52,6520.69,6800.48,5435092908.59,RUB,2074513433430.77
45,2009-07-01,MOEXBC,6718.52,6677.81,6526.85,6726.78,4951575828.02,RUB,2061940802078.61
46,2009-07-02,MOEXBC,6677.81,6521.32,6510.35,6771.34,6901355853.41,RUB,2013620567765.99
47,2009-07-03,MOEXBC,6521.32,6551.03,6425.05,6582.48,6006865294.46,RUB,2022796154167.67
48,2009-07-06,MOEXBC,6551.03,6348.55,6290,6562.94,5234725390.62,RUB,1960272943307.16
49,2009-07-07,MOEXBC,6353.53,6286.77,6214.01,6412.65,7434464887.68,RUB,1941199030001.64
50,2009-07-08,MOEXBC,6286.77,6085.56,6035.6,6286.77,7673841815.8,RUB,1879068972253.74
51,2009-07-09,MOEXBC,6087.77,6052.62,5991.19,6170.19,8594342659.83,RUB,1868898088555.03
52,2009-07-10,MOEXBC,6054.52,5928.04,5873.15,6075.39,8336038386.94,RUB,1830432486997.14
53,2009-07-13,MOEXBC,5928.04,6016.4,5790.45,6061.96,11312875094.37,RUB,1857713563799.76
54,2009-07-14,MOEXBC,5984.47,6148.36,5906.03,6224.79,12859927226.01,RUB,1898461119750.36
55,2009-07-15,MOEXBC,6148.36,6302.74,6020.59,6310.05,10138999562.28,RUB,1946129585011.6
56,2009-07-16,MOEXBC,6305.9,6393.07,6295.9,6448.52,14488006210.51,RUB,1974019579414.09
57,2009-07-17,MOEXBC,6394.01,6527.36,6310.51,6573.48,11471763510.69,RUB,2015485049600.82
58,2009-07-20,MOEXBC,6466.8,6762.52,6466.8,6810.7,9164340412.62,RUB,2088098250631.57
59,2009-07-21,MOEXBC,6767.23,6891.2,6669.88,6967.81,10708478319.57,RUB,2127832218786.12
60,2009-07-22,MOEXBC,6891.47,6692.88,6654.74,6933.28,12598802834.61,RUB,2066594099378.46
61,2009-07-23,MOEXBC,6698.77,6805.27,6684.06,6873.03,9779368438.31,RUB,2101296770086.61
62,2009-07-24,MOEXBC,6826.56,7055.26,6826.56,7112.11,11393441277.5,RUB,2178489022252.45
63,2009-07-27,MOEXBC,7032.22,7122.89,6984.99,7215.39,8865448764.6,RUB,2199371691346.75
64,2009-07-28,MOEXBC,7131.62,6915.05,6860.98,7191.18,11406230284.75,RUB,2135195635147.47
65,2009-07-29,MOEXBC,6913.53,6732.81,6709.55,6913.7,11818629192.95,RUB,2078925458067.16
66,2009-07-30,MOEXBC,6732.81,7032.47,6722.33,7054.74,11205255612.02,RUB,2171451437398.24
67,2009-07-31,MOEXBC,7057.19,7213.29,7023.36,7216.91,13537315132.35,RUB,2227283252998.31
68,2009-08-03,MOEXBC,7157.65,7508.97,7110.3,7542.82,11008670667.68,RUB,2318584746865.8
69,2009-08-04,MOEXBC,7515.06,7501.76,7402.56,7572.48,6581758395.95,RUB,2316356253227.76
70,2009-08-05,MOEXBC,7524.15,7726.55,7500.32,7788.01,8489515764.57,RUB,2385766302851
71,2009-08-06,MOEXBC,7648.83,7603.92,7478.15,7733.9,8621586422.87,RUB,2347899967900.45
