date,secid,currency,close,open,low,high,volume,capitalization
2012-03-05,RGBI,RUB,131.88,131.93,131.87,131.99,1213700576,0
2012-03-06,RGBI,RUB,131.77,131.87,131.77,131.88,2662382469,0
2012-03-07,RGBI,RUB,131.64,131.76,131.63,131.77,212396913,0
2012-03-11,RGBI,RUB,131.71,131.57,131.57,131.71,81536797,0
2012-03-12,RGBI,RUB,131.82,131.75,131.69,131.83,2108034264,0
2012-03-13,RGBI,RUB,132.01,131.9,131.82,132.01,5660111646,0
2012-03-14,RGBI,RUB,132.2,131.97,131.97,132.2,1897507655,0
2012-03-15,RGBI,RUB,132.18,132.05,131.81,132.24,1087120890,0
2012-03-16,RGBI,RUB,132.26,132.28,132.14,132.28,1633968283,0
2012-03-19,RGBI,RUB,132.06,132.21,131.81,132.21,560998177,0
2012-03-20,RGBI,RUB,132,132.26,131.99,132.41,1592134142,0
2012-03-21,RGBI,RUB,131.95,132.03,131.94,132.28,3016625022,0
2012-03-22,RGBI,RUB,131.88,132.01,131.88,132.17,4937288484,0
2012-03-23,RGBI,RUB,131.85,131.9,131.84,131.95,866670247,0
2012-03-26,RGBI,RUB,131.92,131.88,131.83,131.92,1001816106,0
2012-03-27,RGBI,RUB,131.94,131.98,131.91,131.98,2123447685,0
2012-03-28,RGBI,RUB,131.98,132.11,131.8,132.11,1765963975,0
2012-03-29,RGBI,RUB,132.08,132.09,131.94,132.1,937966737,0
2012-03-30,RGBI,RUB,132.03,132.09,132.03,132.46,1102121395,0
2012-04-02,RGBI,RUB,132.07,132.03,131.9,132.07,1112847811,0
2012-04-03,RGBI,RUB,132.07,132.14,132.02,132.17,1132300974,0
2012-04-04,RGBI,RUB,131.91,131.96,131.85,133.47,1585009421,0
2012-04-05,RGBI,RUB,131.9,131.95,131.9,132.03,6584582407,0
2012-04-06,RGBI,RUB,131.8,131.79,131.79,131.9,4198913121,0
2012-04-09,RGBI,RUB,131.57,131.71,131.57,131.73,1223254104,0
2012-04-10,RGBI,RUB,131.35,131.57,131.35,131.57,3138807490,0
2012-04-11,RGBI,RUB,131.29,131.43,131.22,131.43,1199166743,0
2012-04-12,RGBI,RUB,131.33,131.41,131.33,131.52,1413260177,0
2012-04-13,RGBI,RUB,131.28,131.25,131.25,131.36,1313699838,0
2012-04-16,RGBI,RUB,131.22,131.33,131.22,131.46,581995471,0
2012-04-17,RGBI,RUB,131.36,131.24,131.24,131.36,591496110,0
2012-04-18,RGBI,RUB,131.52,131.33,131.33,131.52,730845096,0
2012-04-19,RGBI,RUB,131.4,131.46,131.39,131.46,587600844,0
2012-04-20,RGBI,RUB,131.57,131.38,131.32,131.57,1794635221,0
2012-04-23,RGBI,RUB,131.44,131.3,131.3,131.59,1071335025,0
2012-04-24,RGBI,RUB,131.31,131.44,131.27,131.44,1674084855,0
2012-04-25,RGBI,RUB,131.41,131.34,131.33,131.46,602088221,0
2012-04-26,RGBI,RUB,131.47,131.41,131.4,131.5,1488460119,0
2012-04-27,RGBI,RUB,131.44,131.48,131.39,131.53,800940275,0
2012-04-28,RGBI,RUB,131.59,131.55,131.55,131.71,884265976,0
2012-05-02,RGBI,RUB,131.53,131.56,131.47,131.56,270367826,0
2012-05-03,RGBI,RUB,131.57,131.56,131.49,131.58,1110796652,0
2012-05-04,RGBI,RUB,131.53,131.59,131.52,131.63,989904658,0
2012-05-05,RGBI,RUB,131.33,131.54,131.32,131.54,274934025,0
2012-05-07,RGBI,RUB,131.42,131.42,131.42,131.42,1007,0
2012-05-08,RGBI,RUB,131.42,131.42,131.42,131.42,1007,0
2012-05-10,RGBI,RUB,131.2,131.35,131.2,131.35,324853353,0
2012-05-11,RGBI,RUB,131.02,131.3,131,131.3,711997161,0
2012-05-12,RGBI,RUB,131.14,131.16,131.12,131.32,59513403,0
2012-05-14,RGBI,RUB,130.47,131.1,130.47,131.1,1243333015,0
2012-05-15,RGBI,RUB,130.35,130.69,130.35,130.75,1159100258,0
2012-05-16,RGBI,RUB,129.69,130.62,129.68,130.62,1362506343,0
2012-05-17,RGBI,RUB,129.17,129.64,129.17,130.08,1581343458,0
2012-05-18,RGBI,RUB,128.85,129.66,128.78,129.86,1214778399,0
2012-05-21,RGBI,RUB,129.02,128.86,128.86,129.13,1538628620,0
2012-05-22,RGBI,RUB,129.3,129.11,128.95,129.3,1333920739,0
2012-05-23,RGBI,RUB,128.73,129.73,128.73,129.84,2234208137,0
2012-05-24,RGBI,RUB,128.51,128.74,128.42,128.79,2251396914,0
2012-05-25,RGBI,RUB,128.61,128.53,128.53,128.7,1393979473,0
2012-05-28,RGBI,RUB,128.62,129.21,128.52,129.21,770561167,0
2012-05-29,RGBI,RUB,128.69,128.83,128.62,128.84,1295186443,0
2012-05-30,RGBI,RUB,128.61,128.8,128.61,129,1285150971,0
2012-05-31,RGBI,RUB,128.22,128.79,128.15,128.88,1822327007,0
2012-06-01,RGBI,RUB,127.39,128.1,127.36,128.1,3004183470,0
2012-06-04,RGBI,RUB,127.78,127.65,127.61,127.8,1107627107,0
2012-06-05,RGBI,RUB,127.95,127.98,127.83,128.32,2364634562,0
2012-06-06,RGBI,RUB,128.71,127.81,127.81,128.72,1994656970,0
2012-06-07,RGBI,RUB,129.1,128.47,128.15,129.1,4070662228,0
2012-06-08,RGBI,RUB,128.63,128.73,128.61,129.2,1281938641,0
2012-06-09,RGBI,RUB,128.9,128.82,128.82,128.91,23060305,0
2012-06-13,RGBI,RUB,128.52,128.84,128.52,129.01,704475228,0
2012-06-14,RGBI,RUB,128.43,128.48,128.43,128.74,693602311,0
2012-06-15,RGBI,RUB,128.87,128.4,128.4,128.9,1217832331,0
2012-06-18,RGBI,RUB,128.88,128.91,128.87,129.33,1597772121,0
2012-06-19,RGBI,RUB,128.68,128.81,128.67,128.84,1527815058,0
2012-06-20,RGBI,RUB,128.61,128.81,128.59,128.98,1687636714,0
2012-06-21,RGBI,RUB,128.44,128.72,128.34,128.79,1519042628,0
2012-06-22,RGBI,RUB,128.39,128.42,128.39,128.61,968888278,0
2012-06-25,RGBI,RUB,128.37,128.52,128.35,128.6,1875307746,0
2012-06-26,RGBI,RUB,128.29,128.48,128.26,128.48,972660308,0
2012-06-27,RGBI,RUB,128.39,128.32,128.29,128.43,1240447500,0
2012-06-28,RGBI,RUB,128.32,128.51,128.17,128.51,1114146183,0
2012-06-29,RGBI,RUB,128.81,128.35,128.35,128.81,3368280420,0
2012-07-02,RGBI,RUB,129.59,128.76,128.76,129.59,3004988582,0
2012-07-03,RGBI,RUB,130,129.61,127.89,130,1331423947,0
2012-07-04,RGBI,RUB,130.36,129.81,129.38,130.36,1594537788,0
2012-07-05,RGBI,RUB,130.33,130.2,129.96,130.37,2674059275,0
2012-07-06,RGBI,RUB,130.16,129.97,129.92,130.25,2752699485,0
2012-07-09,RGBI,RUB,130.15,130.11,130.07,130.29,468026170,0
2012-07-10,RGBI,RUB,130.15,129.92,129.88,130.15,1135776280,0
2012-07-11,RGBI,RUB,130.17,130.08,130.04,130.18,557148383,0
2012-07-12,RGBI,RUB,130.48,130.14,129.98,130.49,1688991969,0
2012-07-13,RGBI,RUB,130.93,130.36,129.87,130.93,3113382576,0
2012-07-16,RGBI,RUB,131.64,130.94,129.92,131.64,1541929130,0
2012-07-17,RGBI,RUB,131.99,131.59,131.09,131.99,7880122440,0
2012-07-18,RGBI,RUB,132.06,131.82,131.62,132.08,2415243166,0
2012-07-19,RGBI,RUB,131.78,132.06,131.78,132.22,3502099639,0
2012-07-20,RGBI,RUB,131.58,132.11,131.17,132.11,5084531960,0
2012-07-23,RGBI,RUB,130.64,131.6,130.64,131.63,2912890472,0
2012-07-24,RGBI,RUB,130.64,130.74,130.6,130.93,1621295585,0
2012-07-25,RGBI,RUB,130.5,130.62,130.19,130.62,1200947530,0
2012-07-26,RGBI,RUB,130.94,130.65,130.32,130.94,1808854984,0
2012-07-27,RGBI,RUB,131.24,131.12,130.91,131.24,1707916898,0
2012-07-30,RGBI,RUB,131.4,131.37,131.2,131.43,1253624536,0
2012-07-31,RGBI,RUB,131.41,131.33,131.26,131.47,1069863120,0
2012-08-01,RGBI,RUB,131.57,131.44,131.31,131.57,3848353701,0
2012-08-02,RGBI,RUB,131.5,131.58,131.44,131.58,2391737477,0
2012-08-03,RGBI,RUB,131.59,131.44,131.44,131.59,2809760688,0
2012-08-06,RGBI,RUB,131.95,131.57,131.38,131.95,3321497329,0
2012-08-07,RGBI,RUB,132.15,131.96,131.84,132.19,2770585194,0
2012-08-08,RGBI,RUB,132.04,132.14,131.84,132.14,6590897300,0
2012-08-09,RGBI,RUB,131.99,132.05,131.99,132.11,2682044795,0
2012-08-10,RGBI,RUB,131.71,132,131.67,132.04,970844334,0
2012-08-13,RGBI,RUB,131.68,131.67,131.45,131.7,227290602,0
2012-08-14,RGBI,RUB,131.86,131.69,131.69,131.86,1241321642,0
2012-08-15,RGBI,RUB,131.69,131.94,131.69,131.95,949650582,0
2012-08-16,RGBI,RUB,131.76,131.7,131.68,131.76,1305255586,0
