date,secid,currency,close,open,low,high,volume,capitalization
2012-03-05,RGBITR,RUB,282.09,282.18,282.06,282.31,1213700576,
2012-03-06,RGBITR,RUB,281.92,282.12,281.92,282.16,2662382469,
2012-03-07,RGBITR,RUB,281.69,281.95,281.69,281.98,212396913,
2012-03-11,RGBITR,RUB,282.05,281.76,281.76,282.05,81536797,
2012-03-12,RGBITR,RUB,282.33,282.2,282.06,282.35,2108034264,
2012-03-13,RGBITR,RUB,282.78,282.56,282.39,282.78,5660111646,
2012-03-14,RGBITR,RUB,283.23,282.76,282.76,283.23,1897507655,
2012-03-15,RGBITR,RUB,283.25,282.96,282.46,283.36,1087120890,
2012-03-16,RGBITR,RUB,283.48,283.51,283.22,283.53,1633968283,
2012-03-19,RGBITR,RUB,283.23,283.53,282.69,283.53,560998177,
2012-03-20,RGBITR,RUB,283.15,283.7,283.13,284.03,1592134142,
2012-03-21,RGBITR,RUB,283.1,283.27,283.09,283.8,3016625022,
2012-03-22,RGBITR,RUB,283.01,283.29,283.01,283.63,4937288484,
2012-03-23,RGBITR,RUB,283,283.12,282.97,283.2,866670247,
2012-03-26,RGBITR,RUB,283.31,283.24,283.12,283.31,1001816106,
2012-03-27,RGBITR,RUB,283.41,283.48,283.35,283.5,2123447685,
2012-03-28,RGBITR,RUB,283.55,283.82,283.16,283.82,1765963975,
2012-03-29,RGBITR,RUB,283.81,283.85,283.51,283.86,937966737,
2012-03-30,RGBITR,RUB,283.77,283.89,283.77,284.67,1102121395,
2012-04-02,RGBITR,RUB,284.03,283.94,283.66,284.03,1112847811,
2012-04-03,RGBITR,RUB,284.09,284.25,283.98,284.31,1132300974,
2012-04-04,RGBITR,RUB,283.81,283.91,283.69,287.11,1585009421,
2012-04-05,RGBITR,RUB,283.85,283.96,283.85,284.12,6584582407,
2012-04-06,RGBITR,RUB,283.69,283.67,283.67,283.91,4198913121,
2012-04-09,RGBITR,RUB,283.37,283.66,283.37,283.7,1223254104,
2012-04-10,RGBITR,RUB,282.97,283.44,282.97,283.44,3138807490,
2012-04-11,RGBITR,RUB,282.89,283.19,282.74,283.19,1199166743,
2012-04-12,RGBITR,RUB,283.02,283.21,283.02,283.42,1413260177,
2012-04-13,RGBITR,RUB,282.96,282.91,282.91,283.14,1313699838,
2012-04-16,RGBITR,RUB,283,283.24,283,283.5,581995471,
2012-04-17,RGBITR,RUB,283.36,283.09,283.09,283.36,591496110,
2012-04-18,RGBITR,RUB,283.75,283.36,283.36,283.77,730845096,
2012-04-19,RGBITR,RUB,283.55,283.68,283.53,283.68,587600844,
2012-04-20,RGBITR,RUB,283.97,283.57,283.44,283.97,1794635221,
2012-04-23,RGBITR,RUB,283.86,283.57,283.57,284.19,1071335025,
2012-04-24,RGBITR,RUB,283.64,283.92,283.56,283.92,1674084855,
2012-04-25,RGBITR,RUB,283.9,283.75,283.74,284.01,602088221,
2012-04-26,RGBITR,RUB,284.09,283.95,283.94,284.14,1488460119,
2012-04-27,RGBITR,RUB,284.07,284.17,283.98,284.28,800940275,
2012-04-28,RGBITR,RUB,284.45,284.37,284.37,284.7,884265976,
2012-05-02,RGBITR,RUB,284.55,284.6,284.42,284.6,270367826,
2012-05-03,RGBITR,RUB,284.69,284.66,284.52,284.72,1110796652,
2012-05-04,RGBITR,RUB,284.65,284.78,284.65,284.86,989904658,
2012-05-05,RGBITR,RUB,284.27,284.72,284.27,284.72,274934025,
2012-05-07,RGBITR,RUB,284.56,284.56,284.56,284.56,1007,
2012-05-08,RGBITR,RUB,284.56,284.56,284.56,284.56,1007,
2012-05-10,RGBITR,RUB,284.21,284.53,284.21,284.53,324853353,
2012-05-11,RGBITR,RUB,283.89,284.48,283.83,284.48,711997161,
2012-05-12,RGBITR,RUB,284.2,284.23,284.16,284.58,59513403,
2012-05-14,RGBITR,RUB,282.88,284.24,282.88,284.24,1243333015,
2012-05-15,RGBITR,RUB,282.68,283.4,282.68,283.53,1159100258,
2012-05-16,RGBITR,RUB,281.33,283.3,281.31,283.3,1362506343,
2012-05-17,RGBITR,RUB,280.27,281.28,280.27,282.21,1581343458,
2012-05-18,RGBITR,RUB,279.65,281.37,279.5,281.79,1214778399,
2012-05-21,RGBITR,RUB,280.18,279.85,279.85,280.41,1538628620,
2012-05-22,RGBITR,RUB,280.84,280.44,280.1,280.84,1333920739,
2012-05-23,RGBITR,RUB,279.67,281.82,279.67,282.04,2234208137,
2012-05-24,RGBITR,RUB,279.25,279.75,279.06,279.85,2251396914,
2012-05-25,RGBITR,RUB,279.53,279.34,279.34,279.7,1393979473,
2012-05-28,RGBITR,RUB,279.71,280.98,279.51,280.98,770561167,
2012-05-29,RGBITR,RUB,279.91,280.22,279.77,280.23,1295186443,
2012-05-30,RGBITR,RUB,279.79,280.21,279.79,280.63,1285150971,
2012-05-31,RGBITR,RUB,279.01,280.23,278.87,280.42,1822327007,
2012-06-01,RGBITR,RUB,277.29,278.8,277.24,278.8,3004183470,
2012-06-04,RGBITR,RUB,278.29,278.01,277.94,278.34,1107627107,
2012-06-05,RGBITR,RUB,278.71,278.76,278.44,279.5,2364634562,
2012-06-06,RGBITR,RUB,280.38,278.48,278.48,280.42,1994656970,
2012-06-07,RGBITR,RUB,281.26,279.92,279.24,281.26,4070662228,
2012-06-08,RGBITR,RUB,280.32,280.53,280.27,281.52,1281938641,
2012-06-09,RGBITR,RUB,280.96,280.78,280.78,280.97,23060305,
2012-06-13,RGBITR,RUB,280.38,281.05,280.38,281.43,704475228,
2012-06-14,RGBITR,RUB,280.24,280.35,280.24,280.91,693602311,
2012-06-15,RGBITR,RUB,281.24,280.23,280.23,281.31,1217832331,
2012-06-18,RGBITR,RUB,281.43,281.49,281.42,282.39,1597772121,
2012-06-19,RGBITR,RUB,281.06,281.33,281.03,281.39,1527815058,
2012-06-20,RGBITR,RUB,280.97,281.39,280.93,281.76,1687636714,
2012-06-21,RGBITR,RUB,280.66,281.26,280.44,281.41,1519042628,
2012-06-22,RGBITR,RUB,280.62,280.68,280.62,281.09,968888278,
2012-06-25,RGBITR,RUB,280.75,281.07,280.71,281.24,1875307746,
2012-06-26,RGBITR,RUB,280.64,281.04,280.57,281.04,972660308,
2012-06-27,RGBITR,RUB,280.91,280.75,280.7,281,1240447500,
2012-06-28,RGBITR,RUB,280.81,281.23,280.5,281.23,1114146183,
2012-06-29,RGBITR,RUB,281.92,280.93,280.93,281.92,3368280420,
2012-07-02,RGBITR,RUB,283.77,281.99,281.99,283.77,3004988582,
2012-07-03,RGBITR,RUB,284.71,283.88,280.18,284.71,1331423947,
2012-07-04,RGBITR,RUB,285.53,284.35,283.43,285.53,1594537788,
2012-07-05,RGBITR,RUB,285.52,285.24,284.72,285.6,2674059275,
2012-07-06,RGBITR,RUB,285.2,284.81,284.7,285.41,2752699485,
2012-07-09,RGBITR,RUB,285.36,285.28,285.17,285.66,468026170,
2012-07-10,RGBITR,RUB,285.42,284.92,284.84,285.43,1135776280,
2012-07-11,RGBITR,RUB,285.53,285.34,285.24,285.53,557148383,
2012-07-12,RGBITR,RUB,286.25,285.52,285.18,286.27,1688991969,
2012-07-13,RGBITR,RUB,287.27,286.05,285,287.27,3113382576,
2012-07-16,RGBITR,RUB,288.97,287.46,285.26,288.97,1541929130,
2012-07-17,RGBITR,RUB,289.78,288.92,287.84,289.78,7880122440,
2012-07-18,RGBITR,RUB,289.99,289.48,289.05,290.04,2415243166,
2012-07-19,RGBITR,RUB,289.44,290.05,289.44,290.38,3502099639,
2012-07-20,RGBITR,RUB,289.06,290.21,288.18,290.21,5084531960,
2012-07-23,RGBITR,RUB,287.22,289.27,287.22,289.35,2912890472,
2012-07-24,RGBITR,RUB,287.29,287.49,287.19,287.9,1621295585,
2012-07-25,RGBITR,RUB,287.04,287.31,286.38,287.31,1200947530,
2012-07-26,RGBITR,RUB,288.04,287.41,286.7,288.04,1808854984,
2012-07-27,RGBITR,RUB,288.74,288.48,288.03,288.74,1707916898,
2012-07-30,RGBITR,RUB,289.26,289.19,288.84,289.31,1253624536,
2012-07-31,RGBITR,RUB,289.34,289.17,289.02,289.47,1069863120,
2012-08-01,RGBITR,RUB,289.74,289.45,289.18,289.75,3848353701,
