,date,secid,open,close,low,high,volume,currency,capitalization
0,2006-12-29,MOEXCH,0,3500,0,0,0,RUB,
1,2007-01-09,MOEXCH,3464.31,3498.53,3464.31,3540.33,418955.17,RUB,
2,2007-01-10,MOEXCH,3495.33,3501.53,3420.39,3501.53,456737.76,RUB,
3,2007-01-11,MOEXCH,3504.01,3521.07,3454.3,3521.07,914516.62,RUB,
4,2007-01-12,MOEXCH,3535.55,3491.26,3458.85,3535.99,1404610.34,RUB,
5,2007-01-15,MOEXCH,3485.3,3543.54,3481.86,3565.4,3307662.37,RUB,
6,2007-01-16,MOEXCH,3544.1,3538.71,3534.3,3562.1,928590.06,RUB,
7,2007-01-17,MOEXCH,3545.31,3427.32,3427.12,3555.07,8563176.41,RUB,
8,2007-01-18,MOEXCH,3450.69,3364.69,3364.69,3500.14,5533467.02,RUB,
9,2007-01-19,MOEXCH,3364.25,3346.64,3317.15,3364.29,1577400.76,RUB,
10,2007-01-22,MOEXCH,3347.24,3356.08,3343.8,3381.37,1155950.29,RUB,
11,2007-01-23,MOEXCH,3356.56,3347.83,3347.83,3397.62,679518.97,RUB,
12,2007-01-24,MOEXCH,3347.95,3343.23,3343.23,3357.43,1824255.91,RUB,
13,2007-01-25,MOEXCH,3343.47,3386.05,3343.47,3417.35,1587204.72,RUB,
14,2007-01-26,MOEXCH,3385.81,3384.04,3382.17,3404.12,1273186.5,RUB,
15,2007-01-29,MOEXCH,3383.84,3348.75,3348.75,3383.88,4499609.8,RUB,
16,2007-01-30,MOEXCH,3348.75,3269.57,3269.57,3348.75,2693920.79,RUB,
17,2007-01-31,MOEXCH,3269.85,3303.94,3269.25,3336.31,5418691.75,RUB,
18,2007-02-01,MOEXCH,3303.94,3307.78,3303.94,3335.23,2126830.19,RUB,
19,2007-02-02,MOEXCH,3307.82,3324.99,3307.82,3363.31,1400308.47,RUB,
20,2007-02-05,MOEXCH,3325.19,3295.72,3293.94,3335.51,938608.93,RUB,
21,2007-02-06,MOEXCH,3295.6,3291.65,3289.41,3302.09,1871473.87,RUB,
22,2007-02-07,MOEXCH,3291.61,3271.08,3270.56,3300.05,1809580.01,RUB,
23,2007-02-08,MOEXCH,3271.16,3253.71,3252.87,3283.68,1049296.51,RUB,
24,2007-02-09,MOEXCH,3254.03,3262.02,3254.03,3292.1,665985.14,RUB,
25,2007-02-12,MOEXCH,3262.42,3250.68,3250.68,3267.96,1983249.03,RUB,
26,2007-02-13,MOEXCH,3250.2,3230.57,3229.57,3252.96,3602934.09,RUB,
27,2007-02-14,MOEXCH,3231.29,3231.64,3231.04,3237.81,1987672.63,RUB,
28,2007-02-15,MOEXCH,3234.36,3231.64,3223.6,3238.64,2292001.26,RUB,
29,2007-02-16,MOEXCH,3231.6,3202.85,3202.85,3231.6,2127172.23,RUB,
30,2007-02-19,MOEXCH,3203.33,3146,3145.76,3203.61,6796327.57,RUB,
31,2007-02-20,MOEXCH,3147.28,3137.82,3137.82,3158.12,2886067.23,RUB,
32,2007-02-21,MOEXCH,3136.82,3140.3,3102.69,3150.1,839307.29,RUB,
33,2007-02-22,MOEXCH,3140.38,3150.42,3138.29,3184.48,1122963.02,RUB,
34,2007-02-26,MOEXCH,3150.94,3157.58,3147.07,3161.07,1845934.08,RUB,
35,2007-02-27,MOEXCH,3157.5,3098.4,3098.12,3157.5,1868761.2,RUB,
36,2007-02-28,MOEXCH,3098.36,3105.77,3017.97,3105.77,1643355.97,RUB,
