date,secid,currency,close,open,low,high,volume,capitalization
2016-12-28,MREDC,RUB,159646.69,159646.69,159646.69,159646.69,,
2017-01-04,MREDC,RUB,158952.36,158952.36,158952.36,158952.36,,
2017-01-11,MREDC,RUB,158470.18,158470.18,158470.18,158470.18,,
2017-01-18,MREDC,RUB,157778.75,157778.75,157778.75,157778.75,,
2017-01-25,MREDC,RUB,157832.09,157832.09,157832.09,157832.09,,
2017-02-01,MREDC,RUB,159664.11,159664.11,159664.11,159664.11,,
2017-02-08,MREDC,RUB,159020.3,159020.3,159020.3,159020.3,,
2017-02-15,MREDC,RUB,159135.45,159135.45,159135.45,159135.45,,
2017-02-22,MREDC,RUB,160328.31,160328.31,160328.31,160328.31,,
2017-03-01,MREDC,RUB,159480.39,159480.39,159480.39,159480.39,,
2017-03-08,MREDC,RUB,160969.3,160969.3,160969.3,160969.3,,
2017-03-15,MREDC,RUB,161290.53,161290.53,161290.53,161290.53,,
2017-03-22,MREDC,RUB,160626.76,160626.76,160626.76,160626.76,,
2017-03-29,MREDC,RUB,159647.91,159647.91,159647.91,159647.91,,
2017-04-05,MREDC,RUB,159775.14,159775.14,159775.14,159775.14,,
2017-04-12,MREDC,RUB,158288.8,158288.8,158288.8,158288.8,,
2017-04-19,MREDC,RUB,158677.63,158677.63,158677.63,158677.63,,
2017-04-26,MREDC,RUB,159314.81,159314.81,159314.81,159314.81,,
2017-05-03,MREDC,RUB,158496.88,158496.88,158496.88,158496.88,,
2017-05-10,MREDC,RUB,158571.02,158571.02,158571.02,158571.02,,
2017-05-17,MREDC,RUB,157885.33,157885.33,157885.33,157885.33,,
2017-05-24,MREDC,RUB,157767.2,157767.2,157767.2,157767.2,,
2017-05-31,MREDC,RUB,156256.45,156256.45,156256.45,156256.45,,
2017-06-07,MREDC,RUB,156792.59,156792.59,156792.59,156792.59,,
2017-06-14,MREDC,RUB,157168.96,157168.96,157168.96,157168.96,,
2017-06-21,MREDC,RUB,157126.29,157126.29,157126.29,157126.29,,
2017-06-28,MREDC,RUB,158539.88,158539.88,158539.88,158539.88,,
2017-07-05,MREDC,RUB,158497.8,158497.8,158497.8,158497.8,,
2017-07-12,MREDC,RUB,157889.15,157889.15,157889.15,157889.15,,
2017-07-19,MREDC,RUB,158302.11,158302.11,158302.11,158302.11,,
2017-07-26,MREDC,RUB,158459.89,158459.89,158459.89,158459.89,,
2017-08-02,MREDC,RUB,159505.6,159505.6,159505.6,159505.6,,
2017-08-09,MREDC,RUB,159464.2,159464.2,159464.2,159464.2,,
2017-08-16,MREDC,RUB,158500.09,158500.09,158500.09,158500.09,,
2017-08-23,MREDC,RUB,156225.8,156225.8,156225.8,156225.8,,
2017-08-30,MREDC,RUB,155436.73,155436.73,155436.73,155436.73,,
2017-09-06,MREDC,RUB,156752.92,156752.92,156752.92,156752.92,,
2017-09-13,MREDC,RUB,156658.86,156658.86,156658.86,156658.86,,
2017-09-20,MREDC,RUB,157844.88,157844.88,157844.88,157844.88,,
2017-09-27,MREDC,RUB,158431.64,158431.64,158431.64,158431.64,,
2017-10-04,MREDC,RUB,157729.48,157729.48,157729.48,157729.48,,
2017-10-11,MREDC,RUB,157856.88,157856.88,157856.88,157856.88,,
2017-10-18,MREDC,RUB,158598.61,158598.61,158598.61,158598.61,,
2017-10-25,MREDC,RUB,158427.57,158427.57,158427.57,158427.57,,
2017-11-01,MREDC,RUB,157918.22,157918.22,157918.22,157918.22,,
2017-11-08,MREDC,RUB,158508.82,158508.82,158508.82,158508.82,,
2017-11-15,MREDC,RUB,158024.43,158024.43,158024.43,158024.43,,
2017-11-22,MREDC,RUB,156617.47,156617.47,156617.47,156617.47,,
2017-11-29,MREDC,RUB,156166.4,156166.4,156166.4,156166.4,,
2017-12-06,MREDC,RUB,155967.04,155967.04,155967.04,155967.04,,
2017-12-13,MREDC,RUB,155622.97,155622.97,155622.97,155622.97,,
2017-12-20,MREDC,RUB,156218.27,156218.27,156218.27,156218.27,,
2017-12-27,MREDC,RUB,157586.05,157586.05,157586.05,157586.05,,
2018-01-03,MREDC,RUB,157039.44,157039.44,157039.44,157039.44,,
2018-01-10,MREDC,RUB,156989.17,156989.17,156989.17,156989.17,,
2018-01-17,MREDC,RUB,156986.15,156986.15,156986.15,156986.15,,
2018-01-24,MREDC,RUB,155992.16,155992.16,155992.16,155992.16,,
2018-01-31,MREDC,RUB,157317.44,157317.44,157317.44,157317.44,,
2018-02-07,MREDC,RUB,156339.46,156339.46,156339.46,156339.46,,
2018-02-14,MREDC,RUB,156917.05,156917.05,156917.05,156917.05,,
2018-02-21,MREDC,RUB,157012.77,157012.77,157012.77,157012.77,,
2018-02-28,MREDC,RUB,156980.98,156980.98,156980.98,156980.98,,
2018-03-07,MREDC,RUB,157414.89,157414.89,157414.89,157414.89,,
2018-03-14,MREDC,RUB,158079.46,158079.46,158079.46,158079.46,,
2018-03-21,MREDC,RUB,157384.79,157384.79,157384.79,157384.79,,
2018-03-28,MREDC,RUB,156769.31,156769.31,156769.31,156769.31,,
2018-04-04,MREDC,RUB,156725.55,156725.55,156725.55,156725.55,,
2018-04-11,MREDC,RUB,156243.78,156243.78,156243.78,156243.78,,
2018-04-18,MREDC,RUB,155408.84,155408.84,155408.84,155408.84,,
2018-04-25,MREDC,RUB,157889.29,157889.29,157889.29,157889.29,,
2018-05-02,MREDC,RUB,157153.46,157153.46,157153.46,157153.46,,
2018-05-09,MREDC,RUB,157449.88,157449.88,157449.88,157449.88,,
2018-05-16,MREDC,RUB,158332.85,158332.85,158332.85,158332.85,,
2018-05-23,MREDC,RUB,157357.35,157357.35,157357.35,157357.35,,
2018-05-30,MREDC,RUB,157700.16,157700.16,157700.16,157700.16,,
2018-06-06,MREDC,RUB,158419.99,158419.99,158419.99,158419.99,,
2018-06-13,MREDC,RUB,159020.35,159020.35,159020.35,159020.35,,
2018-06-20,MREDC,RUB,159287.38,159287.38,159287.38,159287.38,,
2018-06-27,MREDC,RUB,158864.34,158864.34,158864.34,158864.34,,
2018-07-04,MREDC,RUB,159738.91,159738.91,159738.91,159738.91,,
2018-07-11,MREDC,RUB,159218.86,159218.86,159218.86,159218.86,,
2018-07-18,MREDC,RUB,159580.07,159580.07,159580.07,159580.07,,
2018-07-25,MREDC,RUB,159750.66,159750.66,159750.66,159750.66,,
2018-08-01,MREDC,RUB,159190.68,159190.68,159190.68,159190.68,,
2018-08-08,MREDC,RUB,159691.82,159691.82,159691.82,159691.82,,
2018-08-15,MREDC,RUB,160615.38,160615.38,160615.38,160615.38,,
2018-08-22,MREDC,RUB,162970.81,162970.81,162970.81,162970.81,,
2018-08-29,MREDC,RUB,162344.23,162344.23,162344.23,162344.23,,
2018-09-05,MREDC,RUB,162467.49,162467.49,162467.49,162467.49,,
2018-09-12,MREDC,RUB,161753.02,161753.02,161753.02,161753.02,,
2018-09-19,MREDC,RUB,160867.26,160867.26,160867.26,160867.26,,
2018-09-26,MREDC,RUB,161429.18,161429.18,161429.18,161429.18,,
2018-10-03,MREDC,RUB,162619.32,162619.32,162619.32,162619.32,,
2018-10-10,MREDC,RUB,163417.03,163417.03,163417.03,163417.03,,
2018-10-17,MREDC,RUB,165094.56,165094.56,165094.56,165094.56,,
2018-10-24,MREDC,RUB,166180.94,166180.94,166180.94,166180.94,,
2018-10-31,MREDC,RUB,166380.4,166380.4,166380.4,166380.4,,
2018-11-07,MREDC,RUB,167146.07,167146.07,167146.07,167146.07,,
2018-11-14,MREDC,RUB,166358.38,166358.38,166358.38,166358.38,,
2018-11-21,MREDC,RUB,167319.51,167319.51,167319.51,167319.51,,
2018-11-28,MREDC,RUB,167768.52,167768.52,167768.52,167768.52,,
2018-12-05,MREDC,RUB,167599.18,167599.18,167599.18,167599.18,,
2018-12-12,MREDC,RUB,168950.26,168950.26,168950.26,168950.26,,
2018-12-19,MREDC,RUB,168344.42,168344.42,168344.42,168344.42,,
2018-12-26,MREDC,RUB,169104.31,169104.31,169104.31,169104.31,,
2019-01-02,MREDC,RUB,169433.38,169433.38,169433.38,169433.38,,
2019-01-09,MREDC,RUB,169302.81,169302.81,169302.81,169302.81,,
2019-01-16,MREDC,RUB,169302.12,169302.12,169302.12,169302.12,,
2019-01-23,MREDC,RUB,169428.08,169428.08,169428.08,169428.08,,
2019-01-30,MREDC,RUB,170914.04,170914.04,170914.04,170914.04,,
2019-02-06,MREDC,RUB,171341.58,171341.58,171341.58,171341.58,,
2019-02-13,MREDC,RUB,170971.62,170971.62,170971.62,170971.62,,
2019-02-20,MREDC,RUB,171884.29,171884.29,171884.29,171884.29,,
2019-02-27,MREDC,RUB,172979.39,172979.39,172979.39,172979.39,,
2019-03-06,MREDC,RUB,172930.86,172930.86,172930.86,172930.86,,
2019-03-13,MREDC,RUB,173882.06,173882.06,173882.06,173882.06,,
2019-03-20,MREDC,RUB,175594.6,175594.6,175594.6,175594.6,,
2019-03-27,MREDC,RUB,175817.59,175817.59,175817.59,175817.59,,
2019-04-03,MREDC,RUB,177414.03,177414.03,177414.03,177414.03,,
2019-04-10,MREDC,RUB,177950.43,177950.43,177950.43,177950.43,,
2019-04-17,MREDC,RUB,177476.03,177476.03,177476.03,177476.03,,
2019-04-24,MREDC,RUB,178372.21,178372.21,178372.21,178372.21,,
2019-05-01,MREDC,RUB,177801.18,177801.18,177801.18,177801.18,,
2019-05-08,MREDC,RUB,176249.37,176249.37,176249.37,176249.37,,
2019-05-15,MREDC,RUB,175919.62,175919.62,175919.62,175919.62,,
2019-05-22,MREDC,RUB,177685.04,177685.04,177685.04,177685.04,,
2019-05-29,MREDC,RUB,179623.44,179623.44,179623.44,179623.44,,
2019-06-05,MREDC,RUB,180445.86,180445.86,180445.86,180445.86,,
2019-06-12,MREDC,RUB,180945.23,180945.23,180945.23,180945.23,,
2019-06-19,MREDC,RUB,179524.29,179524.29,179524.29,179524.29,,
2019-06-26,MREDC,RUB,179802.26,179802.26,179802.26,179802.26,,
2019-07-03,MREDC,RUB,180038.64,180038.64,180038.64,180038.64,,
2019-07-10,MREDC,RUB,180016.65,180016.65,180016.65,180016.65,,
2019-07-17,MREDC,RUB,180963.72,180963.72,180963.72,180963.72,,
2019-07-24,MREDC,RUB,181106.93,181106.93,181106.93,181106.93,,
2019-07-31,MREDC,RUB,180579.28,180579.28,180579.28,180579.28,,
2019-08-07,MREDC,RUB,179041.85,179041.85,179041.85,179041.85,,
2019-08-14,MREDC,RUB,178010.78,178010.78,178010.78,178010.78,,
2019-08-21,MREDC,RUB,179726.4,179726.4,179726.4,179726.4,,
2019-08-28,MREDC,RUB,181144.15,181144.15,181144.15,181144.15,,
2019-09-04,MREDC,RUB,180804.81,180804.81,180804.81,180804.81,,
2019-09-11,MREDC,RUB,181413.06,181413.06,181413.06,181413.06,,
2019-09-18,MREDC,RUB,181197.99,181197.99,181197.99,181197.99,,
2019-09-25,MREDC,RUB,181199.02,181199.02,181199.02,181199.02,,
2019-10-02,MREDC,RUB,182055.52,182055.52,182055.52,182055.52,,
2019-10-09,MREDC,RUB,182966.35,182966.35,182966.35,182966.35,,
2019-10-16,MREDC,RUB,182821.2,182821.2,182821.2,182821.2,,
2019-10-23,MREDC,RUB,182584.36,182584.36,182584.36,182584.36,,
2019-10-30,MREDC,RUB,182373.17,182373.17,182373.17,182373.17,,
2019-11-06,MREDC,RUB,181284.26,181284.26,181284.26,181284.26,,
2019-11-13,MREDC,RUB,181804.98,181804.98,181804.98,181804.98,,
2019-11-20,MREDC,RUB,180825.55,180825.55,180825.55,180825.55,,
2019-11-27,MREDC,RUB,180221.66,180221.66,180221.66,180221.66,,
2019-12-04,MREDC,RUB,180602.58,180602.58,180602.58,180602.58,,
2019-12-11,MREDC,RUB,179888.3,179888.3,179888.3,179888.3,,
2019-12-18,MREDC,RUB,179488.66,179488.66,179488.66,179488.66,,
2019-12-25,MREDC,RUB,179350.75,179350.75,179350.75,179350.75,,
2020-01-01,MREDC,RUB,180783.22,180783.22,180783.22,180783.22,,
2020-01-08,MREDC,RUB,179993.73,179993.73,179993.73,179993.73,,
2020-01-15,MREDC,RUB,180693.39,180693.39,180693.39,180693.39,,
2020-01-22,MREDC,RUB,182583.81,182583.81,182583.81,182583.81,,
2020-01-29,MREDC,RUB,182689.9,182689.9,182689.9,182689.9,,
2020-02-05,MREDC,RUB,181807.72,181807.72,181807.72,181807.72,,
2020-02-12,MREDC,RUB,182646.23,182646.23,182646.23,182646.23,,
2020-02-19,MREDC,RUB,181599.68,181599.68,181599.68,181599.68,,
2020-02-26,MREDC,RUB,181311.27,181311.27,181311.27,181311.27,,
2020-03-04,MREDC,RUB,182570.62,182570.62,182570.62,182570.62,,
2020-03-11,MREDC,RUB,182274.24,182274.24,182274.24,182274.24,,
2020-03-18,MREDC,RUB,183497.2,183497.2,183497.2,183497.2,,
2020-03-25,MREDC,RUB,184642.5,184642.5,184642.5,184642.5,,
2020-04-01,MREDC,RUB,183592.14,183592.14,183592.14,183592.14,,
2020-04-08,MREDC,RUB,185106.55,185106.55,185106.55,185106.55,,
2020-04-15,MREDC,RUB,184422.12,184422.12,184422.12,184422.12,,
2020-04-22,MREDC,RUB,183955.82,183955.82,183955.82,183955.82,,
2020-04-29,MREDC,RUB,183525.31,183525.31,183525.31,183525.31,,
2020-05-06,MREDC,RUB,183189.84,183189.84,183189.84,183189.84,,
2020-05-13,MREDC,RUB,184648.25,184648.25,184648.25,184648.25,,
2020-05-20,MREDC,RUB,184407.55,184407.55,184407.55,184407.55,,
2020-05-27,MREDC,RUB,185236.54,185236.54,185236.54,185236.54,,
2020-06-03,MREDC,RUB,185694.75,185694.75,185694.75,185694.75,,
2020-06-10,MREDC,RUB,184662.57,184662.57,184662.57,184662.57,,
2020-06-17,MREDC,RUB,182667.47,182667.47,182667.47,182667.47,,
2020-06-24,MREDC,RUB,183780.15,183780.15,183780.15,183780.15,,
2020-07-01,MREDC,RUB,184583.68,184583.68,184583.68,184583.68,,
2020-07-08,MREDC,RUB,186435,186435,186435,186435,,
2020-07-15,MREDC,RUB,186347.68,186347.68,186347.68,186347.68,,
2020-07-22,MREDC,RUB,185810.31,185810.31,185810.31,185810.31,,
2020-07-29,MREDC,RUB,188465.96,188465.96,188465.96,188465.96,,
2020-08-05,MREDC,RUB,188577.7,188577.7,188577.7,188577.7,,
2020-08-12,MREDC,RUB,190255.16,190255.16,190255.16,190255.16,,
2020-08-19,MREDC,RUB,191236.39,191236.39,191236.39,191236.39,,
2020-08-26,MREDC,RUB,189603.28,189603.28,189603.28,189603.28,,
2020-09-02,MREDC,RUB,191745.37,191745.37,191745.37,191745.37,,
2020-09-09,MREDC,RUB,191553.06,191553.06,191553.06,191553.06,,
2020-09-16,MREDC,RUB,191871.57,191871.57,191871.57,191871.57,,
2020-09-23,MREDC,RUB,192843.85,192843.85,192843.85,192843.85,0,6315907.96
2020-09-30,MREDC,RUB,191913.57,191913.57,191913.57,191913.57,0,6302886.0988
2020-10-07,MREDC,RUB,193108.83,193108.83,193108.83,193108.83,0,6307901.5879
2020-10-14,MREDC,RUB,194486.48,194486.48,194486.48,194486.48,0,6383461.4263
2020-10-21,MREDC,RUB,195493.32,195493.32,195493.32,195493.32,0,6399205.8892
2020-10-28,MREDC,RUB,196634.67,196634.67,196634.67,196634.67,0,6444800.0622
2020-11-05,MREDC,RUB,197358.61,197358.61,197358.61,197358.61,0,6461326.3
2020-11-11,MREDC,RUB,198286.64,198286.64,198286.64,198286.64,0,6462122.2261
2020-11-18,MREDC,RUB,199194.1,198286.64,198286.64,199194.1,0,6493999.847
2020-11-25,MREDC,RUB,199589.71,199589.71,199589.71,199589.71,0,6515209.15
2020-12-02,MREDC,RUB,200369.99,200369.99,200369.99,200369.99,0,6521112.8257
2020-12-09,MREDC,RUB,200975.18,200975.18,200975.18,200975.18,0,6555492.2
2020-12-16,MREDC,RUB,201806.25,201806.25,201806.25,201806.25,0,6579227.59
2020-12-23,MREDC,RUB,204029.43,204029.43,204029.43,204029.43,0,6648699.81
2020-12-30,MREDC,RUB,205220.19,205220.19,205220.19,205220.19,0,6706836.52
2021-01-06,MREDC,RUB,205331.12,205331.12,205331.12,205331.12,0,6686597.67
2021-01-13,MREDC,RUB,204928.21,204928.21,204928.21,204928.21,0,6682356.21
2021-01-20,MREDC,RUB,205729.38,205729.38,205729.38,205729.38,0,6735235.19
2021-01-27,MREDC,RUB,207569.96,207569.96,207569.96,207569.96,0,6763331.41
2021-02-03,MREDC,RUB,209347.5,209347.5,209347.5,209347.5,0,6824557.9153
2021-02-10,MREDC,RUB,209640.21,209640.21,209640.21,209640.21,0,6823800.7034
2021-02-17,MREDC,RUB,209465.25,209465.25,209465.25,209465.25,0,6846788.46
2021-02-24,MREDC,RUB,211396.41,211396.41,211396.41,211396.41,0,6901585.84
2021-03-03,MREDC,RUB,212773.53,212773.53,212773.53,212773.53,0,6937594.1
2021-03-10,MREDC,RUB,214959.15,214959.15,214959.15,214959.15,0,7026003.59
2021-03-17,MREDC,RUB,218250.16,218250.16,218250.16,218250.16,0,7109780.39
2021-03-24,MREDC,RUB,217864.79,217864.79,217864.79,217864.79,0,7079129.5
2021-03-31,MREDC,RUB,217665.48,217665.48,217665.48,217665.48,0,7072484.27
2021-04-07,MREDC,RUB,219942.97,219942.97,219942.97,219942.97,0,7197388.103
2021-04-14,MREDC,RUB,219186.09,219186.09,219186.09,219186.09,0,7186215.98
2021-04-21,MREDC,RUB,221193.3,221193.3,221193.3,221193.3,0,7277274.49
2021-04-28,MREDC,RUB,220921.89,220921.89,220921.89,220921.89,0,7262769.33
2021-05-05,MREDC,RUB,222146.15,222146.15,222146.15,222146.15,0,7317186.34
2021-05-12,MREDC,RUB,223605.36,223605.36,223605.36,223605.36,0,7372600.2
2021-05-24,MREDC,RUB,224687.2,224687.2,224687.2,224687.2,0,7397751.86
2021-05-26,MREDC,RUB,224214.03,224214.03,224214.03,224214.03,0,7394938.52
2021-06-02,MREDC,RUB,225354.8,225354.8,225354.8,225354.8,0,7394961.75
2021-06-09,MREDC,RUB,225609.87,225609.87,225609.87,225609.87,0,7403006.5
2021-06-16,MREDC,RUB,226753.63,226753.63,226753.63,226753.63,0,7430556.89
2021-06-23,MREDC,RUB,228002.57,228002.57,228002.57,228002.57,0,7465716.25
2021-06-30,MREDC,RUB,229635.5,229635.5,229635.5,229635.5,0,7463998.4653
2021-07-07,MREDC,RUB,231225.74,231225.74,231225.74,231225.74,0,7504736.4
2021-07-14,MREDC,RUB,233568.44,233568.44,233568.44,233568.44,0,7593539.17
2021-07-21,MREDC,RUB,234726.73,234726.73,234726.73,234726.73,0,7658973.24
2021-07-28,MREDC,RUB,235973.32,235973.32,235973.32,235973.32,0,7653623.48
2021-08-04,MREDC,RUB,236690.72,236690.72,236690.72,236690.72,0,7682953.47
