date,secid,currency,close,open,low,high,volume,capitalization
2004-12-30,MOEXEU,RUB,1000,1000,1000,1000,0,
2005-01-11,MOEXEU,RUB,1001.62,999.88,988.13,1003.62,1528097279.2,
2005-01-12,MOEXEU,RUB,992.42,1001.68,991.01,1003.67,2220668273.3,
2005-01-13,MOEXEU,RUB,991,992.44,988.77,996.57,1942771966,
2005-01-14,MOEXEU,RUB,987.27,991,983.81,992.11,1384075575.9,
2005-01-17,MOEXEU,RUB,984.63,987.29,984.61,996.95,2751242687.6,
2005-01-18,MOEXEU,RUB,972.73,984.63,972.73,985.81,3435011125.8,
2005-01-19,MOEXEU,RUB,975.36,972.73,969.85,975.64,3235812321.4,
2005-01-20,MOEXEU,RUB,973.37,975.4,969.08,977.06,2654894139.5,
2005-01-21,MOEXEU,RUB,975.22,973.37,972.93,978.09,2897458726.8,
2005-01-24,MOEXEU,RUB,984.97,975.22,975.22,985.15,3285678035.2,
2005-01-25,MOEXEU,RUB,994.72,984.99,984.97,995.21,4770752982,
2005-01-26,MOEXEU,RUB,991.53,994.72,987.94,996.3,2732007960,
2005-01-27,MOEXEU,RUB,996.18,991.55,989.3,997.52,3213510232.7,
2005-01-28,MOEXEU,RUB,1019.43,996.18,994,1021.57,4774475686.1,
2005-01-31,MOEXEU,RUB,1030.24,1019.49,1019.43,1039.54,6480930466.6,
2005-02-01,MOEXEU,RUB,1033.49,1030.24,1026.4,1034.55,3948992875.7,
2005-02-02,MOEXEU,RUB,1048.53,1033.49,1031.23,1051.56,4940223167,
2005-02-03,MOEXEU,RUB,1042.58,1048.53,1042.56,1050.85,4995745149,
2005-02-04,MOEXEU,RUB,1046.23,1042.58,1040.05,1047.05,2738512365,
2005-02-07,MOEXEU,RUB,1032.96,1046.27,1031.59,1052.12,5266444898.2,
2005-02-08,MOEXEU,RUB,1040.09,1032.96,1030.06,1041.91,3324333058.5,
2005-02-09,MOEXEU,RUB,1034.1,1040.05,1031.97,1043.42,4668280625.6,
2005-02-10,MOEXEU,RUB,1030.17,1034.02,1024.55,1034.79,2569121967.1,
2005-02-11,MOEXEU,RUB,1026.76,1030.17,1025.14,1030.85,1970517917.1,
2005-02-14,MOEXEU,RUB,1022.68,1026.76,1022.28,1029.72,3558816158.4,
2005-02-15,MOEXEU,RUB,1027.66,1022.68,1016.39,1027.69,2338249837.2,
2005-02-16,MOEXEU,RUB,1024.46,1027.66,998.88,1027.93,3915824079.5,
2005-02-17,MOEXEU,RUB,1029.58,1024.46,1019.9,1030.2,1845713665.5,
2005-02-18,MOEXEU,RUB,1030.3,1029.58,1022.09,1034.71,3830003233.4,
2005-02-21,MOEXEU,RUB,1039.7,1030.3,1030.3,1041.23,1558239772.2,
2005-02-22,MOEXEU,RUB,1040.64,1039.7,1036.92,1049.18,2804716011.9,
2005-02-24,MOEXEU,RUB,1048.96,1040.64,1033.08,1049.57,3630369826.4,
2005-02-25,MOEXEU,RUB,1043.2,1049.15,1039.4,1053.28,5239226314.2,
2005-02-28,MOEXEU,RUB,1041.06,1043.24,1039.21,1045.69,4230113983,
2005-03-01,MOEXEU,RUB,1023.34,1041.08,1022.86,1041.65,3248997465.9,
2005-03-02,MOEXEU,RUB,1004.93,1023.36,1004.65,1033.17,5836409930.3,
2005-03-03,MOEXEU,RUB,997.75,1004.95,996.58,1006.97,3491606067.2,
2005-03-04,MOEXEU,RUB,1003.48,997.75,992.86,1003.79,2126249377.6,
2005-03-05,MOEXEU,RUB,1008.59,1003.48,1003.48,1013.31,991139223.9,
2005-03-09,MOEXEU,RUB,1010.78,1008.67,1007.32,1020.81,3831867064.5,
2005-03-10,MOEXEU,RUB,1001.66,1010.74,995.83,1010.78,3655017358.5,
2005-03-11,MOEXEU,RUB,1013.63,1001.62,995.5,1015.73,3207065504.2,
2005-03-14,MOEXEU,RUB,997.39,1013.63,996.65,1015.61,2912323752,
