date,secid,currency,close,open,low,high,volume,capitalization
2004-12-30,MOEXFN,RUB,1000,1000,1000,1000,0,
2005-01-11,MOEXFN,RUB,1004.9,990.75,983.27,1009.27,187062750.04,
2005-01-12,MOEXFN,RUB,995.09,1005.01,986.38,1005.81,132679638.02,
2005-01-13,MOEXFN,RUB,993.07,995.88,982.52,995.88,138763524.52,
2005-01-14,MOEXFN,RUB,986.06,993.08,985.91,1002.41,99654448.9,
2005-01-17,MOEXFN,RUB,966.38,986.06,966.38,992.93,216104408.02,
2005-01-18,MOEXFN,RUB,958.84,966.45,955.49,972.44,148553958.52,
2005-01-19,MOEXFN,RUB,963.07,958.92,956.81,977.77,151599984.19,
2005-01-20,MOEXFN,RUB,952.21,963.09,948.73,966.9,115939271.11,
2005-01-21,MOEXFN,RUB,959.31,952.2,946.86,962.01,193757707.72,
2005-01-24,MOEXFN,RUB,976.4,959.93,956.16,977.24,175858192.61,
2005-01-25,MOEXFN,RUB,991.96,976.95,976.95,1003.11,533578404.36,
2005-01-26,MOEXFN,RUB,994,991.95,985.62,1003.43,222831174.68,
2005-01-27,MOEXFN,RUB,995.59,994.15,988.73,998.23,136012883.02,
2005-01-28,MOEXFN,RUB,1018.48,995.54,987.97,1018.73,267170053.54,
2005-01-31,MOEXFN,RUB,1015.58,1018.48,1009.01,1037.68,454647093.67,
2005-02-01,MOEXFN,RUB,1035.42,1016.54,1016.52,1038.32,464769083.99,
2005-02-02,MOEXFN,RUB,1033.6,1035.51,1028.86,1042,352659908.54,
2005-02-03,MOEXFN,RUB,1045.82,1033.64,1031.63,1049.75,417654191.1,
2005-02-04,MOEXFN,RUB,1049.51,1045.68,1039.04,1054.59,311544302.36,
2005-02-07,MOEXFN,RUB,1059.86,1049.53,1049.53,1063.33,336889247.37,
2005-02-08,MOEXFN,RUB,1066.21,1060.09,1053.26,1067.55,304819550.71,
2005-02-09,MOEXFN,RUB,1069.48,1066.19,1062.59,1080.25,379895470.43,
2005-02-10,MOEXFN,RUB,1067.93,1069.46,1050.41,1074.12,214992183.65,
2005-02-11,MOEXFN,RUB,1077.73,1067.89,1051.46,1086.81,393312378.48,
2005-02-14,MOEXFN,RUB,1098.67,1077.77,1074.51,1100.84,344462404.2,
2005-02-15,MOEXFN,RUB,1108.62,1098.68,1097.88,1109.19,267415301.23,
2005-02-16,MOEXFN,RUB,1095.26,1108.65,1082.71,1108.71,359584354.92,
2005-02-17,MOEXFN,RUB,1100.06,1095.39,1086.47,1100.06,219187886.5,
2005-02-18,MOEXFN,RUB,1107.33,1100.03,1091.76,1112.01,289035866.23,
2005-02-21,MOEXFN,RUB,1106.05,1107.33,1102.11,1114.1,140659704.62,
2005-02-22,MOEXFN,RUB,1115.73,1106.05,1099.13,1116.26,291168432.44,
2005-02-24,MOEXFN,RUB,1132.03,1115.73,1109.36,1137.71,343480959.02,
2005-02-25,MOEXFN,RUB,1159.45,1132.24,1130.82,1159.45,408601882.5,
2005-02-28,MOEXFN,RUB,1159.33,1159.45,1150.1,1162.55,288053750.06,
2005-03-01,MOEXFN,RUB,1154.1,1159.39,1150.92,1171.34,277478638.51,
2005-03-02,MOEXFN,RUB,1125.49,1153.92,1124.21,1164.86,364517362.72,
2005-03-03,MOEXFN,RUB,1131.43,1125.57,1119.57,1134.56,195713528.75,
2005-03-04,MOEXFN,RUB,1178.62,1131.54,1131.54,1181.07,419164755.08,
2005-03-05,MOEXFN,RUB,1174.52,1178.62,1169.42,1178.8,89627543.74,
2005-03-09,MOEXFN,RUB,1159.54,1174.54,1149.59,1181.47,200072500.35,
2005-03-10,MOEXFN,RUB,1130.4,1159.45,1120.14,1159.45,464984962.83,
2005-03-11,MOEXFN,RUB,1129.87,1130.38,1087.18,1133.26,1122529990.4,
2005-03-14,MOEXFN,RUB,1136.74,1129.92,1120.37,1146.92,595605062.67,
2005-03-15,MOEXFN,RUB,1129.65,1136.72,1124.81,1140.49,152463918.98,
2005-03-16,MOEXFN,RUB,1082.86,1129.26,1077.51,1129.26,571934246.39,
2005-03-17,MOEXFN,RUB,1113.35,1082.85,1074.27,1117.48,312565013.07,
2005-03-18,MOEXFN,RUB,1129.18,1113.29,1112.8,1135.64,476028102.4,
2005-03-21,MOEXFN,RUB,1123.28,1128.78,1111.86,1134.13,482721258.75,
2005-03-22,MOEXFN,RUB,1140.48,1122.31,1112.54,1145.45,600889547.81,
2005-03-23,MOEXFN,RUB,1130.82,1140.46,1106.3,1140.46,542259107.82,
2005-03-24,MOEXFN,RUB,1153.2,1130.79,1127.68,1160.33,436286329.25,
2005-03-25,MOEXFN,RUB,1161.92,1153.22,1153.15,1170.69,284099971.17,
2005-03-28,MOEXFN,RUB,1168.71,1161.94,1156.59,1169.23,123462665.63,
2005-03-29,MOEXFN,RUB,1157.21,1168.71,1149.21,1168.71,162828762.33,
2005-03-30,MOEXFN,RUB,1144.31,1157.21,1124.89,1157.21,332869465.26,
2005-03-31,MOEXFN,RUB,1169.43,1144.39,1144.23,1175.14,325828183.02,
2005-04-01,MOEXFN,RUB,1203.93,1169.49,1169.02,1204.39,604940030.75,
2005-04-04,MOEXFN,RUB,1219.15,1204,1196.25,1219.77,379430159.47,
2005-04-05,MOEXFN,RUB,1226.97,1219.35,1216.58,1229.17,217419125.9,
2005-04-06,MOEXFN,RUB,1241.49,1226.97,1223.36,1241.87,321725457.29,
2005-04-07,MOEXFN,RUB,1248.91,1241.5,1241.26,1259.8,298840463.98,
2005-04-08,MOEXFN,RUB,1250.24,1248.97,1241.67,1263.83,234283460.25,
2005-04-11,MOEXFN,RUB,1241.07,1250.42,1205.45,1252.6,506201131.3,
2005-04-12,MOEXFN,RUB,1242.69,1240.87,1233.83,1249.83,268242861.55,
2005-04-13,MOEXFN,RUB,1269.73,1243,1243,1278.44,479448407.17,
2005-04-14,MOEXFN,RUB,1266.75,1269.62,1258.43,1283.2,429200965.95,
2005-04-15,MOEXFN,RUB,1275.74,1266.74,1259.25,1283.35,312528177.02,
2005-04-18,MOEXFN,RUB,1251.02,1275.91,1240.7,1275.91,439879894.49,
2005-04-19,MOEXFN,RUB,1263.55,1251.01,1251.01,1269.12,214979364.2,
2005-04-20,MOEXFN,RUB,1257.48,1264.21,1251.9,1271.97,194911611.63,
2005-04-21,MOEXFN,RUB,1265.71,1257.26,1251.22,1271.78,352829712.19,
2005-04-22,MOEXFN,RUB,1274.48,1265.98,1265.97,1277.71,330461114.52,
2005-04-25,MOEXFN,RUB,1271.97,1274.47,1263.01,1294.93,541962767.58,
2005-04-26,MOEXFN,RUB,1269.3,1272.11,1264.04,1278.55,290232524.64,
2005-04-27,MOEXFN,RUB,1254.22,1269.31,1244.55,1269.31,482580722.84,
2005-04-28,MOEXFN,RUB,1257.68,1254.22,1248.99,1264.82,318350770.16,
2005-04-29,MOEXFN,RUB,1257.43,1257.14,1246.53,1270.62,210503895.45,
2005-05-03,MOEXFN,RUB,1273.32,1257.68,1257.68,1275.86,249809667.04,
2005-05-04,MOEXFN,RUB,1284.77,1273.53,1273.53,1288.81,291266852.81,
2005-05-05,MOEXFN,RUB,1273.33,1285.32,1263.63,1290.63,479387831.43,
2005-05-06,MOEXFN,RUB,1267.4,1273.35,1266.2,1274.56,214005661.51,
2005-05-11,MOEXFN,RUB,1240.27,1267.2,1234.89,1267.2,270303890.85,
2005-05-12,MOEXFN,RUB,1242.3,1240.27,1235.03,1245.56,219840122.76,
2005-05-13,MOEXFN,RUB,1253.54,1242.29,1238.2,1253.55,203638825.9,
2005-05-14,MOEXFN,RUB,1250.21,1253.54,1245.64,1256.51,52500230.05,
2005-05-16,MOEXFN,RUB,1232.76,1250.18,1232.72,1250.18,257456467.76,
2005-05-17,MOEXFN,RUB,1260.36,1232.42,1226.54,1260.96,220396120.63,
2005-05-18,MOEXFN,RUB,1263.21,1263.02,1254.46,1267.16,176331195.74,
2005-05-19,MOEXFN,RUB,1264.77,1263.38,1261.76,1270.81,94462655.41,
2005-05-20,MOEXFN,RUB,1252.59,1264.74,1252.55,1265.26,131626963.61,
2005-05-23,MOEXFN,RUB,1256.61,1252.59,1244.76,1260.18,145344833.34,
2005-05-24,MOEXFN,RUB,1278.35,1256.49,1255.46,1278.75,214305733.82,
2005-05-25,MOEXFN,RUB,1263.43,1278.36,1263.12,1280.48,151310852.51,
2005-05-26,MOEXFN,RUB,1253.84,1263.5,1252.77,1268.37,150199559.75,
2005-05-27,MOEXFN,RUB,1253.71,1253.91,1249.81,1263.85,228781641.77,
2005-05-30,MOEXFN,RUB,1261.84,1253.73,1247.01,1263.78,119346345.33,
2005-05-31,MOEXFN,RUB,1292.26,1261.8,1259.7,1295.16,447762021.23,
2005-06-01,MOEXFN,RUB,1287.78,1292.38,1275.59,1296.8,321823764.01,
2005-06-02,MOEXFN,RUB,1285.13,1289.07,1282.62,1294.08,145261211.22,
2005-06-03,MOEXFN,RUB,1292.71,1285.11,1283.37,1294.86,162614989.99,
2005-06-06,MOEXFN,RUB,1289.64,1292.67,1286,1292.68,79989487.71,
2005-06-07,MOEXFN,RUB,1282.09,1289.64,1275.47,1290.92,131693705.86,
2005-06-08,MOEXFN,RUB,1287.09,1282.09,1281.86,1293.13,251934917.93,
2005-06-09,MOEXFN,RUB,1282.63,1287.08,1279.77,1292.98,138885850.09,
2005-06-10,MOEXFN,RUB,1289.41,1282.64,1282.64,1291.63,54504936.12,
2005-06-14,MOEXFN,RUB,1291.37,1289.41,1284.98,1296.19,151696973.58,
2005-06-15,MOEXFN,RUB,1287.8,1291.35,1287.61,1295.02,61787452.83,
2005-06-16,MOEXFN,RUB,1295.92,1287.78,1282.57,1297.76,226335948.35,
2005-06-17,MOEXFN,RUB,1303.95,1297.24,1290.46,1306.4,394831815.56,
2005-06-20,MOEXFN,RUB,1298.6,1303.96,1298.6,1305.84,124293097.73,
2005-06-21,MOEXFN,RUB,1295.21,1298.62,1291.86,1300.12,193788613.34,
2005-06-22,MOEXFN,RUB,1305.07,1295.15,1294.47,1313.02,218647043.86,
2005-06-23,MOEXFN,RUB,1349.62,1305.2,1305.2,1363.63,681029190.92,
2005-06-24,MOEXFN,RUB,1356.14,1349.79,1345.88,1367.99,622612275.87,
2005-06-27,MOEXFN,RUB,1350.56,1356.14,1347.66,1369.05,242671337,
2005-06-28,MOEXFN,RUB,1347.43,1350.59,1340.31,1356.51,233436388.93,
2005-06-29,MOEXFN,RUB,1376.71,1347.56,1347.56,1378.72,191698845.94,
2005-06-30,MOEXFN,RUB,1404.65,1376.75,1376.75,1409.91,338810679.35,
2005-07-01,MOEXFN,RUB,1417.75,1404.6,1404.54,1427.2,303278514.69,
2005-07-04,MOEXFN,RUB,1409.81,1417.76,1407.48,1425.35,410419780.73,
2005-07-05,MOEXFN,RUB,1413.86,1409.81,1397.23,1414.36,267698659.78,
2005-07-06,MOEXFN,RUB,1478.59,1413.53,1402.97,1522.47,1534487758.68,
2005-07-07,MOEXFN,RUB,1499.28,1479.4,1456.1,1517.15,787069220.98,
2005-07-08,MOEXFN,RUB,1531.25,1503.2,1503.2,1537.63,410141971.56,
2005-07-11,MOEXFN,RUB,1539.44,1531.26,1530.58,1564,627813629.36,
2005-07-12,MOEXFN,RUB,1523.06,1539.45,1504.06,1539.7,314066625.56,
2005-07-13,MOEXFN,RUB,1557.44,1523.06,1519.06,1561.82,494520446.41,
2005-07-14,MOEXFN,RUB,1552.97,1557.44,1549.9,1567.28,270648308.79,
2005-07-15,MOEXFN,RUB,1563.5,1552.96,1543.81,1570.07,244258871.44,
2005-07-18,MOEXFN,RUB,1558.8,1563.48,1556.78,1580.33,135935592.09,
