,date,secid,open,close,low,high,volume,currency,capitalization
0,2020-12-25,MOEXIT,5000,5000,5000,5000,,RUB,
1,2020-12-28,MOEXIT,4960.24,4960.24,4960.24,4960.24,,RUB,
2,2020-12-29,MOEXIT,4975.35,4975.35,4975.35,4975.35,,RUB,
3,2020-12-30,MOEXIT,5086.88,5086.88,5086.88,5086.88,,RUB,
4,2021-01-04,MOEXIT,5136.11,5136.11,5136.11,5136.11,,RUB,
5,2021-01-05,MOEXIT,5182.83,5182.83,5182.83,5182.83,,RUB,
6,2021-01-06,MOEXIT,5149.72,5149.72,5149.72,5149.72,,RUB,
7,2021-01-08,MOEXIT,5176.62,5176.62,5176.62,5176.62,,RUB,
8,2021-01-11,MOEXIT,5150.37,5150.37,5150.37,5150.37,,RUB,
9,2021-01-12,MOEXIT,5070.59,5070.59,5070.59,5070.59,,RUB,
10,2021-01-13,MOEXIT,5071.41,5071.41,5071.41,5071.41,,RUB,
11,2021-01-14,MOEXIT,4992.35,4992.35,4992.35,4992.35,,RUB,
12,2021-01-15,MOEXIT,4971.36,4971.36,4971.36,4971.36,,RUB,
13,2021-01-18,MOEXIT,5022.74,5022.74,5022.74,5022.74,,RUB,
14,2021-01-19,MOEXIT,4970.92,4970.92,4970.92,4970.92,,RUB,
15,2021-01-20,MOEXIT,5049.14,5049.14,5049.14,5049.14,,RUB,
16,2021-01-21,MOEXIT,5057.3,5057.3,5057.3,5057.3,,RUB,
17,2021-01-22,MOEXIT,5010.95,5010.95,5010.95,5010.95,,RUB,
18,2021-01-25,MOEXIT,5001.7,5001.7,5001.7,5001.7,,RUB,
19,2021-01-26,MOEXIT,4948.61,4948.61,4948.61,4948.61,,RUB,
20,2021-01-27,MOEXIT,4869.65,4869.65,4869.65,4869.65,,RUB,
21,2021-01-28,MOEXIT,4879.02,4879.02,4879.02,4879.02,,RUB,
22,2021-01-29,MOEXIT,4832.47,4832.47,4832.47,4832.47,,RUB,
23,2021-02-01,MOEXIT,4827.03,4827.03,4827.03,4827.03,,RUB,
24,2021-02-02,MOEXIT,4971.51,4971.51,4971.51,4971.51,,RUB,
25,2021-02-03,MOEXIT,4982.5,4982.5,4982.5,4982.5,,RUB,
26,2021-02-04,MOEXIT,5027.43,5027.43,5027.43,5027.43,,RUB,
27,2021-02-05,MOEXIT,5041.25,5041.25,5041.25,5041.25,,RUB,
28,2021-02-08,MOEXIT,5160.8,5160.8,5160.8,5160.8,,RUB,
29,2021-02-09,MOEXIT,5213.15,5213.15,5213.15,5213.15,,RUB,
30,2021-02-10,MOEXIT,5340.67,5340.67,5340.67,5340.67,,RUB,
31,2021-02-11,MOEXIT,5398.99,5398.99,5398.99,5398.99,,RUB,
32,2021-02-12,MOEXIT,5429.45,5429.45,5429.45,5429.45,,RUB,
33,2021-02-15,MOEXIT,5429.95,5429.95,5429.95,5429.95,,RUB,
34,2021-02-16,MOEXIT,5405.13,5405.13,5405.13,5405.13,,RUB,
35,2021-02-17,MOEXIT,5248.29,5248.29,5248.29,5248.29,,RUB,
36,2021-02-18,MOEXIT,5086.05,5086.05,5086.05,5086.05,,RUB,
37,2021-02-19,MOEXIT,5144.85,5144.85,5144.85,5144.85,,RUB,
38,2021-02-20,MOEXIT,5137.95,5137.95,5137.95,5137.95,,RUB,
39,2021-02-22,MOEXIT,5050.89,5050.89,5050.89,5050.89,,RUB,
40,2021-02-24,MOEXIT,5010.36,5010.36,5010.36,5010.36,,RUB,
41,2021-02-25,MOEXIT,5036.26,5036.26,5036.26,5036.26,,RUB,
42,2021-02-26,MOEXIT,4920.39,4920.39,4920.39,4920.39,,RUB,
43,2021-03-01,MOEXIT,5045.8,5045.8,5045.8,5045.8,,RUB,
44,2021-03-02,MOEXIT,5107.09,5107.09,5107.09,5107.09,,RUB,
45,2021-03-03,MOEXIT,5119.73,5119.73,5119.73,5119.73,,RUB,
46,2021-03-04,MOEXIT,4923.22,4923.22,4923.22,4923.22,,RUB,
47,2021-03-05,MOEXIT,4713.99,4713.99,4713.99,4713.99,,RUB,
48,2021-03-09,MOEXIT,4691.24,4691.24,4691.24,4691.24,,RUB,
49,2021-03-10,MOEXIT,4734.8,4734.8,4734.8,4734.8,,RUB,
50,2021-03-11,MOEXIT,4869.67,4869.67,4869.67,4869.67,,RUB,
51,2021-03-12,MOEXIT,4871.16,4871.16,4871.16,4871.16,,RUB,
52,2021-03-15,MOEXIT,4997.13,4997.13,4997.13,4997.13,,RUB,
53,2021-03-16,MOEXIT,5133.35,5133.35,5133.35,5133.35,,RUB,
54,2021-03-17,MOEXIT,4976.05,4976.05,4976.05,4976.05,,RUB,
55,2021-03-18,MOEXIT,4929.8,4929.8,4929.8,4929.8,,RUB,
56,2021-03-19,MOEXIT,4946.15,4946.15,4946.15,4946.15,,RUB,
57,2021-03-22,MOEXIT,4917.74,4917.74,4917.74,4917.74,,RUB,
58,2021-03-23,MOEXIT,4929.83,4929.83,4929.83,4929.83,,RUB,
59,2021-03-24,MOEXIT,4890.85,4890.85,4890.85,4890.85,,RUB,
60,2021-03-25,MOEXIT,4690.02,4690.02,4690.02,4690.02,,RUB,
61,2021-03-26,MOEXIT,4747.71,4747.71,4747.71,4747.71,,RUB,
62,2021-03-29,MOEXIT,4803.58,4803.58,4803.58,4803.58,,RUB,
63,2021-03-30,MOEXIT,4810.66,4810.66,4810.66,4810.66,,RUB,
64,2021-03-31,MOEXIT,4916.21,4916.21,4916.21,4916.21,,RUB,
65,2021-04-01,MOEXIT,4936.38,4936.38,4936.38,4936.38,,RUB,
66,2021-04-02,MOEXIT,4961.66,4961.66,4961.66,4961.66,1793113741,RUB,2869913985342.6
67,2021-04-05,MOEXIT,4948.15,4948.15,4948.15,4948.15,2608722802,RUB,2864727392476
68,2021-04-06,MOEXIT,4987.61,4987.61,4987.61,4987.61,4499323796,RUB,2895542613830.8
69,2021-04-07,MOEXIT,4915.7,4915.7,4915.7,4915.7,4750947216,RUB,2873925193431.4
70,2021-04-08,MOEXIT,4937.01,4937.01,4937.01,4937.01,4165546889,RUB,2882715352371.4
71,2021-04-09,MOEXIT,4879.78,4879.78,4879.78,4879.78,3582699523,RUB,2864039273913.2
