date,secid,currency,close,open,low,high,volume,capitalization
2004-12-30,MOEXMM,RUB,1000,1000,1000,1000,0,
2005-01-11,MOEXMM,RUB,968.46,999.74,952.49,1007.33,735852616.43,
2005-01-12,MOEXMM,RUB,955.53,968.7,942.59,984.8,624147928.7,
2005-01-13,MOEXMM,RUB,950.12,955.54,942.1,966.93,400398222.74,
2005-01-14,MOEXMM,RUB,977.02,950.25,945.46,1001.49,633188428.6,
2005-01-17,MOEXMM,RUB,976.44,974.4,971.2,1020,935090711.72,
2005-01-18,MOEXMM,RUB,959.88,976.48,948.41,995.42,974172405.65,
2005-01-19,MOEXMM,RUB,985.34,960.15,951.6,985.34,752976100.38,
2005-01-20,MOEXMM,RUB,966.06,985.45,953.92,986.33,990301601.01,
2005-01-21,MOEXMM,RUB,982.5,966.08,962.95,988.07,471558764.64,
2005-01-24,MOEXMM,RUB,1016.41,992.71,982.5,1018.33,910496919.92,
2005-01-25,MOEXMM,RUB,1023.42,1017.91,1005.95,1038.37,1415114898.16,
2005-01-26,MOEXMM,RUB,1019.18,1023.48,1004.6,1033.37,693669129.57,
2005-01-27,MOEXMM,RUB,1032.4,1019.64,1014.36,1037.36,680749009.09,
2005-01-28,MOEXMM,RUB,1076.39,1032.31,1024.75,1080.39,1598191314.38,
2005-01-31,MOEXMM,RUB,1070.04,1076.82,1055.31,1106.22,1488932852,
2005-02-01,MOEXMM,RUB,1086.43,1070.12,1062.95,1091.77,1330021427.83,
2005-02-02,MOEXMM,RUB,1089.79,1086.53,1083.15,1106.19,1268747061.77,
2005-02-03,MOEXMM,RUB,1089.4,1089.76,1084.74,1100.52,957664190.14,
2005-02-04,MOEXMM,RUB,1084.76,1089.32,1074.26,1092.15,811336771.37,
2005-02-07,MOEXMM,RUB,1068.26,1084.79,1056.11,1097.84,1001194049.89,
2005-02-08,MOEXMM,RUB,1092.64,1067.88,1054.14,1094.33,829897734.84,
2005-02-09,MOEXMM,RUB,1080.1,1092.65,1076.61,1106.62,1191941703.6,
2005-02-10,MOEXMM,RUB,1085.75,1080.1,1062.65,1085.75,744218893.16,
2005-02-11,MOEXMM,RUB,1084.55,1085.76,1068.95,1091.1,834425971.97,
2005-02-14,MOEXMM,RUB,1074.78,1084.56,1070.38,1093.58,577053845.58,
2005-02-15,MOEXMM,RUB,1093.31,1073.24,1070.72,1093.83,591361594.16,
