date,secid,currency,close,open,low,high,volume,capitalization
2004-12-30,MOEXOG,RUB,1000,1000,1000,1000,0,
2005-01-11,MOEXOG,RUB,1007.46,1000.7,998.14,1016.19,847822942.82,
2005-01-12,MOEXOG,RUB,1009.62,1007.46,1001.41,1012.27,1367554075.67,
2005-01-13,MOEXOG,RUB,1008.79,1009.46,1003.62,1013.27,821927321.94,
2005-01-14,MOEXOG,RUB,1022.41,1008.77,1008.77,1025.37,1057546702.24,
2005-01-17,MOEXOG,RUB,1016.77,1022.42,1015.73,1032.65,1324614805.59,
2005-01-18,MOEXOG,RUB,1009.98,1016.78,1006.52,1022.42,2010754034.31,
2005-01-19,MOEXOG,RUB,1019.86,1009.98,1007.38,1020.16,1262173969.71,
2005-01-20,MOEXOG,RUB,1005.05,1019.86,1002.6,1021.16,1455655207.25,
2005-01-21,MOEXOG,RUB,1006.15,1005.05,1002.07,1010.66,821212890.32,
2005-01-24,MOEXOG,RUB,1019.44,1006.17,1006.15,1019.75,1254028923.63,
2005-01-25,MOEXOG,RUB,1030.13,1019.44,1019.44,1035.88,1896576912.61,
2005-01-26,MOEXOG,RUB,1028.88,1030.12,1017.62,1034.14,1987745959.97,
2005-01-27,MOEXOG,RUB,1039.97,1028.85,1017.47,1042.07,1597869712.75,
2005-01-28,MOEXOG,RUB,1063.04,1039.96,1034.99,1067.12,2371638998.31,
2005-01-31,MOEXOG,RUB,1085.07,1063.04,1054.92,1094.8,3308211208.88,
2005-02-01,MOEXOG,RUB,1091.32,1078.97,1071.01,1093.33,2110068266.28,
2005-02-02,MOEXOG,RUB,1097.96,1091.32,1075.19,1109.31,2344812489.94,
2005-02-03,MOEXOG,RUB,1099.39,1098,1095.33,1107.34,1948563090.76,
2005-02-04,MOEXOG,RUB,1099.24,1099.39,1091.23,1100.92,1226214664.8,
2005-02-07,MOEXOG,RUB,1101.05,1099.27,1097.89,1118.32,2112539829.24,
2005-02-08,MOEXOG,RUB,1119.13,1101.05,1095.3,1119.75,1497627024.51,
2005-02-09,MOEXOG,RUB,1103.29,1119.13,1103.08,1125.61,2220103669.71,
2005-02-10,MOEXOG,RUB,1110.53,1103.31,1093.23,1110.62,1516935979.61,
2005-02-11,MOEXOG,RUB,1101.93,1110.54,1089.04,1111.26,1222720787.12,
2005-02-14,MOEXOG,RUB,1100.29,1101.94,1095.31,1108.9,1508985933.81,
2005-02-15,MOEXOG,RUB,1107.51,1100.31,1095.8,1107.88,930033811.17,
2005-02-16,MOEXOG,RUB,1113.09,1107.63,1098.17,1128.13,1975660485.61,
2005-02-17,MOEXOG,RUB,1135.05,1113.05,1107.07,1139.79,1482076900.36,
2005-02-18,MOEXOG,RUB,1137.81,1135.05,1129.39,1140.84,1923018051.65,
2005-02-21,MOEXOG,RUB,1147.22,1137.82,1137.44,1147.6,1431692551.97,
2005-02-22,MOEXOG,RUB,1142.07,1147.17,1138.41,1151.71,2100846011.49,
2005-02-24,MOEXOG,RUB,1170.59,1142.07,1142.07,1172.32,2886605728.37,
2005-02-25,MOEXOG,RUB,1178.05,1170.65,1165.66,1181.43,3212996963.88,
2005-02-28,MOEXOG,RUB,1203.26,1178.05,1173.66,1205.06,3487298745.91,
2005-03-01,MOEXOG,RUB,1188.62,1203.25,1187.87,1205.13,2518053518.8,
2005-03-02,MOEXOG,RUB,1179.26,1188.63,1178.99,1199.87,3990218253.27,
2005-03-03,MOEXOG,RUB,1183.48,1179.26,1174.02,1189.64,2593942363.27,
2005-03-04,MOEXOG,RUB,1202.6,1183.49,1183.48,1203.51,1763052370.94,
2005-03-05,MOEXOG,RUB,1207.04,1202.63,1200.56,1209.25,556628086.66,
2005-03-09,MOEXOG,RUB,1212.74,1207.01,1204.75,1220.36,2864978247.03,
2005-03-10,MOEXOG,RUB,1180.87,1212.73,1179.65,1212.97,2342538688.31,
2005-03-11,MOEXOG,RUB,1188.48,1180.88,1172.35,1189.5,2725226368.63,
2005-03-14,MOEXOG,RUB,1173.77,1188.49,1172.32,1190.9,2382149420.71,
2005-03-15,MOEXOG,RUB,1166.49,1173.78,1166.48,1186.53,2507033429.79,
2005-03-16,MOEXOG,RUB,1137.09,1166.49,1134.9,1167.55,3650233094.45,
2005-03-17,MOEXOG,RUB,1143.49,1137.09,1134.86,1148.25,2818319513.15,
2005-03-18,MOEXOG,RUB,1139.08,1143.51,1132.37,1155.19,2756124975.82,
2005-03-21,MOEXOG,RUB,1121.04,1139.1,1118.18,1145.31,1922346156.14,
2005-03-22,MOEXOG,RUB,1132.19,1120.77,1114.66,1135.86,1940008414.98,
2005-03-23,MOEXOG,RUB,1122.81,1132.17,1111.61,1132.19,3700944773.46,
2005-03-24,MOEXOG,RUB,1148.82,1122.81,1121.42,1151.3,3094530630.03,
2005-03-25,MOEXOG,RUB,1158.9,1148.99,1147.84,1164.21,2077324347.64,
2005-03-28,MOEXOG,RUB,1151.54,1158.87,1146.72,1159.02,1214735643.15,
2005-03-29,MOEXOG,RUB,1144.82,1151.54,1138.5,1152.71,1855998087.9,
2005-03-30,MOEXOG,RUB,1129.85,1144.8,1124.05,1144.82,1842528492.39,
2005-03-31,MOEXOG,RUB,1138.42,1129.85,1127.07,1140.6,1790507520.09,
2005-04-01,MOEXOG,RUB,1167.37,1138.46,1138.42,1167.83,2600964396.18,
2005-04-04,MOEXOG,RUB,1166.86,1167.36,1165.35,1181.55,3489325434.31,
2005-04-05,MOEXOG,RUB,1171.52,1166.86,1165.98,1174.68,2225276056.08,
2005-04-06,MOEXOG,RUB,1198.63,1171.51,1171.51,1200.4,5112347413.43,
2005-04-07,MOEXOG,RUB,1200.9,1198.63,1191.22,1205.12,4093983325.8,
2005-04-08,MOEXOG,RUB,1210.67,1200.91,1196.39,1214.04,2935056532.46,
2005-04-11,MOEXOG,RUB,1185.95,1210.7,1172.01,1210.8,5559165889.21,
2005-04-12,MOEXOG,RUB,1179.07,1185.95,1165.86,1187.27,3082318919.09,
2005-04-13,MOEXOG,RUB,1174.34,1179.11,1172.44,1188.26,2589082596.24,
2005-04-14,MOEXOG,RUB,1155.44,1174.2,1148.39,1174.34,3696169084.79,
2005-04-15,MOEXOG,RUB,1144.58,1155.23,1143.01,1155.44,2535979962.57,
2005-04-18,MOEXOG,RUB,1131.26,1144.55,1125.34,1146.2,2652374105.67,
2005-04-19,MOEXOG,RUB,1140.46,1131.32,1131.26,1144.05,2363101483.09,
2005-04-20,MOEXOG,RUB,1140.25,1140.49,1136.99,1153.24,2686255422.57,
2005-04-21,MOEXOG,RUB,1148.38,1139.97,1136.73,1149.98,2430806915.33,
2005-04-22,MOEXOG,RUB,1153.7,1148.39,1147.42,1159.41,2568280626.13,
2005-04-25,MOEXOG,RUB,1156.96,1153.76,1151.18,1170.11,2608446027.7,
2005-04-26,MOEXOG,RUB,1144.77,1156.97,1142.24,1159.06,2097252729.98,
2005-04-27,MOEXOG,RUB,1129.28,1144.77,1129.21,1145.43,2662255590.19,
2005-04-28,MOEXOG,RUB,1132.58,1129.31,1129.28,1143.81,1984454546.01,
2005-04-29,MOEXOG,RUB,1130.38,1132.28,1127.18,1137.12,1350018126.76,
2005-05-03,MOEXOG,RUB,1122.55,1130.46,1121.3,1137.2,1141253213.05,
2005-05-04,MOEXOG,RUB,1123.11,1122.56,1118.66,1128.83,1439205416.69,
2005-05-05,MOEXOG,RUB,1126.98,1123.11,1123.01,1137.02,2095116411.6,
2005-05-06,MOEXOG,RUB,1121.17,1127.04,1120.28,1127.1,1292176922.62,
2005-05-11,MOEXOG,RUB,1108.53,1121.13,1108.39,1123.67,1872299320.72,
2005-05-12,MOEXOG,RUB,1092.13,1108.53,1090.6,1108.53,1929051450.15,
2005-05-13,MOEXOG,RUB,1090.3,1091.84,1079.97,1093.21,3211368619.53,
2005-05-14,MOEXOG,RUB,1089.35,1090.3,1086.2,1091.03,415372431.97,
2005-05-16,MOEXOG,RUB,1073.54,1089.36,1073.52,1089.98,1765133869.52,
2005-05-17,MOEXOG,RUB,1102.85,1073.54,1072.71,1102.85,3519833680.92,
2005-05-18,MOEXOG,RUB,1102.39,1102.85,1098.78,1105.49,2296760751,
2005-05-19,MOEXOG,RUB,1099.27,1102.41,1097.71,1106.24,1445132225.19,
2005-05-20,MOEXOG,RUB,1102.01,1099.29,1093.86,1103.88,1312530907.61,
2005-05-23,MOEXOG,RUB,1096.31,1102.15,1094,1103.01,842617924.6,
2005-05-24,MOEXOG,RUB,1124.36,1096.3,1096.3,1125.52,4570983332.99,
2005-05-25,MOEXOG,RUB,1115.13,1124.36,1113.56,1127.78,2107626179.94,
2005-05-26,MOEXOG,RUB,1122.03,1115.13,1114.26,1123.81,2599292645.22,
2005-05-27,MOEXOG,RUB,1123.93,1122.06,1121.56,1131.33,2531274820.69,
2005-05-30,MOEXOG,RUB,1122.11,1123.93,1120.07,1125.05,996184481.86,
2005-05-31,MOEXOG,RUB,1134.91,1122.11,1119.95,1139.22,2956414529.93,
2005-06-01,MOEXOG,RUB,1136.09,1134.91,1126.34,1137.82,2531751102.15,
2005-06-02,MOEXOG,RUB,1149.11,1136.36,1136.09,1153.55,4588416760.8,
2005-06-03,MOEXOG,RUB,1154.25,1149.11,1148.78,1155.31,2409777500.69,
2005-06-06,MOEXOG,RUB,1158.62,1154.25,1147.07,1161.67,3158176651.63,
2005-06-07,MOEXOG,RUB,1168.45,1158.63,1157.56,1169.53,4196347272.42,
2005-06-08,MOEXOG,RUB,1164.08,1168.44,1160.39,1170.73,3845397091.22,
2005-06-09,MOEXOG,RUB,1162.46,1164.09,1160.64,1165.15,1805210178.54,
2005-06-10,MOEXOG,RUB,1170.63,1162.47,1162.46,1172.16,2768626181.2,
2005-06-14,MOEXOG,RUB,1185.69,1170.65,1170.63,1190.48,2651820159.07,
2005-06-15,MOEXOG,RUB,1182.08,1185.69,1180.77,1192.36,3091027166.98,
2005-06-16,MOEXOG,RUB,1180.4,1182.32,1177.48,1190.57,3538964609.23,
2005-06-17,MOEXOG,RUB,1202.71,1180.41,1180.15,1203.1,2870068435.25,
2005-06-20,MOEXOG,RUB,1210.04,1202.75,1202.58,1211.1,1874985776.03,
2005-06-21,MOEXOG,RUB,1203.72,1210.04,1199.28,1210.04,2687978039.27,
2005-06-22,MOEXOG,RUB,1218.73,1203.73,1202,1220.11,4286117014.63,
2005-06-23,MOEXOG,RUB,1226.67,1218.64,1215.29,1229.08,2738112106,
2005-06-24,MOEXOG,RUB,1233.17,1226.66,1219.39,1234.93,2571450458.81,
2005-06-27,MOEXOG,RUB,1234.04,1233.16,1228.8,1238.11,2408053810.7,
2005-06-28,MOEXOG,RUB,1259.01,1234.06,1224.02,1261.94,3932975880.19,
2005-06-29,MOEXOG,RUB,1256.73,1259.02,1253.88,1266.79,3191402636.92,
2005-06-30,MOEXOG,RUB,1276.42,1256.68,1254.59,1278.63,4139585524.45,
2005-07-01,MOEXOG,RUB,1301.07,1276.42,1275.49,1302.4,3799577722.03,
2005-07-04,MOEXOG,RUB,1319.14,1301.11,1301.07,1323.88,3545707924.46,
2005-07-05,MOEXOG,RUB,1314.85,1319.14,1307.62,1326.49,4666304788.79,
2005-07-06,MOEXOG,RUB,1347.07,1314.84,1310.91,1351.76,6644889528.61,
2005-07-07,MOEXOG,RUB,1344.31,1347.07,1317.84,1355.03,7659543562.59,
2005-07-08,MOEXOG,RUB,1348.12,1344.32,1344.31,1359.36,4317423821.28,
2005-07-11,MOEXOG,RUB,1347.75,1348,1344.54,1359.21,2845686278.21,
2005-07-12,MOEXOG,RUB,1337.85,1347.75,1330.65,1347.75,2499848138.4,
2005-07-13,MOEXOG,RUB,1344.08,1337.85,1334.89,1349.62,2750216380.24,
2005-07-14,MOEXOG,RUB,1335.66,1344.07,1333.77,1347.72,2776654367.52,
2005-07-15,MOEXOG,RUB,1320.81,1335.57,1312.99,1335.66,2455773982.86,
2005-07-18,MOEXOG,RUB,1315.2,1320.75,1311.39,1327.1,2087511317.24,
2005-07-19,MOEXOG,RUB,1324.32,1315.2,1313.42,1326.27,2810541128.83,
2005-07-20,MOEXOG,RUB,1355.62,1324.34,1324.32,1356.57,4321216325.02,
2005-07-21,MOEXOG,RUB,1366.58,1355.62,1355.36,1400.58,5663445301.13,
2005-07-22,MOEXOG,RUB,1372.02,1366.58,1359.41,1376.53,2599867081.45,
2005-07-25,MOEXOG,RUB,1380,1372.09,1366.14,1386,2077497032.72,
2005-07-26,MOEXOG,RUB,1375.94,1380,1372.31,1387.12,2226505058.65,
