date,secid,currency,close,open,low,high,volume,capitalization
2004-12-31,MOEXCN,RUB,1000,1000,1000,1000,0,
2005-01-11,MOEXCN,RUB,1000.24,997.54,997.54,1000.28,62360,
2005-01-12,MOEXCN,RUB,997.34,1003.73,997.34,1003.73,1246476,
2005-01-13,MOEXCN,RUB,1001.56,997.35,995.54,1001.75,155705,
2005-01-14,MOEXCN,RUB,1008.31,1005.81,1003.67,1008.73,33214.04,
2005-01-17,MOEXCN,RUB,996.77,1010.19,996.77,1011.15,133764.56,
2005-01-18,MOEXCN,RUB,997.14,997.1,997.1,997.14,60600,
2005-01-19,MOEXCN,RUB,984.87,1003.39,984.87,1007.24,124210.91,
2005-01-21,MOEXCN,RUB,984.9,984.88,984.88,984.9,3595,
2005-01-24,MOEXCN,RUB,1004.99,985.09,985.09,1004.99,171016.98,
2005-01-25,MOEXCN,RUB,1003.96,1005.01,1003.7,1005.49,23980.4,
2005-01-26,MOEXCN,RUB,1003.46,1003.47,1001.64,1003.47,668517,
2005-01-27,MOEXCN,RUB,1025.42,1002.76,1002.76,1025.42,2524064.21,
2005-01-28,MOEXCN,RUB,1033,1026.13,1026.13,1033,320260.62,
2005-01-31,MOEXCN,RUB,1053.33,1033.03,1033.03,1053.33,955004.8,
2005-02-01,MOEXCN,RUB,1054.01,1053.63,1053.63,1054.03,75960.22,
2005-02-02,MOEXCN,RUB,1053.74,1054,1052.77,1054,1492012,
2005-02-03,MOEXCN,RUB,1071.02,1053.68,1053.64,1071.34,1571112.89,
2005-02-04,MOEXCN,RUB,1090.28,1071.52,1071.47,1090.28,1306226.88,
2005-02-07,MOEXCN,RUB,1082.48,1090.82,1082.48,1096.61,190108.07,
2005-02-08,MOEXCN,RUB,1072.53,1076.09,1059.13,1076.09,465851.99,
2005-02-09,MOEXCN,RUB,1071.98,1072.35,1071.67,1073.3,67599.84,
2005-02-10,MOEXCN,RUB,1083.7,1071.96,1071.96,1083.79,216210.43,
2005-02-11,MOEXCN,RUB,1203.85,1097.21,1097.21,1205.1,503627.77,
2005-02-14,MOEXCN,RUB,1271.77,1204.65,1193.09,1271.77,2955452.01,
2005-02-15,MOEXCN,RUB,1264.84,1272.14,1264.84,1272.14,138218.88,
2005-02-16,MOEXCN,RUB,1268.1,1266.11,1265.29,1268.1,227369,
2005-02-17,MOEXCN,RUB,1324.87,1268.24,1268.24,1324.87,109561,
2005-02-18,MOEXCN,RUB,1324.9,1324.9,1324.9,1324.9,502,
2005-02-24,MOEXCN,RUB,1325.91,1325.31,1325.31,1326.81,21685.03,
2005-02-25,MOEXCN,RUB,1326.52,1326.18,1326.18,1326.52,3219.99,
2005-02-28,MOEXCN,RUB,1306.76,1323.64,1306.76,1323.64,154098.2,
2005-03-01,MOEXCN,RUB,1307.34,1306.74,1306.74,1307.34,7312.01,
2005-03-02,MOEXCN,RUB,1349.37,1306.99,1304.01,1352.18,668992.49,
2005-03-03,MOEXCN,RUB,1356.23,1349.55,1349.55,1356.23,1069432.2,
2005-03-04,MOEXCN,RUB,1356.46,1356.29,1356.29,1356.46,7484.83,
2005-03-05,MOEXCN,RUB,1357.49,1357.47,1357.47,1357.49,808.23,
2005-03-10,MOEXCN,RUB,1357.46,1357.46,1357.46,1357.46,10400,
2005-03-11,MOEXCN,RUB,1354.84,1357.43,1354.57,1357.43,271709.02,
2005-03-14,MOEXCN,RUB,1338.09,1354.7,1338.09,1354.7,9208.61,
2005-03-15,MOEXCN,RUB,1331.07,1336.14,1325.61,1336.14,172646.29,
2005-03-16,MOEXCN,RUB,1343.33,1331.1,1331.1,1343.37,221421,
2005-03-17,MOEXCN,RUB,1352.02,1343.32,1343.04,1352.02,2051237.13,
2005-03-18,MOEXCN,RUB,1357.48,1353.96,1353.96,1357.48,2166871,
2005-03-21,MOEXCN,RUB,1357.68,1357.55,1357.55,1357.68,1050.01,
2005-03-22,MOEXCN,RUB,1358.24,1357.69,1357.69,1358.24,53732.01,
2005-03-23,MOEXCN,RUB,1356.43,1358.3,1356.43,1358.3,443390,
2005-03-24,MOEXCN,RUB,1353.71,1356.44,1353.68,1356.44,17444.92,
2005-03-25,MOEXCN,RUB,1370,1353.75,1353.75,1371.06,245445.26,
2005-03-28,MOEXCN,RUB,1374.04,1370.01,1365.96,1374.04,83689.89,
2005-03-29,MOEXCN,RUB,1370.52,1374.38,1370.52,1374.38,48950.33,
2005-03-30,MOEXCN,RUB,1370.38,1370.52,1370.38,1370.52,20510,
2005-03-31,MOEXCN,RUB,1371.38,1371.38,1371.38,1371.38,54500,
2005-04-01,MOEXCN,RUB,1371.78,1371.32,1371.32,1371.84,1970750,
2005-04-04,MOEXCN,RUB,1377.14,1376.17,1376.17,1377.16,45652.1,
2005-04-05,MOEXCN,RUB,1378.31,1377.13,1376.58,1378.42,1491731.97,
2005-04-06,MOEXCN,RUB,1344.51,1378.32,1344.51,1378.6,138202,
2005-04-07,MOEXCN,RUB,1331.82,1344.51,1331.82,1344.82,4458009.12,
2005-04-08,MOEXCN,RUB,1291.87,1331.3,1291.63,1341.91,5774325.79,
2005-04-11,MOEXCN,RUB,1290.22,1291.83,1290.22,1291.83,688924.72,
2005-04-12,MOEXCN,RUB,1290.09,1290.56,1290.09,1290.56,18807863,
2005-04-13,MOEXCN,RUB,1289.09,1289.97,1288.94,1292.63,8666464.66,
2005-04-14,MOEXCN,RUB,1295.57,1289.09,1289.07,1295.97,4072720.57,
2005-04-15,MOEXCN,RUB,1315.83,1295.64,1295.64,1315.83,20027611.05,
2005-04-18,MOEXCN,RUB,1309.09,1315.84,1305.57,1326.38,7887371.26,
2005-04-19,MOEXCN,RUB,1315.41,1309.24,1309.24,1317.13,26714589.18,
2005-04-20,MOEXCN,RUB,1318.87,1315.41,1314.24,1318.87,3632425.5,
2005-04-21,MOEXCN,RUB,1323.55,1319.02,1317.73,1323.58,6081774.52,
2005-04-22,MOEXCN,RUB,1309.97,1323.05,1308.47,1323.57,1730396.31,
2005-04-25,MOEXCN,RUB,1312.01,1310.47,1308.84,1312.03,1192679.71,
2005-04-26,MOEXCN,RUB,1321.76,1311.99,1311.92,1321.76,1993598.38,
2005-04-27,MOEXCN,RUB,1316.43,1321.02,1316.26,1321.78,3800018.9,
2005-04-28,MOEXCN,RUB,1315.64,1317.15,1315.64,1317.33,442657,
2005-04-29,MOEXCN,RUB,1323.28,1316.1,1316.1,1323.28,1321709.44,
2005-05-03,MOEXCN,RUB,1323.73,1323.4,1323.4,1324.37,1464539.6,
2005-05-04,MOEXCN,RUB,1395.39,1323.8,1323.8,1395.39,2732843.47,
2005-05-05,MOEXCN,RUB,1411.39,1393.94,1393.94,1412.22,3064595.79,
2005-05-06,MOEXCN,RUB,1403.62,1411.74,1403.62,1413.98,55328.92,
2005-05-11,MOEXCN,RUB,1401.14,1400.93,1382.13,1401.14,603055.51,
2005-05-12,MOEXCN,RUB,1407.75,1401.09,1400.14,1407.93,4072564,
2005-05-13,MOEXCN,RUB,1411.02,1408.21,1408.12,1428.26,1587353.94,
2005-05-14,MOEXCN,RUB,1404.16,1411.24,1404.11,1414.1,2953124.97,
2005-05-16,MOEXCN,RUB,1404.19,1404.05,1398.9,1404.19,1638316.91,
2005-05-17,MOEXCN,RUB,1434.77,1404.19,1404.17,1434.77,690490.14,
2005-05-18,MOEXCN,RUB,1433.87,1434.87,1430.37,1434.87,1221973.9,
2005-05-19,MOEXCN,RUB,1541.94,1433.8,1433.8,1541.94,5139261.59,
2005-05-20,MOEXCN,RUB,1564.05,1541.96,1533.84,1564.59,4130631.44,
2005-05-23,MOEXCN,RUB,1533.19,1564.2,1505.56,1564.2,3922807.48,
2005-05-24,MOEXCN,RUB,1530.23,1532.44,1519.58,1532.76,8526488.82,
2005-05-25,MOEXCN,RUB,1512.39,1530.47,1512.39,1531.41,4177798.73,
2005-05-26,MOEXCN,RUB,1552.24,1512.52,1512.26,1567.58,2295536.21,
2005-05-27,MOEXCN,RUB,1565.63,1551.75,1551.75,1565.63,1226796.96,
