date,secid,currency,close,open,low,high,volume,capitalization
2007-12-28,MOEXTN,RUB,2500,2500,2500,2500,47630116.07,
2008-01-09,MOEXTN,RUB,2541.56,2541.56,2541.56,2541.56,32655760.93,
2008-01-10,MOEXTN,RUB,2549.85,2549.85,2549.85,2549.85,40510899.11,
2008-01-11,MOEXTN,RUB,2546.03,2546.03,2546.03,2546.03,30488155.13,
2008-01-14,MOEXTN,RUB,2545.4,2545.4,2545.4,2545.4,49872274.75,
2008-01-15,MOEXTN,RUB,2545.53,2545.53,2545.53,2545.53,94223547.66,
2008-01-16,MOEXTN,RUB,2455.55,2455.55,2455.55,2455.55,94138700.03,
2008-01-17,MOEXTN,RUB,2442.52,2442.52,2442.52,2442.52,109497483.52,
2008-01-18,MOEXTN,RUB,2388.87,2388.87,2388.87,2388.87,111807897.26,
2008-01-21,MOEXTN,RUB,2264.69,2264.69,2264.69,2264.69,36631845.8,
2008-01-22,MOEXTN,RUB,2238.34,2238.34,2238.34,2238.34,30584391.88,
2008-01-23,MOEXTN,RUB,2199.07,2199.07,2199.07,2199.07,26788735.3,
2008-01-24,MOEXTN,RUB,2289.56,2289.56,2289.56,2289.56,37243333.54,
2008-01-25,MOEXTN,RUB,2289.16,2289.16,2289.16,2289.16,34944941.08,
2008-01-28,MOEXTN,RUB,2287.75,2287.75,2287.75,2287.75,18851734.65,
2008-01-29,MOEXTN,RUB,2329.68,2329.68,2329.68,2329.68,20917168.22,
2008-01-30,MOEXTN,RUB,2253.75,2253.75,2253.75,2253.75,48673784.33,
2008-01-31,MOEXTN,RUB,2237.61,2237.61,2237.61,2237.61,109251842.19,
2008-02-01,MOEXTN,RUB,2290.69,2290.69,2290.69,2290.69,48651318.64,
2008-02-04,MOEXTN,RUB,2410.76,2410.76,2410.76,2410.76,136531488.85,
2008-02-05,MOEXTN,RUB,2364.65,2364.65,2364.65,2364.65,73405658.31,
2008-02-06,MOEXTN,RUB,2347.68,2347.68,2347.68,2347.68,56762483.76,
2008-02-07,MOEXTN,RUB,2366.9,2366.9,2366.9,2366.9,37036923.12,
2008-02-08,MOEXTN,RUB,2521.67,2521.67,2521.67,2521.67,43564240.63,
2008-02-11,MOEXTN,RUB,2491.57,2491.57,2491.57,2491.57,22776154.74,
2008-02-12,MOEXTN,RUB,2563.88,2563.88,2563.88,2563.88,71904724.65,
2008-02-13,MOEXTN,RUB,2602.43,2602.43,2602.43,2602.43,107320999.99,
2008-02-14,MOEXTN,RUB,2632.03,2632.03,2632.03,2632.03,104984427,
2008-02-15,MOEXTN,RUB,2582.9,2582.9,2582.9,2582.9,33683723.91,
2008-02-18,MOEXTN,RUB,2635.34,2635.34,2635.34,2635.34,54327997.87,
2008-02-19,MOEXTN,RUB,2622.88,2622.88,2622.88,2622.88,41874710.08,
2008-02-20,MOEXTN,RUB,2580.03,2580.03,2580.03,2580.03,13283298.83,
2008-02-21,MOEXTN,RUB,2590.92,2590.92,2590.92,2590.92,44019820.22,
2008-02-22,MOEXTN,RUB,2566.89,2566.89,2566.89,2566.89,18963031.71,
2008-02-26,MOEXTN,RUB,2567.95,2567.95,2567.95,2567.95,45505558.5,
2008-02-27,MOEXTN,RUB,2539.76,2539.76,2539.76,2539.76,38059628.89,
2008-02-28,MOEXTN,RUB,2546.73,2546.73,2546.73,2546.73,11366284.84,
2008-02-29,MOEXTN,RUB,2525.7,2525.7,2525.7,2525.7,25362320.52,
2008-03-03,MOEXTN,RUB,2497.35,2497.35,2497.35,2497.35,19939965.49,
2008-03-04,MOEXTN,RUB,2513.06,2513.06,2513.06,2513.06,36484554.85,
2008-03-05,MOEXTN,RUB,2500.89,2500.89,2500.89,2500.89,25814649.97,
2008-03-06,MOEXTN,RUB,2511.52,2511.52,2511.52,2511.52,15454737.03,
2008-03-07,MOEXTN,RUB,2451.23,2451.23,2451.23,2451.23,32550086.81,
2008-03-11,MOEXTN,RUB,2483.36,2483.36,2483.36,2483.36,23748585.59,
2008-03-12,MOEXTN,RUB,2499.63,2499.63,2499.63,2499.63,31197161.98,
2008-03-13,MOEXTN,RUB,2467.06,2467.06,2467.06,2467.06,11234751.58,
2008-03-14,MOEXTN,RUB,2427.08,2427.08,2427.08,2427.08,16607272.63,
2008-03-17,MOEXTN,RUB,2376.25,2376.25,2376.25,2376.25,37446224.56,
2008-03-18,MOEXTN,RUB,2407,2407,2407,2407,21848461.45,
2008-03-19,MOEXTN,RUB,2353.98,2353.98,2353.98,2353.98,20790411.64,
2008-03-20,MOEXTN,RUB,2315.71,2315.71,2315.71,2315.71,12677039.13,
2008-03-21,MOEXTN,RUB,2281.44,2281.44,2281.44,2281.44,15344058.67,
2008-03-24,MOEXTN,RUB,2252.02,2252.02,2252.02,2252.02,14209347.78,
2008-03-25,MOEXTN,RUB,2305.99,2305.99,2305.99,2305.99,36420239.06,
2008-03-26,MOEXTN,RUB,2287.57,2287.57,2287.57,2287.57,24369184.5,
2008-03-27,MOEXTN,RUB,2271.42,2271.42,2271.42,2271.42,37766842.4,
2008-03-28,MOEXTN,RUB,2286.36,2286.36,2286.36,2286.36,25039576.16,
2008-03-31,MOEXTN,RUB,2292.12,2292.12,2292.12,2292.12,8883342.09,
2008-04-01,MOEXTN,RUB,2333.35,2333.35,2333.35,2333.35,24454222.22,
2008-04-02,MOEXTN,RUB,2338.39,2338.39,2338.39,2338.39,44265638.4,
2008-04-03,MOEXTN,RUB,2340.69,2340.69,2340.69,2340.69,26739448.53,
2008-04-04,MOEXTN,RUB,2315.68,2315.68,2315.68,2315.68,22398916.17,
2008-04-07,MOEXTN,RUB,2344.53,2344.53,2344.53,2344.53,16563695.25,
2008-04-08,MOEXTN,RUB,2351.06,2351.06,2351.06,2351.06,30374472.68,
2008-04-09,MOEXTN,RUB,2330.89,2330.89,2330.89,2330.89,17016342.02,
2008-04-10,MOEXTN,RUB,2340.54,2340.54,2340.54,2340.54,30608968.73,
2008-04-11,MOEXTN,RUB,2324.39,2324.39,2324.39,2324.39,29873179.12,
2008-04-14,MOEXTN,RUB,2333.4,2333.4,2333.4,2333.4,12920423.75,
2008-04-15,MOEXTN,RUB,2319.44,2319.44,2319.44,2319.44,10788184.64,
2008-04-16,MOEXTN,RUB,2340.68,2340.68,2340.68,2340.68,12221701.02,
2008-04-17,MOEXTN,RUB,2346.89,2346.89,2346.89,2346.89,39856465.47,
2008-04-18,MOEXTN,RUB,2359.94,2359.94,2359.94,2359.94,113238462.3,
2008-04-21,MOEXTN,RUB,2354.7,2354.7,2354.7,2354.7,40600232.18,
2008-04-22,MOEXTN,RUB,2313.05,2313.05,2313.05,2313.05,28086206.2,
2008-04-23,MOEXTN,RUB,2323.18,2323.18,2323.18,2323.18,19389120.62,
2008-04-24,MOEXTN,RUB,2329.24,2329.24,2329.24,2329.24,9136554.76,
2008-04-25,MOEXTN,RUB,2333.38,2333.38,2333.38,2333.38,8225804.18,
2008-04-28,MOEXTN,RUB,2297.18,2297.18,2297.18,2297.18,12347088.6,
2008-04-29,MOEXTN,RUB,2333.39,2333.39,2333.39,2333.39,17709003.36,
2008-04-30,MOEXTN,RUB,2346.1,2346.1,2346.1,2346.1,18005736.9,
2008-05-04,MOEXTN,RUB,2373.82,2373.82,2373.82,2373.82,8121694.98,
2008-05-05,MOEXTN,RUB,2361.94,2361.94,2361.94,2361.94,21380709.77,
2008-05-06,MOEXTN,RUB,2397.64,2397.64,2397.64,2397.64,32791608.76,
2008-05-07,MOEXTN,RUB,2405.92,2405.92,2405.92,2405.92,14936507.26,
2008-05-08,MOEXTN,RUB,2405.6,2405.6,2405.6,2405.6,30623562.28,
2008-05-12,MOEXTN,RUB,2367.68,2367.68,2367.68,2367.68,19759560.73,
2008-05-13,MOEXTN,RUB,2381.11,2381.11,2381.11,2381.11,47195248.48,
2008-05-14,MOEXTN,RUB,2394.45,2394.45,2394.45,2394.45,27778921.65,
2008-05-15,MOEXTN,RUB,2401.1,2401.1,2401.1,2401.1,26454719.76,
2008-05-16,MOEXTN,RUB,2410.67,2410.67,2410.67,2410.67,26338182.09,
2008-05-19,MOEXTN,RUB,2379.71,2379.71,2379.71,2379.71,11658593.38,
2008-05-20,MOEXTN,RUB,2369.4,2369.4,2369.4,2369.4,66927082.55,
2008-05-21,MOEXTN,RUB,2354.22,2354.22,2354.22,2354.22,27212827.46,
2008-05-22,MOEXTN,RUB,2344.41,2344.41,2344.41,2344.41,53442543.11,
2008-05-23,MOEXTN,RUB,2329.84,2329.84,2329.84,2329.84,11508960.08,
2008-05-26,MOEXTN,RUB,2301.71,2301.71,2301.71,2301.71,9450606.42,
2008-05-27,MOEXTN,RUB,2290.71,2290.71,2290.71,2290.71,12611574.55,
2008-05-28,MOEXTN,RUB,2288.25,2288.25,2288.25,2288.25,8468758.21,
2008-05-29,MOEXTN,RUB,2309.14,2309.14,2309.14,2309.14,10016568.16,
2008-05-30,MOEXTN,RUB,2312.14,2312.14,2312.14,2312.14,12814368.03,
