date,secid,currency,close,open,low,high,volume,capitalization
2015-02-12,investing:MSCI China Net USD,USD,433.56,428.99,427.85,434.14,0,0.0
2015-02-13,investing:MSCI China Net USD,USD,438.13,433.73,433.73,438.47,0,0.0
2015-02-16,investing:MSCI China Net USD,USD,438.11,437.96,437.55,439.14,0,0.0
2015-02-17,investing:MSCI China Net USD,USD,439.42,438.13,436.69,440.64,0,0.0
2015-02-18,investing:MSCI China Net USD,USD,440.17,439.49,439.47,440.77,0,0.0
2015-02-19,investing:MSCI China Net USD,USD,440.24,440.24,440.24,440.24,0,0.0
2015-02-20,investing:MSCI China Net USD,USD,440.15,440.15,440.15,440.15,0,0.0
2015-02-23,investing:MSCI China Net USD,USD,440.66,441.09,436.72,441.09,0,0.0
2015-02-24,investing:MSCI China Net USD,USD,441.27,441.22,439.8,441.66,0,0.0
2015-02-25,investing:MSCI China Net USD,USD,442.11,442.31,440.4,443.71,0,0.0
2015-02-26,investing:MSCI China Net USD,USD,446.62,440.94,440.8,447.15,0,0.0
2015-02-27,investing:MSCI China Net USD,USD,444.84,446.07,444.84,448.72,0,0.0
2015-03-02,investing:MSCI China Net USD,USD,446.19,449.64,443.99,449.66,0,0.0
2015-03-03,investing:MSCI China Net USD,USD,439.39,446.19,438.46,446.98,0,0.0
2015-03-04,investing:MSCI China Net USD,USD,434.8,439.36,434.49,439.36,0,0.0
2015-03-05,investing:MSCI China Net USD,USD,433.07,434.76,431.77,437.41,0,0.0
2015-03-06,investing:MSCI China Net USD,USD,432.99,433.29,432.09,435.06,0,0.0
2015-03-09,investing:MSCI China Net USD,USD,433.38,433.03,428.4,435.09,0,0.0
2015-03-10,investing:MSCI China Net USD,USD,427.49,433.42,427.25,433.42,0,0.0
2015-03-11,investing:MSCI China Net USD,USD,424.03,425.71,424.03,428.97,0,0.0
2015-03-12,investing:MSCI China Net USD,USD,427.29,424.18,424.04,429.89,0,0.0
2015-03-13,investing:MSCI China Net USD,USD,429.83,427.42,427.4,432.27,0,0.0
2015-03-16,investing:MSCI China Net USD,USD,433.92,429.98,428.28,434.56,0,0.0
2015-03-17,investing:MSCI China Net USD,USD,434.35,434.01,432.87,437.27,0,0.0
2015-03-18,investing:MSCI China Net USD,USD,439.32,434.56,434.56,441.11,0,0.0
2015-03-19,investing:MSCI China Net USD,USD,444.23,439.39,439.39,444.94,0,0.0
2015-03-20,investing:MSCI China Net USD,USD,443.31,444.2,442.42,446.87,0,0.0
2015-03-23,investing:MSCI China Net USD,USD,445.64,443.47,443.47,447.12,0,0.0
2015-03-24,investing:MSCI China Net USD,USD,442.57,445.69,440.33,445.69,0,0.0
2015-03-25,investing:MSCI China Net USD,USD,442.35,442.59,441.22,445.08,0,0.0
2015-03-26,investing:MSCI China Net USD,USD,440.64,442.41,439.43,442.97,0,0.0
2015-03-27,investing:MSCI China Net USD,USD,440.99,440.69,439.0,441.52,0,0.0
2015-03-30,investing:MSCI China Net USD,USD,452.87,441.0,441.0,455.88,0,0.0
2015-03-31,investing:MSCI China Net USD,USD,455.55,452.93,452.93,462.57,0,0.0
2015-04-01,investing:MSCI China Net USD,USD,461.66,457.99,457.25,461.94,0,0.0
2015-04-02,investing:MSCI China Net USD,USD,468.08,461.71,461.71,468.46,0,0.0
2015-04-03,investing:MSCI China Net USD,USD,468.07,468.06,468.04,468.12,0,0.0
2015-04-06,investing:MSCI China Net USD,USD,468.08,468.08,468.08,468.08,0,0.0
2015-04-07,investing:MSCI China Net USD,USD,468.14,468.1,468.08,468.14,0,0.0
2015-04-08,investing:MSCI China Net USD,USD,496.34,468.06,468.06,496.47,0,0.0
2015-04-09,investing:MSCI China Net USD,USD,509.02,500.72,500.72,537.08,0,0.0
2015-04-10,investing:MSCI China Net USD,USD,515.47,509.03,503.97,517.78,0,0.0
2015-04-13,investing:MSCI China Net USD,USD,534.57,515.5,515.5,534.92,0,0.0
2015-04-14,investing:MSCI China Net USD,USD,520.5,533.61,519.43,533.61,0,0.0
2015-04-15,investing:MSCI China Net USD,USD,524.18,520.54,519.56,528.48,0,0.0
2015-04-16,investing:MSCI China Net USD,USD,531.05,524.21,520.82,531.58,0,0.0
2015-04-17,investing:MSCI China Net USD,USD,529.01,531.07,528.76,538.25,0,0.0
2015-04-20,investing:MSCI China Net USD,USD,514.54,528.99,511.53,531.9,0,0.0
2015-04-21,investing:MSCI China Net USD,USD,530.03,514.55,514.55,530.93,0,0.0
2015-04-22,investing:MSCI China Net USD,USD,536.97,529.98,528.87,538.22,0,0.0
2015-04-23,investing:MSCI China Net USD,USD,534.25,539.92,533.42,544.6,0,0.0
2015-04-24,investing:MSCI China Net USD,USD,534.6,534.28,524.63,537.73,0,0.0
2015-04-27,investing:MSCI China Net USD,USD,541.96,534.87,534.87,544.08,0,0.0
2015-04-28,investing:MSCI China Net USD,USD,540.86,542.05,536.14,544.33,0,0.0
2015-04-29,investing:MSCI China Net USD,USD,537.49,540.89,533.35,540.89,0,0.0
2015-04-30,investing:MSCI China Net USD,USD,531.51,537.44,528.08,537.46,0,0.0
2015-05-01,investing:MSCI China Net USD,USD,531.53,531.53,531.53,531.53,0,0.0
2015-05-04,investing:MSCI China Net USD,USD,532.2,531.53,530.29,537.08,0,0.0
2015-05-05,investing:MSCI China Net USD,USD,522.5,532.28,518.62,536.21,0,0.0
2015-05-06,investing:MSCI China Net USD,USD,517.51,522.39,515.55,527.26,0,0.0
2015-05-07,investing:MSCI China Net USD,USD,506.8,517.43,505.1,517.43,0,0.0
2015-05-08,investing:MSCI China Net USD,USD,516.17,512.95,510.17,517.93,0,0.0
2015-05-11,investing:MSCI China Net USD,USD,522.02,516.29,516.29,524.21,0,0.0
2015-05-12,investing:MSCI China Net USD,USD,515.3,522.07,514.84,522.21,0,0.0
2015-05-13,investing:MSCI China Net USD,USD,512.77,515.38,511.59,518.23,0,0.0
2015-05-14,investing:MSCI China Net USD,USD,512.58,512.71,511.2,516.21,0,0.0
2015-05-15,investing:MSCI China Net USD,USD,519.72,512.65,509.99,521.97,0,0.0
2015-05-18,investing:MSCI China Net USD,USD,516.2,519.77,512.48,519.77,0,0.0
2015-05-19,investing:MSCI China Net USD,USD,521.78,516.13,515.47,523.31,0,0.0
2015-05-20,investing:MSCI China Net USD,USD,518.05,521.75,516.09,524.35,0,0.0
2015-05-21,investing:MSCI China Net USD,USD,514.43,518.01,513.0,518.05,0,0.0
2015-05-22,investing:MSCI China Net USD,USD,523.15,514.43,514.43,523.32,0,0.0
2015-05-25,investing:MSCI China Net USD,USD,523.1,523.09,523.04,523.15,0,0.0
2015-05-26,investing:MSCI China Net USD,USD,532.09,523.16,523.16,537.42,0,0.0
2015-05-27,investing:MSCI China Net USD,USD,529.24,532.2,527.17,532.47,0,0.0
2015-05-28,investing:MSCI China Net USD,USD,514.51,529.49,508.57,530.84,0,0.0
2015-05-29,investing:MSCI China Net USD,USD,511.84,515.19,508.37,516.6,0,0.0
2015-06-01,investing:MSCI China Net USD,USD,517.88,510.14,507.32,521.64,0,0.0
2015-06-02,investing:MSCI China Net USD,USD,514.4,517.89,511.64,517.9,0,0.0
2015-06-03,investing:MSCI China Net USD,USD,513.88,514.64,511.87,516.86,0,0.0
2015-06-04,investing:MSCI China Net USD,USD,513.42,513.78,503.82,520.48,0,0.0
2015-06-05,investing:MSCI China Net USD,USD,507.86,513.31,506.79,515.85,0,0.0
2015-06-08,investing:MSCI China Net USD,USD,509.97,507.85,504.22,512.85,0,0.0
2015-06-09,investing:MSCI China Net USD,USD,500.02,510.13,498.64,510.29,0,0.0
2015-06-10,investing:MSCI China Net USD,USD,493.33,500.06,492.74,503.44,0,0.0
