,date,open,high,low,close,volume,currency,capitalisation,secid
0,2012-07-09,679.93,679.93,673.47,676.24,0,INR,0.0,investing:MSCI India
1,2012-07-10,677.59,685.06,677.59,684.71,0,INR,0.0,investing:MSCI India
2,2012-07-11,681.27,684.2,679.34,680.0,0,INR,0.0,investing:MSCI India
3,2012-07-12,670.86,672.86,667.57,670.21,0,INR,0.0,investing:MSCI India
4,2012-07-13,671.17,674.21,667.65,668.65,0,INR,0.0,investing:MSCI India
5,2012-07-16,669.24,671.04,663.47,664.17,0,INR,0.0,investing:MSCI India
6,2012-07-17,667.64,668.75,661.45,662.75,0,INR,0.0,investing:MSCI India
7,2012-07-18,663.46,666.06,659.61,665.34,0,INR,0.0,investing:MSCI India
8,2012-07-19,669.56,671.5,668.71,669.7,0,INR,0.0,investing:MSCI India
9,2012-07-20,668.52,668.97,664.06,665.68,0,INR,0.0,investing:MSCI India
10,2012-07-23,660.75,660.75,653.44,654.82,0,INR,0.0,investing:MSCI India
11,2012-07-24,655.9,658.13,653.12,656.81,0,INR,0.0,investing:MSCI India
12,2012-07-25,655.41,655.46,649.84,653.71,0,INR,0.0,investing:MSCI India
13,2012-07-26,655.49,655.49,643.66,644.96,0,INR,0.0,investing:MSCI India
14,2012-07-27,654.08,658.3,649.29,651.85,0,INR,0.0,investing:MSCI India
15,2012-07-30,655.24,665.06,655.24,664.35,0,INR,0.0,investing:MSCI India
16,2012-07-31,666.08,669.29,658.69,668.61,0,INR,0.0,investing:MSCI India
17,2012-08-01,667.54,671.26,666.87,670.48,0,INR,0.0,investing:MSCI India
18,2012-08-02,669.59,669.74,666.62,668.86,0,INR,0.0,investing:MSCI India
19,2012-08-03,665.3,668.13,661.04,667.58,0,INR,0.0,investing:MSCI India
20,2012-08-06,672.71,677.79,672.71,676.28,0,INR,0.0,investing:MSCI India
21,2012-08-07,678.04,684.8,676.68,682.87,0,INR,0.0,investing:MSCI India
22,2012-08-08,683.96,688.06,682.33,683.21,0,INR,0.0,investing:MSCI India
23,2012-08-09,684.34,687.0,679.83,681.48,0,INR,0.0,investing:MSCI India
24,2012-08-10,679.46,682.62,678.04,681.47,0,INR,0.0,investing:MSCI India
25,2012-08-13,680.76,686.91,680.76,686.43,0,INR,0.0,investing:MSCI India
26,2012-08-14,685.75,690.25,683.62,689.75,0,INR,0.0,investing:MSCI India
27,2012-08-16,690.28,690.95,687.41,688.29,0,INR,0.0,investing:MSCI India
28,2012-08-17,689.05,693.49,685.64,688.66,0,INR,0.0,investing:MSCI India
29,2012-08-21,688.71,696.9,688.71,696.37,0,INR,0.0,investing:MSCI India
30,2012-08-22,693.52,697.43,693.52,694.94,0,INR,0.0,investing:MSCI India
31,2012-08-23,696.49,699.39,692.36,695.13,0,INR,0.0,investing:MSCI India
32,2012-08-24,692.17,693.02,689.49,691.55,0,INR,0.0,investing:MSCI India
33,2012-08-27,691.66,693.16,686.15,686.57,0,INR,0.0,investing:MSCI India
34,2012-08-28,686.21,687.51,681.15,684.63,0,INR,0.0,investing:MSCI India
35,2012-08-29,685.53,685.53,677.96,678.72,0,INR,0.0,investing:MSCI India
36,2012-08-30,676.44,684.53,674.72,682.71,0,INR,0.0,investing:MSCI India
37,2012-08-31,680.64,681.32,672.65,675.39,0,INR,0.0,investing:MSCI India
38,2012-09-03,677.48,679.74,672.88,674.11,0,INR,0.0,investing:MSCI India
39,2012-09-04,673.68,677.79,672.13,677.33,0,INR,0.0,investing:MSCI India
40,2012-09-05,673.95,675.73,670.57,671.93,0,INR,0.0,investing:MSCI India
41,2012-09-06,670.88,677.22,670.88,674.53,0,INR,0.0,investing:MSCI India
42,2012-09-07,682.68,687.17,682.68,686.61,0,INR,0.0,investing:MSCI India
43,2012-09-10,689.09,690.85,687.89,689.95,0,INR,0.0,investing:MSCI India
44,2012-09-11,686.63,693.54,686.3,693.16,0,INR,0.0,investing:MSCI India
45,2012-09-12,694.85,698.56,693.77,698.17,0,INR,0.0,investing:MSCI India
46,2012-09-13,698.51,699.49,696.08,697.92,0,INR,0.0,investing:MSCI India
47,2012-09-14,708.52,716.52,708.52,715.42,0,INR,0.0,investing:MSCI India
48,2012-09-17,721.67,723.66,715.8,719.57,0,INR,0.0,investing:MSCI India
49,2012-09-18,718.78,721.38,717.44,719.11,0,INR,0.0,investing:MSCI India
50,2012-09-20,711.75,717.2,711.75,714.03,0,INR,0.0,investing:MSCI India
51,2012-09-21,716.45,733.21,716.45,729.67,0,INR,0.0,investing:MSCI India
52,2012-09-24,729.72,733.2,727.77,728.55,0,INR,0.0,investing:MSCI India
53,2012-09-25,729.06,732.88,726.43,729.66,0,INR,0.0,investing:MSCI India
54,2012-09-26,726.9,729.91,724.95,727.83,0,INR,0.0,investing:MSCI India
55,2012-09-27,727.95,731.77,725.02,726.63,0,INR,0.0,investing:MSCI India
56,2012-09-28,730.96,737.7,730.96,733.64,0,INR,0.0,investing:MSCI India
57,2012-10-01,734.07,736.59,732.55,735.93,0,INR,0.0,investing:MSCI India
58,2012-10-03,736.94,740.56,736.49,738.65,0,INR,0.0,investing:MSCI India
59,2012-10-04,741.04,747.81,741.04,745.28,0,INR,0.0,investing:MSCI India
60,2012-10-05,748.34,748.37,725.62,739.53,0,INR,0.0,investing:MSCI India
61,2012-10-08,740.15,740.15,729.05,730.25,0,INR,0.0,investing:MSCI India
62,2012-10-09,734.12,737.09,730.12,733.87,0,INR,0.0,investing:MSCI India
63,2012-10-10,729.71,731.44,725.4,726.0,0,INR,0.0,investing:MSCI India
64,2012-10-11,727.42,735.08,723.82,733.59,0,INR,0.0,investing:MSCI India
65,2012-10-12,729.43,735.42,727.69,729.1,0,INR,0.0,investing:MSCI India
66,2012-10-15,728.79,730.44,725.97,729.58,0,INR,0.0,investing:MSCI India
67,2012-10-16,732.06,732.96,722.6,724.03,0,INR,0.0,investing:MSCI India
68,2012-10-17,726.18,728.53,721.35,724.83,0,INR,0.0,investing:MSCI India
69,2012-10-18,726.57,732.48,723.73,732.09,0,INR,0.0,investing:MSCI India
70,2012-10-19,730.16,730.92,723.82,726.96,0,INR,0.0,investing:MSCI India
71,2012-10-22,725.12,731.48,723.83,731.08,0,INR,0.0,investing:MSCI India
72,2012-10-23,730.84,731.2,726.22,727.3,0,INR,0.0,investing:MSCI India
73,2012-10-25,727.32,729.5,726.3,728.41,0,INR,0.0,investing:MSCI India
74,2012-10-26,725.78,727.46,719.93,722.82,0,INR,0.0,investing:MSCI India
75,2012-10-29,722.86,726.41,719.52,722.48,0,INR,0.0,investing:MSCI India
76,2012-10-30,721.23,725.93,714.03,715.31,0,INR,0.0,investing:MSCI India
77,2012-10-31,714.98,719.75,713.79,719.26,0,INR,0.0,investing:MSCI India
78,2012-11-01,717.74,723.95,717.48,723.31,0,INR,0.0,investing:MSCI India
79,2012-11-02,729.31,731.12,727.91,729.24,0,INR,0.0,investing:MSCI India
80,2012-11-05,728.77,730.47,726.67,729.67,0,INR,0.0,investing:MSCI India
81,2012-11-06,728.42,733.15,728.42,732.53,0,INR,0.0,investing:MSCI India
82,2012-11-07,731.91,740.01,731.33,737.83,0,INR,0.0,investing:MSCI India
83,2012-11-08,731.91,737.02,730.84,736.2,0,INR,0.0,investing:MSCI India
84,2012-11-09,735.18,738.1,728.79,729.6,0,INR,0.0,investing:MSCI India
85,2012-11-12,729.74,733.54,729.08,732.55,0,INR,0.0,investing:MSCI India
86,2012-11-13,733.05,733.5,729.15,729.98,0,INR,0.0,investing:MSCI India
