date,secid,currency,close,open,low,high,volume,capitalization
1954-01-04,STOOQ:^NDQ,USD,15.12,15.12,15.12,15.12,,0.0
1954-01-05,STOOQ:^NDQ,USD,15.21,15.21,15.21,15.21,,0.0
1954-01-06,STOOQ:^NDQ,USD,15.24,15.24,15.24,15.24,,0.0
1954-01-07,STOOQ:^NDQ,USD,15.19,15.19,15.19,15.19,,0.0
1954-01-08,STOOQ:^NDQ,USD,15.11,15.11,15.11,15.11,,0.0
1954-01-11,STOOQ:^NDQ,USD,15.03,15.03,15.03,15.03,,0.0
1954-01-12,STOOQ:^NDQ,USD,15.11,15.11,15.11,15.11,,0.0
1954-01-13,STOOQ:^NDQ,USD,15.2,15.2,15.2,15.2,,0.0
1954-01-14,STOOQ:^NDQ,USD,15.27,15.27,15.27,15.27,,0.0
1954-01-15,STOOQ:^NDQ,USD,15.42,15.42,15.42,15.42,,0.0
1954-01-18,STOOQ:^NDQ,USD,15.42,15.42,15.42,15.42,,0.0
1954-01-19,STOOQ:^NDQ,USD,15.57,15.57,15.57,15.57,,0.0
1954-01-20,STOOQ:^NDQ,USD,15.61,15.61,15.61,15.61,,0.0
1954-01-21,STOOQ:^NDQ,USD,15.64,15.64,15.64,15.64,,0.0
1954-01-22,STOOQ:^NDQ,USD,15.68,15.68,15.68,15.68,,0.0
1954-01-25,STOOQ:^NDQ,USD,15.72,15.72,15.72,15.72,,0.0
1954-01-26,STOOQ:^NDQ,USD,15.82,15.82,15.82,15.82,,0.0
1954-01-27,STOOQ:^NDQ,USD,15.77,15.77,15.77,15.77,,0.0
1954-01-28,STOOQ:^NDQ,USD,15.78,15.78,15.78,15.78,,0.0
1954-01-29,STOOQ:^NDQ,USD,15.82,15.82,15.82,15.82,,0.0
1954-02-01,STOOQ:^NDQ,USD,15.76,15.76,15.76,15.76,,0.0
1954-02-02,STOOQ:^NDQ,USD,15.72,15.72,15.72,15.72,,0.0
1954-02-03,STOOQ:^NDQ,USD,15.78,15.78,15.78,15.78,,0.0
1954-02-04,STOOQ:^NDQ,USD,15.89,15.89,15.89,15.89,,0.0
1954-02-05,STOOQ:^NDQ,USD,15.95,15.95,15.95,15.95,,0.0
