,date,secid,open,close,low,high,volume,currency,capitalization
0,1995-09-01,RTSI,100,100,100,100,2710988,USD,0
1,1995-09-04,RTSI,99.799,99.799,99.799,99.799,1000395,USD,0
2,1995-09-05,RTSI,100.417,100.417,100.417,100.417,1669902,USD,0
3,1995-09-06,RTSI,99.741,99.741,99.741,99.741,927829,USD,0
4,1995-09-07,RTSI,101.301,101.301,101.301,101.301,2153945,USD,0
5,1995-09-08,RTSI,101.3,101.3,101.3,101.3,1318431,USD,0
6,1995-09-11,RTSI,100.84,100.84,100.84,100.84,1314240,USD,0
7,1995-09-12,RTSI,100.24,100.24,100.24,100.24,655028,USD,0
8,1995-09-13,RTSI,99.159,99.159,99.159,99.159,1080588,USD,0
9,1995-09-14,RTSI,98.795,98.795,98.795,98.795,874165,USD,0
10,1995-09-15,RTSI,99.301,99.301,99.301,99.301,2080067,USD,0
11,1995-09-18,RTSI,99.84,99.84,99.84,99.84,2520420,USD,0
12,1995-09-19,RTSI,99.536,99.536,99.536,99.536,1416736,USD,0
13,1995-09-20,RTSI,99.188,99.188,99.188,99.188,2923830,USD,0
14,1995-09-21,RTSI,96.273,96.273,96.273,96.273,3189220,USD,0
15,1995-09-22,RTSI,94.025,94.025,94.025,94.025,1853898,USD,0
16,1995-09-25,RTSI,91.162,91.162,91.162,91.162,1421425,USD,0
17,1995-09-26,RTSI,87.977,87.977,87.977,87.977,1538270,USD,0
18,1995-09-27,RTSI,88.174,88.174,88.174,88.174,694400,USD,0
19,1995-09-28,RTSI,89.071,89.071,89.071,89.071,1386490,USD,0
20,1995-09-29,RTSI,86.088,86.088,86.088,86.088,1322225,USD,0
21,1995-10-02,RTSI,83.003,83.003,83.003,83.003,904300,USD,0
22,1995-10-03,RTSI,78.391,78.391,78.391,78.391,3720242,USD,0
23,1995-10-04,RTSI,72.056,72.056,72.056,72.056,3093490,USD,0
24,1995-10-05,RTSI,75.033,75.033,75.033,75.033,2289349,USD,0
25,1995-10-06,RTSI,74.16,74.16,74.16,74.16,1608250,USD,0
26,1995-10-09,RTSI,77.266,77.266,77.266,77.266,1295757,USD,0
27,1995-10-10,RTSI,76.417,76.417,76.417,76.417,685032,USD,0
28,1995-10-11,RTSI,75.802,75.802,75.802,75.802,2193235,USD,0
29,1995-10-12,RTSI,76.475,76.475,76.475,76.475,950280,USD,0
30,1995-10-13,RTSI,77.476,77.476,77.476,77.476,2767658,USD,0
31,1995-10-16,RTSI,78.097,78.097,78.097,78.097,2146785,USD,0
32,1995-10-17,RTSI,78.656,78.656,78.656,78.656,2206960,USD,0
33,1995-10-18,RTSI,78.998,78.998,78.998,78.998,1140691,USD,0
34,1995-10-19,RTSI,79.257,79.257,79.257,79.257,2276760,USD,0
35,1995-10-20,RTSI,79.35,79.35,79.35,79.35,1474534,USD,0
36,1995-10-23,RTSI,79.162,79.162,79.162,79.162,1798790,USD,0
37,1995-10-24,RTSI,79.082,79.082,79.082,79.082,891957,USD,0
38,1995-10-25,RTSI,79.141,79.141,79.141,79.141,3924456,USD,0
39,1995-10-26,RTSI,78.111,78.111,78.111,78.111,3980378,USD,0
40,1995-10-27,RTSI,75.858,75.858,75.858,75.858,2909718,USD,0
41,1995-10-30,RTSI,74.878,74.878,74.878,74.878,119869,USD,0
42,1995-10-31,RTSI,73.555,73.555,73.555,73.555,824107,USD,0
43,1995-11-01,RTSI,72.702,72.702,72.702,72.702,2497522,USD,0
44,1995-11-02,RTSI,68.091,68.091,68.091,68.091,3047914,USD,0
45,1995-11-03,RTSI,69.977,69.977,69.977,69.977,880955,USD,0
46,1995-11-04,RTSI,70.528,70.528,70.528,70.528,306800,USD,0
47,1995-11-08,RTSI,71.265,71.265,71.265,71.265,595352,USD,0
48,1995-11-09,RTSI,71.761,71.761,71.761,71.761,3401134,USD,0
49,1995-11-10,RTSI,71.537,71.537,71.537,71.537,1352044,USD,0
50,1995-11-13,RTSI,72.177,72.177,72.177,72.177,1165832,USD,0
51,1995-11-14,RTSI,71.868,71.868,71.868,71.868,954890,USD,0
52,1995-11-15,RTSI,71.518,71.518,71.518,71.518,971770,USD,0
53,1995-11-16,RTSI,70.983,70.983,70.983,70.983,1324489,USD,0
54,1995-11-17,RTSI,71.284,71.284,71.284,71.284,2384499,USD,0
55,1995-11-20,RTSI,72.589,72.589,72.589,72.589,1598679,USD,0
56,1995-11-21,RTSI,72.193,72.193,72.193,72.193,2982016,USD,0
57,1995-11-22,RTSI,73.754,73.754,73.754,73.754,2304533,USD,0
58,1995-11-23,RTSI,73.689,73.689,73.689,73.689,1513721,USD,0
59,1995-11-24,RTSI,72.564,72.564,72.564,72.564,1545925,USD,0
60,1995-11-27,RTSI,72.354,72.354,72.354,72.354,1798267,USD,0
61,1995-11-28,RTSI,72.417,72.417,72.417,72.417,5125338,USD,0
62,1995-11-29,RTSI,71.121,71.121,71.121,71.121,2793700,USD,0
63,1995-11-30,RTSI,70.473,70.473,70.473,70.473,5053750,USD,0
64,1995-12-01,RTSI,70.954,70.954,70.954,70.954,1530413,USD,0
65,1995-12-04,RTSI,71.902,71.902,71.902,71.902,3277014,USD,0
66,1995-12-05,RTSI,73.905,73.905,73.905,73.905,3188395,USD,0
67,1995-12-06,RTSI,74.857,74.857,74.857,74.857,3450375,USD,0
68,1995-12-07,RTSI,76.144,76.144,76.144,76.144,3902390,USD,0
69,1995-12-08,RTSI,76.454,76.454,76.454,76.454,3084900,USD,0
70,1995-12-09,RTSI,76.365,76.365,76.365,76.365,563897,USD,0
71,1995-12-13,RTSI,78.041,78.041,78.041,78.041,2567041,USD,0
72,1995-12-14,RTSI,82.041,82.041,82.041,82.041,8145000,USD,0
73,1995-12-15,RTSI,82.038,82.038,82.038,82.038,2951465,USD,0
74,1995-12-18,RTSI,81.035,81.035,81.035,81.035,3480566,USD,0
75,1995-12-19,RTSI,83.198,83.198,83.198,83.198,2756132,USD,0
76,1995-12-20,RTSI,83.835,83.835,83.835,83.835,3043393,USD,0
77,1995-12-21,RTSI,81.007,81.007,81.007,81.007,1384615,USD,0
78,1995-12-22,RTSI,80.367,80.367,80.367,80.367,1043731,USD,0
79,1995-12-25,RTSI,81.488,81.488,81.488,81.488,231600,USD,0
80,1995-12-26,RTSI,81.853,81.853,81.853,81.853,115500,USD,0
81,1995-12-27,RTSI,82.448,82.448,82.448,82.448,77975,USD,0
82,1995-12-28,RTSI,82.919,82.919,82.919,82.919,147100,USD,0
83,1996-01-09,RTSI,87.348,87.348,87.348,87.348,4865289,USD,0
84,1996-01-10,RTSI,90.776,90.776,90.776,90.776,7486730,USD,0
85,1996-01-11,RTSI,91.194,91.194,91.194,91.194,5733001,USD,0
86,1996-01-12,RTSI,89.992,89.992,89.992,89.992,4397206,USD,0
87,1996-01-15,RTSI,90.729,90.729,90.729,90.729,1714899,USD,0
88,1996-01-16,RTSI,87.567,87.567,87.567,87.567,5401300,USD,0
89,1996-01-17,RTSI,81.646,81.646,81.646,81.646,6737080,USD,0
90,1996-01-18,RTSI,83.588,83.588,83.588,83.588,2632898,USD,0
91,1996-01-19,RTSI,85.042,85.042,85.042,85.042,3949214,USD,0
92,1996-01-22,RTSI,85.271,85.271,85.271,85.271,1896595,USD,0
93,1996-01-23,RTSI,82.832,82.832,82.832,82.832,4003038,USD,0
94,1996-01-24,RTSI,81.738,81.738,81.738,81.738,6674670,USD,0
95,1996-01-25,RTSI,77.97,77.97,77.97,77.97,6372285,USD,0
96,1996-01-26,RTSI,80.198,80.198,80.198,80.198,3644880,USD,0
97,1996-01-29,RTSI,80.358,80.358,80.358,80.358,1732820,USD,0
98,1996-01-30,RTSI,80.947,80.947,80.947,80.947,3958358,USD,0
99,1996-01-31,RTSI,80.708,80.708,80.708,80.708,1976657,USD,0
100,1996-02-01,RTSI,81.19,81.19,81.19,81.19,8877555,USD,0
101,1996-02-02,RTSI,83.56,83.56,83.56,83.56,10565213,USD,0
102,1996-02-05,RTSI,83.556,83.556,83.556,83.556,5714181,USD,0
103,1996-02-06,RTSI,83.556,83.556,83.556,83.556,4062996,USD,0
104,1996-02-07,RTSI,80.81,80.81,80.81,80.81,4313522,USD,0
105,1996-02-08,RTSI,80.879,80.879,80.879,80.879,2636896,USD,0
106,1996-02-09,RTSI,80.421,80.421,80.421,80.421,3903353,USD,0
107,1996-02-12,RTSI,78.79,78.79,78.79,78.79,4387664,USD,0
108,1996-02-13,RTSI,77.687,77.687,77.687,77.687,4282992,USD,0
109,1996-02-14,RTSI,77.835,77.835,77.835,77.835,2192925,USD,0
110,1996-02-15,RTSI,77.863,77.863,77.863,77.863,1510898,USD,0
111,1996-02-16,RTSI,77.343,77.343,77.343,77.343,2929470,USD,0
112,1996-02-19,RTSI,76.154,76.154,76.154,76.154,2405333,USD,0
113,1996-02-20,RTSI,74.526,74.526,74.526,74.526,2786259,USD,0
114,1996-02-21,RTSI,72.227,72.227,72.227,72.227,5665299,USD,0
115,1996-02-22,RTSI,70.836,70.836,70.836,70.836,5131290,USD,0
116,1996-02-23,RTSI,74.396,74.396,74.396,74.396,4418633,USD,0
117,1996-02-26,RTSI,73.697,73.697,73.697,73.697,1278147,USD,0
118,1996-02-27,RTSI,72.787,72.787,72.787,72.787,3063761,USD,0
119,1996-02-28,RTSI,72.47,72.47,72.47,72.47,2098187,USD,0
120,1996-02-29,RTSI,71.307,71.307,71.307,71.307,2704193,USD,0
121,1996-03-01,RTSI,70.231,70.231,70.231,70.231,2598631,USD,0
122,1996-03-04,RTSI,69.215,69.215,69.215,69.215,1438103,USD,0
123,1996-03-05,RTSI,70.154,70.154,70.154,70.154,2072170,USD,0
124,1996-03-06,RTSI,70.096,70.096,70.096,70.096,1147904,USD,0
125,1996-03-07,RTSI,69.937,69.937,69.937,69.937,2126196,USD,0
126,1996-03-11,RTSI,69.933,69.933,69.933,69.933,1366878,USD,0
127,1996-03-12,RTSI,69.565,69.565,69.565,69.565,3484309,USD,0
128,1996-03-13,RTSI,67.697,67.697,67.697,67.697,5567586,USD,0
129,1996-03-14,RTSI,68.46,68.46,68.46,68.46,2548672,USD,0
130,1996-03-15,RTSI,67.915,67.915,67.915,67.915,3087222,USD,0
131,1996-03-18,RTSI,66.686,66.686,66.686,66.686,4458392,USD,0
132,1996-03-19,RTSI,67.283,67.283,67.283,67.283,3194034,USD,0
133,1996-03-20,RTSI,68.91,68.91,68.91,68.91,6388049,USD,0
134,1996-03-21,RTSI,71.948,71.948,71.948,71.948,8175133,USD,0
135,1996-03-22,RTSI,74.727,74.727,74.727,74.727,6064658,USD,0
