,date,open,high,low,close,volume,capitalization,currency,secid
0,1995-10-23,16.916,16.916,16.916,16.916,0.0,0.0,USD,STOOQ:rubeur
1,1995-10-24,16.933,16.933,16.933,16.933,0.0,0.0,USD,STOOQ:rubeur
2,1995-10-25,16.982,16.982,16.982,16.982,0.0,0.0,USD,STOOQ:rubeur
3,1995-10-26,17.028,17.028,17.028,17.028,0.0,0.0,USD,STOOQ:rubeur
4,1995-10-27,16.838,16.838,16.838,16.838,0.0,0.0,USD,STOOQ:rubeur
5,1995-10-30,17.043,17.043,17.043,17.043,0.0,0.0,USD,STOOQ:rubeur
6,1995-10-31,17.056,17.056,17.056,17.056,0.0,0.0,USD,STOOQ:rubeur
7,1995-11-02,17.111,17.111,17.111,17.111,0.0,0.0,USD,STOOQ:rubeur
8,1995-11-03,17.129,17.129,17.129,17.129,0.0,0.0,USD,STOOQ:rubeur
9,1995-11-06,17.052,17.052,17.052,17.052,0.0,0.0,USD,STOOQ:rubeur
10,1995-11-07,17.07,17.07,17.07,17.07,0.0,0.0,USD,STOOQ:rubeur
11,1995-11-08,17.053,17.053,17.053,17.053,0.0,0.0,USD,STOOQ:rubeur
12,1995-11-09,17.13,17.13,17.13,17.13,0.0,0.0,USD,STOOQ:rubeur
13,1995-11-10,17.079,17.079,17.079,17.079,0.0,0.0,USD,STOOQ:rubeur
14,1995-11-13,16.998,16.998,16.998,16.998,0.0,0.0,USD,STOOQ:rubeur
15,1995-11-14,17.042,17.042,17.042,17.042,0.0,0.0,USD,STOOQ:rubeur
16,1995-11-15,16.894,16.894,16.894,16.894,0.0,0.0,USD,STOOQ:rubeur
17,1995-11-16,16.961,16.961,16.961,16.961,0.0,0.0,USD,STOOQ:rubeur
18,1995-11-17,16.821,16.821,16.821,16.821,0.0,0.0,USD,STOOQ:rubeur
19,1995-11-20,16.913,16.913,16.913,16.913,0.0,0.0,USD,STOOQ:rubeur
20,1995-11-21,16.878,16.878,16.878,16.878,0.0,0.0,USD,STOOQ:rubeur
21,1995-11-22,16.8,16.8,16.8,16.8,0.0,0.0,USD,STOOQ:rubeur
22,1995-11-23,16.784,16.784,16.784,16.784,0.0,0.0,USD,STOOQ:rubeur
23,1995-11-24,16.8,16.8,16.8,16.8,0.0,0.0,USD,STOOQ:rubeur
24,1995-11-27,16.88,16.88,16.88,16.88,0.0,0.0,USD,STOOQ:rubeur
25,1995-11-28,16.881,16.881,16.881,16.881,0.0,0.0,USD,STOOQ:rubeur
26,1995-11-29,16.983,16.983,16.983,16.983,0.0,0.0,USD,STOOQ:rubeur
27,1995-11-30,17.034,17.034,17.034,17.034,0.0,0.0,USD,STOOQ:rubeur
28,1995-12-01,17.116,17.116,17.116,17.116,0.0,0.0,USD,STOOQ:rubeur
29,1995-12-04,17.001,17.001,17.001,17.001,0.0,0.0,USD,STOOQ:rubeur
30,1995-12-05,16.971,16.971,16.971,16.971,0.0,0.0,USD,STOOQ:rubeur
31,1995-12-06,17.015,17.015,17.015,17.015,0.0,0.0,USD,STOOQ:rubeur
32,1995-12-07,17.004,17.004,17.004,17.004,0.0,0.0,USD,STOOQ:rubeur
33,1995-12-08,17.144,17.144,17.144,17.144,0.0,0.0,USD,STOOQ:rubeur
34,1995-12-11,17.147,17.147,17.147,17.147,0.0,0.0,USD,STOOQ:rubeur
35,1995-12-12,17.204,17.204,17.204,17.204,0.0,0.0,USD,STOOQ:rubeur
36,1995-12-13,17.131,17.131,17.131,17.131,0.0,0.0,USD,STOOQ:rubeur
37,1995-12-14,17.077,17.077,17.077,17.077,0.0,0.0,USD,STOOQ:rubeur
38,1995-12-15,16.963,16.963,16.963,16.963,0.0,0.0,USD,STOOQ:rubeur
39,1995-12-18,16.889,16.889,16.889,16.889,0.0,0.0,USD,STOOQ:rubeur
40,1995-12-19,16.855,16.855,16.855,16.855,0.0,0.0,USD,STOOQ:rubeur
41,1995-12-20,16.946,16.946,16.946,16.946,0.0,0.0,USD,STOOQ:rubeur
42,1995-12-21,16.909,16.909,16.909,16.909,0.0,0.0,USD,STOOQ:rubeur
43,1995-12-22,16.935,16.935,16.935,16.935,0.0,0.0,USD,STOOQ:rubeur
44,1995-12-27,16.905,16.905,16.905,16.905,0.0,0.0,USD,STOOQ:rubeur
45,1995-12-28,16.849,16.849,16.849,16.849,0.0,0.0,USD,STOOQ:rubeur
46,1995-12-29,16.821,16.821,16.821,16.821,0.0,0.0,USD,STOOQ:rubeur
47,1996-01-02,16.782,16.782,16.782,16.782,0.0,0.0,USD,STOOQ:rubeur
48,1996-01-03,16.827,16.827,16.827,16.827,0.0,0.0,USD,STOOQ:rubeur
49,1996-01-04,16.911,16.911,16.911,16.911,0.0,0.0,USD,STOOQ:rubeur
50,1996-01-05,16.799,16.799,16.799,16.799,0.0,0.0,USD,STOOQ:rubeur
51,1996-01-08,16.756,16.756,16.756,16.756,0.0,0.0,USD,STOOQ:rubeur
