date,secid,currency,close,open,low,high,volume,capitalization
2002-09-30,yahoo:^RUO,USD,187.77000427246094,187.5,183.19000244140625,188.50999450683594,2100.0,0.0
2002-10-01,yahoo:^RUO,USD,190.35000610351562,187.77000427246094,184.50999450683594,190.36000061035156,2000.0,0.0
2002-10-02,yahoo:^RUO,USD,186.60000610351562,190.35000610351562,186.5800018310547,191.74000549316406,2000.0,0.0
2002-10-03,yahoo:^RUO,USD,184.1699981689453,186.60000610351562,183.99000549316406,188.0399932861328,2100.0,0.0
2002-10-04,yahoo:^RUO,USD,179.60000610351562,184.1699981689453,178.57000732421875,184.4199981689453,2000.0,0.0
2002-10-07,yahoo:^RUO,USD,174.1699981689453,179.60000610351562,173.8300018310547,179.60000610351562,1900.0,0.0
2002-10-08,yahoo:^RUO,USD,175.61000061035156,174.1699981689453,172.1999969482422,175.85000610351562,2000.0,0.0
2002-10-09,yahoo:^RUO,USD,169.69000244140625,175.61000061035156,169.6199951171875,175.61000061035156,2000.0,0.0
2002-10-10,yahoo:^RUO,USD,174.8699951171875,169.69000244140625,168.60000610351562,174.9199981689453,2100.0,0.0
2002-10-11,yahoo:^RUO,USD,180.0399932861328,174.8699951171875,174.8699951171875,181.67999267578125,1900.0,0.0
2002-10-14,yahoo:^RUO,USD,181.5399932861328,180.0399932861328,178.6999969482422,181.58999633789062,2000.0,0.0
2002-10-15,yahoo:^RUO,USD,189.10000610351562,181.5399932861328,181.4600067138672,189.47999572753906,1900.0,0.0
2002-10-16,yahoo:^RUO,USD,184.07000732421875,189.10000610351562,183.91000366210938,189.10000610351562,1900.0,0.0
2002-10-17,yahoo:^RUO,USD,190.64999389648438,184.07000732421875,184.07000732421875,190.64999389648438,1900.0,0.0
2002-10-18,yahoo:^RUO,USD,191.4499969482422,190.64999389648438,188.6999969482422,191.92999267578125,2100.0,0.0
2002-10-21,yahoo:^RUO,USD,194.6300048828125,191.4499969482422,189.74000549316406,194.64999389648438,1900.0,0.0
2002-10-22,yahoo:^RUO,USD,191.4499969482422,194.6300048828125,191.17999267578125,194.6300048828125,1900.0,0.0
2002-10-23,yahoo:^RUO,USD,194.6999969482422,191.4499969482422,189.66000366210938,194.7100067138672,2000.0,0.0
2002-10-24,yahoo:^RUO,USD,193.1300048828125,194.6999969482422,193.05999755859375,196.1699981689453,1900.0,0.0
2002-10-25,yahoo:^RUO,USD,196.4199981689453,193.1300048828125,192.39999389648438,196.4199981689453,1900.0,0.0
2002-10-28,yahoo:^RUO,USD,194.6999969482422,196.4199981689453,194.57000732421875,197.89999389648438,2000.0,0.0
2002-10-29,yahoo:^RUO,USD,193.97999572753906,194.6999969482422,190.99000549316406,194.6999969482422,2000.0,0.0
2002-10-30,yahoo:^RUO,USD,197.75999450683594,193.99000549316406,193.99000549316406,197.75999450683594,1900.0,0.0
2002-10-31,yahoo:^RUO,USD,197.14999389648438,197.75999450683594,197.00999450683594,199.42999267578125,2000.0,0.0
2002-11-01,yahoo:^RUO,USD,202.60000610351562,197.14999389648438,196.05999755859375,202.60000610351562,1900.0,0.0
2002-11-04,yahoo:^RUO,USD,205.2100067138672,202.60000610351562,202.60000610351562,208.0399932861328,0.0,0.0
2002-11-05,yahoo:^RUO,USD,204.5500030517578,205.2100067138672,202.6999969482422,205.2100067138672,0.0,0.0
2002-11-06,yahoo:^RUO,USD,208.3000030517578,204.5500030517578,204.24000549316406,208.3000030517578,0.0,0.0
2002-11-07,yahoo:^RUO,USD,202.8300018310547,208.3000030517578,202.77000427246094,208.3000030517578,0.0,0.0
2002-11-08,yahoo:^RUO,USD,200.67999267578125,202.8300018310547,199.9499969482422,204.19000244140625,0.0,0.0
2002-11-11,yahoo:^RUO,USD,194.83999633789062,200.67999267578125,194.83999633789062,200.67999267578125,0.0,0.0
2002-11-12,yahoo:^RUO,USD,198.22999572753906,194.83999633789062,194.83999633789062,199.8000030517578,1900.0,0.0
2002-11-13,yahoo:^RUO,USD,199.13999938964844,198.22999572753906,196.52000427246094,200.8000030517578,0.0,0.0
2002-11-14,yahoo:^RUO,USD,204.91000366210938,199.13999938964844,199.13999938964844,204.91000366210938,0.0,0.0
2002-11-15,yahoo:^RUO,USD,204.72999572753906,204.91000366210938,203.1699981689453,205.3800048828125,0.0,0.0
2002-11-18,yahoo:^RUO,USD,203.25999450683594,204.72999572753906,202.75999450683594,206.0800018310547,0.0,0.0
2002-11-19,yahoo:^RUO,USD,201.27999877929688,203.25999450683594,201.00999450683594,203.3800048828125,0.0,0.0
2002-11-20,yahoo:^RUO,USD,206.49000549316406,201.27999877929688,201.14999389648438,206.49000549316406,0.0,0.0
2002-11-21,yahoo:^RUO,USD,212.25999450683594,206.49000549316406,206.49000549316406,212.42999267578125,0.0,0.0
2002-11-22,yahoo:^RUO,USD,213.85000610351562,212.25999450683594,210.4600067138672,214.07000732421875,0.0,0.0
2002-11-25,yahoo:^RUO,USD,216.50999450683594,213.85000610351562,213.3000030517578,216.50999450683594,0.0,0.0
2002-11-26,yahoo:^RUO,USD,212.4199981689453,216.50999450683594,211.83999633789062,216.52000427246094,0.0,0.0
2002-11-27,yahoo:^RUO,USD,218.7100067138672,212.4199981689453,212.4199981689453,218.7100067138672,0.0,0.0
2002-11-29,yahoo:^RUO,USD,216.55999755859375,218.7100067138672,216.52000427246094,219.47000122070312,0.0,0.0
2002-12-02,yahoo:^RUO,USD,217.7899932861328,216.57000732421875,216.47999572753906,220.92999267578125,0.0,0.0
2002-12-03,yahoo:^RUO,USD,213.0500030517578,217.7899932861328,213.0399932861328,217.7899932861328,0.0,0.0
2002-12-04,yahoo:^RUO,USD,210.8000030517578,213.0500030517578,208.55999755859375,213.0500030517578,0.0,0.0
