date,secid,currency,close,open,low,high,volume,capitalization
1996-07-02,investing:Shanghai SE 180,CNY,1956.45,1959.99,1937.19,1991.91,0,0.0
1996-07-03,investing:Shanghai SE 180,CNY,2109.45,1986.71,1986.37,2109.99,0,0.0
1996-07-04,investing:Shanghai SE 180,CNY,2192.2,2130.46,2125.19,2193.27,0,0.0
1996-07-05,investing:Shanghai SE 180,CNY,2175.14,2210.11,2167.97,2231.83,0,0.0
1996-07-08,investing:Shanghai SE 180,CNY,2336.56,2229.43,2216.2,2337.84,0,0.0
1996-07-09,investing:Shanghai SE 180,CNY,2411.22,2379.52,2345.68,2438.95,0,0.0
1996-07-10,investing:Shanghai SE 180,CNY,2385.78,2427.76,2329.74,2427.96,0,0.0
1996-07-11,investing:Shanghai SE 180,CNY,2265.95,2380.44,2259.45,2381.19,0,0.0
1996-07-12,investing:Shanghai SE 180,CNY,2308.74,2229.24,2214.54,2309.26,0,0.0
1996-07-15,investing:Shanghai SE 180,CNY,2250.73,2292.75,2218.86,2295.7,0,0.0
1996-07-16,investing:Shanghai SE 180,CNY,2355.05,2293.22,2268.07,2363.68,0,0.0
1996-07-17,investing:Shanghai SE 180,CNY,2272.39,2371.37,2269.22,2373.38,0,0.0
1996-07-18,investing:Shanghai SE 180,CNY,2300.83,2268.99,2268.99,2309.1,0,0.0
1996-07-19,investing:Shanghai SE 180,CNY,2324.87,2314.03,2277.95,2348.16,0,0.0
1996-07-22,investing:Shanghai SE 180,CNY,2372.09,2343.35,2332.48,2400.63,0,0.0
1996-07-23,investing:Shanghai SE 180,CNY,2389.65,2389.24,2377.54,2420.29,0,0.0
1996-07-24,investing:Shanghai SE 180,CNY,2455.0,2408.27,2408.27,2482.76,0,0.0
1996-07-25,investing:Shanghai SE 180,CNY,2385.54,2449.74,2380.66,2456.99,0,0.0
1996-07-26,investing:Shanghai SE 180,CNY,2311.17,2383.45,2292.3,2400.68,0,0.0
1996-07-29,investing:Shanghai SE 180,CNY,2322.01,2309.74,2275.94,2326.47,0,0.0
1996-07-30,investing:Shanghai SE 180,CNY,2266.55,2342.0,2263.11,2352.7,0,0.0
1996-07-31,investing:Shanghai SE 180,CNY,2205.64,2263.4,2202.64,2278.18,0,0.0
1996-08-01,investing:Shanghai SE 180,CNY,2213.4,2202.22,2177.07,2238.55,0,0.0
