date,secid,currency,close,open,low,high,volume,capitalization
1990-12-19,STOOQ:^SHC,USD,99.98,99.98,99.98,99.98,,0.0
1990-12-20,STOOQ:^SHC,USD,104.39,104.39,104.39,104.39,,0.0
1990-12-21,STOOQ:^SHC,USD,109.13,109.13,109.13,109.13,,0.0
1990-12-24,STOOQ:^SHC,USD,114.55,114.55,114.55,114.55,,0.0
1990-12-25,STOOQ:^SHC,USD,120.25,120.25,120.25,120.25,,0.0
1990-12-26,STOOQ:^SHC,USD,125.27,125.27,125.27,125.27,,0.0
1990-12-27,STOOQ:^SHC,USD,125.28,125.28,125.28,125.28,,0.0
1990-12-28,STOOQ:^SHC,USD,126.45,126.45,126.45,126.45,,0.0
1990-12-31,STOOQ:^SHC,USD,127.61,127.61,127.61,127.61,,0.0
1991-01-02,STOOQ:^SHC,USD,128.84,128.84,128.84,128.84,,0.0
1991-01-03,STOOQ:^SHC,USD,130.14,130.14,130.14,130.14,,0.0
1991-01-04,STOOQ:^SHC,USD,131.44,131.44,131.44,131.44,,0.0
1991-01-07,STOOQ:^SHC,USD,132.06,132.06,132.06,132.06,,0.0
1991-01-08,STOOQ:^SHC,USD,132.68,132.68,132.68,132.68,,0.0
1991-01-09,STOOQ:^SHC,USD,133.34,133.34,133.34,133.34,,0.0
1991-01-10,STOOQ:^SHC,USD,133.97,133.97,133.97,133.97,,0.0
1991-01-11,STOOQ:^SHC,USD,134.6,134.6,134.6,134.6,,0.0
1991-01-14,STOOQ:^SHC,USD,134.67,134.67,134.67,134.67,,0.0
1991-01-15,STOOQ:^SHC,USD,134.74,134.74,134.74,134.74,,0.0
1991-01-16,STOOQ:^SHC,USD,134.24,134.24,134.24,134.24,,0.0
1991-01-17,STOOQ:^SHC,USD,134.25,134.25,134.25,134.25,,0.0
1991-01-18,STOOQ:^SHC,USD,134.24,134.24,134.24,134.24,,0.0
1991-01-22,STOOQ:^SHC,USD,133.72,133.72,133.72,133.72,,0.0
1991-01-23,STOOQ:^SHC,USD,133.17,133.17,133.17,133.17,,0.0
1991-01-24,STOOQ:^SHC,USD,132.61,132.61,132.61,132.61,,0.0
1991-01-25,STOOQ:^SHC,USD,132.05,132.05,132.05,132.05,,0.0
1991-01-28,STOOQ:^SHC,USD,131.46,131.46,131.46,131.46,,0.0
1991-01-29,STOOQ:^SHC,USD,130.95,130.95,130.95,130.95,,0.0
1991-01-30,STOOQ:^SHC,USD,130.44,130.44,130.44,130.44,,0.0
1991-01-31,STOOQ:^SHC,USD,129.97,129.97,129.97,129.97,,0.0
1991-02-01,STOOQ:^SHC,USD,129.51,129.51,129.51,129.51,,0.0
1991-02-04,STOOQ:^SHC,USD,129.05,129.05,129.05,129.05,,0.0
1991-02-05,STOOQ:^SHC,USD,128.58,128.58,128.58,128.58,,0.0
1991-02-06,STOOQ:^SHC,USD,129.14,129.14,129.14,129.14,,0.0
1991-02-07,STOOQ:^SHC,USD,129.79,129.79,129.79,129.79,,0.0
1991-02-08,STOOQ:^SHC,USD,130.38,130.38,130.38,130.38,,0.0
1991-02-11,STOOQ:^SHC,USD,130.97,130.97,130.97,130.97,,0.0
1991-02-12,STOOQ:^SHC,USD,131.35,131.35,131.35,131.35,,0.0
1991-02-13,STOOQ:^SHC,USD,131.92,131.92,131.92,131.92,,0.0
1991-02-14,STOOQ:^SHC,USD,132.53,132.53,132.53,132.53,,0.0
1991-02-19,STOOQ:^SHC,USD,133.13,133.13,133.13,133.13,,0.0
1991-02-20,STOOQ:^SHC,USD,133.67,133.67,133.67,133.67,,0.0
1991-02-21,STOOQ:^SHC,USD,134.28,134.28,134.28,134.28,,0.0
1991-02-22,STOOQ:^SHC,USD,134.87,134.87,134.87,134.87,,0.0
1991-02-25,STOOQ:^SHC,USD,134.4,134.4,134.4,134.4,,0.0
1991-02-26,STOOQ:^SHC,USD,133.93,133.93,133.93,133.93,,0.0
1991-02-27,STOOQ:^SHC,USD,133.47,133.47,133.47,133.47,,0.0
1991-02-28,STOOQ:^SHC,USD,133.01,133.01,133.01,133.01,,0.0
1991-03-01,STOOQ:^SHC,USD,132.53,132.53,132.53,132.53,,0.0
1991-03-04,STOOQ:^SHC,USD,131.99,131.99,131.99,131.99,,0.0
1991-03-05,STOOQ:^SHC,USD,131.46,131.46,131.46,131.46,,0.0
1991-03-06,STOOQ:^SHC,USD,130.94,130.94,130.94,130.94,,0.0
1991-03-07,STOOQ:^SHC,USD,130.41,130.41,130.41,130.41,,0.0
1991-03-08,STOOQ:^SHC,USD,129.89,129.89,129.89,129.89,,0.0
1991-03-11,STOOQ:^SHC,USD,129.31,129.31,129.31,129.31,,0.0
1991-03-12,STOOQ:^SHC,USD,128.77,128.77,128.77,128.77,,0.0
1991-03-13,STOOQ:^SHC,USD,126.15,126.15,126.15,126.15,,0.0
1991-03-14,STOOQ:^SHC,USD,125.63,125.63,125.63,125.63,,0.0
1991-03-15,STOOQ:^SHC,USD,125.17,125.17,125.17,125.17,,0.0
1991-03-18,STOOQ:^SHC,USD,124.71,124.71,124.71,124.71,,0.0
1991-03-19,STOOQ:^SHC,USD,124.22,124.22,124.22,124.22,,0.0
1991-03-20,STOOQ:^SHC,USD,123.66,123.66,123.66,123.66,,0.0
1991-03-21,STOOQ:^SHC,USD,123.12,123.12,123.12,123.12,,0.0
1991-03-22,STOOQ:^SHC,USD,122.62,122.62,122.62,122.62,,0.0
1991-03-25,STOOQ:^SHC,USD,122.12,122.12,122.12,122.12,,0.0
1991-03-26,STOOQ:^SHC,USD,121.62,121.62,121.62,121.62,,0.0
1991-03-27,STOOQ:^SHC,USD,121.12,121.12,121.12,121.12,,0.0
1991-03-28,STOOQ:^SHC,USD,120.61,120.61,120.61,120.61,,0.0
1991-03-29,STOOQ:^SHC,USD,120.19,120.19,120.19,120.19,,0.0
1991-04-01,STOOQ:^SHC,USD,120.73,120.73,120.73,120.73,,0.0
1991-04-02,STOOQ:^SHC,USD,121.21,121.21,121.21,121.21,,0.0
1991-04-03,STOOQ:^SHC,USD,121.71,121.71,121.71,121.71,,0.0
1991-04-04,STOOQ:^SHC,USD,121.72,121.72,121.72,121.72,,0.0
1991-04-05,STOOQ:^SHC,USD,121.54,121.54,121.54,121.54,,0.0
1991-04-08,STOOQ:^SHC,USD,121.09,121.09,121.09,121.09,,0.0
1991-04-09,STOOQ:^SHC,USD,120.62,120.62,120.62,120.62,,0.0
1991-04-10,STOOQ:^SHC,USD,120.16,120.16,120.16,120.16,,0.0
1991-04-11,STOOQ:^SHC,USD,119.64,119.64,119.64,119.64,,0.0
1991-04-12,STOOQ:^SHC,USD,119.21,119.21,119.21,119.21,,0.0
1991-04-15,STOOQ:^SHC,USD,118.77,118.77,118.77,118.77,,0.0
1991-04-16,STOOQ:^SHC,USD,118.34,118.34,118.34,118.34,,0.0
1991-04-17,STOOQ:^SHC,USD,117.9,117.9,117.9,117.9,,0.0
1991-04-18,STOOQ:^SHC,USD,117.45,117.45,117.45,117.45,,0.0
1991-04-19,STOOQ:^SHC,USD,117.08,117.08,117.08,117.08,,0.0
1991-04-22,STOOQ:^SHC,USD,116.63,116.63,116.63,116.63,,0.0
1991-04-23,STOOQ:^SHC,USD,116.19,116.19,116.19,116.19,,0.0
1991-04-24,STOOQ:^SHC,USD,115.79,115.79,115.79,115.79,,0.0
1991-04-25,STOOQ:^SHC,USD,115.36,115.36,115.36,115.36,,0.0
1991-04-26,STOOQ:^SHC,USD,115.56,115.56,115.56,115.56,,0.0
1991-04-29,STOOQ:^SHC,USD,114.75,114.75,114.75,114.75,,0.0
1991-04-30,STOOQ:^SHC,USD,113.94,113.94,113.94,113.94,,0.0
1991-05-02,STOOQ:^SHC,USD,113.16,113.16,113.16,113.16,,0.0
1991-05-03,STOOQ:^SHC,USD,112.41,112.41,112.41,112.41,,0.0
1991-05-06,STOOQ:^SHC,USD,111.61,111.61,111.61,111.61,,0.0
1991-05-07,STOOQ:^SHC,USD,110.82,110.82,110.82,110.82,,0.0
1991-05-08,STOOQ:^SHC,USD,110.03,110.03,110.03,110.03,,0.0
1991-05-09,STOOQ:^SHC,USD,109.29,109.29,109.29,109.29,,0.0
1991-05-10,STOOQ:^SHC,USD,108.53,108.53,108.53,108.53,,0.0
1991-05-13,STOOQ:^SHC,USD,107.84,107.84,107.84,107.84,,0.0
1991-05-14,STOOQ:^SHC,USD,107.19,107.19,107.19,107.19,,0.0
1991-05-15,STOOQ:^SHC,USD,106.57,106.57,106.57,106.57,,0.0
1991-05-16,STOOQ:^SHC,USD,105.77,105.77,105.77,105.77,,0.0
1991-05-17,STOOQ:^SHC,USD,106.75,106.75,106.75,106.75,,0.0
1991-05-20,STOOQ:^SHC,USD,107.82,107.82,107.82,107.82,,0.0
1991-05-21,STOOQ:^SHC,USD,108.81,108.81,108.81,108.81,,0.0
1991-05-22,STOOQ:^SHC,USD,108.25,108.25,108.25,108.25,,0.0
1991-05-23,STOOQ:^SHC,USD,109.08,109.08,109.08,109.08,,0.0
1991-05-24,STOOQ:^SHC,USD,110.08,110.08,110.08,110.08,,0.0
1991-05-27,STOOQ:^SHC,USD,110.66,110.66,110.66,110.66,,0.0
1991-05-28,STOOQ:^SHC,USD,111.68,111.68,111.68,111.68,,0.0
1991-05-29,STOOQ:^SHC,USD,112.75,112.75,112.75,112.75,,0.0
1991-05-30,STOOQ:^SHC,USD,113.82,113.82,113.82,113.82,,0.0
1991-05-31,STOOQ:^SHC,USD,114.83,114.83,114.83,114.83,,0.0
1991-06-03,STOOQ:^SHC,USD,115.97,115.97,115.97,115.97,,0.0
1991-06-04,STOOQ:^SHC,USD,117.12,117.12,117.12,117.12,,0.0
1991-06-05,STOOQ:^SHC,USD,118.17,118.17,118.17,118.17,,0.0
1991-06-06,STOOQ:^SHC,USD,119.35,119.35,119.35,119.35,,0.0
1991-06-07,STOOQ:^SHC,USD,120.47,120.47,120.47,120.47,,0.0
1991-06-10,STOOQ:^SHC,USD,121.67,121.67,121.67,121.67,,0.0
1991-06-11,STOOQ:^SHC,USD,122.89,122.89,122.89,122.89,,0.0
1991-06-12,STOOQ:^SHC,USD,124.11,124.11,124.11,124.11,,0.0
1991-06-13,STOOQ:^SHC,USD,125.34,125.34,125.34,125.34,,0.0
1991-06-14,STOOQ:^SHC,USD,124.53,124.53,124.53,124.53,,0.0
1991-06-17,STOOQ:^SHC,USD,125.77,125.77,125.77,125.77,,0.0
