date,secid,currency,close,open,low,high,volume,capitalization
2016-08-24,investing:STOXX 600,EUR,344.93,342.76,341.56,345.7,243715008,0.0
2016-08-25,investing:STOXX 600,EUR,342.02,343.88,340.8,343.88,209148992,0.0
2016-08-26,investing:STOXX 600,EUR,343.72,341.92,340.95,344.29,166371008,0.0
2016-08-29,investing:STOXX 600,EUR,343.2,343.24,341.37,343.47,135278000,0.0
2016-08-30,investing:STOXX 600,EUR,344.75,343.48,343.48,345.86,202988992,0.0
2016-08-31,investing:STOXX 600,EUR,343.53,344.54,343.42,346.03,299544000,0.0
2016-09-01,investing:STOXX 600,EUR,343.66,344.21,342.72,346.9,318395008,0.0
2016-09-02,investing:STOXX 600,EUR,350.44,344.04,343.53,350.85,299312992,0.0
2016-09-05,investing:STOXX 600,EUR,350.62,350.7,350.45,351.77,191006000,0.0
2016-09-06,investing:STOXX 600,EUR,349.46,351.32,349.09,351.56,216771008,0.0
2016-09-07,investing:STOXX 600,EUR,350.46,349.56,348.51,351.01,261171008,0.0
2016-09-08,investing:STOXX 600,EUR,349.32,350.15,346.34,351.52,263348000,0.0
2016-09-09,investing:STOXX 600,EUR,345.52,348.68,344.9,348.88,254120992,0.0
2016-09-12,investing:STOXX 600,EUR,342.23,343.62,338.5,343.62,287988000,0.0
2016-09-13,investing:STOXX 600,EUR,338.72,342.74,338.72,344.14,289564992,0.0
2016-09-14,investing:STOXX 600,EUR,338.42,339.71,338.26,340.62,266840000,0.0
2016-09-15,investing:STOXX 600,EUR,340.34,338.3,337.85,340.64,251296992,0.0
2016-09-16,investing:STOXX 600,EUR,337.82,340.38,337.28,340.78,624236032,0.0
2016-09-19,investing:STOXX 600,EUR,341.27,338.79,338.79,341.58,202655008,0.0
2016-09-20,investing:STOXX 600,EUR,341.0,340.79,340.29,342.78,210240992,0.0
2016-09-21,investing:STOXX 600,EUR,342.46,342.83,342.25,344.9,218730000,0.0
2016-09-22,investing:STOXX 600,EUR,347.86,343.49,343.49,348.79,234755008,0.0
2016-09-23,investing:STOXX 600,EUR,345.34,347.33,344.75,347.33,213320992,0.0
2016-09-26,investing:STOXX 600,EUR,340.0,344.27,339.68,344.27,240270000,0.0
2016-09-27,investing:STOXX 600,EUR,340.19,340.94,337.61,342.21,241324992,0.0
2016-09-28,investing:STOXX 600,EUR,342.57,340.97,340.97,344.31,208976992,0.0
2016-09-29,investing:STOXX 600,EUR,342.72,344.09,341.91,346.25,236408992,0.0
2016-09-30,investing:STOXX 600,EUR,342.92,341.27,336.74,343.54,355995008,0.0
2016-10-03,investing:STOXX 600,EUR,343.23,342.18,341.98,343.78,187991008,0.0
2016-10-04,investing:STOXX 600,EUR,346.1,343.36,343.29,347.29,305135008,0.0
2016-10-05,investing:STOXX 600,EUR,344.2,344.17,342.03,344.81,271372000,0.0
2016-10-06,investing:STOXX 600,EUR,342.82,344.7,342.82,345.45,255075008,0.0
2016-10-07,investing:STOXX 600,EUR,339.64,342.11,338.9,342.46,317868000,0.0
2016-10-10,investing:STOXX 600,EUR,341.98,339.21,337.68,342.3,233392992,0.0
2016-10-11,investing:STOXX 600,EUR,340.17,341.61,339.89,343.01,251876992,0.0
2016-10-12,investing:STOXX 600,EUR,338.56,340.38,338.49,340.89,260679008,0.0
2016-10-13,investing:STOXX 600,EUR,335.62,337.49,333.71,337.49,291423008,0.0
2016-10-14,investing:STOXX 600,EUR,339.95,336.27,336.27,341.36,267047008,0.0
2016-10-17,investing:STOXX 600,EUR,337.42,339.57,337.22,339.88,232779008,0.0
2016-10-18,investing:STOXX 600,EUR,342.48,338.65,338.65,342.76,248876992,0.0
2016-10-19,investing:STOXX 600,EUR,343.64,342.28,341.24,344.25,242895008,0.0
2016-10-20,investing:STOXX 600,EUR,344.29,343.69,340.76,344.96,282644000,0.0
2016-10-21,investing:STOXX 600,EUR,344.29,344.53,343.28,345.44,238667008,0.0
2016-10-24,investing:STOXX 600,EUR,344.26,344.95,344.19,347.03,236972000,0.0
2016-10-25,investing:STOXX 600,EUR,343.07,344.61,342.58,345.65,253218000,0.0
2016-10-26,investing:STOXX 600,EUR,341.76,342.8,339.83,342.8,268036992,0.0
2016-10-27,investing:STOXX 600,EUR,341.71,341.58,339.91,343.32,285220000,0.0
2016-10-28,investing:STOXX 600,EUR,340.8,340.77,338.3,341.11,274928992,0.0
2016-10-31,investing:STOXX 600,EUR,338.97,340.41,338.31,340.41,234180992,0.0
2016-11-01,investing:STOXX 600,EUR,335.33,340.04,335.05,340.74,217900992,0.0
2016-11-02,investing:STOXX 600,EUR,331.55,334.54,331.55,334.54,259488000,0.0
2016-11-03,investing:STOXX 600,EUR,331.56,331.63,330.97,334.05,276348992,0.0
2016-11-04,investing:STOXX 600,EUR,328.8,330.89,327.75,330.89,257188000,0.0
2016-11-07,investing:STOXX 600,EUR,333.84,329.65,329.65,333.84,249527008,0.0
2016-11-08,investing:STOXX 600,EUR,334.91,334.06,333.0,335.08,231463008,0.0
2016-11-09,investing:STOXX 600,EUR,339.81,330.35,327.02,339.9,447491008,0.0
2016-11-10,investing:STOXX 600,EUR,338.88,341.22,337.48,344.3,513454016,0.0
2016-11-11,investing:STOXX 600,EUR,337.5,339.59,336.59,341.09,335828000,0.0
2016-11-14,investing:STOXX 600,EUR,338.23,338.45,337.36,341.98,322646016,0.0
2016-11-15,investing:STOXX 600,EUR,339.16,337.8,337.23,339.76,306968000,0.0
2016-11-16,investing:STOXX 600,EUR,338.47,340.47,337.17,341.2,271884000,0.0
2016-11-17,investing:STOXX 600,EUR,340.6,338.11,337.54,340.81,280620992,0.0
2016-11-18,investing:STOXX 600,EUR,339.39,341.26,339.08,342.08,300176000,0.0
2016-11-21,investing:STOXX 600,EUR,340.23,339.42,336.67,340.84,235935008,0.0
2016-11-22,investing:STOXX 600,EUR,341.02,341.39,340.96,342.61,263751008,0.0
2016-11-23,investing:STOXX 600,EUR,340.77,340.77,338.95,341.81,270041984,0.0
2016-11-24,investing:STOXX 600,EUR,341.84,341.17,340.17,342.11,163999008,0.0
2016-11-25,investing:STOXX 600,EUR,342.45,341.52,340.71,342.56,170080992,0.0
2016-11-28,investing:STOXX 600,EUR,339.83,341.87,339.01,341.87,233792992,0.0
2016-11-29,investing:STOXX 600,EUR,340.95,339.26,338.12,341.07,242486000,0.0
2016-11-30,investing:STOXX 600,EUR,341.99,340.52,340.25,343.34,411377984,0.0
2016-12-01,investing:STOXX 600,EUR,340.86,342.12,339.56,342.37,313551008,0.0
2016-12-02,investing:STOXX 600,EUR,339.36,338.89,336.36,340.19,255936992,0.0
2016-12-05,investing:STOXX 600,EUR,341.27,339.88,338.97,344.79,324559008,0.0
2016-12-06,investing:STOXX 600,EUR,344.57,341.54,340.38,344.57,325924992,0.0
2016-12-07,investing:STOXX 600,EUR,347.7,345.46,345.46,347.7,394374016,0.0
2016-12-08,investing:STOXX 600,EUR,351.96,348.46,347.27,352.15,400540000,0.0
2016-12-09,investing:STOXX 600,EUR,355.38,352.04,352.04,355.86,307267008,0.0
2016-12-12,investing:STOXX 600,EUR,353.74,355.25,353.15,355.96,289355008,0.0
2016-12-13,investing:STOXX 600,EUR,357.5,353.42,352.86,357.68,360281984,0.0
