date,secid,currency,close,open,low,high,volume,capitalization
2012-12-27,investing:SZSE Composite,CNY,862.82,871.32,861.96,875.75,96736,0.0
2012-12-28,investing:SZSE Composite,CNY,872.96,862.2,859.29,872.96,80098,0.0
2012-12-31,investing:SZSE Composite,CNY,881.17,874.56,871.76,881.17,84526,0.0
2013-01-04,investing:SZSE Composite,CNY,877.76,887.36,868.48,889.09,90802,0.0
2013-01-07,investing:SZSE Composite,CNY,885.49,876.12,873.51,885.49,84879,0.0
2013-01-08,investing:SZSE Composite,CNY,895.15,885.55,880.58,898.05,102196,0.0
2013-01-09,investing:SZSE Composite,CNY,897.81,893.57,889.45,903.74,102926,0.0
2013-01-10,investing:SZSE Composite,CNY,902.19,897.22,895.86,906.85,90069,0.0
2013-01-11,investing:SZSE Composite,CNY,886.13,903.28,883.94,905.43,99458,0.0
2013-01-14,investing:SZSE Composite,CNY,918.33,884.41,884.06,919.28,111356,0.0
2013-01-15,investing:SZSE Composite,CNY,932.55,919.45,919.44,935.89,130775,0.0
2013-01-16,investing:SZSE Composite,CNY,929.73,931.44,915.68,935.85,119159,0.0
2013-01-17,investing:SZSE Composite,CNY,921.7,928.28,918.17,930.98,89392,0.0
2013-01-18,investing:SZSE Composite,CNY,935.7,924.46,920.03,937.28,95627,0.0
2013-01-21,investing:SZSE Composite,CNY,942.5,938.82,934.09,942.5,101131,0.0
2013-01-22,investing:SZSE Composite,CNY,928.9,942.75,921.72,942.75,108624,0.0
2013-01-23,investing:SZSE Composite,CNY,930.4,926.04,918.06,932.24,87260,0.0
2013-01-24,investing:SZSE Composite,CNY,911.53,930.04,904.68,940.78,110032,0.0
2013-01-25,investing:SZSE Composite,CNY,909.51,910.05,906.12,914.92,68508,0.0
2013-01-28,investing:SZSE Composite,CNY,932.61,909.63,909.63,932.61,84581,0.0
2013-01-29,investing:SZSE Composite,CNY,941.28,933.58,932.41,943.35,96006,0.0
2013-01-30,investing:SZSE Composite,CNY,942.6,941.26,934.37,944.16,97674,0.0
2013-01-31,investing:SZSE Composite,CNY,936.21,942.16,932.13,942.78,89558,0.0
2013-02-01,investing:SZSE Composite,CNY,944.28,934.08,932.34,944.28,90969,0.0
2013-02-04,investing:SZSE Composite,CNY,935.8,945.81,931.94,947.77,102606,0.0
2013-02-05,investing:SZSE Composite,CNY,947.0,931.53,929.73,947.6,86688,0.0
2013-02-06,investing:SZSE Composite,CNY,951.52,947.16,947.16,954.58,75018,0.0
2013-02-07,investing:SZSE Composite,CNY,956.73,950.96,947.18,958.39,71827,0.0
2013-02-08,investing:SZSE Composite,CNY,969.52,956.04,956.04,973.65,75621,0.0
2013-02-18,investing:SZSE Composite,CNY,970.09,973.84,964.18,975.39,85800,0.0
2013-02-19,investing:SZSE Composite,CNY,951.71,969.46,948.33,970.04,90256,0.0
2013-02-20,investing:SZSE Composite,CNY,969.38,950.81,950.23,969.38,84045,0.0
2013-02-21,investing:SZSE Composite,CNY,950.01,963.16,941.35,963.16,103896,0.0
2013-02-22,investing:SZSE Composite,CNY,947.69,948.35,946.49,957.22,73209,0.0
2013-02-25,investing:SZSE Composite,CNY,955.79,949.07,948.21,958.27,69498,0.0
2013-02-26,investing:SZSE Composite,CNY,943.33,951.92,942.59,961.17,86079,0.0
2013-02-27,investing:SZSE Composite,CNY,945.86,945.0,938.06,953.53,73439,0.0
2013-02-28,investing:SZSE Composite,CNY,966.42,948.56,944.75,966.42,89588,0.0
2013-03-01,investing:SZSE Composite,CNY,977.36,966.21,964.31,977.36,95641,0.0
2013-03-04,investing:SZSE Composite,CNY,942.79,966.42,936.79,966.53,122557,0.0
2013-03-05,investing:SZSE Composite,CNY,964.68,941.83,938.55,964.71,93776,0.0
2013-03-06,investing:SZSE Composite,CNY,979.19,967.53,967.53,979.33,118239,0.0
2013-03-07,investing:SZSE Composite,CNY,968.34,977.61,958.72,980.1,114391,0.0
2013-03-08,investing:SZSE Composite,CNY,958.23,968.32,957.47,972.18,78687,0.0
2013-03-11,investing:SZSE Composite,CNY,958.43,956.49,950.06,963.1,66945,0.0
2013-03-12,investing:SZSE Composite,CNY,935.38,957.76,924.56,964.02,89416,0.0
