date,secid,currency,close,open,low,high,volume,capitalization
1984-01-09,STOOQ:usdcny,USD,3.574,3.574,3.574,3.574,0.0,0.0
1984-01-16,STOOQ:usdcny,USD,3.6531,3.6531,3.6531,3.6531,0.0,0.0
1984-01-23,STOOQ:usdcny,USD,3.6531,3.6531,3.6531,3.6531,0.0,0.0
1984-01-30,STOOQ:usdcny,USD,3.6531,3.6531,3.6531,3.6531,0.0,0.0
1984-02-06,STOOQ:usdcny,USD,3.6531,3.6531,3.6531,3.6531,0.0,0.0
1984-02-13,STOOQ:usdcny,USD,3.6531,3.6531,3.6531,3.6531,0.0,0.0
1984-02-20,STOOQ:usdcny,USD,3.6981,3.6981,3.6981,3.6981,0.0,0.0
1984-03-01,STOOQ:usdcny,USD,3.6066,3.6066,3.6066,3.6066,0.0,0.0
1984-03-05,STOOQ:usdcny,USD,3.6455,3.6455,3.6455,3.6455,0.0,0.0
1984-03-12,STOOQ:usdcny,USD,3.6735,3.6735,3.6735,3.6735,0.0,0.0
1984-03-19,STOOQ:usdcny,USD,3.6735,3.6735,3.6735,3.6735,0.0,0.0
1984-03-26,STOOQ:usdcny,USD,3.7075,3.7075,3.7075,3.7075,0.0,0.0
1984-04-02,STOOQ:usdcny,USD,3.6455,3.6455,3.6455,3.6455,0.0,0.0
1984-04-09,STOOQ:usdcny,USD,3.7075,3.7075,3.7075,3.7075,0.0,0.0
1984-04-16,STOOQ:usdcny,USD,3.7075,3.7075,3.7075,3.7075,0.0,0.0
1984-04-24,STOOQ:usdcny,USD,3.7415,3.7415,3.7415,3.7415,0.0,0.0
1984-05-02,STOOQ:usdcny,USD,3.8194,3.8194,3.8194,3.8194,0.0,0.0
1984-05-07,STOOQ:usdcny,USD,3.8542,3.8542,3.8542,3.8542,0.0,0.0
1984-05-14,STOOQ:usdcny,USD,3.8542,3.8542,3.8542,3.8542,0.0,0.0
1984-05-21,STOOQ:usdcny,USD,3.9362,3.9362,3.9362,3.9362,0.0,0.0
