date,secid,currency,close,open,low,high,volume,capitalization
1971-01-04,STOOQ:usdeur,USD,1.8682,1.8682,1.8682,1.8682,0.0,0.0
1971-01-05,STOOQ:usdeur,USD,1.869,1.869,1.869,1.869,0.0,0.0
1971-01-06,STOOQ:usdeur,USD,1.8685,1.8685,1.8685,1.8685,0.0,0.0
1971-01-07,STOOQ:usdeur,USD,1.8682,1.8682,1.8682,1.8682,0.0,0.0
1971-01-08,STOOQ:usdeur,USD,1.8678,1.8678,1.8678,1.8678,0.0,0.0
1971-01-11,STOOQ:usdeur,USD,1.8673,1.8673,1.8673,1.8673,0.0,0.0
1971-01-12,STOOQ:usdeur,USD,1.8672,1.8672,1.8672,1.8672,0.0,0.0
1971-01-13,STOOQ:usdeur,USD,1.8666,1.8666,1.8666,1.8666,0.0,0.0
1971-01-14,STOOQ:usdeur,USD,1.8659,1.8659,1.8659,1.8659,0.0,0.0
1971-01-15,STOOQ:usdeur,USD,1.8655,1.8655,1.8655,1.8655,0.0,0.0
1971-01-18,STOOQ:usdeur,USD,1.8646,1.8646,1.8646,1.8646,0.0,0.0
1971-01-19,STOOQ:usdeur,USD,1.8648,1.8648,1.8648,1.8648,0.0,0.0
1971-01-20,STOOQ:usdeur,USD,1.8628,1.8628,1.8628,1.8628,0.0,0.0
1971-01-21,STOOQ:usdeur,USD,1.8621,1.8621,1.8621,1.8621,0.0,0.0
1971-01-22,STOOQ:usdeur,USD,1.8619,1.8619,1.8619,1.8619,0.0,0.0
1971-01-25,STOOQ:usdeur,USD,1.8614,1.8614,1.8614,1.8614,0.0,0.0
1971-01-26,STOOQ:usdeur,USD,1.8615,1.8615,1.8615,1.8615,0.0,0.0
1971-01-27,STOOQ:usdeur,USD,1.8614,1.8614,1.8614,1.8614,0.0,0.0
1971-01-28,STOOQ:usdeur,USD,1.8617,1.8617,1.8617,1.8617,0.0,0.0
1971-01-29,STOOQ:usdeur,USD,1.8619,1.8619,1.8619,1.8619,0.0,0.0
1971-02-01,STOOQ:usdeur,USD,1.8624,1.8624,1.8624,1.8624,0.0,0.0
1971-02-02,STOOQ:usdeur,USD,1.8626,1.8626,1.8626,1.8626,0.0,0.0
1971-02-03,STOOQ:usdeur,USD,1.8617,1.8617,1.8617,1.8617,0.0,0.0
1971-02-04,STOOQ:usdeur,USD,1.8616,1.8616,1.8616,1.8616,0.0,0.0
1971-02-05,STOOQ:usdeur,USD,1.8618,1.8618,1.8618,1.8618,0.0,0.0
1971-02-08,STOOQ:usdeur,USD,1.8619,1.8619,1.8619,1.8619,0.0,0.0
1971-02-09,STOOQ:usdeur,USD,1.8614,1.8614,1.8614,1.8614,0.0,0.0
1971-02-10,STOOQ:usdeur,USD,1.8621,1.8621,1.8621,1.8621,0.0,0.0
1971-02-11,STOOQ:usdeur,USD,1.8627,1.8627,1.8627,1.8627,0.0,0.0
1971-02-16,STOOQ:usdeur,USD,1.8616,1.8616,1.8616,1.8616,0.0,0.0
1971-02-17,STOOQ:usdeur,USD,1.8614,1.8614,1.8614,1.8614,0.0,0.0
1971-02-18,STOOQ:usdeur,USD,1.8617,1.8617,1.8617,1.8617,0.0,0.0
1971-02-19,STOOQ:usdeur,USD,1.8617,1.8617,1.8617,1.8617,0.0,0.0
1971-02-22,STOOQ:usdeur,USD,1.8615,1.8615,1.8615,1.8615,0.0,0.0
1971-02-23,STOOQ:usdeur,USD,1.8615,1.8615,1.8615,1.8615,0.0,0.0
1971-02-24,STOOQ:usdeur,USD,1.8614,1.8614,1.8614,1.8614,0.0,0.0
1971-02-25,STOOQ:usdeur,USD,1.8619,1.8619,1.8619,1.8619,0.0,0.0
1971-02-26,STOOQ:usdeur,USD,1.8647,1.8647,1.8647,1.8647,0.0,0.0
1971-03-01,STOOQ:usdeur,USD,1.8629,1.8629,1.8629,1.8629,0.0,0.0
1971-03-02,STOOQ:usdeur,USD,1.8622,1.8622,1.8622,1.8622,0.0,0.0
1971-03-03,STOOQ:usdeur,USD,1.8612,1.8612,1.8612,1.8612,0.0,0.0
1971-03-04,STOOQ:usdeur,USD,1.8625,1.8625,1.8625,1.8625,0.0,0.0
1971-03-05,STOOQ:usdeur,USD,1.8623,1.8623,1.8623,1.8623,0.0,0.0
1971-03-08,STOOQ:usdeur,USD,1.8616,1.8616,1.8616,1.8616,0.0,0.0
1971-03-09,STOOQ:usdeur,USD,1.8616,1.8616,1.8616,1.8616,0.0,0.0
1971-03-10,STOOQ:usdeur,USD,1.8618,1.8618,1.8618,1.8618,0.0,0.0
1971-03-11,STOOQ:usdeur,USD,1.8619,1.8619,1.8619,1.8619,0.0,0.0
1971-03-12,STOOQ:usdeur,USD,1.863,1.863,1.863,1.863,0.0,0.0
1971-03-15,STOOQ:usdeur,USD,1.863,1.863,1.863,1.863,0.0,0.0
1971-03-16,STOOQ:usdeur,USD,1.8633,1.8633,1.8633,1.8633,0.0,0.0
1971-03-17,STOOQ:usdeur,USD,1.8616,1.8616,1.8616,1.8616,0.0,0.0
1971-03-18,STOOQ:usdeur,USD,1.862,1.862,1.862,1.862,0.0,0.0
1971-03-19,STOOQ:usdeur,USD,1.8618,1.8618,1.8618,1.8618,0.0,0.0
1971-03-22,STOOQ:usdeur,USD,1.8617,1.8617,1.8617,1.8617,0.0,0.0
1971-03-23,STOOQ:usdeur,USD,1.8616,1.8616,1.8616,1.8616,0.0,0.0
1971-03-24,STOOQ:usdeur,USD,1.8614,1.8614,1.8614,1.8614,0.0,0.0
1971-03-25,STOOQ:usdeur,USD,1.8622,1.8622,1.8622,1.8622,0.0,0.0
1971-03-26,STOOQ:usdeur,USD,1.8618,1.8618,1.8618,1.8618,0.0,0.0
1971-03-29,STOOQ:usdeur,USD,1.8621,1.8621,1.8621,1.8621,0.0,0.0
1971-03-30,STOOQ:usdeur,USD,1.8615,1.8615,1.8615,1.8615,0.0,0.0
1971-03-31,STOOQ:usdeur,USD,1.8612,1.8612,1.8612,1.8612,0.0,0.0
1971-04-01,STOOQ:usdeur,USD,1.8612,1.8612,1.8612,1.8612,0.0,0.0
1971-04-02,STOOQ:usdeur,USD,1.8611,1.8611,1.8611,1.8611,0.0,0.0
1971-04-05,STOOQ:usdeur,USD,1.8618,1.8618,1.8618,1.8618,0.0,0.0
1971-04-06,STOOQ:usdeur,USD,1.8616,1.8616,1.8616,1.8616,0.0,0.0
1971-04-07,STOOQ:usdeur,USD,1.8627,1.8627,1.8627,1.8627,0.0,0.0
1971-04-08,STOOQ:usdeur,USD,1.8622,1.8622,1.8622,1.8622,0.0,0.0
1971-04-09,STOOQ:usdeur,USD,1.8624,1.8624,1.8624,1.8624,0.0,0.0
1971-04-12,STOOQ:usdeur,USD,1.863,1.863,1.863,1.863,0.0,0.0
1971-04-13,STOOQ:usdeur,USD,1.8641,1.8641,1.8641,1.8641,0.0,0.0
1971-04-14,STOOQ:usdeur,USD,1.8636,1.8636,1.8636,1.8636,0.0,0.0
1971-04-15,STOOQ:usdeur,USD,1.8633,1.8633,1.8633,1.8633,0.0,0.0
1971-04-16,STOOQ:usdeur,USD,1.8645,1.8645,1.8645,1.8645,0.0,0.0
1971-04-19,STOOQ:usdeur,USD,1.8678,1.8678,1.8678,1.8678,0.0,0.0
1971-04-20,STOOQ:usdeur,USD,1.8665,1.8665,1.8665,1.8665,0.0,0.0
1971-04-21,STOOQ:usdeur,USD,1.8646,1.8646,1.8646,1.8646,0.0,0.0
1971-04-22,STOOQ:usdeur,USD,1.8644,1.8644,1.8644,1.8644,0.0,0.0
1971-04-23,STOOQ:usdeur,USD,1.8658,1.8658,1.8658,1.8658,0.0,0.0
1971-04-26,STOOQ:usdeur,USD,1.8652,1.8652,1.8652,1.8652,0.0,0.0
1971-04-27,STOOQ:usdeur,USD,1.8642,1.8642,1.8642,1.8642,0.0,0.0
