date,secid,currency,close,open,low,high,volume,capitalization
1995-10-23,STOOQ:usdrub,USD,4.5065,4.5065,4.5065,4.5065,0.0,0.0
1995-10-24,STOOQ:usdrub,USD,4.506,4.506,4.506,4.506,0.0,0.0
1995-10-25,STOOQ:usdrub,USD,4.506,4.506,4.506,4.506,0.0,0.0
1995-10-26,STOOQ:usdrub,USD,4.509,4.509,4.509,4.509,0.0,0.0
1995-10-27,STOOQ:usdrub,USD,4.513,4.513,4.513,4.513,0.0,0.0
1995-10-30,STOOQ:usdrub,USD,4.508,4.508,4.508,4.508,0.0,0.0
1995-10-31,STOOQ:usdrub,USD,4.508,4.508,4.508,4.508,0.0,0.0
1995-11-02,STOOQ:usdrub,USD,4.524,4.524,4.524,4.524,0.0,0.0
1995-11-03,STOOQ:usdrub,USD,4.524,4.524,4.524,4.524,0.0,0.0
1995-11-06,STOOQ:usdrub,USD,4.526,4.526,4.526,4.526,0.0,0.0
1995-11-07,STOOQ:usdrub,USD,4.526,4.526,4.526,4.526,0.0,0.0
1995-11-08,STOOQ:usdrub,USD,4.52,4.52,4.52,4.52,0.0,0.0
1995-11-09,STOOQ:usdrub,USD,4.519,4.519,4.519,4.519,0.0,0.0
1995-11-10,STOOQ:usdrub,USD,4.52,4.52,4.52,4.52,0.0,0.0
1995-11-13,STOOQ:usdrub,USD,4.531,4.531,4.531,4.531,0.0,0.0
1995-11-14,STOOQ:usdrub,USD,4.54,4.54,4.54,4.54,0.0,0.0
1995-11-15,STOOQ:usdrub,USD,4.537,4.537,4.537,4.537,0.0,0.0
1995-11-16,STOOQ:usdrub,USD,4.528,4.528,4.528,4.528,0.0,0.0
1995-11-17,STOOQ:usdrub,USD,4.5552,4.5552,4.5552,4.5552,0.0,0.0
1995-11-20,STOOQ:usdrub,USD,4.5674,4.5674,4.5674,4.5674,0.0,0.0
1995-11-21,STOOQ:usdrub,USD,4.5586,4.5586,4.5586,4.5586,0.0,0.0
1995-11-22,STOOQ:usdrub,USD,4.5728,4.5728,4.5728,4.5728,0.0,0.0
1995-11-23,STOOQ:usdrub,USD,4.5759,4.5759,4.5759,4.5759,0.0,0.0
1995-11-24,STOOQ:usdrub,USD,4.5755,4.5755,4.5755,4.5755,0.0,0.0
1995-11-27,STOOQ:usdrub,USD,4.5823,4.5823,4.5823,4.5823,0.0,0.0
1995-11-28,STOOQ:usdrub,USD,4.5833,4.5833,4.5833,4.5833,0.0,0.0
1995-11-29,STOOQ:usdrub,USD,4.5781,4.5781,4.5781,4.5781,0.0,0.0
1995-11-30,STOOQ:usdrub,USD,4.5778,4.5778,4.5778,4.5778,0.0,0.0
1995-12-01,STOOQ:usdrub,USD,4.5891,4.5891,4.5891,4.5891,0.0,0.0
1995-12-04,STOOQ:usdrub,USD,4.5891,4.5891,4.5891,4.5891,0.0,0.0
1995-12-05,STOOQ:usdrub,USD,4.5931,4.5931,4.5931,4.5931,0.0,0.0
1995-12-06,STOOQ:usdrub,USD,4.5877,4.5877,4.5877,4.5877,0.0,0.0
1995-12-07,STOOQ:usdrub,USD,4.5978,4.5978,4.5978,4.5978,0.0,0.0
1995-12-08,STOOQ:usdrub,USD,4.5811,4.5811,4.5811,4.5811,0.0,0.0
1995-12-09,STOOQ:usdrub,USD,4.5811,4.5811,4.5811,4.5811,0.0,0.0
1995-12-13,STOOQ:usdrub,USD,4.624,4.624,4.624,4.624,0.0,0.0
1995-12-14,STOOQ:usdrub,USD,4.631,4.631,4.631,4.631,0.0,0.0
1995-12-15,STOOQ:usdrub,USD,4.6314,4.6314,4.6314,4.6314,0.0,0.0
1995-12-18,STOOQ:usdrub,USD,4.6368,4.6368,4.6368,4.6368,0.0,0.0
1995-12-19,STOOQ:usdrub,USD,4.6395,4.6395,4.6395,4.6395,0.0,0.0
1995-12-20,STOOQ:usdrub,USD,4.6395,4.6395,4.6395,4.6395,0.0,0.0
1995-12-21,STOOQ:usdrub,USD,4.6395,4.6395,4.6395,4.6395,0.0,0.0
1995-12-22,STOOQ:usdrub,USD,4.6395,4.6395,4.6395,4.6395,0.0,0.0
1995-12-25,STOOQ:usdrub,USD,4.6395,4.6395,4.6395,4.6395,0.0,0.0
1995-12-26,STOOQ:usdrub,USD,4.6395,4.6395,4.6395,4.6395,0.0,0.0
