ID;Ticker;Description;Country;Sector;Industry;Last;Rating;Volume;Market Capitalization;Price to Earnings Ratio (TTM);Basic EPS (TTM);Number of Employees;All Time High;All Time Low;Average Volume (90 day);Average Volume (30 day);Basic EPS (FY);Bull Bear Power;Current Ratio (MRQ);Debt to Equity Ratio (MRQ);Dividends Paid (FY);Dividends per Share (FY);Dividends per Share (MRQ);Dividends Yield (FY);EBITDA (TTM);Enterprise Value/EBITDA (TTM);Enterprise Value (MRQ);EPS Diluted (FY);EPS Diluted (MRQ);EPS Diluted (TTM);EPS Forecast (FQ);Goodwill;Gross Margin (TTM);Gross Profit (FY);Gross Profit (MRQ);Last Year Revenue (FY);Money Flow (14);Net Debt (MRQ);Net Income (FY);Net Margin (TTM);Operating Margin (TTM);Pretax Margin (TTM);Price to Book (FY);Price to Book (MRQ);Price to Free Cash Flow (TTM);Price to Revenue Ratio (TTM);Price to Sales (FY);Quick Ratio (MRQ);Relative Volume;Return on Assets (TTM);Return on Equity (TTM);Return on Invested Capital (TTM);Revenue per Employee (TTM);Shares Float;Total Assets (MRQ);Total Current Assets (MRQ);Total Debt (MRQ);Total Liabilities (FY);Total Liabilities (MRQ);Total Revenue (FY);Total Shares Outstanding (MRQ);Volatility;Volatility Month;Volume*Price;Volume Weighted Average Price;Yearly Performance;YTD Performance
1;SBER;SBERBANK OF RUSSIA;Russian Federation;Finance;Regional Banks;305,81;1;39625370;6,79E+12;7,37758422;41,0568;285555;320,19;0,49499999;40766157,33;26903975,67;32,854;4,87794118;0,43108264;1,00872594;-4,21E+11;18,700001;;6,1720247;;;8,63E+12;32,854;13,98;41,0568;11,740014;57400000000;;;;3,36E+12;64,30851224;2,10E+12;7,56E+11;25,94107337;33,86473027;33,04955068;1,38911469;1,27819;7,23873;1,89429006;2,02388338;;1,35712306;2,68049269;19,23445864;15,05109041;11765159,08;10260266297;3,75E+13;5,83E+12;5,16E+12;3,11E+13;3,24E+13;3,36E+12;22478100000;1,84311902;1,53676617;12117834400;304,5333333;35,07509431;12,57500875
2;SBERP;SBERBANK OF RUSSIA;Russian Federation;Finance;Regional Banks;288,88;2;4639560;6,79E+12;6,90969584;41,0568;285555;299,5;36,540001;4930312,222;2918536,667;32,854;8,34171694;0,43108264;1,00872594;-4,21E+11;18,700001;;6,6197042;;;8,18E+12;32,854;13,98;41,0568;11,740014;57400000000;;;;3,36E+12;63,02000272;2,10E+12;7,56E+11;25,94107337;33,86473027;33,04955068;1,30101666;1,19118;6,42754;1,77415368;1,89552815;;1,32770569;2,68049269;19,23445864;15,05109041;11765159,08;390490257,6;3,75E+13;5,83E+12;5,16E+12;3,11E+13;3,24E+13;3,36E+12;22478100000;2,21963441;1,51381091;1340276093;287,31;37,98900702;19,34231182
3;GAZP;GAZPROM;Russian Federation;Energy Minerals;Integrated Oil;285,96;1;31794990;6,68E+12;9,59958635;29,3971;477600;369,5;84;41020070;40739699,33;5,6601;2,86897644;1,62430678;0,35594184;-3,73E+11;12,55;;4,4472003;1,61E+12;7,57864;1,01E+13;5,6601;19,85155144;29,3971;16,04631826;1,21E+11;34,36855239;1,97E+12;9,78E+11;6,32E+12;35,2964595;4,11E+12;1,34E+11;10,12524159;11,76744109;10,97054444;0,4750144;0,367187;;0,97170931;1,05553377;1,31920024;0,90415517;2,94691514;4,83175508;3,69570292;13236095,06;11753253566;2,43E+13;4,08E+12;5,42E+12;9,06E+12;9,12E+12;6,32E+12;23673500000;1,31318836;1,72390538;9092095340;285,08;51,1816099;34,26612827
4;ROSN;ROSNEFT OIL CO;Russian Federation;Energy Minerals;Integrated Oil;541,05;-1;4049090;5,87E+12;11,68482901;47,4333;;586,95;76;7191184,889;9101551;14,8846;-13,395999;0,96449136;0,76656653;-1,72E+11;6,94;;1,2521425;1,11E+12;8,0949;9,34E+12;14,8846;18,564964;47,4333;26,882898;82000000000;48,51657941;2,30E+12;9,49E+11;5,12E+12;37,98510454;3,09E+12;1,47E+11;8,76478573;8,41574559;9,52103936;1,11881546;1,1202;7,97226;1,02101513;1,06867884;0,79366603;1,04268904;3,14391041;9,66638152;5,53751914;;3111716306;1,55E+13;3,02E+12;4,34E+12;9,86E+12;9,80E+12;5,12E+12;10598200000;2,82642943;2,11052662;2190760145;545,1333333;48,43621399;24,35072111
5;NVTK;NOVATEK;Russian Federation;Energy Minerals;Integrated Oil;1633,4;1;922384;4,87E+12;29,44149956;54,5013;;1709,6;45,3;1261779,011;1252189,133;22,5768;89,55130461;2,63624565;0,10899004;-89857000000;35,56;;2,2161288;1,78E+11;25,0348;4,57E+12;22,5768;29,63;54,5013;25,957058;0;34,28930313;2,28E+11;87603000000;7,00E+11;52,26829286;79461000000;67832000000;21,59429163;17,72216534;25,60786063;2,97432692;2,64909;;6,35739207;6,88963301;2,52885219;0,74896753;7,90217495;9,94190874;9,08524943;;750457415,9;2,10E+12;3,70E+11;1,86E+11;4,28E+11;3,93E+11;7,00E+11;3036310000;1,38339921;2,61257295;1506622026;1631,4;49,0056559;29,4910417
6;LKOH;OIL CO LUKOIL;Russian Federation;Energy Minerals;Integrated Oil;6285;-1;838698;4,19E+12;19,99704486;334,9614;;7013;25;1061308,478;924354,8;23,3116;-174,0982198;1,54213798;0,15302878;-4,07E+11;259;;4,037412;8,51E+11;5,55548;4,35E+12;22,4551;242,956736;320,7974;220,487536;25627000000;22,91581727;1,05E+12;4,82E+11;5,20E+12;58,54483545;1,72E+11;15175000000;4,00853714;8,02457554;5,62395035;1,01522359;0,924983;;0,80288256;0,83447958;1,07852073;1,05720105;3,49528211;5,04150856;4,47355513;;357662106,9;6,38E+12;1,65E+12;6,61E+11;1,89E+12;2,06E+12;5,20E+12;652499000;2,38570175;1,85354456;5271216930;6317,833333;22,37149533;21,57848922
7;GMKN;MMC NORILSK NICKEL;Russian Federation;Non-Energy Minerals;Other Metals/Minerals;25268;1;207115;4,07E+12;16,01062572;1604,5594;;28224;345,0682493;321523,9222;233875,6;1547,7298;-201,9930045;1,58148559;2,11679144;-3,01E+11;1644,57;;6,401596;7,66E+11;5,44286;;1547,7298;1766,85274;1604,5594;1975,695991;0;53,72558378;6,01E+11;;1,13E+12;50,33192419;3,48E+11;2,45E+11;22,31735957;47,58322791;30,12125867;13,64191693;;25,4893;3,57314944;3,59038579;;0,98493927;18,55422813;95,11863273;28,21382378;;64542755,17;1,53E+12;6,33E+11;7,32E+11;1,19E+12;1,19E+12;1,13E+12;158245000;1,51503006;2,04571186;5233381820;25182;20,98056114;6,6970695
8;SIBN;GAZPROM NEFT;Russian Federation;Energy Minerals;Integrated Oil;425,35;0;470240;2,02E+12;9,32393793;45,7103;;478,54999;101;1216918;1062062;24,9468;-2,48301736;1,00828493;0,37345365;-93494000000;15;;3,5194743;4,47E+11;6,3015;2,55E+12;24,9468;17,84;45,7103;17,662;40317000000;41,96433275;6,63E+11;3,15E+11;1,79E+12;53,06163732;6,28E+11;1,18E+11;11,24928212;11,55802826;10,4457806;0,9645855;0,805204;65,7768;1,04887703;1,12381612;0,70178932;0,68337911;5,17043463;10,16058225;7,29298975;;324636811;4,38E+12;8,21E+11;8,76E+11;2,00E+12;2,04E+12;1,79E+12;4741300000;1,2405482;1,62476058;200016584;425,1666667;31,76890123;34,20097384
9;PLZL;POLYUS;Russian Federation;Non-Energy Minerals;Precious Metals;14046;-1;63158;1,86E+12;10,20535319;1351,8017;;18773;301;130482,4222;103248,4333;886,9827;118,6354634;2,20726552;1,23912204;-65552000000;627,33;;4,5541196;2,77E+11;8,4674;2,02E+12;883,4715;507,711909;1349,7818;325,430063;0;71,54145746;2,59E+11;52978000000;3,64E+11;56,00292303;1,30E+11;1,19E+11;47,60385646;65,74943492;59,20649763;10,6688671;9,03893;24,954;4,87221701;5,10182103;1,69833745;0,6888353;32,495928;123,3362513;45,80028022;;29863916,03;5,68E+11;1,94E+11;2,66E+11;3,58E+11;3,53E+11;3,64E+11;135005000;1,60408574;2,01338964;887117268;14024,33333;-22,69462561;-7,86487373
10;YNDX;YANDEX N,V;Netherlands;Technology Services;Internet Software/Services;4977,2;-1;745954;1,80E+12;118,5010479;44,80530404;11864;5653,2002;683;706954,4111;472960,6;76,53096468;-277,0585365;3,47779169;0,30116269;0;0;0;0;42172205144;37,8759;1,62E+12;73,80167832;5,036236;42,84181524;7,48417;1,17E+11;49,92444929;1,17E+11;34330929140;2,23E+11;35,17946232;-1,25E+11;26079517008;6,42685349;4,11425056;11,79280601;5,51615715;5,22029;220,922;7,27208597;8,03783733;3,40137125;1,56026247;3,42457478;5,99086849;4,37661126;18813307,84;300017570,6;5,53E+11;2,92E+11;1,06E+11;1,66E+11;2,02E+11;2,23E+11;356852674;2,64220183;2,24603516;3712762249;4969,4;14,67673772;-3,6733114
