Id;Ticker;Description;Sector;Country;Industry;Last;Rating;Volume;Market Capitalization;Price to Earnings Ratio (TTM);Basic EPS (TTM);Number of Employees;All Time High;All Time Low;Average Volume (90 day);Average Volume (30 day);Basic EPS (FY);Bull Bear Power;Current Ratio (MRQ);Debt to Equity Ratio (MRQ);Dividends Paid (FY);Dividends per Share (FY);Dividends per Share (MRQ);Dividends Yield (FY);EBITDA (TTM);Enterprise Value/EBITDA (TTM);Enterprise Value (MRQ);EPS Diluted (FY);EPS Diluted (MRQ);EPS Diluted (TTM);EPS Forecast (FQ);Goodwill;Gross Margin (TTM);Gross Profit (FY);Gross Profit (MRQ);Last Year Revenue (FY);Money Flow (14);Net Debt (MRQ);Net Income (FY);Net Margin (TTM);Operating Margin (TTM);Pretax Margin (TTM);Price to Book (FY);Price to Book (MRQ);Price to Free Cash Flow (TTM);Price to Revenue Ratio (TTM);Price to Sales (FY);Quick Ratio (MRQ);Relative Volume;Return on Assets (TTM);Return on Equity (TTM);Return on Invested Capital (TTM);Revenue per Employee (TTM);Shares Float;Total Assets (MRQ);Total Current Assets (MRQ);Total Debt (MRQ);Total Liabilities (FY);Total Liabilities (MRQ);Total Revenue (FY);Total Shares Outstanding (MRQ);Volatility;Volatility Month;Volume*Price;Volume Weighted Average Price;Yearly Performance;YTD Performance
85;SBER;SBERBANK OF RUSSIA;Finance;Russian Federation;Regional Banks;305.81;1;39625370;6790740000000;7.3775842;41.0568000;285555;320.19;0.49;40766157.3300000;26903975.6700000;32.8540000;4.8779412;0.4310826;1.0087259;-421200000000;18.7000010;;6.1720247;;;8628320000000;32.8540000;13.9800000;41.0568000;11.7400140;57400000000;;;;3359600000000;64.3085122;2097100000000;755900000000;25.9410734;33.8647303;33.0495507;1.3891147;1.2781900;7.2387300;1.8942901;2.0238834;;1.3571231;2.6804927;19.2344586;15.0510904;11765159.0800000;10260266297;37500400000000;5834100000000;5155800000000;31119500000000;32389200000000;3359600000000;22478100000;1.8431190;1.5367662;12117834400;304.5333333;35.0750943;12.5750088
86;SBERP;SBERBANK OF RUSSIA;Finance;Russian Federation;Regional Banks;288.88;2;4639560;6790740000000;6.9096958;41.0568000;285555;299.50;36.54;4930312.2220000;2918536.6670000;32.8540000;8.3417169;0.4310826;1.0087259;-421200000000;18.7000010;;6.6197042;;;8184150000000;32.8540000;13.9800000;41.0568000;11.7400140;57400000000;;;;3359600000000;63.0200027;2097100000000;755900000000;25.9410734;33.8647303;33.0495507;1.3010167;1.1911800;6.4275400;1.7741537;1.8955282;;1.3277057;2.6804927;19.2344586;15.0510904;11765159.0800000;390490258;37500400000000;5834100000000;5155800000000;31119500000000;32389200000000;3359600000000;22478100000;2.2196344;1.5138109;1340276093;287.3100000;37.9890070;19.3423118
89;GAZP;GAZPROM;Energy Minerals;Russian Federation;Integrated Oil;285.96;1;31794990;6680670000000;9.5995864;29.3971000;477600;369.50;84.00;41020070.0000000;40739699.3300000;5.6601000;2.8689764;1.6243068;0.3559418;-372524000000;12.5500000;;4.4472003;1614600000000;7.5786400;10065000000000;5.6601000;19.8515514;29.3971000;16.0463183;121208000000;34.3685524;1968880000000;977675000000;6321560000000;35.2964595;4109590000000;133834000000;10.1252416;11.7674411;10.9705444;0.4750144;0.3671870;;0.9717093;1.0555338;1.3192002;0.9041552;2.9469151;4.8317551;3.6957029;13236095.0600000;11753253566;24333900000000;4083210000000;5415810000000;9058080000000;9118470000000;6321560000000;23673500000;1.3131884;1.7239054;9092095340;285.0800000;51.1816099;34.2661283
98;ROSN;ROSNEFT OIL CO;Energy Minerals;Russian Federation;Integrated Oil;541.05;-1;4049090;5874040000000;11.6848290;47.4333000;;586.95;76.00;7191184.8890000;9101551.0000000;14.8846000;-13.3959990;0.9644914;0.7665665;-172000000000;6.9400000;;1.2521425;1105000000000;8.0949000;9335700000000;14.8846000;18.5649640;47.4333000;26.8828980;82000000000;48.5165794;2301000000000;949000000000;5122000000000;37.9851045;3093000000000;147000000000;8.7647857;8.4157456;9.5210394;1.1188155;1.1202000;7.9722600;1.0210151;1.0686788;0.7936660;1.0426890;3.1439104;9.6663815;5.5375191;;3111716306;15459000000000;3015000000000;4338000000000;9863000000000;9800000000000;5122000000000;10598200000;2.8264294;2.1105266;2190760145;545.1333333;48.4362140;24.3507211
105;NVTK;NOVATEK;Energy Minerals;Russian Federation;Integrated Oil;1633.4;1;922384;4872060000000;29.4414996;54.5013000;;1709.60;45.30;1261779.0110000;1252189.1330000;22.5768000;89.5513046;2.6362457;0.1089900;-89857000000;35.5600000;;2.2161288;178050000000;25.0348000;4566070000000;22.5768000;29.6300000;54.5013000;25.9570580;0;34.2893031;228278000000;87603000000;699750000000;52.2682929;79461000000;67832000000;21.5942916;17.7221653;25.6078606;2.9743269;2.6490900;;6.3573921;6.8896330;2.5288522;0.7489675;7.9021750;9.9419087;9.0852494;;750457416;2097980000000;369686000000;185800000000;427712000000;393235000000;699750000000;3036310000;1.3833992;2.6125730;1506622026;1631.4000000;49.0056559;29.4910417
111;LKOH;OIL CO LUKOIL;Energy Minerals;Russian Federation;Integrated Oil;6285;-1;838698;4185780000000;19.9970449;334.9614000;;7013.00;25.00;1061308.4780000;924354.8000000;23.3116000;-174.0982198;1.5421380;0.1530288;-407309000000;259.0000000;;4.0374120;850631000000;5.5554800;4350650000000;22.4551000;242.9567360;320.7974000;220.4875360;25627000000;22.9158173;1045250000000;482201000000;5195100000000;58.5448355;171820000000;15175000000;4.0085371;8.0245755;5.6239504;1.0152236;0.9249830;;0.8028826;0.8344796;1.0785207;1.0572011;3.4952821;5.0415086;4.4735551;;357662107;6378320000000;1651400000000;661000000000;1894860000000;2058870000000;5195100000000;652499000;2.3857018;1.8535446;5271216930;6317.8333330;22.3714953;21.5784892
113;GMKN;MMC NORILSK NICKEL;Non-Energy Minerals;Russian Federation;Other Metals/Minerals;25268;1;207115;4065330000000;16.0106257;1604.5594000;;28224.00;345.07;321523.9222000;233875.6000000;1547.7298000;-201.9930045;1.5814856;2.1167914;-301358000000;1644.5700000;;6.4015960;766373000000;5.4428600;;1547.7298000;1766.8527400;1604.5594000;1975.6959910;0;53.7255838;600545000000;;1132280000000;50.3319242;348003000000;244921000000;22.3173596;47.5832279;30.1212587;13.6419169;;25.4893000;3.5731494;3.5903858;;0.9849393;18.5542281;95.1186327;28.2138238;;64542755;1531510000000;633061000000;731952000000;1185720000000;1185720000000;1132280000000;158245000;1.5150301;2.0457119;5233381820;25182.0000000;20.9805611;6.6970695
140;SIBN;GAZPROM NEFT;Energy Minerals;Russian Federation;Integrated Oil;425.35;0;470240;2020740000000;9.3239379;45.7103000;;478.55;101.00;1216918.0000000;1062062.0000000;24.9468000;-2.4830174;1.0082849;0.3734537;-93494000000;15.0000000;;3.5194743;446566000000;6.3015000;2550410000000;24.9468000;17.8400000;45.7103000;17.6620000;40317000000;41.9643328;662809000000;314805000000;1789270000000;53.0616373;628319000000;117699000000;11.2492821;11.5580283;10.4457806;0.9645855;0.8052040;65.7768000;1.0488770;1.1238161;0.7017893;0.6833791;5.1704346;10.1605823;7.2929898;;324636811;4380320000000;821361000000;875524000000;1996730000000;2035920000000;1789270000000;4741300000;1.2405482;1.6247606;200016584;425.1666667;31.7689012;34.2009738
143;PLZL;POLYUS;Non-Energy Minerals;Russian Federation;Precious Metals;14046;-1;63158;1859700000000;10.2053532;1351.8017000;;18773.00;301.00;130482.4222000;103248.4333000;886.9827000;118.6354634;2.2072655;1.2391220;-65552000000;627.3300000;;4.5541196;277261000000;8.4674000;2017330000000;883.4715000;507.7119090;1349.7818000;325.4300630;0;71.5414575;259441000000;52978000000;364216000000;56.0029230;129907000000;119175000000;47.6038565;65.7494349;59.2064976;10.6688671;9.0389300;24.9540000;4.8722170;5.1018210;1.6983375;0.6888353;32.4959280;123.3362513;45.8002802;;29863916;567883000000;193703000000;266182000000;358217000000;353068000000;364216000000;135005000;1.6040857;2.0133896;887117268;14024.3333300;-22.6946256;-7.8648737
145;YNDX;YANDEX N.V;Technology Services;Netherlands;Internet Software/Services;4977.2;-1;745954;1801210000000;118.5010479;44.8053040;11864;5653.20;683.00;706954.4111000;472960.6000000;76.5309647;-277.0585365;3.4777917;0.3011627;0;0.0000000;0.0000000;0.0000000;42172205144;37.8759000;1616130000000;73.8016783;5.0362360;42.8418152;7.4841700;116525000000;49.9244493;117479000000;34330929140;223201000000;35.1794623;-125119000000;26079517008;6.4268535;4.1142506;11.7928060;5.5161572;5.2202900;220.9220000;7.2720860;8.0378373;3.4013713;1.5602625;3.4245748;5.9908685;4.3766113;18813307.8400000;300017571;553425000000;291665000000;105940000000;166353000000;201655000000;223201000000;356852674;2.6422018;2.2460352;3712762249;4969.4000000;14.6767377;-3.6733114
