date,secid,currency,close,open,low,high,volume,capitalization
2005-01-04,investing:CSI 300,CNY,982.79,994.77,980.66,994.77,7413,0.0
2005-01-05,investing:CSI 300,CNY,992.56,981.58,979.88,997.32,7119,0.0
2005-01-06,investing:CSI 300,CNY,983.17,993.33,980.33,993.79,6288,0.0
2005-01-07,investing:CSI 300,CNY,983.96,983.05,979.81,995.71,7299,0.0
2005-01-10,investing:CSI 300,CNY,993.88,983.76,979.79,993.96,5792,0.0
2005-01-11,investing:CSI 300,CNY,997.13,994.19,991.09,999.55,5849,0.0
2005-01-12,investing:CSI 300,CNY,996.75,996.65,989.26,996.98,5015,0.0
2005-01-13,investing:CSI 300,CNY,996.88,996.08,992.7,999.47,6044,0.0
2005-01-14,investing:CSI 300,CNY,988.31,996.62,987.23,1006.46,7298,0.0
2005-01-17,investing:CSI 300,CNY,967.45,979.11,965.08,981.53,7288,0.0
2005-01-18,investing:CSI 300,CNY,974.69,967.37,960.29,974.87,7312,0.0
2005-01-19,investing:CSI 300,CNY,967.21,974.33,965.26,974.33,6338,0.0
2005-01-20,investing:CSI 300,CNY,956.25,963.21,952.23,963.21,7727,0.0
2005-01-21,investing:CSI 300,CNY,982.6,954.46,943.44,984.27,14450,0.0
2005-01-24,investing:CSI 300,CNY,998.13,1001.85,986.24,1001.85,14359,0.0
2005-01-25,investing:CSI 300,CNY,997.77,995.64,985.24,997.95,9863,0.0
2005-01-26,investing:CSI 300,CNY,989.93,995.78,988.48,999.47,7663,0.0
2005-01-27,investing:CSI 300,CNY,974.63,987.34,973.77,987.7,6945,0.0
2005-01-28,investing:CSI 300,CNY,969.21,974.63,965.21,975.62,5749,0.0
2005-01-31,investing:CSI 300,CNY,954.88,965.79,953.14,965.79,6789,0.0
2005-02-01,investing:CSI 300,CNY,955.95,953.33,952.74,965.48,7433,0.0
2005-02-02,investing:CSI 300,CNY,1006.91,956.7,956.7,1006.93,17057,0.0
2005-02-03,investing:CSI 300,CNY,993.22,1005.56,992.16,1014.19,16975,0.0
2005-02-04,investing:CSI 300,CNY,1016.86,992.25,989.94,1021.03,15736,0.0
2005-02-16,investing:CSI 300,CNY,1023.58,1023.32,1018.49,1033.25,12131,0.0
2005-02-17,investing:CSI 300,CNY,1020.61,1024.43,1010.48,1024.43,8968,0.0
2005-02-18,investing:CSI 300,CNY,1006.05,1020.12,1005.63,1021.2,8140,0.0
2005-02-21,investing:CSI 300,CNY,1025.63,1006.69,1006.69,1025.66,9886,0.0
2005-02-22,investing:CSI 300,CNY,1046.74,1026.84,1024.53,1048.68,17938,0.0
2005-02-23,investing:CSI 300,CNY,1043.94,1046.81,1036.63,1049.61,18697,0.0
2005-02-24,investing:CSI 300,CNY,1045.46,1042.25,1034.73,1045.96,14682,0.0
2005-02-25,investing:CSI 300,CNY,1046.76,1046.27,1045.98,1059.48,18170,0.0
2005-02-28,investing:CSI 300,CNY,1039.99,1046.21,1035.04,1048.28,12971,0.0
2005-03-01,investing:CSI 300,CNY,1035.93,1039.35,1031.17,1042.74,9962,0.0
2005-03-02,investing:CSI 300,CNY,1021.32,1036.37,1021.0,1045.76,14225,0.0
2005-03-03,investing:CSI 300,CNY,1027.71,1019.88,1014.75,1028.4,9203,0.0
2005-03-04,investing:CSI 300,CNY,1023.67,1027.93,1022.18,1031.85,8174,0.0
2005-03-07,investing:CSI 300,CNY,1029.87,1024.48,1024.48,1031.34,7933,0.0
2005-03-08,investing:CSI 300,CNY,1048.99,1033.79,1032.85,1049.29,14296,0.0
2005-03-09,investing:CSI 300,CNY,1046.54,1051.26,1041.98,1054.64,15327,0.0
2005-03-10,investing:CSI 300,CNY,1022.41,1046.69,1019.63,1046.69,13296,0.0
2005-03-11,investing:CSI 300,CNY,1027.43,1021.08,1016.93,1028.12,11476,0.0
2005-03-14,investing:CSI 300,CNY,1031.03,1027.18,1014.93,1041.57,14466,0.0
2005-03-15,investing:CSI 300,CNY,1013.52,1030.86,1011.64,1030.94,12007,0.0
2005-03-16,investing:CSI 300,CNY,1003.07,1011.85,995.97,1012.2,10623,0.0
2005-03-17,investing:CSI 300,CNY,992.86,1001.97,992.12,1004.82,9969,0.0
2005-03-18,investing:CSI 300,CNY,978.66,991.89,975.71,996.4,9652,0.0
2005-03-21,investing:CSI 300,CNY,981.89,977.3,973.0,983.18,7253,0.0
2005-03-22,investing:CSI 300,CNY,964.02,981.71,959.56,982.14,11376,0.0
2005-03-23,investing:CSI 300,CNY,959.01,962.82,955.99,975.36,10930,0.0
2005-03-24,investing:CSI 300,CNY,964.8,957.43,948.53,965.06,9261,0.0
2005-03-25,investing:CSI 300,CNY,962.96,964.25,959.06,966.97,7107,0.0
2005-03-28,investing:CSI 300,CNY,960.7,961.65,948.81,961.65,6669,0.0
2005-03-29,investing:CSI 300,CNY,955.19,960.42,954.74,968.12,7577,0.0
2005-03-30,investing:CSI 300,CNY,937.03,952.71,936.38,952.71,8950,0.0
2005-03-31,investing:CSI 300,CNY,942.2,934.85,928.34,942.37,7859,0.0
2005-04-01,investing:CSI 300,CNY,978.14,941.43,937.55,989.9,16348,0.0
2005-04-04,investing:CSI 300,CNY,962.17,968.49,956.13,974.06,11435,0.0
2005-04-05,investing:CSI 300,CNY,955.6,960.54,953.59,967.75,9535,0.0
2005-04-06,investing:CSI 300,CNY,973.67,955.6,948.95,977.86,14282,0.0
2005-04-07,investing:CSI 300,CNY,984.73,975.97,974.31,1000.27,20754,0.0
2005-04-08,investing:CSI 300,CNY,1003.45,984.66,979.53,1003.7,14763,0.0
2005-04-11,investing:CSI 300,CNY,995.42,1003.88,992.77,1008.74,15936,0.0
2005-04-12,investing:CSI 300,CNY,978.7,993.71,978.2,993.71,10226,0.0
2005-04-13,investing:CSI 300,CNY,1000.9,987.95,987.95,1006.5,16072,0.0
2005-04-14,investing:CSI 300,CNY,986.98,1004.64,985.58,1006.42,12946,0.0
2005-04-15,investing:CSI 300,CNY,974.08,982.61,971.93,982.61,10409,0.0
2005-04-18,investing:CSI 300,CNY,963.77,970.91,958.65,970.91,8598,0.0
2005-04-19,investing:CSI 300,CNY,965.89,962.92,957.91,968.87,9213,0.0
2005-04-20,investing:CSI 300,CNY,950.87,964.15,946.2,964.15,8851,0.0
2005-04-21,investing:CSI 300,CNY,943.98,948.86,938.6,955.55,9946,0.0
2005-04-22,investing:CSI 300,CNY,939.1,942.91,934.96,947.91,10692,0.0
2005-04-25,investing:CSI 300,CNY,930.07,935.99,920.16,935.99,11470,0.0
2005-04-26,investing:CSI 300,CNY,937.08,928.43,924.65,939.7,11690,0.0
2005-04-27,investing:CSI 300,CNY,926.6,938.57,925.9,938.91,10781,0.0
2005-04-28,investing:CSI 300,CNY,942.07,923.53,914.83,945.5,14343,0.0
2005-04-29,investing:CSI 300,CNY,932.39,940.81,929.81,942.45,11235,0.0
2005-05-09,investing:CSI 300,CNY,909.17,934.65,909.17,937.39,8529,0.0
2005-05-10,investing:CSI 300,CNY,913.08,905.54,892.31,913.39,10494,0.0
2005-05-11,investing:CSI 300,CNY,901.85,911.84,900.44,917.22,9042,0.0
2005-05-12,investing:CSI 300,CNY,885.82,899.97,883.51,900.06,10229,0.0
2005-05-13,investing:CSI 300,CNY,887.54,883.5,875.58,898.5,11245,0.0
2005-05-16,investing:CSI 300,CNY,875.27,885.39,869.33,885.39,8224,0.0
2005-05-17,investing:CSI 300,CNY,881.46,873.08,868.21,888.28,8772,0.0
2005-05-18,investing:CSI 300,CNY,883.2,881.14,871.82,890.4,7879,0.0
2005-05-19,investing:CSI 300,CNY,884.17,882.84,871.29,888.02,8150,0.0
2005-05-20,investing:CSI 300,CNY,882.76,883.51,879.18,891.02,7227,0.0
2005-05-23,investing:CSI 300,CNY,863.34,880.28,862.1,880.28,7280,0.0
2005-05-24,investing:CSI 300,CNY,868.46,861.2,855.59,871.77,9207,0.0
2005-05-25,investing:CSI 300,CNY,868.45,867.66,861.66,876.3,7239,0.0
2005-05-26,investing:CSI 300,CNY,857.33,867.76,854.96,872.84,6623,0.0
2005-05-27,investing:CSI 300,CNY,849.51,855.6,848.4,864.96,7750,0.0
2005-05-30,investing:CSI 300,CNY,855.61,847.63,842.1,858.46,6972,0.0
2005-05-31,investing:CSI 300,CNY,855.95,856.56,853.29,863.2,7048,0.0
2005-06-01,investing:CSI 300,CNY,837.53,855.21,836.04,857.66,7902,0.0
2005-06-02,investing:CSI 300,CNY,818.38,835.47,812.99,835.49,9509,0.0
2005-06-03,investing:CSI 300,CNY,818.03,816.55,807.97,823.86,7936,0.0
2005-06-06,investing:CSI 300,CNY,839.0,816.73,807.78,839.15,9009,0.0
2005-06-07,investing:CSI 300,CNY,837.28,841.58,835.18,858.09,13067,0.0
2005-06-08,investing:CSI 300,CNY,905.77,848.54,844.47,908.83,32908,0.0
2005-06-09,investing:CSI 300,CNY,912.6,907.57,895.04,925.37,33142,0.0
2005-06-10,investing:CSI 300,CNY,894.56,911.94,889.1,911.94,22392,0.0
2005-06-13,investing:CSI 300,CNY,892.96,895.0,877.69,900.18,15628,0.0
2005-06-14,investing:CSI 300,CNY,883.54,895.39,882.86,905.41,14344,0.0
2005-06-15,investing:CSI 300,CNY,866.83,881.21,865.14,881.25,11454,0.0
2005-06-16,investing:CSI 300,CNY,879.24,866.66,861.83,879.49,11050,0.0
2005-06-17,investing:CSI 300,CNY,880.35,883.61,876.04,888.08,14963,0.0
2005-06-20,investing:CSI 300,CNY,906.25,881.62,872.56,906.48,18992,0.0
2005-06-21,investing:CSI 300,CNY,896.17,906.31,894.39,906.31,12775,0.0
2005-06-22,investing:CSI 300,CNY,900.65,894.77,891.93,901.24,10478,0.0
2005-06-23,investing:CSI 300,CNY,893.57,900.06,892.83,904.9,9509,0.0
2005-06-24,investing:CSI 300,CNY,898.3,892.06,888.4,898.67,8919,0.0
2005-06-27,investing:CSI 300,CNY,916.04,904.21,904.21,920.65,16545,0.0
2005-06-28,investing:CSI 300,CNY,903.72,913.48,901.21,913.48,10402,0.0
2005-06-29,investing:CSI 300,CNY,898.9,906.75,898.08,907.57,10807,0.0
2005-06-30,investing:CSI 300,CNY,878.69,897.1,876.88,897.1,10855,0.0
2005-07-01,investing:CSI 300,CNY,859.49,875.93,858.37,875.93,10095,0.0
2005-07-04,investing:CSI 300,CNY,855.93,855.32,842.81,856.1,8840,0.0
2005-07-05,investing:CSI 300,CNY,849.68,853.68,845.36,856.74,7993,0.0
2005-07-06,investing:CSI 300,CNY,842.56,850.25,838.61,854.45,6898,0.0
2005-07-07,investing:CSI 300,CNY,844.73,841.75,839.28,848.02,5962,0.0
2005-07-08,investing:CSI 300,CNY,829.49,842.62,827.23,842.62,7221,0.0
2005-07-11,investing:CSI 300,CNY,824.1,837.86,822.52,850.66,8439,0.0
2005-07-12,investing:CSI 300,CNY,851.82,821.91,818.86,854.29,14990,0.0
2005-07-13,investing:CSI 300,CNY,846.23,850.47,841.86,851.95,9399,0.0
2005-07-14,investing:CSI 300,CNY,849.59,844.94,843.18,856.1,9362,0.0
2005-07-15,investing:CSI 300,CNY,841.0,849.87,837.78,854.6,8890,0.0
2005-07-18,investing:CSI 300,CNY,833.0,839.22,829.68,840.0,8500,0.0
2005-07-19,investing:CSI 300,CNY,835.61,831.5,829.28,840.14,7892,0.0
2005-07-20,investing:CSI 300,CNY,842.64,835.3,832.14,844.71,8526,0.0
2005-07-21,investing:CSI 300,CNY,843.99,842.75,835.76,843.99,8366,0.0
2005-07-22,investing:CSI 300,CNY,859.69,847.54,842.99,867.16,-21319,0.0
2005-07-25,investing:CSI 300,CNY,856.86,858.33,854.28,860.95,11816,0.0
2005-07-26,investing:CSI 300,CNY,876.48,856.19,856.19,880.03,21827,0.0
2005-07-27,investing:CSI 300,CNY,894.01,876.94,876.04,894.03,20410,0.0
2005-07-28,investing:CSI 300,CNY,890.88,893.88,888.5,901.0,20623,0.0
2005-07-29,investing:CSI 300,CNY,888.16,889.41,883.38,892.29,13397,0.0
2005-08-01,investing:CSI 300,CNY,891.61,887.72,885.85,897.28,11808,0.0
2005-08-02,investing:CSI 300,CNY,903.6,892.13,888.4,903.65,14293,0.0
2005-08-03,investing:CSI 300,CNY,909.57,905.18,903.76,919.28,25786,0.0
2005-08-04,investing:CSI 300,CNY,904.15,907.42,901.62,909.83,14519,0.0
2005-08-05,investing:CSI 300,CNY,923.8,904.04,903.94,923.81,19124,0.0
2005-08-08,investing:CSI 300,CNY,927.47,926.57,923.57,933.15,21609,0.0
2005-08-09,investing:CSI 300,CNY,933.09,926.97,919.11,933.39,19533,0.0
2005-08-10,investing:CSI 300,CNY,940.37,933.26,926.27,940.37,21516,0.0
2005-08-11,investing:CSI 300,CNY,953.99,940.78,939.39,953.99,27074,0.0
2005-08-12,investing:CSI 300,CNY,938.32,954.72,933.99,959.27,29168,0.0
2005-08-15,investing:CSI 300,CNY,954.5,937.71,936.11,954.5,20431,0.0
2005-08-16,investing:CSI 300,CNY,945.06,955.27,939.92,959.34,23862,0.0
2005-08-17,investing:CSI 300,CNY,953.01,943.4,930.33,953.34,21458,0.0
2005-08-18,investing:CSI 300,CNY,920.67,954.15,919.12,956.84,31855,0.0
2005-08-19,investing:CSI 300,CNY,923.04,918.09,910.08,927.32,22243,0.0
2005-08-22,investing:CSI 300,CNY,931.67,923.11,919.22,933.35,16031,0.0
2005-08-23,investing:CSI 300,CNY,923.41,931.81,915.03,931.81,15406,0.0
2005-08-24,investing:CSI 300,CNY,930.65,923.56,923.56,935.23,15960,0.0
