date,secid,currency,close,open,low,high,volume,capitalization
1979-12-26,investing:US Dollar Index,USD,85.99,85.99,85.99,85.99,0,0.0
1979-12-27,investing:US Dollar Index,USD,85.51,85.51,85.51,85.51,0,0.0
1979-12-28,investing:US Dollar Index,USD,85.81,85.81,85.81,85.81,0,0.0
1979-12-31,investing:US Dollar Index,USD,85.82,85.82,85.82,85.82,0,0.0
1980-01-02,investing:US Dollar Index,USD,85.32,85.32,85.32,85.32,0,0.0
1980-01-03,investing:US Dollar Index,USD,85.26,85.26,85.26,85.26,0,0.0
1980-01-04,investing:US Dollar Index,USD,85.23,85.23,85.23,85.23,0,0.0
1980-01-07,investing:US Dollar Index,USD,84.79,84.79,84.79,84.79,0,0.0
1980-01-08,investing:US Dollar Index,USD,85.07,85.07,85.07,85.07,0,0.0
1980-01-09,investing:US Dollar Index,USD,85.02,85.02,85.02,85.02,0,0.0
1980-01-10,investing:US Dollar Index,USD,85.21,85.21,85.21,85.21,0,0.0
1980-01-11,investing:US Dollar Index,USD,85.35,85.35,85.35,85.35,0,0.0
1980-01-14,investing:US Dollar Index,USD,85.23,85.23,85.23,85.23,0,0.0
1980-01-15,investing:US Dollar Index,USD,85.64,85.64,85.64,85.64,0,0.0
1980-01-16,investing:US Dollar Index,USD,85.4,85.4,85.4,85.4,0,0.0
1980-01-17,investing:US Dollar Index,USD,85.52,85.52,85.52,85.52,0,0.0
1980-01-18,investing:US Dollar Index,USD,85.45,85.45,85.45,85.45,0,0.0
1980-01-21,investing:US Dollar Index,USD,85.7,85.7,85.7,85.7,0,0.0
1980-01-22,investing:US Dollar Index,USD,85.8,85.8,85.8,85.8,0,0.0
1980-01-23,investing:US Dollar Index,USD,85.56,85.56,85.56,85.56,0,0.0
1980-01-24,investing:US Dollar Index,USD,85.71,85.71,85.71,85.71,0,0.0
1980-01-25,investing:US Dollar Index,USD,85.94,85.94,85.94,85.94,0,0.0
1980-01-28,investing:US Dollar Index,USD,86.1,86.1,86.1,86.1,0,0.0
1980-01-29,investing:US Dollar Index,USD,86.02,86.02,86.02,86.02,0,0.0
1980-01-30,investing:US Dollar Index,USD,85.96,85.96,85.96,85.96,0,0.0
1980-01-31,investing:US Dollar Index,USD,86.14,86.14,86.14,86.14,0,0.0
1980-02-01,investing:US Dollar Index,USD,86.13,86.13,86.13,86.13,0,0.0
1980-02-04,investing:US Dollar Index,USD,86.05,86.05,86.05,86.05,0,0.0
1980-02-05,investing:US Dollar Index,USD,86.02,86.02,86.02,86.02,0,0.0
1980-02-06,investing:US Dollar Index,USD,85.62,85.62,85.62,85.62,0,0.0
1980-02-07,investing:US Dollar Index,USD,85.8,85.8,85.8,85.8,0,0.0
1980-02-08,investing:US Dollar Index,USD,85.94,85.94,85.94,85.94,0,0.0
1980-02-11,investing:US Dollar Index,USD,85.85,85.85,85.85,85.85,0,0.0
1980-02-13,investing:US Dollar Index,USD,85.77,85.77,85.77,85.77,0,0.0
1980-02-14,investing:US Dollar Index,USD,85.84,85.84,85.84,85.84,0,0.0
1980-02-15,investing:US Dollar Index,USD,86.1,86.1,86.1,86.1,0,0.0
1980-02-19,investing:US Dollar Index,USD,86.51,86.51,86.51,86.51,0,0.0
1980-02-20,investing:US Dollar Index,USD,86.48,86.48,86.48,86.48,0,0.0
1980-02-21,investing:US Dollar Index,USD,86.41,86.41,86.41,86.41,0,0.0
1980-02-22,investing:US Dollar Index,USD,86.92,86.92,86.92,86.92,0,0.0
1980-02-25,investing:US Dollar Index,USD,87.05,87.05,87.05,87.05,0,0.0
1980-02-26,investing:US Dollar Index,USD,87.08,87.08,87.08,87.08,0,0.0
1980-02-27,investing:US Dollar Index,USD,86.9,86.9,86.9,86.9,0,0.0
1980-02-28,investing:US Dollar Index,USD,87.01,87.01,87.01,87.01,0,0.0
1980-02-29,investing:US Dollar Index,USD,87.65,87.65,87.65,87.65,0,0.0
1980-03-03,investing:US Dollar Index,USD,87.85,87.85,87.85,87.85,0,0.0
1980-03-04,investing:US Dollar Index,USD,88.08,88.08,88.08,88.08,0,0.0
1980-03-05,investing:US Dollar Index,USD,87.99,87.99,87.99,87.99,0,0.0
1980-03-06,investing:US Dollar Index,USD,88.32,88.32,88.32,88.32,0,0.0
1980-03-07,investing:US Dollar Index,USD,88.41,88.41,88.41,88.41,0,0.0
1980-03-10,investing:US Dollar Index,USD,88.89,88.89,88.89,88.89,0,0.0
1980-03-11,investing:US Dollar Index,USD,88.93,88.93,88.93,88.93,0,0.0
1980-03-12,investing:US Dollar Index,USD,88.8,88.8,88.8,88.8,0,0.0
1980-03-13,investing:US Dollar Index,USD,89.27,89.27,89.27,89.27,0,0.0
1980-03-14,investing:US Dollar Index,USD,89.82,89.82,89.82,89.82,0,0.0
1980-03-17,investing:US Dollar Index,USD,91.27,91.27,91.27,91.27,0,0.0
1980-03-18,investing:US Dollar Index,USD,91.35,91.35,91.35,91.35,0,0.0
1980-03-19,investing:US Dollar Index,USD,91.09,91.09,91.09,91.09,0,0.0
1980-03-20,investing:US Dollar Index,USD,90.84,90.84,90.84,90.84,0,0.0
1980-03-21,investing:US Dollar Index,USD,91.26,91.26,91.26,91.26,0,0.0
1980-03-24,investing:US Dollar Index,USD,91.61,91.61,91.61,91.61,0,0.0
1980-03-25,investing:US Dollar Index,USD,91.84,91.84,91.84,91.84,0,0.0
1980-03-26,investing:US Dollar Index,USD,91.75,91.75,91.75,91.75,0,0.0
1980-03-27,investing:US Dollar Index,USD,92.49,92.49,92.49,92.49,0,0.0
1980-03-28,investing:US Dollar Index,USD,92.83,92.83,92.83,92.83,0,0.0
1980-03-31,investing:US Dollar Index,USD,93.58,93.58,93.58,93.58,0,0.0
1980-04-01,investing:US Dollar Index,USD,94.22,94.22,94.22,94.22,0,0.0
1980-04-02,investing:US Dollar Index,USD,94.07,94.07,94.07,94.07,0,0.0
1980-04-03,investing:US Dollar Index,USD,94.37,94.37,94.37,94.37,0,0.0
1980-04-04,investing:US Dollar Index,USD,94.67,94.67,94.67,94.67,0,0.0
1980-04-07,investing:US Dollar Index,USD,94.88,94.88,94.88,94.88,0,0.0
1980-04-08,investing:US Dollar Index,USD,93.46,93.46,93.46,93.46,0,0.0
1980-04-09,investing:US Dollar Index,USD,91.63,91.63,91.63,91.63,0,0.0
1980-04-10,investing:US Dollar Index,USD,91.07,91.07,91.07,91.07,0,0.0
1980-04-11,investing:US Dollar Index,USD,91.26,91.26,91.26,91.26,0,0.0
1980-04-14,investing:US Dollar Index,USD,91.02,91.02,91.02,91.02,0,0.0
1980-04-15,investing:US Dollar Index,USD,91.81,91.81,91.81,91.81,0,0.0
1980-04-16,investing:US Dollar Index,USD,90.57,90.57,90.57,90.57,0,0.0
1980-04-17,investing:US Dollar Index,USD,90.51,90.51,90.51,90.51,0,0.0
1980-04-18,investing:US Dollar Index,USD,90.5,90.5,90.5,90.5,0,0.0
1980-04-21,investing:US Dollar Index,USD,90.15,90.15,90.15,90.15,0,0.0
1980-04-22,investing:US Dollar Index,USD,90.55,90.55,90.55,90.55,0,0.0
1980-04-23,investing:US Dollar Index,USD,88.87,88.87,88.87,88.87,0,0.0
1980-04-24,investing:US Dollar Index,USD,88.83,88.83,88.83,88.83,0,0.0
1980-04-25,investing:US Dollar Index,USD,88.68,88.68,88.68,88.68,0,0.0
1980-04-28,investing:US Dollar Index,USD,88.04,88.04,88.04,88.04,0,0.0
1980-04-29,investing:US Dollar Index,USD,88.01,88.01,88.01,88.01,0,0.0
1980-04-30,investing:US Dollar Index,USD,88.11,88.11,88.11,88.11,0,0.0
1980-05-01,investing:US Dollar Index,USD,88.22,88.22,88.22,88.22,0,0.0
1980-05-02,investing:US Dollar Index,USD,88.9,88.9,88.9,88.9,0,0.0
1980-05-05,investing:US Dollar Index,USD,87.84,87.84,87.84,87.84,0,0.0
1980-05-06,investing:US Dollar Index,USD,87.41,87.41,87.41,87.41,0,0.0
1980-05-07,investing:US Dollar Index,USD,87.21,87.21,87.21,87.21,0,0.0
1980-05-08,investing:US Dollar Index,USD,87.5,87.5,87.5,87.5,0,0.0
1980-05-09,investing:US Dollar Index,USD,88.01,88.01,88.01,88.01,0,0.0
1980-05-12,investing:US Dollar Index,USD,87.08,87.08,87.08,87.08,0,0.0
1980-05-13,investing:US Dollar Index,USD,87.23,87.23,87.23,87.23,0,0.0
1980-05-14,investing:US Dollar Index,USD,86.92,86.92,86.92,86.92,0,0.0
1980-05-15,investing:US Dollar Index,USD,86.97,86.97,86.97,86.97,0,0.0
1980-05-16,investing:US Dollar Index,USD,87.24,87.24,87.24,87.24,0,0.0
1980-05-19,investing:US Dollar Index,USD,87.39,87.39,87.39,87.39,0,0.0
1980-05-20,investing:US Dollar Index,USD,87.24,87.24,87.24,87.24,0,0.0
1980-05-21,investing:US Dollar Index,USD,86.38,86.38,86.38,86.38,0,0.0
1980-05-22,investing:US Dollar Index,USD,86.37,86.37,86.37,86.37,0,0.0
1980-05-23,investing:US Dollar Index,USD,85.78,85.78,85.78,85.78,0,0.0
1980-05-27,investing:US Dollar Index,USD,85.15,85.15,85.15,85.15,0,0.0
1980-05-28,investing:US Dollar Index,USD,85.68,85.68,85.68,85.68,0,0.0
1980-05-29,investing:US Dollar Index,USD,85.9,85.9,85.9,85.9,0,0.0
1980-05-30,investing:US Dollar Index,USD,85.93,85.93,85.93,85.93,0,0.0
1980-06-02,investing:US Dollar Index,USD,86.09,86.09,86.09,86.09,0,0.0
1980-06-03,investing:US Dollar Index,USD,86.07,86.07,86.07,86.07,0,0.0
1980-06-04,investing:US Dollar Index,USD,85.8,85.8,85.8,85.8,0,0.0
1980-06-05,investing:US Dollar Index,USD,85.72,85.72,85.72,85.72,0,0.0
1980-06-06,investing:US Dollar Index,USD,85.5,85.5,85.5,85.5,0,0.0
1980-06-09,investing:US Dollar Index,USD,84.99,84.99,84.99,84.99,0,0.0
1980-06-10,investing:US Dollar Index,USD,85.02,85.02,85.02,85.02,0,0.0
1980-06-11,investing:US Dollar Index,USD,85.19,85.19,85.19,85.19,0,0.0
1980-06-12,investing:US Dollar Index,USD,85.07,85.07,85.07,85.07,0,0.0
1980-06-13,investing:US Dollar Index,USD,84.75,84.75,84.75,84.75,0,0.0
1980-06-16,investing:US Dollar Index,USD,85.12,85.12,85.12,85.12,0,0.0
1980-06-17,investing:US Dollar Index,USD,85.16,85.16,85.16,85.16,0,0.0
1980-06-18,investing:US Dollar Index,USD,85.02,85.02,85.02,85.02,0,0.0
1980-06-19,investing:US Dollar Index,USD,85.16,85.16,85.16,85.16,0,0.0
1980-06-20,investing:US Dollar Index,USD,85.25,85.25,85.25,85.25,0,0.0
1980-06-23,investing:US Dollar Index,USD,85.14,85.14,85.14,85.14,0,0.0
1980-06-24,investing:US Dollar Index,USD,85.27,85.27,85.27,85.27,0,0.0
1980-06-25,investing:US Dollar Index,USD,85.32,85.32,85.32,85.32,0,0.0
1980-06-26,investing:US Dollar Index,USD,85.16,85.16,85.16,85.16,0,0.0
1980-06-27,investing:US Dollar Index,USD,85.13,85.13,85.13,85.13,0,0.0
1980-06-30,investing:US Dollar Index,USD,85.2,85.2,85.2,85.2,0,0.0
1980-07-01,investing:US Dollar Index,USD,85.1,85.1,85.1,85.1,0,0.0
1980-07-02,investing:US Dollar Index,USD,85.0,85.0,85.0,85.0,0,0.0
1980-07-03,investing:US Dollar Index,USD,84.89,84.89,84.89,84.89,0,0.0
1980-07-07,investing:US Dollar Index,USD,84.19,84.19,84.19,84.19,0,0.0
1980-07-08,investing:US Dollar Index,USD,84.27,84.27,84.27,84.27,0,0.0
1980-07-09,investing:US Dollar Index,USD,84.27,84.27,84.27,84.27,0,0.0
1980-07-10,investing:US Dollar Index,USD,84.12,84.12,84.12,84.12,0,0.0
1980-07-11,investing:US Dollar Index,USD,84.22,84.22,84.22,84.22,0,0.0
1980-07-14,investing:US Dollar Index,USD,84.39,84.39,84.39,84.39,0,0.0
1980-07-15,investing:US Dollar Index,USD,84.62,84.62,84.62,84.62,0,0.0
1980-07-16,investing:US Dollar Index,USD,84.47,84.47,84.47,84.47,0,0.0
1980-07-17,investing:US Dollar Index,USD,84.17,84.17,84.17,84.17,0,0.0
1980-07-18,investing:US Dollar Index,USD,84.61,84.61,84.61,84.61,0,0.0
1980-07-21,investing:US Dollar Index,USD,84.43,84.43,84.43,84.43,0,0.0
1980-07-22,investing:US Dollar Index,USD,84.31,84.31,84.31,84.31,0,0.0
1980-07-23,investing:US Dollar Index,USD,84.53,84.53,84.53,84.53,0,0.0
1980-07-24,investing:US Dollar Index,USD,84.3,84.3,84.3,84.3,0,0.0
1980-07-25,investing:US Dollar Index,USD,84.54,84.54,84.54,84.54,0,0.0
1980-07-28,investing:US Dollar Index,USD,84.73,84.73,84.73,84.73,0,0.0
1980-07-29,investing:US Dollar Index,USD,85.29,85.29,85.29,85.29,0,0.0
1980-07-30,investing:US Dollar Index,USD,85.92,85.92,85.92,85.92,0,0.0
1980-07-31,investing:US Dollar Index,USD,86.08,86.08,86.08,86.08,0,0.0
1980-08-01,investing:US Dollar Index,USD,86.49,86.49,86.49,86.49,0,0.0
1980-08-04,investing:US Dollar Index,USD,86.13,86.13,86.13,86.13,0,0.0
1980-08-05,investing:US Dollar Index,USD,85.81,85.81,85.81,85.81,0,0.0
1980-08-06,investing:US Dollar Index,USD,85.45,85.45,85.45,85.45,0,0.0
1980-08-07,investing:US Dollar Index,USD,85.87,85.87,85.87,85.87,0,0.0
1980-08-08,investing:US Dollar Index,USD,85.93,85.93,85.93,85.93,0,0.0
1980-08-11,investing:US Dollar Index,USD,85.95,85.95,85.95,85.95,0,0.0
1980-08-12,investing:US Dollar Index,USD,85.72,85.72,85.72,85.72,0,0.0
1980-08-13,investing:US Dollar Index,USD,85.79,85.79,85.79,85.79,0,0.0
1980-08-14,investing:US Dollar Index,USD,85.93,85.93,85.93,85.93,0,0.0
1980-08-15,investing:US Dollar Index,USD,86.0,86.0,86.0,86.0,0,0.0
1980-08-18,investing:US Dollar Index,USD,86.43,86.43,86.43,86.43,0,0.0
1980-08-19,investing:US Dollar Index,USD,86.47,86.47,86.47,86.47,0,0.0
1980-08-20,investing:US Dollar Index,USD,86.31,86.31,86.31,86.31,0,0.0
1980-08-21,investing:US Dollar Index,USD,86.36,86.36,86.36,86.36,0,0.0
1980-08-22,investing:US Dollar Index,USD,86.86,86.86,86.86,86.86,0,0.0
1980-08-25,investing:US Dollar Index,USD,86.55,86.55,86.55,86.55,0,0.0
1980-08-26,investing:US Dollar Index,USD,86.25,86.25,86.25,86.25,0,0.0
1980-08-27,investing:US Dollar Index,USD,86.17,86.17,86.17,86.17,0,0.0
1980-08-28,investing:US Dollar Index,USD,85.69,85.69,85.69,85.69,0,0.0
1980-08-29,investing:US Dollar Index,USD,85.85,85.85,85.85,85.85,0,0.0
1980-09-02,investing:US Dollar Index,USD,85.19,85.19,85.19,85.19,0,0.0
1980-09-03,investing:US Dollar Index,USD,85.15,85.15,85.15,85.15,0,0.0
1980-09-04,investing:US Dollar Index,USD,85.2,85.2,85.2,85.2,0,0.0
1980-09-05,investing:US Dollar Index,USD,85.41,85.41,85.41,85.41,0,0.0
1980-09-08,investing:US Dollar Index,USD,85.2,85.2,85.2,85.2,0,0.0
1980-09-09,investing:US Dollar Index,USD,85.33,85.33,85.33,85.33,0,0.0
1980-09-10,investing:US Dollar Index,USD,85.29,85.29,85.29,85.29,0,0.0
1980-09-11,investing:US Dollar Index,USD,85.1,85.1,85.1,85.1,0,0.0
1980-09-12,investing:US Dollar Index,USD,85.08,85.08,85.08,85.08,0,0.0
1980-09-15,investing:US Dollar Index,USD,85.24,85.24,85.24,85.24,0,0.0
1980-09-16,investing:US Dollar Index,USD,85.26,85.26,85.26,85.26,0,0.0
1980-09-17,investing:US Dollar Index,USD,85.21,85.21,85.21,85.21,0,0.0
1980-09-18,investing:US Dollar Index,USD,85.58,85.58,85.58,85.58,0,0.0
1980-09-19,investing:US Dollar Index,USD,85.55,85.55,85.55,85.55,0,0.0
1980-09-22,investing:US Dollar Index,USD,86.02,86.02,86.02,86.02,0,0.0
1980-09-23,investing:US Dollar Index,USD,86.29,86.29,86.29,86.29,0,0.0
1980-09-24,investing:US Dollar Index,USD,85.66,85.66,85.66,85.66,0,0.0
1980-09-25,investing:US Dollar Index,USD,85.79,85.79,85.79,85.79,0,0.0
1980-09-26,investing:US Dollar Index,USD,85.8,85.8,85.8,85.8,0,0.0
1980-09-29,investing:US Dollar Index,USD,86.14,86.14,86.14,86.14,0,0.0
1980-09-30,investing:US Dollar Index,USD,86.02,86.02,86.02,86.02,0,0.0
1980-10-01,investing:US Dollar Index,USD,85.75,85.75,85.75,85.75,0,0.0
1980-10-02,investing:US Dollar Index,USD,85.88,85.88,85.88,85.88,0,0.0
1980-10-03,investing:US Dollar Index,USD,85.8,85.8,85.8,85.8,0,0.0
1980-10-06,investing:US Dollar Index,USD,85.43,85.43,85.43,85.43,0,0.0
1980-10-07,investing:US Dollar Index,USD,85.68,85.68,85.68,85.68,0,0.0
1980-10-08,investing:US Dollar Index,USD,85.6,85.6,85.6,85.6,0,0.0
1980-10-09,investing:US Dollar Index,USD,85.64,85.64,85.64,85.64,0,0.0
1980-10-10,investing:US Dollar Index,USD,85.59,85.59,85.59,85.59,0,0.0
1980-10-14,investing:US Dollar Index,USD,85.73,85.73,85.73,85.73,0,0.0
1980-10-15,investing:US Dollar Index,USD,86.0,86.0,86.0,86.0,0,0.0
1980-10-16,investing:US Dollar Index,USD,86.09,86.09,86.09,86.09,0,0.0
1980-10-17,investing:US Dollar Index,USD,86.52,86.52,86.52,86.52,0,0.0
1980-10-20,investing:US Dollar Index,USD,86.98,86.98,86.98,86.98,0,0.0
1980-10-21,investing:US Dollar Index,USD,86.92,86.92,86.92,86.92,0,0.0
1980-10-22,investing:US Dollar Index,USD,87.06,87.06,87.06,87.06,0,0.0
1980-10-23,investing:US Dollar Index,USD,87.04,87.04,87.04,87.04,0,0.0
1980-10-24,investing:US Dollar Index,USD,87.34,87.34,87.34,87.34,0,0.0
1980-10-27,investing:US Dollar Index,USD,87.8,87.8,87.8,87.8,0,0.0
1980-10-28,investing:US Dollar Index,USD,88.21,88.21,88.21,88.21,0,0.0
1980-10-29,investing:US Dollar Index,USD,87.76,87.76,87.76,87.76,0,0.0
1980-10-30,investing:US Dollar Index,USD,88.16,88.16,88.16,88.16,0,0.0
1980-10-31,investing:US Dollar Index,USD,88.38,88.38,88.38,88.38,0,0.0
1980-11-03,investing:US Dollar Index,USD,88.64,88.64,88.64,88.64,0,0.0
1980-11-05,investing:US Dollar Index,USD,89.49,89.49,89.49,89.49,0,0.0
1980-11-06,investing:US Dollar Index,USD,89.73,89.73,89.73,89.73,0,0.0
1980-11-07,investing:US Dollar Index,USD,90.12,90.12,90.12,90.12,0,0.0
1980-11-10,investing:US Dollar Index,USD,88.49,88.49,88.49,88.49,0,0.0
1980-11-12,investing:US Dollar Index,USD,88.71,88.71,88.71,88.71,0,0.0
1980-11-13,investing:US Dollar Index,USD,88.43,88.43,88.43,88.43,0,0.0
1980-11-14,investing:US Dollar Index,USD,88.85,88.85,88.85,88.85,0,0.0
1980-11-17,investing:US Dollar Index,USD,89.75,89.75,89.75,89.75,0,0.0
1980-11-18,investing:US Dollar Index,USD,89.41,89.41,89.41,89.41,0,0.0
1980-11-19,investing:US Dollar Index,USD,88.98,88.98,88.98,88.98,0,0.0
1980-11-20,investing:US Dollar Index,USD,89.3,89.3,89.3,89.3,0,0.0
1980-11-21,investing:US Dollar Index,USD,89.56,89.56,89.56,89.56,0,0.0
