date,secid,currency,close,open,low,high,volume,capitalization
2009-04-24,MOEXBC,RUB,6276.1,6285.76,6239.72,6362.62,829283325.54,1833755087208.9
2009-04-27,MOEXBC,RUB,6057.99,6276.1,6033.84,6276.1,1101358972.7,1770028797418.7
2009-04-28,MOEXBC,RUB,5899.75,6057.99,5885.04,6116.65,1978925384.43,1723791981442.26
2009-04-29,MOEXBC,RUB,6108.95,5899.75,5899.75,6111.45,2348292078.02,1784916956463.08
2009-04-30,MOEXBC,RUB,6264.7,6108.95,6108.95,6353.44,1739327235.08,1830424608974.75
2009-05-04,MOEXBC,RUB,6431.13,6264.7,6264.11,6431.13,1754447919.33,1879052899867.53
2009-05-05,MOEXBC,RUB,6503.67,6431.13,6431.13,6531.91,1887305561.42,1900247245271.4
2009-05-06,MOEXBC,RUB,6637.71,6503.67,6398.58,6699.36,2435868959.2,1939411142509.28
2009-05-07,MOEXBC,RUB,6955.83,6637.71,6563.38,7049.69,2963923469.37,2032358259794.62
2009-05-08,MOEXBC,RUB,6887.62,6955.83,6778.96,6955.83,1857304108.83,2012431187617.75
2009-05-12,MOEXBC,RUB,7118.69,6887.62,6836.9,7182.14,2332054618,2079944062298.24
2009-05-13,MOEXBC,RUB,6742.04,7118.69,6735.78,7349.98,2296888578.71,1969895163713.52
2009-05-14,MOEXBC,RUB,6729.57,6742.04,6596.15,6824.62,2426022229,1966250428960.28
2009-05-15,MOEXBC,RUB,6712.42,6729.57,6620.42,6872.01,3702929815.16,1961240105478.73
2009-05-18,MOEXBC,RUB,6750.93,6712.42,6510.77,6763.09,3495389438.79,1972491926476.6
2009-05-19,MOEXBC,RUB,6918.79,6750.15,6739.34,7046.97,4763896516.72,2021536906552.71
2009-05-20,MOEXBC,RUB,7277.46,6918.79,6869.8,7279.91,6063769655.57,2126333251042.22
2009-05-21,MOEXBC,RUB,7036.74,7277.46,7004.49,7353.7,4635820409.11,2056000597958.73
2009-05-22,MOEXBC,RUB,7069.58,7036.74,6960.2,7216.46,4888730648,2065596221355.19
2009-05-25,MOEXBC,RUB,7064.21,7069.58,6971.96,7151.31,4004879277.82,2064026026482.32
2009-05-26,MOEXBC,RUB,6856.18,7068.71,6811.08,7127.26,4855224487.31,2003242961101.22
2009-05-27,MOEXBC,RUB,7135.94,6856.18,6856.18,7191.79,4495272236.53,2084983730113.87
2009-05-28,MOEXBC,RUB,7339.98,7135.94,7076.53,7348.44,3305580111.69,2144599533612.28
2009-05-29,MOEXBC,RUB,7497.44,7339.98,7218.1,7545.82,3983913135.69,2190607530036.41
2009-06-01,MOEXBC,RUB,8150.68,7497.44,7481.69,8150.68,8245315646.23,2381472554918.77
2009-06-02,MOEXBC,RUB,8221.98,8150.68,8060.37,8469.03,11698772238.89,2402304145061.58
2009-06-03,MOEXBC,RUB,7804.87,8223.15,7793.81,8344.08,9684745165.65,2280433086062.47
2009-06-04,MOEXBC,RUB,7702.97,7804.87,7449.89,7933.02,8384035984.29,2250658185655.61
2009-06-05,MOEXBC,RUB,7990.23,7702.97,7587.16,8061.28,9038858789.73,2334591090010.63
2009-06-08,MOEXBC,RUB,7618.02,7990.23,7526.19,7990.23,5719023716.2,2225838360157.51
2009-06-09,MOEXBC,RUB,7663.12,7618.02,7568.58,7787.66,5912439614.99,2239017473155.87
2009-06-10,MOEXBC,RUB,7711.86,7663.12,7613.96,7851.52,6812662897.06,2253258144308.27
2009-06-11,MOEXBC,RUB,7809.13,7711.97,7607.3,7912.04,5490168828.66,2281676558134.25
2009-06-15,MOEXBC,RUB,7415.42,7809.13,7385.44,7824.86,4065658001.25,2289698573604.74
2009-06-16,MOEXBC,RUB,7458.93,7415.42,7268.4,7529.97,7580962671.95,2303132394738.39
2009-06-17,MOEXBC,RUB,7156.98,7458.93,7101.13,7472.34,8634661623.28,2209897920881.67
2009-06-18,MOEXBC,RUB,6821.6,7156.98,6732.4,7170.34,5553097652.89,2106339118799.01
2009-06-19,MOEXBC,RUB,6917.99,6827.3,6827.3,7006.72,5798569376.21,2136102120211.09
2009-06-22,MOEXBC,RUB,6524.08,6917.99,6524.08,6918.25,6156143201.54,2014472853720.23
