date,secid,currency,close,open,low,high,volume,capitalization
2006-12-29,MOEXCH,RUB,3500,0,0,0,0,
2007-01-09,MOEXCH,RUB,3498.53,3464.31,3464.31,3540.33,418955.17,
2007-01-10,MOEXCH,RUB,3501.53,3495.33,3420.39,3501.53,456737.76,
2007-01-11,MOEXCH,RUB,3521.07,3504.01,3454.3,3521.07,914516.62,
2007-01-12,MOEXCH,RUB,3491.26,3535.55,3458.85,3535.99,1404610.34,
2007-01-15,MOEXCH,RUB,3543.54,3485.3,3481.86,3565.4,3307662.37,
2007-01-16,MOEXCH,RUB,3538.71,3544.1,3534.3,3562.1,928590.06,
2007-01-17,MOEXCH,RUB,3427.32,3545.31,3427.12,3555.07,8563176.41,
2007-01-18,MOEXCH,RUB,3364.69,3450.69,3364.69,3500.14,5533467.02,
2007-01-19,MOEXCH,RUB,3346.64,3364.25,3317.15,3364.29,1577400.76,
2007-01-22,MOEXCH,RUB,3356.08,3347.24,3343.8,3381.37,1155950.29,
2007-01-23,MOEXCH,RUB,3347.83,3356.56,3347.83,3397.62,679518.97,
2007-01-24,MOEXCH,RUB,3343.23,3347.95,3343.23,3357.43,1824255.91,
2007-01-25,MOEXCH,RUB,3386.05,3343.47,3343.47,3417.35,1587204.72,
2007-01-26,MOEXCH,RUB,3384.04,3385.81,3382.17,3404.12,1273186.5,
2007-01-29,MOEXCH,RUB,3348.75,3383.84,3348.75,3383.88,4499609.8,
2007-01-30,MOEXCH,RUB,3269.57,3348.75,3269.57,3348.75,2693920.79,
2007-01-31,MOEXCH,RUB,3303.94,3269.85,3269.25,3336.31,5418691.75,
2007-02-01,MOEXCH,RUB,3307.78,3303.94,3303.94,3335.23,2126830.19,
2007-02-02,MOEXCH,RUB,3324.99,3307.82,3307.82,3363.31,1400308.47,
2007-02-05,MOEXCH,RUB,3295.72,3325.19,3293.94,3335.51,938608.93,
2007-02-06,MOEXCH,RUB,3291.65,3295.6,3289.41,3302.09,1871473.87,
2007-02-07,MOEXCH,RUB,3271.08,3291.61,3270.56,3300.05,1809580.01,
2007-02-08,MOEXCH,RUB,3253.71,3271.16,3252.87,3283.68,1049296.51,
2007-02-09,MOEXCH,RUB,3262.02,3254.03,3254.03,3292.1,665985.14,
2007-02-12,MOEXCH,RUB,3250.68,3262.42,3250.68,3267.96,1983249.03,
2007-02-13,MOEXCH,RUB,3230.57,3250.2,3229.57,3252.96,3602934.09,
2007-02-14,MOEXCH,RUB,3231.64,3231.29,3231.04,3237.81,1987672.63,
2007-02-15,MOEXCH,RUB,3231.64,3234.36,3223.6,3238.64,2292001.26,
2007-02-16,MOEXCH,RUB,3202.85,3231.6,3202.85,3231.6,2127172.23,
2007-02-19,MOEXCH,RUB,3146,3203.33,3145.76,3203.61,6796327.57,
2007-02-20,MOEXCH,RUB,3137.82,3147.28,3137.82,3158.12,2886067.23,
2007-02-21,MOEXCH,RUB,3140.3,3136.82,3102.69,3150.1,839307.29,
2007-02-22,MOEXCH,RUB,3150.42,3140.38,3138.29,3184.48,1122963.02,
2007-02-26,MOEXCH,RUB,3157.58,3150.94,3147.07,3161.07,1845934.08,
2007-02-27,MOEXCH,RUB,3098.4,3157.5,3098.12,3157.5,1868761.2,
2007-02-28,MOEXCH,RUB,3105.77,3098.36,3017.97,3105.77,1643355.97,
2007-03-01,MOEXCH,RUB,2983.31,3105.37,2982.59,3105.37,873615.85,
2007-03-02,MOEXCH,RUB,3028.44,2983.51,2977.58,3028.44,101732.94,
2007-03-05,MOEXCH,RUB,2937.81,3011.24,2906.19,3017.44,1847443.55,
2007-03-06,MOEXCH,RUB,2947.01,2937.85,2924.45,2977.22,2276904.65,
2007-03-07,MOEXCH,RUB,2946.27,2947.69,2942.26,2954.63,88792.45,
