date,secid,currency,close,open,low,high,volume,capitalization
2013-11-18,RVI,,21.84,23.8,21.77,23.87,0,0
2013-11-19,RVI,,22.49,21.83,20.98,22.74,0,0
2013-11-20,RVI,,22.77,22.48,22.28,22.98,0,0
2013-11-21,RVI,,21.89,22.75,21.77,23,0,0
2013-11-22,RVI,,21.85,21.86,21.16,22.22,0,0
2013-11-25,RVI,,21.64,21.85,21.57,22.51,0,0
2013-11-26,RVI,,21.87,21.58,21.11,22.39,0,0
2013-11-27,RVI,,23.41,21.86,21.17,23.41,0,0
2013-11-28,RVI,,23.49,23.39,22.72,24.15,0,0
2013-11-29,RVI,,23.8,23.5,23.07,24.43,0,0
2013-12-02,RVI,,24.59,23.83,22.73,24.9,0,0
2013-12-03,RVI,,25.24,24.59,24.1,26.49,0,0
2013-12-04,RVI,,25.9,25.25,24.3,26.08,0,0
2013-12-05,RVI,,26.15,25.89,24.26,26.26,0,0
2013-12-06,RVI,,24.36,26.07,23.93,26.16,0,0
2013-12-09,RVI,,23.85,24.35,23.01,25.82,0,0
2013-12-10,RVI,,24.09,23.65,22.93,24.67,0,0
2013-12-11,RVI,,23.56,24.09,22.5,24.79,0,0
2013-12-12,RVI,,23.45,23.61,23.1,25.95,0,0
2013-12-13,RVI,,22.64,23.45,22,24.84,0,0
2013-12-16,RVI,,22.43,22.64,22.06,24.25,0,0
2013-12-17,RVI,,19.99,22.42,19.72,22.55,0,0
2013-12-18,RVI,,20.8,19.99,19.87,21.07,0,0
2013-12-19,RVI,,19.47,20.82,19.28,22.48,0,0
2013-12-20,RVI,,18.04,19.5,17.45,19.52,0,0
2013-12-23,RVI,,18.36,17.93,17.5,19.29,0,0
2013-12-24,RVI,,17.75,18.36,17.33,18.89,0,0
2013-12-25,RVI,,18.94,17.7,17.61,19.37,0,0
2013-12-26,RVI,,19.6,18.94,18.76,20.6,0,0
2013-12-27,RVI,,19.36,19.6,18.97,20.58,0,0
2013-12-30,RVI,,20.48,19.36,19.22,21.31,0,0
2014-01-06,RVI,,22.7,20.47,20.36,23.05,0,0
2014-01-08,RVI,,19.4,22.69,18.79,22.96,0,0
2014-01-09,RVI,,18.85,19.53,18.51,23.19,0,0
2014-01-10,RVI,,20.56,18.83,17.18,20.58,0,0
2014-01-13,RVI,,20.07,20.42,19.02,21.16,0,0
2014-01-14,RVI,,21.2,20.07,18.65,21.49,0,0
2014-01-15,RVI,,21.14,21.22,20.16,21.46,0,0
2014-01-16,RVI,,20.36,21.2,19.67,21.42,0,0
2014-01-17,RVI,,20.34,20.36,19.62,20.85,0,0
2014-01-20,RVI,,20.98,20.31,19.81,21.66,0,0
2014-01-21,RVI,,21.14,20.99,20.73,21.58,0,0
2014-01-22,RVI,,20.49,21.14,20.2,21.28,0,0
2014-01-23,RVI,,20.24,20.48,20.17,21.23,0,0
2014-01-24,RVI,,22,20.18,20.12,22.09,0,0
2014-01-27,RVI,,24.24,22.04,21.84,24.49,0,0
2014-01-28,RVI,,24.33,24.26,23.48,24.71,0,0
2014-01-29,RVI,,28.16,24.33,24.04,28.73,0,0
2014-01-30,RVI,,25.2,28.16,25.11,29.04,0,0
2014-01-31,RVI,,27.48,25.26,24.43,27.59,0,0
2014-02-03,RVI,,28.55,27.47,25.79,29.08,0,0
2014-02-04,RVI,,27.74,28.53,26.87,29.84,0,0
2014-02-05,RVI,,25.59,27.76,25.38,28.08,0,0
2014-02-06,RVI,,25.01,25.58,24.48,26.77,0,0
2014-02-07,RVI,,25.03,25.02,24.46,25.4,0,0
2014-02-10,RVI,,25.47,25.04,24.46,26.09,0,0
2014-02-11,RVI,,25.2,25.43,24.37,25.8,0,0
2014-02-12,RVI,,25.03,25.22,24.49,25.92,0,0
2014-02-13,RVI,,25.23,25.03,24.6,25.53,0,0
2014-02-14,RVI,,26.01,25.21,24.63,26.42,0,0
2014-02-17,RVI,,26.8,25.99,25.5,26.86,0,0
2014-02-18,RVI,,26.29,26.77,26.18,27.07,0,0
2014-02-19,RVI,,26.12,26.29,25.36,26.35,0,0
2014-02-20,RVI,,27.41,26.12,26.12,27.69,0,0
2014-02-21,RVI,,25.97,27.42,25.75,27.49,0,0
2014-02-24,RVI,,25.64,25.95,25.22,26.62,0,0
2014-02-25,RVI,,26.54,25.63,25.03,27.1,0,0
2014-02-26,RVI,,25.84,26.55,25.41,26.8,0,0
2014-02-27,RVI,,27.69,25.81,25.05,28.05,0,0
2014-02-28,RVI,,28.38,27.7,26.82,29.35,0,0
2014-03-03,RVI,,57.18,28.35,27.88,60.67,0,0
2014-03-04,RVI,,51.05,57.24,50.45,63.36,0,0
2014-03-05,RVI,,43.63,51.04,43.63,51.1,0,0
2014-03-06,RVI,,49.26,43.64,42.36,52.56,0,0
2014-03-07,RVI,,49.77,49.26,48.99,51.74,0,0
2014-03-11,RVI,,51.25,49.79,44.29,56.28,0,0
2014-03-12,RVI,,47.16,53.59,42.7,55.86,0,0
2014-03-13,RVI,,54.32,48.47,45.02,54.32,0,0
2014-03-14,RVI,,60.59,55.4,54.55,70.63,0,0
2014-03-17,RVI,,57.7,59.88,57.43,69.37,0,0
2014-03-18,RVI,,49.46,58.33,48.96,58.87,0,0
2014-03-19,RVI,,48.28,49.19,45.87,50.14,0,0
2014-03-20,RVI,,51.06,49.83,47.9,53.3,0,0
2014-03-21,RVI,,50.63,50.57,50.41,60.36,0,0
2014-03-24,RVI,,52.73,50.22,48.26,52.87,0,0
2014-03-25,RVI,,49.29,52.59,48.48,53.42,0,0
2014-03-26,RVI,,43.04,48.51,42.1,48.73,0,0
2014-03-27,RVI,,41.2,40.32,39.85,42.51,0,0
2014-03-28,RVI,,39.23,40.14,38.18,41.14,0,0
2014-03-31,RVI,,38.84,39.71,37.53,41.48,0,0
2014-04-01,RVI,,37.52,38.97,36.87,40.72,0,0
2014-04-02,RVI,,39.47,38.71,37.87,39.94,0,0
2014-04-03,RVI,,37.5,39.2,37.42,39.66,0,0
2014-04-04,RVI,,35.02,36.68,33.72,37.72,0,0
2014-04-07,RVI,,41.04,33.93,33.48,41.91,0,0
2014-04-08,RVI,,37.79,40.6,37.29,41.07,0,0
2014-04-09,RVI,,39.96,36.95,36.94,41.12,0,0
2014-04-10,RVI,,36.69,39.92,36.63,41.25,0,0
2014-04-11,RVI,,38.13,37.03,36.5,39.99,0,0
2014-04-14,RVI,,41.99,37.6,36.49,43.56,0,0
2014-04-15,RVI,,45.09,41.64,40.97,45.48,0,0
2014-04-16,RVI,,40.98,45.29,40.15,46.44,0,0
2014-04-17,RVI,,37.42,40.99,37.13,41.66,0,0
2014-04-18,RVI,,34.41,37.01,32.88,37.67,0,0
2014-04-21,RVI,,37.51,34.52,34.14,37.6,0,0
2014-04-22,RVI,,37.31,37.39,36.71,39.34,0,0
2014-04-23,RVI,,38.46,37.54,37.26,38.6,0,0
2014-04-24,RVI,,44.69,37.78,37.51,44.85,0,0
2014-04-25,RVI,,45.68,44.99,43.82,48.55,0,0
2014-04-28,RVI,,42.68,45.81,42.5,49.11,0,0
2014-04-29,RVI,,40.83,42.99,38.82,43.44,0,0
2014-04-30,RVI,,41.35,41.04,37.97,43.87,0,0
2014-05-02,RVI,,42.35,41.1,40.79,43.72,0,0
2014-05-05,RVI,,43.25,42.42,42.26,43.91,0,0
2014-05-06,RVI,,39.5,43.26,39.27,43.78,0,0
2014-05-07,RVI,,35.36,39.61,33.84,40.24,0,0
2014-05-08,RVI,,35.8,35.26,34.1,42.39,0,0
2014-05-12,RVI,,35.33,36.37,33.49,38.57,0,0
2014-05-13,RVI,,31.71,35.69,31.11,36.19,0,0
2014-05-14,RVI,,30.5,32.19,30.25,32.39,0,0
2014-05-15,RVI,,29.04,30.77,28.26,31.12,0,0
2014-05-16,RVI,,29.23,28.4,28.02,30.33,0,0
2014-05-19,RVI,,28.94,29,28.24,31.79,0,0
2014-05-20,RVI,,28.33,28.71,27.85,30.42,0,0
2014-05-21,RVI,,29.55,28.52,28.44,29.65,0,0
2014-05-22,RVI,,28.77,29.22,28.61,30,0,0
2014-05-23,RVI,,28.35,28.62,27.98,29.64,0,0
2014-05-26,RVI,,27.87,28.49,27.16,29.95,0,0
2014-05-27,RVI,,28.98,27.95,27.7,29.78,0,0
2014-05-28,RVI,,28.56,28.9,28.21,29.84,0,0
2014-05-29,RVI,,28.51,28.36,27.59,29.16,0,0
2014-05-30,RVI,,27.81,28.39,27.52,28.82,0,0
2014-06-02,RVI,,26.97,28.1,26.18,30.53,0,0
2014-06-03,RVI,,26.96,26.84,26.68,28.71,0,0
2014-06-04,RVI,,26.78,26.94,26.5,28.48,0,0
2014-06-05,RVI,,26.86,26.56,25.85,27.22,0,0
2014-06-06,RVI,,28.16,26.78,26.47,28.23,0,0
2014-06-09,RVI,,26.82,26.67,24.62,29.3,0,0
