date,secid,currency,close,open,low,high,volume,capitalization
1995-09-01,RTSI,USD,100,100,100,100,2710988,0
1995-09-04,RTSI,USD,99.799,99.799,99.799,99.799,1000395,0
1995-09-05,RTSI,USD,100.417,100.417,100.417,100.417,1669902,0
1995-09-06,RTSI,USD,99.741,99.741,99.741,99.741,927829,0
1995-09-07,RTSI,USD,101.301,101.301,101.301,101.301,2153945,0
1995-09-08,RTSI,USD,101.3,101.3,101.3,101.3,1318431,0
1995-09-11,RTSI,USD,100.84,100.84,100.84,100.84,1314240,0
1995-09-12,RTSI,USD,100.24,100.24,100.24,100.24,655028,0
1995-09-13,RTSI,USD,99.159,99.159,99.159,99.159,1080588,0
1995-09-14,RTSI,USD,98.795,98.795,98.795,98.795,874165,0
1995-09-15,RTSI,USD,99.301,99.301,99.301,99.301,2080067,0
1995-09-18,RTSI,USD,99.84,99.84,99.84,99.84,2520420,0
1995-09-19,RTSI,USD,99.536,99.536,99.536,99.536,1416736,0
1995-09-20,RTSI,USD,99.188,99.188,99.188,99.188,2923830,0
1995-09-21,RTSI,USD,96.273,96.273,96.273,96.273,3189220,0
1995-09-22,RTSI,USD,94.025,94.025,94.025,94.025,1853898,0
1995-09-25,RTSI,USD,91.162,91.162,91.162,91.162,1421425,0
1995-09-26,RTSI,USD,87.977,87.977,87.977,87.977,1538270,0
1995-09-27,RTSI,USD,88.174,88.174,88.174,88.174,694400,0
1995-09-28,RTSI,USD,89.071,89.071,89.071,89.071,1386490,0
1995-09-29,RTSI,USD,86.088,86.088,86.088,86.088,1322225,0
1995-10-02,RTSI,USD,83.003,83.003,83.003,83.003,904300,0
1995-10-03,RTSI,USD,78.391,78.391,78.391,78.391,3720242,0
1995-10-04,RTSI,USD,72.056,72.056,72.056,72.056,3093490,0
1995-10-05,RTSI,USD,75.033,75.033,75.033,75.033,2289349,0
1995-10-06,RTSI,USD,74.16,74.16,74.16,74.16,1608250,0
1995-10-09,RTSI,USD,77.266,77.266,77.266,77.266,1295757,0
1995-10-10,RTSI,USD,76.417,76.417,76.417,76.417,685032,0
1995-10-11,RTSI,USD,75.802,75.802,75.802,75.802,2193235,0
1995-10-12,RTSI,USD,76.475,76.475,76.475,76.475,950280,0
1995-10-13,RTSI,USD,77.476,77.476,77.476,77.476,2767658,0
1995-10-16,RTSI,USD,78.097,78.097,78.097,78.097,2146785,0
1995-10-17,RTSI,USD,78.656,78.656,78.656,78.656,2206960,0
1995-10-18,RTSI,USD,78.998,78.998,78.998,78.998,1140691,0
1995-10-19,RTSI,USD,79.257,79.257,79.257,79.257,2276760,0
1995-10-20,RTSI,USD,79.35,79.35,79.35,79.35,1474534,0
1995-10-23,RTSI,USD,79.162,79.162,79.162,79.162,1798790,0
1995-10-24,RTSI,USD,79.082,79.082,79.082,79.082,891957,0
1995-10-25,RTSI,USD,79.141,79.141,79.141,79.141,3924456,0
1995-10-26,RTSI,USD,78.111,78.111,78.111,78.111,3980378,0
1995-10-27,RTSI,USD,75.858,75.858,75.858,75.858,2909718,0
1995-10-30,RTSI,USD,74.878,74.878,74.878,74.878,119869,0
1995-10-31,RTSI,USD,73.555,73.555,73.555,73.555,824107,0
1995-11-01,RTSI,USD,72.702,72.702,72.702,72.702,2497522,0
1995-11-02,RTSI,USD,68.091,68.091,68.091,68.091,3047914,0
1995-11-03,RTSI,USD,69.977,69.977,69.977,69.977,880955,0
1995-11-04,RTSI,USD,70.528,70.528,70.528,70.528,306800,0
1995-11-08,RTSI,USD,71.265,71.265,71.265,71.265,595352,0
1995-11-09,RTSI,USD,71.761,71.761,71.761,71.761,3401134,0
1995-11-10,RTSI,USD,71.537,71.537,71.537,71.537,1352044,0
1995-11-13,RTSI,USD,72.177,72.177,72.177,72.177,1165832,0
1995-11-14,RTSI,USD,71.868,71.868,71.868,71.868,954890,0
1995-11-15,RTSI,USD,71.518,71.518,71.518,71.518,971770,0
1995-11-16,RTSI,USD,70.983,70.983,70.983,70.983,1324489,0
