date,secid,currency,close,open,low,high,volume,capitalization
1987-09-10,yahoo:^RUT,USD,168.97000122070312,167.44000244140625,167.44000244140625,168.97999572753906,179800000,0.0
1987-09-11,yahoo:^RUT,USD,170.5399932861328,168.97000122070312,168.75,170.5399932861328,178000000,0.0
1987-09-14,yahoo:^RUT,USD,170.42999267578125,170.52999877929688,170.14999389648438,170.9499969482422,154400000,0.0
1987-09-15,yahoo:^RUT,USD,169.1999969482422,170.4199981689453,169.1300048828125,170.44000244140625,136200000,0.0
1987-09-16,yahoo:^RUT,USD,168.9199981689453,169.30999755859375,168.82000732421875,170.02999877929688,195700000,0.0
1987-09-17,yahoo:^RUT,USD,168.82000732421875,168.9199981689453,168.5399932861328,169.25,150700000,0.0
1987-09-18,yahoo:^RUT,USD,168.75,168.82000732421875,168.75,169.0399932861328,188100000,0.0
1987-09-21,yahoo:^RUT,USD,167.39999389648438,168.75,167.36000061035156,169.1300048828125,170100000,0.0
1987-09-22,yahoo:^RUT,USD,167.55999755859375,167.39999389648438,166.69000244140625,167.55999755859375,209500000,0.0
1987-09-23,yahoo:^RUT,USD,168.64999389648438,167.55999755859375,167.5500030517578,168.64999389648438,220300000,0.0
1987-09-24,yahoo:^RUT,USD,168.72000122070312,168.64999389648438,168.52000427246094,169.05999755859375,162200000,0.0
1987-09-25,yahoo:^RUT,USD,168.85000610351562,168.72000122070312,168.42999267578125,168.85000610351562,138000000,0.0
1987-09-28,yahoo:^RUT,USD,169.52000427246094,168.83999633789062,168.83999633789062,169.8000030517578,188100000,0.0
1987-09-29,yahoo:^RUT,USD,169.05999755859375,169.52000427246094,168.88999938964844,169.69000244140625,173500000,0.0
1987-09-30,yahoo:^RUT,USD,170.80999755859375,169.0500030517578,168.67999267578125,170.80999755859375,183100000,0.0
1987-10-01,yahoo:^RUT,USD,171.39999389648438,170.82000732421875,170.25,171.39999389648438,193200000,0.0
1987-10-02,yahoo:^RUT,USD,172.0800018310547,171.39999389648438,171.39999389648438,172.08999633789062,189100000,0.0
1987-10-05,yahoo:^RUT,USD,172.5399932861328,172.08999633789062,172.08999633789062,172.5500030517578,159700000,0.0
1987-10-06,yahoo:^RUT,USD,170.2100067138672,172.5500030517578,170.1300048828125,172.6199951171875,175600000,0.0
1987-10-07,yahoo:^RUT,USD,168.8699951171875,170.2100067138672,168.47999572753906,170.2100067138672,186300000,0.0
1987-10-08,yahoo:^RUT,USD,167.05999755859375,168.8699951171875,166.77999877929688,168.97999572753906,198700000,0.0
1987-10-09,yahoo:^RUT,USD,166.1199951171875,167.05999755859375,166.00999450683594,167.11000061035156,158300000,0.0
1987-10-12,yahoo:^RUT,USD,163.86000061035156,166.11000061035156,163.38999938964844,166.11000061035156,141900000,0.0
1987-10-13,yahoo:^RUT,USD,164.13999938964844,163.86000061035156,163.6300048828125,164.4199981689453,172900000,0.0
1987-10-14,yahoo:^RUT,USD,161.7899932861328,164.14999389648438,161.58999633789062,164.16000366210938,207400000,0.0
1987-10-15,yahoo:^RUT,USD,159.66000366210938,161.8000030517578,159.60000610351562,161.8000030517578,263200000,0.0
1987-10-16,yahoo:^RUT,USD,152.74000549316406,159.66000366210938,152.61000061035156,159.66000366210938,338500000,0.0
1987-10-19,yahoo:^RUT,USD,133.60000610351562,152.74000549316406,133.60000610351562,152.74000549316406,604300000,0.0
1987-10-20,yahoo:^RUT,USD,121.38999938964844,133.60000610351562,120.20999908447266,133.60000610351562,608100000,0.0
1987-10-21,yahoo:^RUT,USD,130.64999389648438,121.38999938964844,121.38999938964844,130.77000427246094,449600000,0.0
1987-10-22,yahoo:^RUT,USD,124.56999969482422,130.64999389648438,124.47000122070312,130.64999389648438,392200000,0.0
1987-10-23,yahoo:^RUT,USD,121.58999633789062,124.58000183105469,121.36000061035156,124.58000183105469,245600000,0.0
1987-10-26,yahoo:^RUT,USD,110.33000183105469,121.58000183105469,110.31999969482422,121.58000183105469,308800000,0.0
