date,secid,currency,close,open,low,high,volume,capitalization
1954-01-04,STOOQ:^SPX,USD,24.95,24.95,24.95,24.95,727778,0.0
1954-01-05,STOOQ:^SPX,USD,25.1,25.1,25.1,25.1,844444,0.0
1954-01-06,STOOQ:^SPX,USD,25.14,25.14,25.14,25.14,811111,0.0
1954-01-07,STOOQ:^SPX,USD,25.06,25.06,25.06,25.06,855556,0.0
1954-01-08,STOOQ:^SPX,USD,24.93,24.93,24.93,24.93,700000,0.0
1954-01-11,STOOQ:^SPX,USD,24.8,24.8,24.8,24.8,677778,0.0
1954-01-12,STOOQ:^SPX,USD,24.93,24.93,24.93,24.93,694444,0.0
1954-01-13,STOOQ:^SPX,USD,25.07,25.07,25.07,25.07,788889,0.0
1954-01-14,STOOQ:^SPX,USD,25.19,25.19,25.19,25.19,850000,0.0
1954-01-15,STOOQ:^SPX,USD,25.43,25.43,25.43,25.43,1211111,0.0
1954-01-18,STOOQ:^SPX,USD,25.43,25.43,25.43,25.43,877778,0.0
1954-01-19,STOOQ:^SPX,USD,25.68,25.68,25.68,25.68,1022222,0.0
1954-01-20,STOOQ:^SPX,USD,25.75,25.75,25.75,25.75,1088889,0.0
1954-01-21,STOOQ:^SPX,USD,25.79,25.79,25.79,25.79,988889,0.0
1954-01-22,STOOQ:^SPX,USD,25.85,25.85,25.85,25.85,1050000,0.0
1954-01-25,STOOQ:^SPX,USD,25.93,25.93,25.93,25.93,1033333,0.0
1954-01-26,STOOQ:^SPX,USD,26.09,26.09,26.09,26.09,1177778,0.0
1954-01-27,STOOQ:^SPX,USD,26.01,26.01,26.01,26.01,1122222,0.0
1954-01-28,STOOQ:^SPX,USD,26.02,26.02,26.02,26.02,961111,0.0
1954-01-29,STOOQ:^SPX,USD,26.08,26.08,26.08,26.08,1083333,0.0
1954-02-01,STOOQ:^SPX,USD,25.99,25.99,25.99,25.99,966667,0.0
1954-02-02,STOOQ:^SPX,USD,25.92,25.92,25.92,25.92,788889,0.0
1954-02-03,STOOQ:^SPX,USD,26.01,26.01,26.01,26.01,938889,0.0
1954-02-04,STOOQ:^SPX,USD,26.2,26.2,26.2,26.2,1133333,0.0
1954-02-05,STOOQ:^SPX,USD,26.3,26.3,26.3,26.3,1127778,0.0
1954-02-08,STOOQ:^SPX,USD,26.23,26.23,26.23,26.23,1211111,0.0
1954-02-09,STOOQ:^SPX,USD,26.17,26.17,26.17,26.17,1044444,0.0
1954-02-10,STOOQ:^SPX,USD,26.14,26.14,26.14,26.14,994444,0.0
1954-02-11,STOOQ:^SPX,USD,26.06,26.06,26.06,26.06,1033333,0.0
1954-02-12,STOOQ:^SPX,USD,26.12,26.12,26.12,26.12,961111,0.0
1954-02-15,STOOQ:^SPX,USD,26.04,26.04,26.04,26.04,1155556,0.0
1954-02-16,STOOQ:^SPX,USD,25.81,25.81,25.81,25.81,1038889,0.0
1954-02-17,STOOQ:^SPX,USD,25.86,25.86,25.86,25.86,966667,0.0
1954-02-18,STOOQ:^SPX,USD,25.86,25.86,25.86,25.86,833333,0.0
