date,secid,currency,close,open,low,high,volume,capitalization
2014-12-02,investing:SSE 100,CNY,5194.93,5120.1,5108.31,5198.97,18709,0.0
2014-12-03,investing:SSE 100,CNY,5246.65,5204.15,5165.23,5248.19,25636,0.0
2014-12-04,investing:SSE 100,CNY,5381.44,5261.56,5254.13,5383.0,27344,0.0
2014-12-05,investing:SSE 100,CNY,5297.73,5391.41,5155.3,5397.91,29883,0.0
2014-12-08,investing:SSE 100,CNY,5399.44,5287.5,5253.74,5416.43,27671,0.0
2014-12-09,investing:SSE 100,CNY,5223.18,5388.66,5197.02,5495.29,37363,0.0
2014-12-10,investing:SSE 100,CNY,5419.33,5217.13,5205.72,5420.92,23402,0.0
2014-12-11,investing:SSE 100,CNY,5517.96,5419.94,5395.78,5519.45,24071,0.0
2014-12-12,investing:SSE 100,CNY,5531.41,5538.03,5486.62,5547.15,22223,0.0
2014-12-15,investing:SSE 100,CNY,5614.91,5546.7,5511.08,5623.44,24087,0.0
2014-12-16,investing:SSE 100,CNY,5611.53,5613.74,5555.12,5625.27,21578,0.0
2014-12-17,investing:SSE 100,CNY,5551.93,5595.1,5493.56,5595.1,23179,0.0
2014-12-18,investing:SSE 100,CNY,5538.04,5550.03,5523.49,5571.7,19176,0.0
2014-12-19,investing:SSE 100,CNY,5512.78,5533.66,5420.8,5548.79,23959,0.0
2014-12-22,investing:SSE 100,CNY,5357.43,5514.2,5299.66,5516.09,29281,0.0
2014-12-23,investing:SSE 100,CNY,5246.17,5329.75,5237.23,5371.84,17580,0.0
2014-12-24,investing:SSE 100,CNY,5310.22,5251.63,5245.23,5312.94,16516,0.0
2014-12-25,investing:SSE 100,CNY,5413.34,5321.09,5321.09,5414.49,16945,0.0
2014-12-26,investing:SSE 100,CNY,5450.03,5422.26,5402.48,5453.99,18829,0.0
2014-12-29,investing:SSE 100,CNY,5407.21,5469.3,5364.93,5469.3,23789,0.0
2014-12-30,investing:SSE 100,CNY,5287.4,5389.59,5275.35,5391.63,17805,0.0
2014-12-31,investing:SSE 100,CNY,5338.7,5281.47,5250.98,5339.99,15850,0.0
2015-01-05,investing:SSE 100,CNY,5446.51,5361.23,5352.3,5451.33,23536,0.0
2015-01-06,investing:SSE 100,CNY,5501.68,5421.24,5376.73,5506.58,20478,0.0
2015-01-07,investing:SSE 100,CNY,5505.97,5497.64,5456.81,5509.78,15423,0.0
2015-01-08,investing:SSE 100,CNY,5486.78,5511.94,5465.9,5542.62,16603,0.0
2015-01-09,investing:SSE 100,CNY,5441.97,5472.66,5440.97,5533.82,15590,0.0
2015-01-12,investing:SSE 100,CNY,5347.98,5418.16,5319.01,5418.31,15146,0.0
2015-01-13,investing:SSE 100,CNY,5404.21,5338.8,5337.53,5407.67,10422,0.0
2015-01-14,investing:SSE 100,CNY,5383.03,5407.26,5352.96,5411.98,10658,0.0
2015-01-15,investing:SSE 100,CNY,5444.44,5378.27,5374.88,5445.7,11232,0.0
2015-01-16,investing:SSE 100,CNY,5492.73,5448.69,5425.95,5494.26,13168,0.0
2015-01-19,investing:SSE 100,CNY,5268.81,5340.01,5208.68,5457.71,18821,0.0
2015-01-20,investing:SSE 100,CNY,5455.85,5295.71,5295.71,5456.49,14898,0.0
2015-01-21,investing:SSE 100,CNY,5601.79,5474.59,5472.37,5603.64,17316,0.0
2015-01-22,investing:SSE 100,CNY,5691.29,5610.78,5603.02,5696.36,16434,0.0
2015-01-23,investing:SSE 100,CNY,5638.56,5695.64,5616.78,5700.75,14767,0.0
2015-01-26,investing:SSE 100,CNY,5780.78,5644.61,5644.61,5780.95,17119,0.0
2015-01-27,investing:SSE 100,CNY,5810.81,5796.4,5709.71,5827.11,18180,0.0
2015-01-28,investing:SSE 100,CNY,5788.67,5799.05,5768.11,5844.48,18802,0.0
2015-01-29,investing:SSE 100,CNY,5723.84,5735.8,5697.1,5775.36,14556,0.0
2015-01-30,investing:SSE 100,CNY,5648.85,5736.42,5646.74,5759.28,12330,0.0
2015-02-02,investing:SSE 100,CNY,5625.77,5576.98,5544.32,5666.77,10998,0.0
2015-02-03,investing:SSE 100,CNY,5699.35,5640.39,5640.39,5701.05,10443,0.0
2015-02-04,investing:SSE 100,CNY,5655.91,5717.6,5652.94,5721.12,12498,0.0
2015-02-05,investing:SSE 100,CNY,5599.25,5712.79,5593.09,5719.2,13157,0.0
2015-02-06,investing:SSE 100,CNY,5503.42,5598.0,5476.51,5620.07,12104,0.0
2015-02-09,investing:SSE 100,CNY,5468.25,5498.07,5453.48,5520.96,8323,0.0
2015-02-10,investing:SSE 100,CNY,5542.17,5466.62,5463.43,5542.96,7551,0.0
2015-02-11,investing:SSE 100,CNY,5608.22,5557.03,5555.93,5609.9,9228,0.0
