date,secid,currency,close,open,low,high,volume,capitalization
2011-08-15,investing:Euro Stoxx 50,EUR,2324.48,2320.62,2306.24,2339.92,32517000,0.0
2011-08-16,investing:Euro Stoxx 50,EUR,2323.67,2309.57,2269.99,2323.67,102982000,0.0
2011-08-17,investing:Euro Stoxx 50,EUR,2331.12,2313.37,2281.88,2355.67,88837000,0.0
2011-08-18,investing:Euro Stoxx 50,EUR,2206.61,2313.16,2177.29,2313.16,130877000,0.0
2011-08-19,investing:Euro Stoxx 50,EUR,2159.07,2203.18,2117.68,2203.18,158296000,0.0
2011-08-22,investing:Euro Stoxx 50,EUR,2183.39,2148.0,2140.32,2227.14,99090000,0.0
2011-08-23,investing:Euro Stoxx 50,EUR,2199.98,2199.9,2173.79,2239.91,95158000,0.0
2011-08-24,investing:Euro Stoxx 50,EUR,2238.7,2209.12,2191.74,2258.13,84343000,0.0
2011-08-25,investing:Euro Stoxx 50,EUR,2216.7,2251.86,2197.38,2273.42,113523000,0.0
2011-08-26,investing:Euro Stoxx 50,EUR,2190.44,2216.37,2140.57,2220.34,91718000,0.0
2011-08-29,investing:Euro Stoxx 50,EUR,2239.3,2208.62,2208.62,2253.33,51640000,0.0
2011-08-30,investing:Euro Stoxx 50,EUR,2239.14,2252.2,2216.31,2264.09,72440000,0.0
2011-08-31,investing:Euro Stoxx 50,EUR,2302.08,2248.31,2240.28,2314.87,101986000,0.0
2011-09-01,investing:Euro Stoxx 50,EUR,2305.75,2309.64,2265.23,2326.78,92398000,0.0
2011-09-02,investing:Euro Stoxx 50,EUR,2220.72,2287.26,2207.21,2287.26,92476000,0.0
2011-09-05,investing:Euro Stoxx 50,EUR,2107.27,2191.17,2092.71,2191.17,104708000,0.0
2011-09-06,investing:Euro Stoxx 50,EUR,2080.1,2107.4,2063.58,2138.61,142398000,0.0
2011-09-07,investing:Euro Stoxx 50,EUR,2151.16,2106.18,2106.18,2151.16,94878000,0.0
2011-09-08,investing:Euro Stoxx 50,EUR,2163.4,2148.86,2131.36,2185.29,94624000,0.0
2011-09-09,investing:Euro Stoxx 50,EUR,2073.67,2154.2,2069.64,2158.9,111065000,0.0
2011-09-12,investing:Euro Stoxx 50,EUR,1995.01,2042.71,1971.02,2042.71,172488000,0.0
2011-09-13,investing:Euro Stoxx 50,EUR,2036.64,2016.93,1948.65,2045.96,164160000,0.0
2011-09-14,investing:Euro Stoxx 50,EUR,2083.38,2017.35,2007.87,2087.84,139136992,0.0
2011-09-15,investing:Euro Stoxx 50,EUR,2155.62,2091.5,2091.5,2185.58,139488992,0.0
2011-09-16,investing:Euro Stoxx 50,EUR,2159.28,2172.73,2145.89,2192.41,208331008,0.0
2011-09-19,investing:Euro Stoxx 50,EUR,2096.1,2123.89,2080.16,2123.89,89612000,0.0
2011-09-20,investing:Euro Stoxx 50,EUR,2140.41,2084.48,2076.68,2143.25,100888000,0.0
2011-09-21,investing:Euro Stoxx 50,EUR,2098.49,2138.21,2093.89,2138.55,91998000,0.0
2011-09-22,investing:Euro Stoxx 50,EUR,1995.75,2070.68,1985.38,2070.68,145182000,0.0
2011-09-23,investing:Euro Stoxx 50,EUR,2026.03,2013.88,1935.89,2027.73,139842000,0.0
2011-09-26,investing:Euro Stoxx 50,EUR,2083.35,2004.97,1993.71,2116.13,167794000,0.0
2011-09-27,investing:Euro Stoxx 50,EUR,2194.03,2108.47,2108.47,2194.43,150002000,0.0
2011-09-28,investing:Euro Stoxx 50,EUR,2176.64,2179.13,2159.46,2221.12,110351000,0.0
2011-09-29,investing:Euro Stoxx 50,EUR,2212.44,2168.2,2162.17,2232.02,124560000,0.0
2011-09-30,investing:Euro Stoxx 50,EUR,2179.66,2204.93,2153.27,2204.93,107526000,0.0
2011-10-03,investing:Euro Stoxx 50,EUR,2138.24,2146.7,2108.72,2153.9,85208000,0.0
2011-10-04,investing:Euro Stoxx 50,EUR,2091.09,2117.88,2054.98,2117.88,110802000,0.0
2011-10-05,investing:Euro Stoxx 50,EUR,2179.42,2118.75,2115.38,2180.22,100780000,0.0
2011-10-06,investing:Euro Stoxx 50,EUR,2248.78,2191.07,2188.76,2248.78,126061000,0.0
2011-10-07,investing:Euro Stoxx 50,EUR,2269.19,2248.48,2237.36,2290.73,118648000,0.0
2011-10-10,investing:Euro Stoxx 50,EUR,2320.8,2288.16,2267.94,2322.57,104426000,0.0
2011-10-11,investing:Euro Stoxx 50,EUR,2315.97,2315.29,2285.63,2320.57,148639008,0.0
2011-10-12,investing:Euro Stoxx 50,EUR,2372.15,2311.47,2293.37,2378.92,129964000,0.0
2011-10-13,investing:Euro Stoxx 50,EUR,2332.52,2361.62,2319.73,2384.41,135384000,0.0
2011-10-14,investing:Euro Stoxx 50,EUR,2355.48,2339.65,2320.55,2379.86,123554000,0.0
2011-10-17,investing:Euro Stoxx 50,EUR,2315.89,2368.79,2303.01,2393.4,106063000,0.0
2011-10-18,investing:Euro Stoxx 50,EUR,2306.81,2298.05,2269.53,2314.01,87773000,0.0
2011-10-19,investing:Euro Stoxx 50,EUR,2330.08,2316.72,2311.61,2345.12,91753000,0.0
2011-10-20,investing:Euro Stoxx 50,EUR,2271.77,2311.92,2268.01,2324.77,140276992,0.0
2011-10-21,investing:Euro Stoxx 50,EUR,2337.51,2283.85,2279.25,2340.81,118882000,0.0
2011-10-24,investing:Euro Stoxx 50,EUR,2369.07,2346.83,2323.69,2372.25,84150000,0.0
2011-10-25,investing:Euro Stoxx 50,EUR,2343.96,2360.56,2321.86,2375.17,83603000,0.0
2011-10-26,investing:Euro Stoxx 50,EUR,2335.06,2342.73,2316.62,2380.24,88780000,0.0
2011-10-27,investing:Euro Stoxx 50,EUR,2476.92,2361.68,2361.68,2482.92,156300000,0.0
2011-10-28,investing:Euro Stoxx 50,EUR,2462.36,2480.89,2449.09,2506.22,118690000,0.0
2011-10-31,investing:Euro Stoxx 50,EUR,2385.22,2443.68,2385.22,2443.68,88153000,0.0
2011-11-01,investing:Euro Stoxx 50,EUR,2259.73,2352.76,2241.69,2352.76,146050000,0.0
2011-11-02,investing:Euro Stoxx 50,EUR,2291.89,2278.7,2240.16,2301.29,120578000,0.0
2011-11-03,investing:Euro Stoxx 50,EUR,2347.94,2254.53,2238.16,2373.0,151740000,0.0
2011-11-04,investing:Euro Stoxx 50,EUR,2291.47,2355.96,2278.75,2370.38,119812000,0.0
2011-11-07,investing:Euro Stoxx 50,EUR,2275.92,2275.16,2231.68,2307.18,114593000,0.0
2011-11-08,investing:Euro Stoxx 50,EUR,2303.2,2279.44,2276.68,2347.25,101997000,0.0
2011-11-09,investing:Euro Stoxx 50,EUR,2249.39,2318.95,2225.75,2334.11,145420992,0.0
2011-11-10,investing:Euro Stoxx 50,EUR,2254.92,2223.49,2211.37,2291.31,125690000,0.0
2011-11-11,investing:Euro Stoxx 50,EUR,2324.81,2259.32,2252.03,2329.54,113331000,0.0
2011-11-14,investing:Euro Stoxx 50,EUR,2288.32,2333.27,2273.83,2344.81,111773000,0.0
2011-11-15,investing:Euro Stoxx 50,EUR,2254.0,2274.3,2227.88,2281.45,113811000,0.0
2011-11-16,investing:Euro Stoxx 50,EUR,2267.96,2249.05,2238.39,2299.11,98937000,0.0
2011-11-17,investing:Euro Stoxx 50,EUR,2242.78,2261.93,2225.7,2270.83,79837000,0.0
2011-11-18,investing:Euro Stoxx 50,EUR,2236.68,2233.3,2220.27,2264.25,82332000,0.0
2011-11-21,investing:Euro Stoxx 50,EUR,2160.28,2226.25,2159.71,2226.25,77979000,0.0
2011-11-22,investing:Euro Stoxx 50,EUR,2136.81,2172.52,2136.81,2189.59,75861000,0.0
2011-11-23,investing:Euro Stoxx 50,EUR,2096.79,2123.39,2096.79,2146.36,87900000,0.0
2011-11-24,investing:Euro Stoxx 50,EUR,2090.25,2108.42,2076.65,2134.33,82703000,0.0
2011-11-25,investing:Euro Stoxx 50,EUR,2111.26,2090.66,2065.75,2121.15,73738000,0.0
2011-11-28,investing:Euro Stoxx 50,EUR,2221.76,2128.58,2128.58,2221.76,99339000,0.0
2011-11-29,investing:Euro Stoxx 50,EUR,2234.17,2215.16,2191.02,2245.86,84329000,0.0
